"","가산","건천","경산","경안","경주","곤지암","광주","구미","군위","금강","금산사","기흥","김제","김천","남구미","남안동","남원주","논산","다부","대전","덕평","동대구","동서울","동수원","마성","목천","문막","백양사","부산","북대구","북대전","삼례","새말","서대구","서대전","서안동","서울","서청주","수원","신탄진","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","음성","의성","이천","익산","일죽","장성","전주","정읍","증평","진천","천안","청원","청주","추풍령","칠곡","태인","통도사","황간"
"언양",859,12386,21003,366,164461,1217,11,6586,90,335,10,502,60,4572,8765,258,154,824,83,8922,544,46926,7105,11775,133,2612,126,1,788243,23572,1280,146,155,33806,792,794,16847,2361,5822,2199,1797,263901,118,0,181,1474,25487,5110,2804,10264,508,1559992,295,1411,551,170,807,1334,512,1,605,88,847,607,3627,1739,1151,407,4195,80,55648,1160
"여주",2,102,856,15294,1973,46503,8319,2048,2,64,163,5045,444,2631,173,1,157980,2627,1,10746,11846,1470,315125,251161,9198,262,81965,293,5222,3996,3284,505,77766,7784,1792,0,157784,18002,70555,4981,3690,1277,23917,181,0,438,383,11893,2026,510,40252,1397,71238,3141,5294,1,70448,4106,15159,609,5143,1300,4685,5635,6760,4745,123,254,207,473,230,188
"영동",4,607,5831,1417,11963,3745,1819,18548,18,10501,63,1112,303,31996,1801,25,443,2619,7,104160,185,6460,24280,25550,277,4476,305,72,18444,20432,6588,235,967,35924,2198,24,51798,11260,8968,10746,4957,4310,267,1357,398,0,3324,7582,74477,4589,553,7024,532,8282,1337,16,1507,2043,1414,175,1394,595,4173,1738,7985,16436,4800,8156,1831,252,758,20509
"영천",1669,22839,138082,749,152771,1445,20,19462,224,605,34,430,206,8732,19280,378,255,1266,364,13925,72,458212,11552,12099,90,2149,145,7,266029,228233,1629,158,87,247524,939,1113,20834,1820,3658,1998,2026,88787,101,26829,362,2047,0,3048,5457,30330,328,166472,291,2843,552,287,809,1630,723,12,538,163,919,596,3436,1920,1187,829,31324,76,14954,2038
"오산",13,1568,16983,874,41154,4889,136837,42991,37,760,2653,70775,7888,54768,5002,71,17153,26270,13,108112,13821,14560,2001,632918,23626,82808,9508,4512,65474,29302,28763,8370,27831,1041701,18741,59,2844527,160,272868,64566,223533,12653,10461,5179,13929,8870,4425,0,36443,5947,22420,28314,15401,31476,3512,51,37035,66077,2006,11105,91301,26609,874,742,447929,54541,244232,6516,3432,9089,4787,4969
"옥천",17,1165,12493,4371,24615,12406,10744,35533,27,82059,594,3921,1848,54592,3180,94,1479,16397,13,516579,1407,13118,73264,85534,904,28061,1103,612,30883,35141,62048,1392,3297,66729,15491,88,149283,60898,27749,99702,21960,6464,857,2272,1966,78671,5196,32114,0,8166,2186,16291,2416,68270,8290,67,5133,13488,6984,1129,9754,4175,29879,11726,38676,124970,24047,10974,3424,1377,1699,29005
"왜관",329,11067,152363,647,79923,1668,58,102781,333,875,45,439,96,20139,139217,531,255,1285,302,15075,142,245379,11137,12137,122,2389,147,9,53189,1179619,1725,134,337,1258476,1034,814,22637,2158,4231,5550,2942,12490,158,15981,287,2942,34939,3475,6884,0,447,41373,439,3080,755,455,2205,1217,1540,6,737,176,947,824,4096,2681,1338,2706,77160,137,31258,4998
"용인",1,111,1488,1602,2736,4156,8853,2663,2,59,235,14850,772,3341,308,1,31508,2228,1,9856,32769,1488,19093,779159,30216,2637,16623,354,5545,3497,3431,571,33180,6923,1779,0,1217899,22007,107069,6178,12684,860,52731,496,29997,560,343,24574,2038,545,0,1669,18290,3404,21934,7,64258,4706,16456,1231,5850,1770,13401,6606,27319,5922,3005,389,394,659,181,315
"울산",10908,46448,148818,2045,246756,6209,69,37193,663,1911,163,2541,493,26441,93691,1761,1148,6455,501,59309,837,322628,43364,99345,664,15371,1083,19,725788,173302,5979,1210,769,243652,2744,6886,110684,12224,18843,9709,10657,890153,464,1470924,1292,7840,159346,28159,17525,35774,2479,0,2418,11562,3914,1496,5088,17484,3188,10,7865,960,6524,3190,19108,9432,6773,1940,25123,305,320167,7451
"원주",0,100,817,15963,2249,56597,10911,1904,1,80,160,3978,759,2477,169,2,30549,3455,0,16117,7826,1450,333494,270306,8398,295,85424,378,5411,4107,4778,766,471149,7426,2768,1,181253,24038,27876,7902,5216,942,18027,433,82048,556,346,14477,2351,527,31946,2780,0,5462,4924,0,78455,7283,23340,851,6413,1729,5975,5791,10004,6300,125,201,364,414,157,204
"유성",15,808,7838,8732,21076,16571,175189,19840,18,4599,6357,6920,19465,26375,2011,112,6247,245163,9,56071,1596,12061,130111,108302,2885,44734,1644,8188,28222,28220,33116,29375,9037,52730,87721,82,309262,63577,48872,43845,27589,4984,1242,1632,3191,10621,3447,32060,75328,4984,3720,12556,5727,0,8789,55,10852,216585,9139,17230,223978,47437,43583,11380,77211,75188,26255,3400,3003,19154,1184,4998
"음성",3,203,2134,39844,4090,177344,12277,5056,5,169,285,4296,894,5431,825,21,5718,5564,1,32164,9720,2408,903752,329202,7836,17,3731,485,9080,5178,9620,1018,9735,13369,5423,18,153708,234996,52116,23876,409,1926,9716,550,7250,1309,606,3550,7981,983,27417,3359,5324,7621,0,11,31313,10333,55230,966,9479,2422,99488,56371,270,21017,23,616,527,1529,388,2061
"의성",23193,129,1988,15,1440,25,0,117,7476,7,1,12,3,118,77,8783,3,26,12651,287,1,7482,317,292,0,33,0,0,4043,59259,23,6,2,92085,16,11419,561,25,116,28,43,924,1,221,5,26,216,81,98,491,9,1643,2,62,6,0,11,54,11,0,22,7,14,3,74,27,26,12,40398,2,212,34
"이천",4,321,2310,38422,7185,117581,54552,8398,3,144,417,19963,1388,8782,754,3,134709,7304,5,34192,45518,4623,866866,783214,22694,553,77804,970,14239,7616,9600,1584,122468,17000,5143,4,375590,79648,172396,16194,8488,1834,53525,52,72318,1374,794,33176,5393,3850,87041,4963,65379,9344,26902,8,0,12727,37436,1988,17522,5627,22348,20430,14265,15786,263,771,747,1185,592,564
"익산",3,330,5806,9586,20342,26380,159486,14144,10,369,9504,7157,13717,9574,1323,62,4222,84425,5,53218,1494,4605,185132,184648,2810,13877,4192,9960,9229,10576,48497,10038,10343,12337,270876,55,403411,34010,59669,26071,27522,2023,1745,1073,3909,2126,2006,54040,12737,1774,4638,14547,7395,214877,9902,32,13075,0,9788,13580,46139,60629,32329,8131,37727,32356,16029,738,1187,14909,558,983
