"","경산","경안","경주","곤지암","광주","구미","금강","금산사","기흥","김제","김천","남구미","논산","대구","대전","덕평","동대구","동서울","마성","목천","문막","백양사","부산","삼례","새말","서대구","서대전","서울","서청주","수원","신탄진","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","음성","이천","익산","일죽","장성","전주","정주","증평","진천","천안","청원","청주","추풍령","태인","통도사","황간"
"경산",0,64,86903,238,27,19874,18,4,42,6,2451,0,360,155753,5067,50,103518,5473,206,1086,32,0,63703,9,22,0,525,13667,216,1974,270,845,17027,15,5966,90,347,22606,5330,998,12917,1,31871,96,0,84,221,257,93,0,161,128,85,82,939,762,998,277,12,2863,693
"경안",74,0,669,22326,3184,533,47,49,48,201,1040,0,857,4005,6584,902,550,807364,89,83,3270,61,2168,78,4455,34,567,78,7154,1595,848,174,158,586,34,3269,270,87,353,455,62,758,437,3590,0,2952,8094,1398,11184,99,2083,817,2092,2564,552,359,36,106,198,26,141
"경주",72883,521,0,3556,1153,50214,178,40,1081,164,10611,290,2293,295678,48623,145,712973,76714,213,7749,275,1,824977,56,77,1128,1503,159050,656,23596,2017,14239,282218,158,83644,872,3457,30474,81611,3304,15645,1358,106107,724,6,425,4107,4366,1236,3,2808,423,732,1097,10358,3462,11362,254,270,39661,2492
"곤지암",364,19175,3158,0,15073,2159,188,173,470,713,4067,0,2855,20351,22970,4992,1752,1139866,12,167,35504,258,9072,410,32635,0,1786,235,40161,6205,3365,385,1028,1598,184,7299,1017,228,1328,1987,230,1957,1569,17028,0,21252,11624,5474,41791,291,9110,2899,19728,14658,1494,1252,28,252,574,167,357
"광주",0,1646,14,7812,0,669,49,26892,730,104844,174,9,49254,0,57983,678,0,192175,14,10414,1309,97604,0,11947,5398,0,74711,496312,6600,54404,5009,15339,0,311,0,3506,154,0,90039,2522,0,3716,0,3611,0,1477,6208,21388,2242,702071,246516,263712,6208,1678,15505,12172,21540,0,22628,0,86
"구미",9610,631,25557,1535,596,0,975,107,815,92,32849,430,1319,624427,31602,432,43681,32914,1578,4987,873,13,27345,70,389,18785,1672,71129,2608,18639,1815,3261,4313,301,1567,372,3780,3345,30109,4866,21726,38,10656,413,0,409,2185,3383,634,58,2500,657,1252,442,5809,1942,7470,2907,184,1298,8914
"금강",12,22,200,121,49,830,0,6,251,11,1188,0,146,1305,45170,9,105,1605,62,643,14,0,354,10,46,0,266,2849,245,567,1205,295,22,6,14,18,2216,5,592,40397,24,0,370,28,1892,23,52,193,114,1,112,47,80,34,734,844,1099,396,6,5,362
"금산사",5,41,83,242,34993,135,0,0,8,78646,105,2,2460,362,1875,6,27,4910,1,548,35,2511,205,2303,122,8,3477,8422,131,1262,224,225,5,17,4,94,15,10,2015,150,5,143,59,85,4,32,207,1196,46,2225,19022,15976,198,29,430,364,443,19,6678,1,8
"기흥",79,48,836,416,1421,917,129,10,0,21,508,0,212,3181,3224,1924,279,108,3862,552,900,11,1035,31,1039,0,230,734192,79,130114,960,5725,191,1980,76,2538,107,32,4347,173,36,5478,4746,1139,0,256,6482,775,328,67,952,175,167,399,8448,608,3735,84,27,23,36
"김제",2,86,185,414,107997,167,7,81107,13,0,217,4,2170,412,3310,23,89,8906,181,326,57,5029,195,3481,213,3,6451,15249,297,2405,276,616,16,25,5,59,41,10,3204,239,11,6,102,134,91,79,176,1304,93,4065,11531,266707,339,52,706,634,750,25,124516,0,32
"김천",2239,706,9938,2595,409,39079,1324,122,353,227,0,0,3280,88619,59362,355,10178,61421,1402,7189,184,10,23934,127,699,0,2432,139534,2786,20200,2564,5561,2920,176,618,1028,8650,1074,31947,11240,1743,179,4500,676,6345,389,3727,3563,970,32,2198,850,707,559,7924,6176,7796,6534,122,407,13776
"남구미",11423,14,29399,114,82,484,67,8,71,12,2862,0,92,746694,2593,24,53687,1061,119,276,12,3,77442,7,50,65720,102,5896,191,3097,294,261,5881,18,3265,15,396,2930,5472,319,32422,53,26749,60,0,27,215,249,65,12,323,72,89,45,372,159,584,158,8,1636,274
