"","경산","경주","구미","금강","기흥","김천","낙동","논산","대전","덕평","동대구","마성","문막","부산","새말","서대구","서대전","서울","수원","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","이천","익산","전주","천안","청주","추풍령","통도사","판교","황간"
"경산",0,17100,1541,4,7,501,1836,258,1026,1,55674,31,4,11622,1,8906,17,3723,635,233,10700,2,1723,5,33,6692,567,230,2397,20,1029,10,68,16,136,364,440,387,28,245,301,159
"경주",11581,0,6045,105,300,2715,6434,1286,14440,14,248526,215,17,336019,5,25108,89,71551,8587,1293,9404,33,11991,92,348,3982,3355,1464,3706,238,1803,84,755,565,1687,2852,4800,4083,94,7428,3065,855
"구미",1205,6441,0,121,64,36188,66,426,6209,17,5454,82,0,8420,9,128372,43,31513,6441,483,5916,14,647,18,390,1030,1748,1462,2140,300,971,31,566,94,526,1514,1520,1779,626,137,1614,2052
"금강",0,135,89,0,1,301,0,16,11101,0,19,1,0,56,1,241,17,926,140,23,3,1,9,0,704,2,23,19998,2,2,14,1,234,1,24,50,169,391,153,0,244,82
"기흥",4,606,74,5,0,174,1,33,667,74,73,351,18,420,213,2006,23,117510,65125,1072,289,267,446,2483,10,10,3590,50,7,693,1164,750,76,587,169,826,1165,826,14,8,9831,1
"김천",304,2920,32452,290,73,0,87,940,16216,32,1390,295,1,6725,58,24209,63,67571,7804,1459,124,37,397,104,1244,370,3387,3476,251,178,501,68,602,375,1249,1705,5335,4879,1537,98,3614,2493
"낙동",1962,12670,66,6,2,312,0,46,524,0,10221,1,0,28693,5,321625,2,2226,470,36,9657,0,938,11,15,1009,152,24,3314,7,1547,2,8,12,126,747,100,459,13,942,42,12
"논산",210,1564,542,17,20,1036,9,0,979,4,525,113,9,2519,152,4517,206527,38763,3576,694,567,9,178,52,170,347,1372,1823,117,101,235,84,9503,60,11595,40287,1588,2456,113,51,2008,42
"대전",768,14472,6210,11679,369,17542,195,1952,0,148,3908,524,77,36939,1722,71308,266,226691,30916,10833,3252,91,2742,408,6406,1179,19835,19491,669,523,5151,753,1354,1587,2098,23275,127062,178882,2271,231,10883,4961
"덕평",0,14,5,0,97,7,0,3,158,0,14,188,38,55,128,91,0,12291,5721,166,27,1664,1,1840,2,2,295,4,0,8033,3,377,8,10036,8,54,230,102,0,0,993,0
"동대구",58594,274627,9690,30,149,2446,15190,828,8184,17,0,63,4,196722,12,11783,95,39439,6889,1060,6854,43,19134,49,268,35967,2221,989,36068,167,31516,103,363,1601,1449,1993,2452,3029,329,2388,7728,733
"마성",18,134,86,5,169,242,0,80,651,137,45,0,31,181,1010,620,22,69154,36017,492,91,451,15,1085,39,18,889,53,8,1301,10,1069,143,1344,206,751,3134,957,17,4,4251,6
"문막",0,10,1,1,14,0,0,22,105,18,6,28,0,36,4422,120,1,4858,2430,39,77,45,0,3798,1,0,73,3,0,375,6,35114,5,14978,12,148,378,8,0,0,66,1
"부산",16537,406791,15795,35,399,6325,27888,2305,33792,76,185743,216,31,0,28,29160,1187,209990,37267,4939,324330,89,146033,426,661,27208,11471,2978,8816,1476,59919,499,3398,2734,3837,9389,14059,13235,357,228477,9738,1828
"새말",4,4,7,2,102,48,0,120,1433,83,13,1268,4051,49,0,100,33,113483,15323,1054,7,318,1,4955,18,1,1722,86,3,2231,1,89965,120,64076,454,1791,3457,398,5,0,654,12
"서대구",12712,53455,121458,206,844,25306,299067,3269,68201,57,17430,670,45,20945,81,0,417,221795,27594,3445,41701,148,2507,261,1646,9546,8249,5500,318865,748,3549,447,1890,2996,5765,13283,11905,12323,1320,455,7438,5645
"서대전",10,77,170,43,9,122,27,206755,257,2,62,24,4,1412,50,535,0,7597,1353,429,2,2,29,20,23,4,1177,200,5,84,54,25,9832,28,65314,97047,6271,5292,28,3,384,8
"서울",1920,63415,25932,986,106474,52131,623,33834,227642,10171,12312,58545,4108,173070,110320,191508,5160,0,480948,221688,33105,78879,11568,36707,7121,2754,329287,12467,1831,185240,19482,117945,28289,48182,81011,330637,557869,242350,3027,410,187115,2015
"수원",548,15704,8809,229,74193,11541,259,4806,43019,6096,3882,35344,1868,63374,14988,50658,1801,457918,0,58590,2892,11732,1955,19179,1316,855,29578,3548,363,4055,2602,27593,3358,38935,11296,53218,86555,52194,1018,1228,106072,425
"안성",362,1835,694,26,836,1834,19,852,11827,134,710,493,36,5550,1042,6290,278,230714,54892,0,199,278,207,877,216,151,20487,1152,449,1083,430,1699,1054,1748,2162,8128,29675,18321,112,75,19582,123
"양산",2012,10249,523,1,2,135,1915,33,1897,2,7920,5,2,326040,0,1502,3,8349,2080,73,0,2,15026,10,12,733,426,64,349,46,14893,134,270,23,211,182,161,457,8,11453,361,59
"양지",2,49,9,0,163,54,0,13,130,1871,17,610,50,114,392,177,1,87768,13863,260,98,0,13,2899,2,0,762,15,2,29646,10,994,19,5974,47,142,384,119,5,4,6936,2
"언양",2015,12708,694,5,584,272,1244,144,3199,0,19263,25,0,77288,2,2281,22,15260,3325,201,70910,15,0,7,38,1272,979,120,316,107,94643,21,37,40,206,451,758,617,16,21982,629,156
"여주",5,136,18,3,2672,121,0,50,385,1186,36,1248,3966,753,4201,303,9,38733,19983,703,560,2404,9,0,9,15,1493,35,3,13339,11,32562,130,128900,169,723,1323,285,12,20,503,1
"영동",27,182,274,636,2,1055,4,123,6088,0,119,34,0,358,32,1078,10,7413,780,185,94,2,29,2,0,28,425,12632,26,17,22,16,184,15,94,142,633,2491,325,7,318,1463
"영천",5446,5061,1021,3,242,446,720,346,2204,1,40481,26,14,18919,1,7099,10,8447,1509,302,10727,0,1473,71,55,0,493,209,1322,35,997,17,405,40,332,1063,933,624,31,268,444,319
"오산",301,4021,2849,27,3876,4538,75,2373,20754,281,1386,998,78,15165,2461,14196,1435,342315,25617,22756,674,678,793,1939,481,348,0,2403,225,1717,1080,3206,2173,5794,6594,23035,76462,29797,364,225,43081,237
"옥천",161,1810,1969,19575,29,5640,9,2231,18032,3,923,52,0,1913,110,7802,223,14348,2824,1163,2535,14,143,37,12860,296,2270,0,197,74,336,70,2138,87,2006,4378,3251,14440,1483,46,1229,1171
"왜관",2495,4694,7894,21,39,916,20159,504,6196,4,33066,17,2,6031,4,357948,44,22932,4482,819,3627,12,297,28,216,1700,1426,782,0,91,485,45,224,174,851,1240,1515,1811,191,48,1033,665
"용인",9,475,146,0,305,197,3,187,603,8834,81,1686,482,1456,2156,1603,110,176094,3707,752,726,33051,32,15811,18,20,1211,38,3,0,49,7120,65,29062,129,1042,1226,551,6,2,16916,10
"울산",1607,2729,1250,16,1648,399,2642,290,7219,2,38139,24,5,33873,0,3905,61,31287,6035,472,43480,24,95158,29,52,1263,2689,404,821,216,0,37,147,85,458,1227,1971,1470,185,11026,932,315
"원주",5,58,14,0,730,44,2,54,557,228,26,944,40149,81,100403,252,15,118921,27886,1430,157,884,7,32603,14,6,2496,23,6,6546,13,0,85,155512,305,983,3002,123,4,1,1241,0
"유성",70,1013,760,355,53,1028,71,9882,1196,7,404,96,3,1960,144,3155,7323,44640,4316,1524,1989,25,109,126,215,432,3117,1855,31,130,163,132,0,132,5948,14581,9884,9558,123,18,1451,55
"이천",5,860,66,2,445,324,0,125,1204,8525,2417,1306,15170,5151,58756,4586,20,44381,40039,1714,40,4981,49,180760,17,18,5615,64,25,25636,26,166057,82,0,1309,6725,3063,624,6,8,561,7
"익산",124,2263,425,12,121,1407,27,9874,743,11,717,236,3,4867,1049,10124,63417,97078,8360,1955,1943,25,223,418,77,322,6327,1923,101,250,300,580,5544,1752,0,10054,3706,10435,170,19,5871,61
"전주",230,2951,1396,40,249,1821,120,41355,19407,63,921,1139,17,9686,1983,17215,93411,395867,27993,6191,154,139,281,684,165,700,17730,4066,185,1057,677,1231,13755,3636,9706,0,13652,25576,250,7,19610,52
"천안",428,4388,2245,115,803,6519,61,2358,136059,136,1103,2110,232,20980,3430,15144,5080,601461,83018,26759,262,340,453,1174,707,822,63455,2857,268,1762,853,3522,5828,2527,4748,19883,0,59410,990,0,36552,268
"청주",225,3371,1903,385,562,5428,41,2853,176855,102,1429,777,26,16453,513,16140,3656,258001,44698,17169,465,124,461,247,2458,440,27584,13194,167,483,929,303,7416,430,9696,29422,62269,0,625,0,15960,709
"추풍령",44,188,699,131,11,857,5,147,2526,9,202,22,0,649,4,1818,23,4364,1097,145,105,3,89,109,491,50,361,1249,51,12,178,4,202,49,185,593,947,644,0,5,310,535
"통도사",197,7586,225,3,3,98,900,36,255,0,2386,7,0,89508,1,332,2,822,817,20,148851,3,21820,4,9,207,281,75,73,19,11036,1,20,4,10,12,160,92,1,0,76,21
"판교",366,5182,2937,70,9217,5161,11,2444,14635,923,8001,4309,80,21462,1365,15209,526,183658,112305,21265,3730,7171,676,593,407,697,45319,1562,242,19730,881,1783,1275,657,5119,25677,40362,18205,313,89,0,231
"황간",180,826,2007,86,1,3350,7,89,5427,3,921,6,1,2215,6,6309,7,2518,354,99,55,0,195,3,1832,264,208,1305,155,3,354,4,52,5,54,94,293,786,568,33,157,0
