"","경산","경주","구미","금강","기흥","김천","낙동","논산","대전","덕평","동대구","마성","문막","부산","새말","서대구","서대전","서울","수원","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","이천","익산","전주","천안","청주","추풍령","통도사","판교","황간"
"경산",0,19993,1558,5,5,354,2212,149,982,0,70170,50,1,23816,2,13843,46,4861,837,495,2576,3,1587,10,46,8841,566,347,3532,22,2232,5,56,24,65,206,644,342,28,321,526,139
"경주",13944,0,5745,85,162,3038,6927,1327,16940,26,286070,263,3,385224,4,47243,193,87090,13633,1591,12034,37,13433,82,728,5181,5725,1985,4948,356,3214,85,1230,652,1810,2905,5920,4737,107,8873,3481,1172
"구미",1140,5400,0,151,62,36965,66,466,6120,18,4890,165,4,9861,13,102984,90,32640,7611,573,225,8,158,32,410,889,2207,1516,1648,326,1474,27,581,45,460,1449,2217,2051,609,124,2032,2091
"금강",1,97,150,0,1,665,1,30,13417,0,21,1,0,59,1,442,19,1214,159,67,3,2,0,2,977,3,42,24319,8,2,30,1,269,3,26,52,256,394,273,1,229,103
"기흥",3,335,79,7,0,189,0,45,810,100,57,318,105,890,204,1544,32,144398,80553,1346,24,951,10,2717,4,10,4509,35,2,996,2042,1364,100,876,326,705,1309,914,12,3,13803,5
"김천",280,2730,31621,661,79,0,112,884,17975,10,1526,374,1,6220,51,24503,138,70918,9027,2249,100,20,136,56,1605,374,3720,4050,295,382,531,68,843,170,1073,1602,5621,4923,1992,185,4663,2328
"낙동",2374,11062,48,6,3,300,0,26,234,0,9197,3,0,30726,0,337848,10,912,429,13,1147,0,351,0,12,865,88,38,3284,4,2451,3,9,2,42,112,83,162,18,409,34,17
"논산",178,1651,362,28,12,969,2,0,878,3,619,148,6,2742,137,3865,182831,37922,3370,737,41,13,54,58,217,265,1448,1942,101,123,533,72,9269,80,13226,48962,1489,2574,184,46,1949,65
"대전",928,15982,6206,13803,664,19493,77,1884,0,87,4633,789,46,39501,1869,77474,338,239983,34646,13034,1312,123,313,433,6952,1225,22131,22495,1176,566,8588,666,1452,890,2625,25950,130550,117009,2727,212,11932,5658
"덕평",0,15,6,0,110,18,0,2,145,0,2,256,59,156,168,99,0,15178,7676,256,3,1951,0,1331,3,2,478,15,1,8695,7,357,11,14127,10,40,180,62,0,1,1506,0
"동대구",78507,324927,6147,30,35,1860,10803,638,5391,7,0,99,10,224609,12,19420,94,24661,4377,730,9715,10,5717,22,220,43686,1376,873,26095,101,54237,26,339,926,653,774,1685,1876,280,3592,2079,553
"마성",26,218,149,7,193,286,4,138,898,145,110,0,54,359,1528,969,42,90379,47492,750,8,732,16,1191,69,34,1268,100,9,1689,30,1397,196,1985,305,1122,3426,1389,31,8,5404,20
"문막",0,2,3,0,139,2,0,4,202,42,27,30,0,279,3808,208,2,4631,2998,39,0,190,0,4993,0,0,64,3,0,482,0,43046,2,18203,18,162,800,145,0,0,62,0
"부산",18421,423216,9767,38,852,6345,24211,1767,34706,65,187449,214,64,0,21,41764,1985,213834,39529,6614,567389,180,117586,414,823,34104,15348,3312,9849,1831,67689,377,3693,1177,4470,10576,12843,13322,368,129686,10477,2040
"새말",2,8,13,0,142,52,0,126,1466,171,10,1409,2916,100,0,119,27,121540,17292,979,1,615,0,5813,62,1,1916,38,2,2609,2,105939,184,70902,538,1714,3238,539,5,0,935,1
"서대구",11884,48113,115923,431,1111,27567,338819,3592,78720,65,12794,904,58,48144,107,0,868,262903,36074,4961,1712,194,1089,207,2511,8432,12937,7810,402381,902,5605,409,2903,4128,5993,10781,16081,15964,1691,377,11762,7066
"서대전",35,204,102,37,8,179,9,186736,279,2,83,48,2,2149,60,1096,0,10893,1514,492,8,2,12,18,39,43,1890,299,17,39,120,50,9957,39,77828,108230,5170,4929,16,5,740,11
"서울",2273,66617,25510,1353,132222,59171,269,35812,249229,13535,14796,76899,5355,197649,120192,225370,7646,0,592039,272515,7915,110001,1705,42224,9929,2936,392776,15107,2369,219834,28595,120861,36579,59113,93782,385487,597667,266694,3875,558,218629,2572
"수원",670,17101,8227,196,91469,11888,69,4751,42895,7637,4677,45329,2280,56214,16919,52873,1465,553617,0,60274,2764,18866,802,19605,1526,993,34207,3810,433,4941,3894,26744,4026,49025,10600,56327,87976,55702,1283,781,129799,499
"안성",228,2023,759,68,1101,2582,9,887,13275,127,799,804,50,5397,938,5918,324,261639,57140,0,144,287,63,628,365,234,25604,1320,344,1316,498,1352,1086,1261,2628,8760,25309,23303,154,96,22305,152
"양산",2518,12058,296,2,1,120,1730,33,2542,1,10313,9,3,573875,1,2891,13,9150,2259,72,0,7,13759,5,17,1207,804,59,689,33,20994,193,352,17,346,179,329,691,9,22622,393,46
"양지",0,71,5,0,665,41,0,7,162,2167,20,893,144,206,772,173,0,117601,20558,208,10,0,9,2881,1,6,907,18,1,39801,16,1666,28,8618,27,222,421,74,1,1,12194,1
"언양",1349,13558,108,2,8,79,207,51,259,0,3873,18,0,111603,1,895,3,2522,1340,49,9502,8,0,2,13,1212,653,21,88,19,153901,3,16,10,74,61,156,109,0,19135,133,27
"여주",5,106,19,3,2924,78,0,61,424,1216,25,1468,5713,1057,4822,241,41,45166,19698,669,57,2544,15,0,11,11,1505,43,7,15559,14,34348,97,148225,194,781,1317,294,18,15,629,0
