,가산,건천,경산,경안,경주,고령,곡성,곤양,곤지암,광양,광주,구미,군위,금강,금산사,기흥,김제,김천,남구미,남안동,남양산,남원,남원주,남지,논산,다부,달성,담양,대동,대전,덕평,동광양,동광주,동대구,동서울,동수원,둔내,마성,매송,면온,목천,문막,물금,발안,백양사,부산,북대구,북대전,비봉,삼례,새말,서대구,서대전,서순천,서안동,서울,서전주,서청주,서평택,석곡,성산,속사,송광사,수원,순창,순천,승주,신탄진,안성,양산,양지,언양,여주,영동,영산,영주,영천,예천,오산,오창,옥곡,옥과,옥천,왜관,용인,울산,원주,월정,유성,음성,의성,이천,익산,일죽,장성,장평,전주,정읍,증평,진교,진부,진월,진천,창녕,창평,천안,청원,청주,추풍령,칠곡,칠서,칠원,태인,통도사,판암,포승,하동,해인사,현풍,화원,황간
서울,327,6370,37451,1210,132710,0,0,0,10259,0,800578,134426,554,3708,14927,2201939,28071,222670,15981,875,5865,0,499368,0,144659,411,0,0,45996,681124,250615,0,0,71460,3712,1736620,23773,654451,0,23338,347740,130058,397,0,26676,252757,173318,409734,0,58534,355525,486652,131594,0,652,8244,44018,37289,0,0,0,7366,0,6349121,0,0,0,297376,2799947,15537,976480,13142,242959,50180,0,27,53700,5,2745197,22401,0,0,216486,29168,1561144,92903,176378,221335,319231,189886,959,448031,410327,213107,51740,11139,497709,211341,88374,0,41783,0,56976,0,0,3594569,171918,923122,16379,22098,0,0,72951,10050,10273,0,0,0,0,0,25797
서전주,2,28,168,1401,515,0,0,0,2224,0,93090,720,2,13,3180,1061,5708,838,99,18,2,0,480,0,16502,15,0,0,19,3702,141,0,0,256,19779,19815,31,366,0,10,1810,143,0,0,5564,80,377,3642,0,14547,692,576,17662,0,15,44033,625,4593,0,0,0,38,0,5672,0,0,0,2010,3949,18,398,32,590,315,0,1,249,0,5217,370,0,0,1317,148,549,303,709,550,23011,933,18,1356,14935,1406,7157,47,16715,113287,2825,0,110,0,1118,0,0,4170,3743,1629,84,126,0,0,16611,7,86,0,0,0,0,0,103
서청주,23,354,3185,44316,7081,0,0,0,103532,0,32033,24259,54,927,628,334,1755,21214,2032,44,563,0,27642,0,18938,20,0,0,3759,190541,11953,0,0,7854,605347,96107,1101,6916,0,1054,13,9461,17,0,1157,17472,11927,79619,0,4278,27522,42718,34185,0,36,43711,4057,815,0,0,0,1147,0,7217,0,0,0,138453,80,1557,16396,1324,21124,8273,0,2,3683,0,227,62049,0,0,68480,3517,26471,9479,29029,16900,55204,224460,32,80349,35821,91085,2910,977,23900,7332,348225,0,3744,0,374870,0,0,73,63998,64,2467,1975,0,0,2888,1408,5330,0,0,0,0,0,5216
서평택,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1818445,0,0,0,0,63086,0,0,0,0,83122,0,0,0,0,0,0,0,0,0,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6741,0,0,0,0,0
석곡,0,0,0,0,0,0,19161,7397,0,1997,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,2745,0,0,0,1926,240654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21559,0,0,0,0,0,277,0,0,5695,0,67,18327,3811,0,0,0,0,0,0,0,0,0,0,0,0,0,924,23641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,1538,0,0,10741,0,0,0,0,0,0,0,0,0,0,0,661,0,0,0,0
성산,0,0,0,0,0,43666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1353,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178,0,0,0,0,0,0,814,11677,0,0,0,0,0,178839,1187,964097,0
속사,1,1,6,679,7,0,0,0,1582,0,554,23,0,1,6,195,12,57,2,0,1,0,4796,0,90,1,0,0,11,441,372,0,0,9,10953,11226,4433,146,0,4281,13,2630,0,0,12,27,20,236,0,40,10312,77,135,0,0,6989,48,721,0,0,0,241,0,2585,0,0,0,345,195,2,944,1,2829,8,0,0,4,0,543,196,0,0,126,11,1462,10,10636,28033,158,140,0,2860,167,1103,19,12025,193,79,153,0,4208,0,155,0,0,346,116,6,11,6,0,0,17,3,14,0,0,0,0,0,4
송광사,0,0,0,0,0,0,31055,75608,0,19710,0,0,0,0,0,0,0,0,0,0,0,712,0,0,0,0,0,3562,0,0,0,27920,217739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207639,0,0,0,0,0,7970,0,0,232,0,220,204588,19796,0,0,0,0,0,0,0,0,0,0,0,0,0,11665,15063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988,0,15287,0,0,7646,0,0,0,0,0,0,0,0,0,0,0,4852,0,0,0,0
수원,61,1131,6263,2565,21847,0,0,0,16456,0,96681,36397,71,679,1884,273018,4840,33824,4456,172,1119,0,128280,0,19290,57,0,0,8039,95742,92982,0,0,13146,5485,703510,3914,218288,0,3484,61759,36601,46,0,3639,35017,27891,55694,0,7338,75660,70179,19959,0,101,6355100,5211,4460,0,0,0,2723,0,6026,0,0,0,57386,612610,2825,138051,5778,92451,7752,0,2,5983,0,398353,3990,0,0,31212,4907,201555,14941,48342,44740,41454,47571,160,198270,52742,59248,6247,3129,55518,21568,30204,0,11660,0,14526,0,0,531930,36829,180326,2600,4060,0,0,7708,4422,1757,0,0,0,0,0,3877
순창,0,0,0,0,0,0,82,294,0,34,0,0,0,0,0,0,0,0,0,0,0,137927,0,0,0,0,0,14140,0,0,0,43,266985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,45,0,0,122,0,3324,359,34,0,0,0,0,0,0,0,0,0,0,0,0,0,8,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,1226,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0
순천,0,0,0,0,0,0,38568,657629,0,27741,0,0,0,0,0,0,0,0,0,0,0,2622,0,0,0,0,0,11937,0,0,0,387011,1003727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7753,0,0,0,0,0,21051,0,0,197706,0,853,2503,61247,0,0,0,0,0,0,0,0,0,0,0,0,0,179357,39352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11228,0,142347,0,0,19561,0,0,0,0,0,0,0,0,0,0,0,65275,0,0,0,0
승주,0,0,0,0,0,0,5660,17986,0,5391,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,1479,0,0,0,8001,89298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73843,0,0,0,0,0,4455,0,0,19341,0,57,56059,429,0,0,0,0,0,0,0,0,0,0,0,0,0,3362,5629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,0,1322,0,0,3093,0,0,0,0,0,0,0,0,0,0,0,1768,0,0,0,0
신탄진,29,511,4502,11273,11338,0,0,0,30959,0,24737,13002,30,3589,841,14830,1425,18311,2729,83,793,0,7760,0,35410,32,0,0,3806,100530,3638,0,0,5144,118898,170544,634,2766,0,186,116027,3489,313,0,960,27486,11340,16006,0,4092,8431,39155,101392,0,59,278284,1887,137572,0,0,0,311,0,51194,0,0,0,2206,70131,4120,3823,1994,5919,16620,0,6,5205,2,64534,28380,0,0,146308,4523,7633,9727,8392,5990,74356,26896,40,15177,34386,24220,1747,492,24036,6459,114876,0,1123,0,45831,0,0,157376,65352,55696,2987,1564,0,0,2716,1947,18487,0,0,0,0,0,4964
안성,62,956,7651,811,21679,0,0,0,3102,0,73928,27490,42,668,1485,152628,3530,35059,3149,115,1395,0,7884,0,16086,61,0,0,8995,111312,5528,0,0,9110,2508,569911,368,16790,0,187,104889,3126,52,0,3347,27576,21889,41624,0,6135,9515,75073,19273,0,96,2656021,4645,52,0,0,0,263,0,534972,0,0,0,75107,5109,3947,6739,3128,4871,7235,0,6,7238,2,268863,15,0,0,42484,9104,27134,14512,8068,7081,39121,296,158,8619,51893,333,6871,309,42520,18254,94,0,1340,0,88,0,0,309649,51851,210594,3775,3366,0,0,8016,3276,2098,0,0,0,0,0,4144
양산,2934,6702,18320,445,130401,0,0,0,2415,0,0,4872,251,124,1,1578,18,3159,9966,1651,12674,0,232,0,1002,502,0,0,1373935,6625,356,0,0,28682,6524,17287,8,88,0,3,3243,100,9389,0,0,2738646,21953,1820,0,19,561,19797,620,0,2899,16591,16,1801,0,0,0,0,0,2875,0,0,0,2985,3403,6767,243,90502,562,1248,0,679,21569,308,4918,174,0,0,2635,6236,452,329815,348,11,2160,1735,955,830,394,718,0,7,195,6,587,0,4,0,817,0,0,4019,3040,1199,485,3315,0,0,9,117198,285,0,0,0,0,0,1642
양지,3,67,359,5816,745,0,0,0,8935,0,5555,1469,2,47,94,27163,157,1574,560,5,90,0,58845,0,1238,5,0,0,450,7938,10922,0,0,686,70875,873397,1815,20095,0,935,984,22914,0,0,274,1942,1929,3003,0,466,25968,3626,1348,0,1,963580,357,15238,0,0,0,851,0,134318,0,0,0,3761,7003,232,1851,191,45173,339,0,0,319,0,17194,4089,0,0,1638,327,122499,738,23350,12986,2377,11745,6,70877,2804,10190,436,1057,4926,938,9293,0,4261,0,4801,0,0,10638,2145,755,165,209,0,0,371,122,82,0,0,0,0,0,234
언양,3733,14898,25637,426,158940,0,0,0,1151,0,10,6186,307,129,24,949,33,3732,9241,1205,36772,0,159,0,686,460,0,0,412094,6133,78,0,0,45228,8024,12036,4,154,0,4,3183,193,2322,0,0,613206,24336,1544,0,43,87,31650,1046,0,3439,14899,33,1949,0,0,0,4,0,5055,0,0,0,2920,2681,79929,176,8149,304,1430,0,771,29055,314,5346,224,0,0,2263,9768,588,1909520,278,22,2322,629,835,794,1067,633,0,5,257,29,626,0,5,0,886,0,0,4118,1924,978,514,4499,0,0,39,32940,272,0,0,0,0,0,1444
여주,10,116,639,19318,1631,0,0,0,56153,0,9532,2002,3,55,124,9410,327,2744,212,2,211,0,260658,0,2546,11,0,0,1131,11607,17580,0,0,1261,367584,351111,4314,7979,0,1609,439,104964,6,0,344,3823,3644,4458,0,811,70691,8165,2862,0,5,209183,641,20071,0,0,0,2303,0,79021,0,0,0,6283,3897,1010,39990,273,1452,474,0,1,668,0,15993,4908,0,0,3468,547,48454,1348,99406,35075,4198,7127,4,83369,5492,18920,753,3541,5333,1812,5138,0,10415,0,7159,0,0,7588,4699,128,255,441,0,0,546,251,168,0,0,0,0,0,226
영동,19,583,4207,1478,9565,0,0,0,2650,0,2564,21102,25,7420,107,1561,292,32351,2321,54,599,0,492,0,6854,33,0,0,4390,115455,210,0,0,6298,18676,23333,27,222,0,13,4881,179,22,0,183,12831,16820,9487,0,365,499,38412,5111,0,70,43183,374,8122,0,0,0,11,0,7771,0,0,0,15274,6115,1613,306,1640,376,5187,0,8,4571,3,6969,1084,0,0,69041,5389,657,7835,476,351,12994,1144,40,1143,3487,1617,204,14,2297,1259,2871,0,46,0,1890,0,0,7910,15206,4527,12104,2597,0,0,407,1160,8231,0,0,0,0,0,24214
영산,0,0,0,0,0,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19849,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2743,0,0,0,0,0,0,0,0,0,0,0,0,0,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50624,0,0,0,0,0,0,45963,540041,0,0,0,0,0,23094,80362,473949,0
영주,14190,358,2548,1,3790,0,0,0,0,0,3,62,6196,1,2,0,0,33,53,11479,329,0,1,0,7,9106,0,0,2506,50,0,0,0,7074,14,21,0,0,0,0,5,0,22,0,0,5529,28386,15,0,4,0,50361,10,0,38646,39,4,4,0,0,0,0,0,6,0,0,0,12,8,706,0,772,1,8,0,649,704,11914,3,0,0,0,12,198,0,5527,0,0,23,1,7752,0,12,0,1,0,9,2,0,0,0,0,0,0,0,17,4,6,1,14318,0,0,0,355,17,0,0,0,0,0,14
영천,13535,23622,180441,1430,178849,0,0,0,3218,0,46,32831,645,429,88,3228,299,17203,46396,1258,11904,0,313,0,3544,2287,0,0,126537,34139,277,0,0,586002,26133,66851,13,256,0,7,11842,578,302,0,7,198114,344849,4168,0,386,81,443858,3665,0,3486,61440,368,4753,0,0,0,1,0,7878,0,0,0,5672,10041,24902,316,32843,926,5102,0,1067,3932,331,12292,828,0,0,9530,59649,870,190313,643,24,8721,2645,1301,2445,6305,3182,6,5,2354,712,2044,0,9,0,3004,0,0,15874,8314,4354,1608,62327,0,0,323,19104,1305,0,0,0,0,0,5633
예천,3071,133,834,0,1509,0,0,0,0,0,0,11,2882,0,0,1,0,3,7,4487,131,0,1,0,1,3505,0,0,995,9,0,0,0,2336,3,5,0,0,0,0,0,0,11,0,0,2107,9762,0,0,0,0,16562,2,0,13944,7,1,0,0,0,0,0,0,2,0,0,0,0,3,256,0,298,0,2,0,11610,236,243,0,0,0,0,2,47,0,1915,0,0,1,0,2453,0,1,0,0,0,1,0,1,0,0,0,1,0,0,2,0,1,0,6370,0,0,1,141,2,0,0,0,0,0,2
오산,60,1333,11254,1069,28980,0,0,0,5639,0,112491,48714,87,549,1904,79850,4426,43506,6097,110,1971,0,25494,0,19687,85,0,0,10990,97700,15775,0,0,11440,2054,467948,708,28751,0,349,97087,8772,211,0,3893,46521,23691,35781,0,8107,17889,105069,21655,0,67,2574730,5363,210,0,0,0,738,0,317146,0,0,0,71373,285449,7531,17863,4032,17672,7678,0,4,8626,0,6581,66,0,0,49059,6772,55076,28657,19876,11068,31867,3054,91,36703,70042,2349,9814,645,58951,25303,1161,0,2692,0,855,0,0,430656,57357,229446,4412,4027,0,0,8151,4722,2333,0,0,0,0,0,5147
