,가산,건천,경산,경안,경주,고령,곡성,곤양,곤지암,광양,광주,구미,군위,금강,금산사,기흥,김제,김천,남구미,남안동,남양산,남원,남원주,남지,논산,다부,달성,담양,대동,대전,덕평,동광양,동광주,동대구,동서울,동수원,둔내,마성,매송,면온,목천,문막,물금,발안,백양사,부산,북대구,북대전,비봉,삼례,새말,서대구,서대전,서순천,서안동,서울,서전주,서청주,서평택,석곡,성산,속사,송광사,수원,순창,순천,승주,신탄진,안성,양산,양지,언양,여주,영동,영산,영주,영천,예천,오산,오창,옥곡,옥과,옥천,왜관,용인,울산,원주,월정,유성,음성,의성,이천,익산,일죽,장성,장평,전주,정읍,증평,진교,진부,진월,진천,창녕,창평,천안,청원,청주,추풍령,칠곡,칠서,칠원,태인,통도사,판암,포승,하동,해인사,현풍,화원,황간
음성,11,168,1758,40423,3589,0,0,0,137478,0,13213,4915,10,130,245,8277,765,6525,800,7,377,0,9474,0,7794,19,0,0,2262,33214,11025,0,0,2318,693935,332245,335,4637,0,133,19,4803,20,0,506,8682,4955,11565,0,1289,6608,16198,7793,0,5,152307,896,200352,0,0,0,203,0,42665,0,0,0,30578,318,1166,12191,552,9216,1152,0,1,1386,0,2497,107823,0,0,11330,1523,28507,4090,8109,4002,8806,163,9,30283,13555,53724,2508,220,7430,3328,71324,0,843,0,42442,0,0,227,21436,15,646,858,0,0,1307,1207,925,0,0,0,0,0,966
의성,45296,447,6417,23,4703,0,0,0,29,0,1,182,9721,36,4,25,2,190,130,40429,456,0,2,0,62,37098,0,0,3228,374,3,0,0,25477,399,510,0,7,0,0,98,1,10,0,2,7374,129543,66,0,10,2,291919,49,0,26086,793,6,45,0,0,0,0,0,157,0,0,0,47,119,856,3,869,6,46,0,7314,808,2808,96,2,0,0,136,788,14,5478,1,1,181,16,1755,17,70,24,0,0,31,6,7,0,0,0,16,0,0,148,46,56,19,82949,0,0,15,569,19,0,0,0,0,0,60
이천,11,254,1535,48391,4625,0,0,0,135493,0,24667,7492,15,119,495,36513,1132,7244,765,11,396,0,177263,0,9386,14,0,0,2243,33499,43510,0,0,2914,870477,857152,4849,22732,0,2032,678,64460,24,0,899,9160,5453,12045,0,1953,71627,18308,7980,0,6,413955,1389,79136,0,0,0,2186,0,175892,0,0,0,17780,7245,818,75150,764,84303,1194,0,0,1508,0,31700,14397,0,0,7577,1853,97864,4116,61540,38735,9760,27354,22,6244,14241,59115,1965,3428,17910,5302,20586,0,10142,0,21064,0,0,13893,19082,233,655,909,0,0,1801,560,528,0,0,0,0,0,694
익산,32,357,2998,12193,18383,0,0,0,28019,0,165174,13320,20,183,10747,13979,13492,8511,1586,183,139,0,6168,0,107183,28,0,0,577,55314,2515,0,0,3637,185270,221950,188,3509,0,75,21159,2903,2,0,9691,3096,7729,56030,0,7297,7575,11718,219049,0,138,394395,13644,38961,0,0,0,207,0,59448,0,0,0,32838,46581,518,2819,933,5511,3038,0,16,4821,1,72420,5086,0,0,11120,2213,8679,11941,7719,5323,255788,13372,71,14120,2006,15820,21392,173,40575,65900,37493,0,861,0,15308,0,0,46706,41329,17548,903,1452,0,0,19312,383,812,0,0,0,0,0,1162
일죽,8,252,1776,78179,3596,0,0,0,237528,0,20738,5023,17,165,367,5331,765,7686,625,12,372,0,43055,0,7309,36,0,0,2176,33074,19043,0,0,2639,1027203,351363,2086,5236,0,852,23,22975,4,0,1017,8484,5144,14730,0,1823,36273,18322,8452,0,8,191180,1404,82757,0,0,0,1293,0,55754,0,0,0,25371,236,869,13208,650,22813,1359,0,0,1646,0,2026,24898,0,0,12154,1570,34225,3223,36364,19411,12163,47696,23,71691,15276,659,2926,1495,12139,6429,46166,0,5421,0,30228,0,0,270,22138,9,880,883,0,0,1598,647,981,0,0,0,0,0,857
장성,0,0,3,1838,5,0,0,0,3294,0,819751,250,0,15,13254,1287,22461,199,32,0,0,0,936,0,18809,0,0,0,10,2365,185,0,0,6,32211,29090,10,189,0,7,2031,241,0,0,38065,5,12,2757,0,15318,1132,25,13151,0,0,59182,9417,3132,0,0,0,28,0,7446,0,0,0,1943,4994,0,357,4,725,145,0,0,8,0,8468,619,0,0,1251,18,797,5,1015,644,19561,1155,0,1575,17617,1835,4552,28,40912,62683,4593,0,103,0,1338,0,0,4906,4223,1770,25,2,0,0,12852,0,52,0,0,0,0,0,176
장평,0,3,11,1111,26,0,0,0,2748,0,664,52,0,2,3,208,17,78,10,0,4,0,6398,0,123,0,0,0,32,554,498,0,0,16,20990,14379,8840,179,0,13449,13,3072,0,0,16,62,42,191,0,33,24005,171,165,0,0,9950,39,785,0,0,0,14142,0,2885,0,0,0,672,224,3,997,2,4076,13,0,0,5,0,428,187,0,0,126,13,1530,24,28005,95075,193,138,0,3877,165,1208,21,843,146,103,218,0,48070,0,217,0,0,373,118,6,12,5,0,0,16,7,13,0,0,0,0,0,7
전주,8,109,1172,14862,3477,0,0,0,27942,0,657675,7350,11,115,21526,12307,29443,4876,831,99,42,0,5371,0,166538,9,0,0,262,48462,2115,0,0,1328,211913,206291,187,3709,0,108,20451,1585,0,0,27933,1399,2674,49693,0,17442,6716,3448,174598,0,100,488704,11554,26543,0,0,0,221,0,66568,0,0,0,24725,40401,216,4640,222,5137,1950,0,12,1885,3,59366,3064,0,0,7643,1554,7937,2850,6486,4973,251906,8401,33,17792,50464,13467,44525,159,6401,299615,31127,0,730,0,10223,0,0,43011,36026,18206,539,534,0,0,55796,122,772,0,0,0,0,0,573
정읍,6,38,266,6094,829,0,0,0,11144,0,704971,2859,1,42,45057,4924,389843,1958,420,27,1,0,2053,0,54999,3,0,0,13,9738,818,0,0,341,111615,100974,157,647,0,21,6584,804,1,0,69863,88,1032,11753,0,61370,2220,1199,50003,0,27,217097,130445,8447,0,0,0,128,0,25624,0,0,0,7555,16152,12,989,42,1838,881,0,6,427,0,25559,1041,0,0,4106,301,2431,389,2382,1491,70420,3590,12,5001,60567,5905,65465,132,289634,502,11463,0,291,0,3910,0,0,16037,11846,5270,233,184,0,0,37479,9,239,0,0,0,0,0,427
증평,14,249,2100,22975,4328,0,0,0,72503,0,41368,6014,8,612,971,2887,2649,6975,737,14,366,0,5028,0,26420,11,0,0,2481,181127,4992,0,0,2229,369445,185807,183,2900,0,103,15,2593,13,0,1539,8277,4918,65714,0,5055,6534,17617,34372,0,9,78706,3208,313531,0,0,0,184,0,29835,0,0,0,133816,100,821,10055,739,5205,3754,0,0,1467,0,1032,10175,0,0,40085,1421,17496,5368,6104,4053,49515,75699,9,20570,41063,55421,7056,252,30592,11755,137,0,1000,0,73600,0,0,69,84092,10,688,742,0,0,4726,587,4501,0,0,0,0,0,1980
진교,0,0,0,0,0,0,386,856611,0,15993,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,170,0,0,0,2073,7317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,0,0,0,0,0,254,0,0,1200,0,5,13101,468,0,0,0,0,0,0,0,0,0,0,0,0,0,11504,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,0,6640,0,0,176,0,0,0,0,0,0,0,0,0,0,0,64767,0,0,0,0
진부,0,1,20,3604,9,0,0,0,8638,0,1700,147,0,6,25,816,36,233,7,0,4,0,21330,0,508,0,0,0,15,2528,1395,0,0,37,58441,51875,10778,761,0,10978,60,12215,1,0,37,71,100,1286,0,132,37930,374,565,0,0,40541,111,3472,0,0,0,7815,0,11627,0,0,0,1389,1013,4,4731,5,14376,50,0,0,7,0,2297,1151,0,0,452,24,7354,13,41040,77933,883,618,0,15032,848,4919,99,52784,775,242,936,0,5546,0,908,0,0,1907,520,23,18,16,0,0,99,2,91,0,0,0,0,0,38
진월,0,0,0,0,0,0,6663,122575,0,328413,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,309,0,0,0,2937,51330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33403,0,0,0,0,0,1671,0,0,12713,0,4,134956,1768,0,0,0,0,0,0,0,0,0,0,0,0,0,14527,4269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5919,0,243,0,0,839,0,0,0,0,0,0,0,0,0,0,0,38715,0,0,0,0
진천,21,209,2006,16114,4541,0,0,0,51617,0,14980,6000,7,212,232,2054,842,7217,857,17,353,0,7003,0,9189,8,0,0,1887,58066,4287,0,0,2399,202715,98666,247,1529,0,109,19,3067,7,0,605,6663,5597,18119,0,1642,7208,19168,11961,0,6,46493,1173,322163,0,0,0,167,0,13093,0,0,0,49252,80,1300,4557,1450,7004,2026,0,1,1992,0,793,172178,0,0,17631,1817,9666,3318,6356,3885,14244,40851,10,20886,15887,31927,2218,252,8917,4695,63608,0,898,0,470,0,0,41,44741,5,707,866,0,0,1256,1000,1965,0,0,0,0,0,1028
창녕,0,0,0,0,0,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69925,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1831,0,0,0,0,0,0,0,0,0,0,0,0,0,50302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1036,0,0,0,0,0,0,47923,551969,0,0,0,0,0,9284,39337,399635,0
창평,0,0,0,0,0,0,23964,9117,0,2546,0,0,0,0,0,0,0,0,0,0,0,5956,0,0,0,0,0,3705,0,0,0,3246,145802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17655,0,0,0,0,0,11347,0,0,7823,0,1736,21734,3396,0,0,0,0,0,0,0,0,0,0,0,0,0,1094,15949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,1737,0,0,159,0,0,0,0,0,0,0,0,0,0,0,942,0,0,0,0
천안,75,1302,9952,1597,29634,0,0,0,5066,0,76354,34918,59,900,1377,176515,3574,38080,4777,231,1848,0,13051,0,19900,66,0,0,10938,321673,7428,0,0,13451,4140,748708,601,31063,0,881,235274,4116,179,0,2826,39222,28119,100808,0,6655,18933,91517,35046,0,144,3430070,4255,80,0,0,0,414,0,527493,0,0,0,167088,312262,4240,10508,3886,9147,9143,0,23,13281,1,433065,16,0,0,58464,7196,42415,21911,12304,12068,75561,288,158,16289,50097,487,5914,508,44315,19080,45,0,2205,0,53,0,0,6490,89529,393105,4292,4654,0,0,5776,3689,4875,0,0,0,0,0,5398
청원,64,870,5520,8770,17972,0,0,0,21507,0,45011,22124,31,2412,1122,10872,2931,30438,2211,58,1096,0,5215,0,33158,70,0,0,7133,387575,2427,0,0,8153,92043,144801,257,1620,0,167,70966,2226,144,0,1898,30653,17762,81801,0,6087,5371,63717,74138,0,45,178309,3893,63894,0,0,0,153,0,37504,0,0,0,69294,50855,3384,2444,2000,4737,16467,0,4,8328,2,55093,27829,0,0,190211,4470,9429,13172,4639,3664,116100,24816,34,16822,45243,21559,4643,237,35076,11966,98533,0,563,0,48072,0,0,89340,763,36941,3910,3215,0,0,5309,2870,16180,0,0,0,0,0,11123
청주,26,537,4228,88,9458,0,0,0,266,0,28115,14635,23,711,435,48358,1132,15672,1780,78,646,0,500,0,9462,32,0,0,3987,115665,260,0,0,5500,528,447313,17,4726,0,13,187259,130,26,0,853,21036,13428,38251,0,2771,704,38561,13900,0,47,796961,1678,106,0,0,0,22,0,180798,0,0,0,55272,205414,1933,797,1231,394,6791,0,5,4182,0,231756,8,0,0,36617,3226,3982,7924,493,645,27855,37,62,568,19308,38,1687,19,17797,5278,29,0,63,0,9,0,0,390411,37166,590,1730,1942,0,0,2194,1041,3126,0,0,0,0,0,3030
추풍령,26,241,2112,1042,3392,0,0,0,1555,0,348,26239,14,1422,27,830,83,21790,1997,34,215,0,102,0,1527,18,0,0,1602,19338,97,0,0,4763,7820,11775,1,79,0,1,2505,86,10,0,22,5995,17003,2019,0,101,110,23962,1693,0,35,17787,66,2670,0,0,0,4,0,2833,0,0,0,3358,3114,519,143,561,245,11063,0,3,1462,2,4601,209,0,0,8818,4731,505,2167,207,80,4090,542,29,665,1197,655,41,6,732,309,551,0,17,0,803,0,0,4095,4034,1302,41333,2842,0,0,108,458,1336,0,0,0,0,0,7435
칠곡,122984,9541,184744,1129,87343,0,0,0,2339,0,10,121154,56597,464,44,910,91,31930,81769,132963,1743,0,278,0,1976,47447,0,0,10002,16641,257,0,0,281177,15050,17431,11,275,0,9,3779,108,46,0,3,33608,301689,2387,0,153,189,2132905,1896,0,90129,27824,122,2976,0,0,0,5,0,5739,0,0,0,2758,4138,4077,257,6618,472,3492,0,15300,73041,7046,4459,386,0,0,5785,124174,770,28832,501,121,5544,971,102785,1345,1521,1218,4,13,526,164,933,0,22,0,1053,0,0,5488,3924,2010,3782,3077,0,0,142,3369,741,0,0,0,0,0,6241
칠서,0,0,0,0,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18692,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,53063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49133,0,0,0,0,0,0,139,471462,0,0,0,0,0,3742,27575,192678,0
칠원,0,0,0,0,0,9451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514764,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13540,0,0,0,0,0,0,0,0,0,0,0,0,0,540983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561183,0,0,0,0,0,0,524479,315,0,0,0,0,0,88228,425310,3261888,0
태인,1,27,159,1983,462,0,0,0,3945,0,150547,1307,2,34,5524,1641,30239,752,151,11,5,0,457,0,21075,2,0,0,17,3713,565,0,0,249,31768,32445,11,256,0,13,2318,172,0,0,13004,58,533,4479,0,20555,528,481,22528,0,14,67298,20207,3251,0,0,0,15,0,8780,0,0,0,2778,6486,8,330,37,521,254,0,2,194,0,7785,352,0,0,1520,183,892,250,585,403,25669,1384,12,1643,17998,1799,12023,7,51435,36247,4081,0,69,0,1130,0,0,4791,4937,1851,100,94,0,0,155,8,117,0,0,0,0,0,129
통도사,2620,7542,16801,863,112436,0,0,0,3730,0,1,4483,218,101,9,2298,9,3133,8222,769,55734,0,173,0,510,322,0,0,572339,6425,694,0,0,24741,16596,30275,0,111,0,5,3712,167,2999,0,0,1006885,15329,762,0,13,46,15868,519,0,1842,37533,10,2059,0,0,0,1,0,7760,0,0,0,2093,5652,99956,308,24839,424,1388,0,497,16987,169,11443,227,0,0,2367,6139,1099,372784,248,13,2227,2154,524,1281,446,1521,0,10,67,7,906,0,4,0,1175,0,0,6322,3330,1276,296,2770,0,0,6,7392,362,0,0,0,0,0,1194
판암,8,103,975,446,1681,0,0,0,697,0,1559,4027,10,3017,47,367,106,6366,511,23,103,0,232,0,2162,14,0,0,560,15056,130,0,0,1458,4061,4472,21,62,0,9,3483,165,19,0,88,2180,3014,11522,0,214,32,7750,3981,0,26,8174,191,5870,0,0,0,10,0,1563,0,0,0,19033,1810,282,61,231,190,8635,0,7,1158,1,1901,1467,0,0,16682,923,155,1210,274,353,11751,972,23,397,1421,861,107,8,1312,581,4342,0,90,0,2090,0,0,4438,13282,2729,1505,501,0,0,220,146,2846,0,0,0,0,0,4449
포승,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4167407,0,0,0,0,76126,0,0,0,0,141024,0,0,0,0,0,0,0,0,0,7972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2992,0,0,0,0,0
하동,0,0,0,0,0,0,1282,829794,0,114169,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,556,0,0,0,6525,39989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6887,0,0,0,0,0,860,0,0,4345,0,28,55879,1877,0,0,0,0,0,0,0,0,0,0,0,0,0,52774,1543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66736,0,35357,0,0,840,0,0,0,0,0,0,0,0,0,0,0,612,0,0,0,0
해인사,0,0,0,0,0,180352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2055,0,0,2417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198462,0,0,0,0,0,0,0,0,0,0,0,0,0,17284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8139,0,0,0,0,0,0,2918,82299,0,0,0,0,0,3065,2983,1453844,0
현풍,0,0,0,0,0,1744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21263,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1923,0,0,0,0,0,0,0,0,0,0,0,0,0,80846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32844,0,0,0,0,0,0,30721,446917,0,0,0,0,0,7338,414,1028424,0
화원,0,0,0,0,0,915327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129256,0,0,1764178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010652,0,0,0,0,0,0,0,0,0,0,0,0,0,465082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435237,0,0,0,0,0,0,174368,3364812,0,0,0,0,0,1519676,1118058,4164,0
황간,42,698,6117,940,10784,0,0,0,1940,0,1192,46466,33,2970,35,916,89,52280,3596,139,819,0,219,0,1710,39,0,0,4244,64689,369,0,0,9363,12488,15412,5,103,0,2,3263,84,21,0,30,13824,26841,4195,0,228,189,51796,2546,0,98,24847,131,5709,0,0,0,5,0,4263,0,0,0,6010,3839,1739,251,1516,205,24465,0,8,5493,2,5577,697,0,0,28394,8559,599,8381,224,162,6178,999,65,679,1338,1126,117,12,894,486,1739,0,27,0,1216,0,0,5478,11233,2767,8767,4656,0,0,167,973,4744,0,0,0,0,0,1959
