"","가락","가산","가조","강릉","거창","건천","경산","경기광주","경주","계룡","고령","곡성","곤양","곤지암","광양","광주","구미","군북","군위","군자","군포","금강","금산","금산사","기흥","김제","김천","남구미","남대전","남안동","남양산","남원","남원주","남장수","남지","논산","다부","단성","달성","담양","당진","대전","덕평","동광양","동광주","동군포","동김해","동대구","동서울","동수원","동창원","둔내","마산","마성","매송","면온","목천","목포","무안","문막","문산","물금","발안","백양사","부곡","부산","북대구","북대전","북부산","북수원","북창원","비봉","사천","산인","산청","삼례","새말","생초","서김해","서대구","서대전","서부산","서서울","서순천","서안동","서안산","서울","서울산","서전주","서진주","서천","서청주","서평택","석곡","성산","속사","주암","송악","수원신갈","순창","순천","승주","신림","신탄진","안산","안성","안영","양산","양지","여주","영동","영산","영천","예천","오산","오창","옥곡","옥과","옥천","왜관","용인","울산","원주","유성","음성","의성","이천","익산","일죽","장성","장수","장유","장지","장평","전주","정읍","증평","지리산","지수","진교","진례","진부","진성","진월","진주","진천","창녕","창평","천안","남청주","청주","추부","추풍령","축동","춘천","칠곡","칠서","칠원","태인","통도사","판암","하동","함안","함양","해인사","현남","현풍","화원옥포","황간","횡계"
"목천",590,44,191,821,735,1908,9288,90,41565,1820,134,0,214,288,544,15837,23535,621,45,72532,8669,595,7965,328,35897,712,21051,8282,4457,102,1985,490,514,25,67,3372,43,2200,2,5,24,175813,433,83,10,4511,1654,10678,531,11884,1525,43,0,2727,2909,48,199,6,0,268,572,1630,301,614,4818,14495,19973,49847,5771,38298,619,616,6111,12282,686,1688,78,792,1381,43882,14679,14317,46380,38,60,18937,335236,4497,1667,3825,0,5,200,0,73,18,6,67,59500,13,717,2,41,90662,8825,123844,6965,4279,1034,449,6700,73,14504,8,128464,10,385,0,22675,7861,4647,23433,280,32117,69,117,624,8493,49,994,2397,838,138,51,10533,3810,10,639,116,822,701,64,1052,284,3666,7,19,2,274300,39186,157473,8598,4035,79,356,2990,349,10,1278,5191,18541,452,1290,994,158,479,0,44,2839,58
"목포",0,2,0,1789,0,1,0,52,1,0,0,0,0,161,0,2,1,0,0,76119,7585,0,0,0,360,0,1,0,0,4,0,0,440,0,0,0,1,0,0,0,8692,4,351,0,1,0,0,0,431,7715,0,30,0,680,24278,65,4,99,1993399,201,0,0,20732,0,2369,5,1,2,0,5229,0,26630,0,0,0,1,222,0,0,5,0,0,292643,0,1,8848,16564,0,1,1,19624,1,25924,0,0,40,0,6421,3204,0,0,0,77,0,11715,36,0,0,518,426,0,0,1,3,125,0,0,0,1,0,2221,0,246,3,12,1,752,0,31,0,0,0,0,131,0,3,2,0,0,0,0,117,0,0,0,1,0,0,15,2,10,0,0,0,421,0,0,0,0,0,2,0,0,0,0,580,0,1,0,257
"무안",0,0,0,159,0,0,0,12,0,0,0,0,0,40,0,2,0,0,0,21509,3972,0,0,0,66,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,2246,1,79,0,0,2,0,0,87,1977,0,5,0,126,6855,4,1,1962857,216,40,0,0,6043,0,878,0,0,0,0,1267,0,7003,0,0,0,0,17,0,0,2,1,0,85845,0,4,2664,4935,0,0,0,4698,0,7385,0,0,7,0,1656,710,0,0,0,7,1,3392,9,0,0,111,71,0,0,0,0,27,0,1,0,0,0,513,0,47,0,4,0,181,0,10,1,0,0,0,10,0,0,1,0,0,0,0,10,0,0,0,1,0,0,3,1,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,78,0,0,0,14
"문막",1,3368,1,89870,10,226,977,8726,4371,304,0,0,7,32214,80,3698,125,2,2339,59478,8544,14,160,73,7891,133,315,16,132,2869,439,45,58494,2,0,1351,1102,70,0,1,836,4716,8494,14,2,5091,3,2475,230815,24208,1,22035,0,3833,2375,10946,176,181,29,1792,35,269,1266,155,3774,3755,5399,2664,8,33742,1,1813,186,23,30,358,52596,17,2,14311,1301,15,38447,5,12096,11581,94178,603,239,168,94,9136,1285,0,0,5934,0,824,22779,9,110,2,53056,4293,9860,2108,216,642,28229,42112,192,0,843,2642,8802,5318,21,0,882,77,20622,2582,99832,2541,4904,7797,41473,2996,20410,258,258,2,0,12783,2486,1238,2982,23,0,49,0,17139,8,12,110,3459,0,0,3268,2241,55,246,66,3,40734,2581,1,0,254,435,455,17,1,62,0,44991,0,0,66,11322
"문산",6081,0,335,60,4831,0,0,107,0,862,83,243,16604,329,6977,1,4,60476,0,1331,154,4,1007,0,350,1,5,1,1175,0,0,2018,40,112,7826,344,0,12281,3,124,0,1944,20,303,6137,68,20412,0,3557,170,28302,0,0,39,50,3,589,0,0,36,120,0,3,0,49,0,0,508,118190,563,17769,6,72861,324162,4317,6,5,3778,20192,3,1297,98596,1141,659,1,191,6019,0,1,39843,0,658,2,102,85,3,653,1,1094,113,5346,299,1,591,180,878,850,0,69,50,7,8746,0,0,1501,326,2526,347,153,0,83,0,48,1931,146,0,124,80,305,1,2721,12797,18037,1,28,1,544,458,51009,19140,11862,9,91217,1869,32289,158,8865,225,940,1287,400,488,1,5773,22,0,10978,2,0,0,693,12588,84343,4039,198,17,4402,44500,6,6
"물금",0,2146,98,1071,203,5440,14927,186,159746,379,3,0,0,1593,0,62,2545,0,247,4692,670,13,155,0,761,0,2099,15940,180,984,338955,217,940,64,0,161,185,90,0,73,0,3121,184,0,0,2355,0,20366,7262,886,0,97,0,75,384,58,1432,426,201,146,0,120604,334,0,963,648601,13958,512,0,1643,0,313,0,0,57,3,179,48,0,7133,635,0,3336,0,874,1513,9241,90191,112,249,129,1629,424,0,0,36,0,242,2235,58,0,0,204,1504,1266,1487,127,205066,198,138,1179,0,19099,259,2026,309,0,0,783,4656,362,303161,82,920,678,514,306,78,443,4,96,0,49,89,119,1,414,121,0,0,0,109,0,0,0,393,0,0,2234,3233,1552,150,215,0,434,1502,0,0,1,122678,468,0,0,386,76,460,0,0,441,266
"발안",2,5,0,2895,3,9,28,70,78,11,2,0,0,835,1,45,162,2,12,812154,123952,4,8,0,1042,0,97,30,12,52,8,1,1567,0,0,21,2,4,0,0,84058,237,2830,0,0,0,7,45,322,43338,5,235,0,3305,458610,132,245,21059,5142,1406,6,11,1783,2,21467,65,92,125,18,19061,3,114437,40,52,10,2,593,6,4,234,39,61,1573600,1,340,229178,16580,17,0,17,12091,50,140448,0,0,109,0,102605,10403,0,9,0,459,211,94588,856,15,26,4779,2699,26,0,38,52,232,48,6,0,64,30,12765,95,1336,91,803,26,5539,18,1029,1,12,6,0,193,16,14,320,6,0,4,7,280,1,5,16,218,0,0,581,149,534,26,18,1,610,23,5,0,1,8,29,4,9,7,0,1251,0,1,28,155
"백양사",0,0,0,330,0,1,5,602,34,1237,0,0,0,1585,0,453917,241,0,0,2264,237,5,160,11188,1020,15676,185,17,939,0,0,0,284,0,0,16992,0,0,0,0,0,2191,105,0,0,148,0,20,16439,439,0,21,0,65,50,9,669,0,0,217,0,0,1,126,119,2,35,2442,0,1318,0,6,0,1,1,7017,46,0,1,37,4692,1,1219,0,1,412,20060,2,10915,1,0,1639,0,0,0,5,0,1,3316,0,0,0,24,1287,423,1663,1057,0,135,332,214,0,9,0,2776,248,0,0,740,19,580,12,168,8839,957,0,651,7950,1338,32930,2,0,0,23,29859,64190,1680,1,0,0,0,56,0,0,1,646,0,0,1680,2427,705,127,25,0,174,5,0,0,13669,0,838,0,0,1,0,185,0,0,31,32
"부곡",92,33,17,6058,80,134,402,104,1278,261,22,0,18,1378,85,2674,1897,79,72,398864,17210,33,463,43,26599,64,1580,441,138,221,410,118,3807,5,3,715,21,277,0,0,11250,4856,11256,198,2,55151,172,792,682,198586,147,864,0,13856,8588,569,4780,2413,733,3711,64,1659,23355,103,55,4371,1387,3351,2549,16940,67,18703,538,2029,126,219,1817,118,346,4547,1307,12703,266399,23,1141,124028,19642,347,112,395,1404,1650,25967,0,4,352,3,13110,60857,3,160,0,1747,5885,44720,30349,385,523,31644,8064,449,8,590,296,33527,1094,89,0,1630,404,42690,1397,3362,2671,6251,119,21928,1194,6709,150,368,92,19,540,1441,325,3665,86,12,83,108,972,100,108,338,2930,1,1,28628,6808,10656,786,178,8,866,218,49,2,129,405,933,82,247,163,13,4288,1,3,327,660
"부산",1,20439,117,3597,243,55984,154549,2826,1384310,927,4,0,0,8868,0,115,41499,0,2915,39252,3576,158,539,22,8686,37,26005,74118,1082,16099,1512092,263,12773,76,0,3017,2568,107,0,87,7,47328,1225,0,0,2362,0,313547,83451,4968,1,624,0,1683,1335,424,13933,507,241,3190,1,665707,442,5,1975,135112,157245,7970,7,11044,0,885,0,1,69,148,694,60,1,88092,5718,8,18517,0,14549,6911,205258,800675,242,299,156,13572,517,0,0,179,0,294,32004,69,1,0,1609,9426,6311,17667,2293,2753731,1615,2363,8583,0,189716,4070,22100,2074,0,0,8452,43205,3577,966914,1231,16089,4944,7787,5199,1857,4908,8,152,0,58,349,925,65,3848,145,0,0,1,638,0,0,2,4241,0,0,24835,18332,12577,697,3179,0,8647,24918,0,0,46,1057665,6143,0,3,460,91,3113,0,0,7585,1059
