"","가락","가산","가조","강릉","거창","건천","경산","경기광주","경주","계룡","고령","곡성","곤양","곤지암","광양","광주","구미","군북","군위","군자","군포","금강","금산","금산사","기흥","김제","김천","남구미","남대전","남안동","남양산","남원","남원주","남장수","남지","논산","다부","단성","달성","담양","당진","대전","덕평","동광양","동광주","동군포","동김해","동대구","동서울","동수원","동창원","둔내","마산","마성","매송","면온","목천","목포","무안","문막","문산","물금","발안","백양사","부곡","부산","북대구","북대전","북부산","북수원","북창원","비봉","사천","산인","산청","삼례","새말","생초","서김해","서대구","서대전","서부산","서서울","서순천","서안동","서안산","서울","서울산","서전주","서진주","서천","서청주","서평택","석곡","성산","속사","주암","송악","수원신갈","순창","순천","승주","신림","신탄진","안산","안성","안영","양산","양지","여주","영동","영산","영천","예천","오산","오창","옥곡","옥과","옥천","왜관","용인","울산","원주","유성","음성","의성","이천","익산","일죽","장성","장수","장유","장지","장평","전주","정읍","증평","지리산","지수","진교","진례","진부","진성","진월","진주","진천","창녕","창평","천안","남청주","청주","추부","추풍령","축동","춘천","칠곡","칠서","칠원","태인","통도사","판암","하동","함안","함양","해인사","현남","현풍","화원옥포","황간","횡계"
"북대구",0,287774,3,7654,9,46391,1060676,2875,440772,5755,1,0,2,8344,0,150,746289,0,92575,28507,3071,339,1429,264,7917,283,181730,607465,2525,272151,17976,12,15062,3,0,9512,62184,5,1,2,10,85270,1326,0,3,2765,0,452776,83766,4722,0,1108,0,1472,909,1087,15551,15,7,5075,0,13723,93,19,891,143219,37130,23264,1,12197,0,325,3,1,4,769,1281,2,0,178679,15749,1,16484,0,96561,6417,164698,33283,902,9,4,15826,52,0,0,290,0,24,29704,2,1,0,2496,12243,4665,19407,6128,26773,2075,3087,15378,1,512699,20963,21380,2619,0,0,15242,982638,3583,159548,1578,34483,4281,184024,4436,8469,6002,19,61,0,1,421,4551,936,3602,4,0,1,0,1233,0,0,1,5938,0,0,29174,19843,12047,2034,13619,0,15744,102951,0,1,752,17522,14184,1,1,16,3,5848,2,8,23167,2003
"북대전",264,33,106,7863,548,603,3803,8036,12833,44327,79,0,163,15545,594,46244,20391,284,34,53472,7734,3503,27882,1203,25947,1976,18681,3282,19732,194,655,840,8131,32,33,58927,30,1445,2,14,7,143522,2450,3645,29,3488,642,9883,183260,12618,556,1089,0,4377,1973,1210,52342,0,0,2824,559,436,137,2289,2599,7898,23675,468,4237,32478,602,596,6883,8643,624,8568,1176,492,755,25603,152143,5651,38480,63,121,8726,381156,1217,6617,4556,0,152493,82,0,58,264,4,35,62962,43,1321,27,498,29931,7472,45111,57082,1708,3927,4549,15935,53,7333,3,48390,41552,541,1,128093,5608,5288,9753,3462,44085,15780,65,8847,57860,23304,2370,3083,415,60,482,52118,13690,76437,923,90,736,210,1065,603,383,3466,26845,22,1,119399,179981,42545,28425,3648,68,6447,2502,155,6,5237,1253,85579,541,707,1084,198,5981,3,105,6092,1596
"북부산",7654,0,4456,9,21603,3,2,651,9,2297,2356,9418,32901,3043,186266,6,2,197704,0,11033,794,7,7001,17,2754,22,3,0,4721,0,7,49884,13,2092,53405,3938,0,33998,25,8400,7,13952,676,12449,210555,2004,2614770,3,19250,946,1019943,2,2024344,451,256,4,5787,1,1,18,134915,3,49,1,656,14,1,3351,2718,3240,111042,143,164588,18,17520,90,2,23291,5502485,10,8015,10508,6628,14262,0,3593,40613,0,56,58388,0,4972,24,3300,3850,0,19823,3,6373,2564,174494,5539,1,5393,870,5682,3414,3,580,211,20,48960,1,0,7294,807,44333,9307,426,1,1064,7,14,13704,1630,0,904,1422,1816,1,48885,2199301,36950,2,343,12,1215,7144,22166,112949,1154471,5,59899,37465,311251,1528,90235,3120,7949,9699,3411,3009,1,6181,17,0,140620,0,14,5,3957,107171,169696,23770,6445,7,74107,232158,2,0
"북수원",608,357,262,71270,1021,1096,8187,756,13900,3236,166,4,222,6928,719,32817,24990,373,890,576548,20006,384,5717,551,295954,599,25583,4665,1670,2856,1759,1447,51074,60,51,7757,240,2018,2,7,11148,62062,112640,116,13,38327,663,9833,3272,1583421,729,10713,0,169035,12207,8351,52846,7488,1662,41315,691,1852,23905,1263,29364,16559,18030,42524,3538,3205,403,24898,6737,10283,1117,2672,20521,852,806,37237,11377,8976,400088,115,14470,104053,209301,2296,1532,3576,2788,18370,27074,2,39,3857,10,15327,567806,56,1358,20,18289,43735,58579,317458,2858,3082,385490,99973,5945,52,6918,3383,281949,15872,514,0,14918,5719,531561,13299,40436,28788,74135,1436,177672,12977,84300,1665,4776,537,192,7093,22252,3500,37110,1287,94,1272,382,11706,760,466,3639,26178,22,3,315133,34434,123602,4925,2409,85,8112,2968,510,9,1749,1960,6213,1258,1112,1686,200,50946,0,33,3012,8816
"북창원",8352,0,1043,3,4414,0,0,85,0,209,390,176,2929,212,3754,0,0,39983,0,1230,115,2,919,0,392,1,0,0,667,0,0,1799,3,107,54361,332,0,3769,4,159,1,1771,33,329,6891,62,28591,0,2598,170,40690,0,0,89,34,0,848,0,0,2,22830,0,3,0,83,0,0,783,89606,464,1299,21,18466,4,1873,3,0,2342,25369,6,886,76541,620,555,0,370,5010,0,1,8976,0,616,9,87,857,0,608,0,1121,138,5081,317,0,492,184,1084,507,0,60,31,2,38879,0,0,1132,89,1299,312,125,0,83,0,4,2344,270,0,115,110,258,0,2435,26762,19787,0,16,0,313,564,3382,7579,23198,0,10309,1135,36172,279,42117,110,1590,775,456,322,1,1126,2,0,123804,0,2,0,485,6706,76528,2302,1785,4,20484,136231,0,0
"비봉",12,12,2,3120,17,21,138,141,445,41,4,0,4,1031,9,193,415,14,28,507758,79806,1,65,2,3044,2,359,60,49,111,55,12,2374,0,1,91,9,47,0,0,85897,1322,4907,0,0,0,37,251,675,101137,24,451,0,5718,58799,130,696,26257,6273,2234,11,29,82105,2,25064,474,433,671,125,27303,17,1364,155,268,20,10,673,12,53,877,242,287,1343107,5,550,105669,26348,61,7,130,13475,318,156422,0,1,149,0,106765,35699,0,17,0,580,857,47409,1521,83,68,12388,4602,108,1,179,89,987,361,10,0,310,126,24117,421,1486,674,2678,33,9328,80,3126,7,35,19,2,258,99,16,1111,12,0,10,13,452,22,5,105,1024,0,0,2078,479,2101,115,47,2,765,101,5,0,8,39,166,9,25,21,2,1979,0,2,44,251
"사천",9097,0,3104,431,34803,0,1,1498,5,2421,1061,2638,254385,3700,115712,7,25,37783,1,22899,1562,31,10783,4,3657,6,44,1,20692,2,0,20902,293,1222,3603,2687,0,83636,17,1629,5,31224,267,6346,80690,656,25326,0,37150,1988,27544,31,0,760,545,17,6090,1,0,202,63361,0,32,1,500,0,0,6925,167165,5984,15286,103,358,284469,31674,61,59,29399,26182,15,13625,164779,7921,10934,0,2560,81105,0,38,630449,1,6674,20,1472,438,8,9382,5,10685,828,99162,3956,9,6715,2199,8540,16240,1,490,826,106,7834,1,0,9554,1292,44905,4237,1846,3,907,2,238,25360,1780,0,1403,841,3672,0,31821,12534,9969,33,194,15,4242,4885,15311,266447,9919,41,70612,24299,645276,2048,6731,1961,11475,11042,4382,6337,11,17716,182,2,7903,11,19,0,10691,177981,52967,27391,2898,312,4948,72907,28,27
"산인",0,0,512,56,20178,0,0,1543,5,5990,34,3248,47803,4137,77969,15,0,730469,0,29625,1755,33,9634,8,4710,20,5,4,9881,1,2,34096,56,1242,2,3915,0,44914,1,2606,16,37877,797,4046,133723,1859,0,1,38970,2082,8,6,0,717,754,4,12527,1,0,38,357854,0,50,0,1053,4,2,7649,11,7705,7,317,290881,26,24360,56,61,29990,2,40,14140,7,13928,10013,0,6715,99699,1,40,128528,0,8129,70,1954,31,2,10650,10,14104,1680,107543,4190,4,8110,2514,18632,6788,1,770,343,34,13,0,1,18533,1293,22134,5623,1035,1,1733,2,108,26702,2162,0,1583,1334,3280,0,37460,1,294091,1,338,12,2712,6187,52048,135012,1,2,135531,17610,692446,3391,3,2265,18020,12864,8790,4111,2,10517,30,0,1,31,16,1,7308,101104,1167290,31860,268,49,2,217,3,6
"산청",564,0,2292,67,15214,0,2,131,1,190,1037,12,2060,353,1525,2,10,1581,0,1358,146,7,1451,2,372,6,0,6,1574,1,0,8375,69,647,172,271,0,36595,21,484,0,2083,41,203,2822,124,2191,0,4329,215,1696,5,0,34,33,0,572,0,0,21,3836,0,5,0,70,0,1,531,14433,1280,1080,9,27665,18859,1177,4,24,18151,2168,2,980,11204,1039,154,1,235,8757,0,2,58279,0,429,2,11,954,2,119,0,1122,628,1519,73,3,881,223,957,1189,0,57,117,7,443,0,0,1026,89,791,20,156,0,106,0,29,2087,139,0,127,74,321,0,6592,972,408,3,11,5,567,2932,684,3270,560,8,4429,421,24763,856,262,25,1078,793,356,637,2,1038,30,0,501,2,4,1,756,2074,3156,27922,1551,44,49,12836,4,5
"삼례",2,4,1,1012,6,81,1492,1030,1394,5255,2,0,0,2613,0,98047,1792,7,10,3843,429,48,438,17200,1945,23416,2092,665,2898,27,12,1,540,0,2,46507,5,7,0,0,0,11261,391,0,1,253,15,797,24586,940,4,69,0,509,93,34,1714,0,0,311,8,4,4,5478,201,156,970,8216,107,2679,2,14,60,63,5,29,162,8,20,1658,23617,75,2282,0,29,750,40061,137,35970,40,0,4986,2,0,5,43,0,1,6267,1,0,0,56,4840,717,3503,5630,32,419,581,968,11,1040,2,6032,963,0,0,2624,1018,738,1134,556,43144,1389,15,1415,8724,2396,20751,17,6,7,72,11970,71286,4751,0,2,1,7,112,8,0,21,2168,0,1,4218,7108,2540,399,109,1,474,148,1,0,30210,33,3529,1,12,14,1,613,0,16,252,78
"새말",0,591,5,256186,6,41,159,3895,716,95,0,0,3,12897,20,1950,13,1,300,34529,6388,24,101,30,1840,51,193,7,57,394,56,15,43079,0,0,710,275,20,0,0,649,1868,2650,1,0,2110,0,748,109549,12567,0,67203,0,928,1134,28904,71,82,16,60960,6,87,638,48,2057,590,1228,1144,1,17831,0,597,27,5,12,144,620,7,2,4085,417,0,16502,2,2118,4794,34698,130,154,46,23,4204,188,0,0,15383,0,896,9551,2,18,0,4712,1648,4877,700,124,438,10833,21737,49,0,112,569,2666,1246,6,0,191,21,7556,473,70788,1157,1372,277,18286,924,8641,121,147,0,0,54708,1202,1101,815,9,0,7,0,42373,3,3,59,1318,0,0,2521,737,44,167,15,0,5459,1842,0,0,94,56,202,9,1,14,0,61968,0,0,22,26616
"생초",1160,0,1535,73,7193,0,0,192,1,141,882,3,2238,461,1877,3,4,2503,0,1620,244,7,1902,0,398,0,6,0,1444,0,0,5085,50,398,215,253,0,29591,8,232,1,2261,62,149,1290,375,3949,1,4803,216,2651,4,0,40,73,3,714,0,0,22,4780,0,5,0,68,0,1,531,26071,1142,1998,14,35552,30558,15392,5,14,652,3870,6,1023,22121,1501,136,0,575,9409,0,4,98521,0,541,11,5,799,4,26,0,1069,328,1448,37,4,972,200,1274,889,1,41,157,9,491,0,0,1518,91,968,9,176,0,134,0,21,2202,170,0,161,51,463,0,12634,1511,559,9,16,1,364,1821,1177,3588,1010,5,6705,1119,35328,958,235,28,1363,1298,506,1007,2,730,39,1,763,10,2,0,816,3199,4910,5778,1024,30,28,8893,7,9
"서김해",11316,0,488,7,3527,0,0,131,1,218,308,451,4042,587,9581,1,1,27001,0,2076,158,4,841,2,436,1,1,0,922,0,0,3779,5,149,10076,535,0,4224,2,295,1,1996,195,576,12165,345,3190,0,3492,177,189124,1,464140,102,68,1,1572,0,0,8,21882,1,9,0,125,0,0,500,2459877,757,31780,27,22518,3,2256,7,0,3046,167379,5,1319,81064,1441,1143,0,743,8596,0,3,8651,0,773,3,278,605,1,1487,0,1441,220,11597,457,0,689,242,1421,668,1,64,60,3,6619,0,0,1572,179,2174,646,142,1,239,2,5,2276,352,0,350,220,528,0,4357,85213,6764,0,42,2,291,746,3412,13451,146725,1,9701,1726,43123,406,13822,164,2079,1534,614,464,0,836,5,0,28706,0,4,0,617,12503,33498,2989,837,3,9008,82652,2,3
"서대구",0,1157650,1,25813,3,56500,1294320,6146,662137,3796,1,0,1,21732,0,165,932524,2,253976,84474,7039,696,1605,378,16546,538,231576,1228619,3450,434003,12850,11,50506,1,0,15269,363773,5,1,2,31,141952,3139,0,1,10717,1,1375626,185830,9024,2,2376,0,2374,2464,1874,39403,10,4,13113,2,10121,250,18,2840,144068,118980,27572,6,29793,0,952,10,10,8,1053,4922,3,1,19189,23144,4,45224,0,189934,27965,320433,51361,1241,10,2,36928,104,0,0,914,1,33,53994,1,1,0,8727,28763,10879,45426,9837,32786,3945,8716,32799,1,773809,38723,54048,6178,0,1,31668,1174016,8815,272931,5868,54422,11144,416243,12241,14881,12585,14,79,1,1,1647,9063,945,8491,4,0,0,0,3681,1,0,7,14827,0,0,64137,45460,28509,2716,21876,0,49813,2692113,0,0,993,24890,23510,1,2,12,2,19949,1,12,43119,3689
"서대전",462,47,238,4688,1196,1249,6109,3652,12312,11902,389,1,269,8393,920,86187,20725,712,66,24172,2716,3765,65189,4134,6476,6615,19823,3024,185098,271,801,1271,3431,66,65,215447,48,2684,11,28,5,395741,1009,167,83,2376,1363,10738,70168,3428,1249,280,0,1408,921,201,17449,1,0,1647,1406,423,46,4503,910,7488,19328,171269,7637,9766,587,177,12607,13059,1051,25303,547,793,2046,28326,4908,10064,14085,111,150,4153,104273,1762,22361,6484,0,46757,23,3,299,164,10,5,19298,77,1679,26,237,151170,4318,17164,149032,1282,1337,2655,19950,185,9581,10,19212,12285,748,3,115075,7922,2986,10666,2206,193638,8320,169,5045,158894,10333,6782,8021,723,265,312,130279,38402,36138,1863,226,1338,480,570,965,437,5668,12371,73,2,39260,105466,15265,97319,3769,140,2184,2890,232,28,15319,1015,306778,863,1224,1944,650,2747,6,457,7285,343
"서부산",2187386,0,4199,19,21932,1,2,913,4,2213,2333,4610,32007,9235,144752,2,3,169670,0,22886,1448,20,7777,15,15369,18,2,1,7409,0,1,53362,14,1627,57741,4206,0,27082,29,2846,5,24027,1807,13207,147999,3885,99319,1,36682,1433,950925,0,1907481,573,510,2,12977,0,0,40,112227,0,92,0,1896,12,1,4574,10404,7100,97666,1029,172549,11,13379,95,5,18960,15143,10,10094,810,15049,10765,0,7930,61609,1,55,45338,0,10600,62,2651,4369,0,12067,10,14098,1856,126096,4075,0,12673,1404,11720,4986,1,988,552,22,52687,1,0,11934,1618,32276,6331,656,0,2165,2,28,18509,4202,0,2305,1383,4342,0,44923,4690887,33755,1,342,12,2660,5866,16672,133063,1100203,5,46324,20351,260721,2886,82463,2601,16461,20833,6052,4053,0,5206,12,0,121848,0,12,1,6136,83548,143137,18673,6609,10,90301,495802,3,4
"서서울",717,484,385,84787,1577,1346,6796,390,18471,4700,226,2,246,4376,974,24793,26687,616,947,494867,815548,518,8002,362,210916,419,24401,5425,2251,3480,2819,1618,49005,67,67,10971,357,2484,4,8,626653,72872,76972,135,9,8,1461,11240,1370,1092868,1551,12467,0,101922,810036,10126,54644,306182,81288,38650,955,3535,1562159,797,281636,23087,23549,45620,5849,439219,543,1273378,9928,16208,1195,1793,18006,1030,1602,51078,15630,14597,2283,96,17534,2900620,13445,3549,891,4966,139657,16756,1822106,1,67,3530,10,724300,418255,67,1484,21,15849,53084,3159944,190634,3945,4656,240123,75588,6977,76,12758,4085,218288,15317,747,1,18630,6612,307470,16141,39686,38275,79984,1790,133779,9862,85014,1117,5188,1091,935,7921,13275,1770,41793,1661,173,1565,934,12751,1209,764,4373,27518,29,1,237995,42910,129199,8084,2424,114,3102,4015,492,11,863,3231,8274,897,1933,2075,378,57299,5,69,3818,10934
"서순천",585,0,38,9,260,0,0,24,0,9,37,29714,1084,56,19897,1,1,751,0,177,19,1,93,0,65,0,5,0,248,0,0,118,18,42,107,2,0,383,3,7059,0,388,1,123762,699652,14,1282,0,745,32,998,0,0,8,6,0,62,0,0,3,614,0,1,0,4,1,0,63,13574,73,478,1,9061,7736,131,0,0,69,1390,0,110,9641,92,654,0,70,1581,0,0,2632,0,65,0,23590,19,2,180489,0,145,209,4972,76459,2,58,21,116,146,0,17,25,3,440,0,0,181,28,24475,30008,18,0,14,0,1,280,33,0,40,0,42,0,29,783,296,3,0,0,86,20,301,1201,463,0,1089,32073,5774,25,182,21119,137,122,60,64,0,322,14,0,201,1,1,0,130,7372,1052,111,48,4,135,4680,0,1
"서안동",0,46023,0,6203,0,1244,8812,2881,14236,28,0,0,0,8497,0,7,144,0,23076,25492,3273,1,12,2,1241,7,146,127,22,59687,2108,0,41794,0,0,76,22766,1,0,0,113,486,1251,0,0,1194,0,28326,118687,7630,0,1155,0,895,983,642,50,3,0,13822,0,1009,304,2,1113,14674,97124,110,0,12469,0,504,0,0,0,31,2008,0,0,182298,127,0,16434,0,989,4363,39537,3121,34,1,2,78,79,0,0,300,0,137,7918,0,0,0,7318,66,4765,344,46,2177,4087,8999,38,0,2934,27188,1606,29,0,0,43,473,5529,14754,2483,203,138,25211,10171,144,1477,2,2,0,0,573,140,26,19,0,0,0,0,941,0,0,0,64,0,0,227,56,30,12,8,0,21926,78304,0,0,19,1610,128,0,0,1,0,4215,0,0,34,1025
"서안산",479,158,95,21059,390,568,3539,327,11172,702,49,0,108,3993,243,8166,14876,288,263,1957840,350435,94,2114,77,54585,139,12068,3230,870,883,1392,242,12251,14,51,2513,95,679,1,1,34327,20718,25345,51,1,2,877,4927,1435,364457,1203,2004,0,24802,40835,1222,19246,11462,3286,13173,304,2340,220259,292,131427,9622,8988,10648,3425,95826,324,96665,3499,8070,341,569,5352,625,1215,30048,4302,10592,2900672,17,4577,1761,66529,1810,310,1754,6790,7354,191341,3,20,793,0,44673,120509,13,333,7,4785,21672,26128,63210,1247,2807,86178,21214,2705,18,6275,1007,55883,4726,267,0,8908,3591,113204,10942,11820,8613,31985,476,50080,4253,26077,391,1173,683,182,2104,3335,487,19092,311,86,352,866,2619,575,280,1807,10970,8,0,71801,19219,43658,2912,1547,63,2853,1582,425,8,280,1717,2707,255,893,530,50,11099,1,18,1118,1606
"서울",2013,1268,2015,314009,10364,6749,35310,1061,126313,39307,1169,14,2024,6733,9565,591539,132912,3261,2620,116247,33293,3838,39345,8924,2257983,10638,128847,20161,11926,9161,15268,13364,171177,491,273,86982,1097,18263,26,108,27678,640241,266633,847,225,33293,7244,90439,5739,1624629,4202,54113,0,650049,15756,55487,368311,19701,3969,116867,5500,8991,20425,18867,21466,239355,201237,456949,28462,199551,3120,27721,77431,93864,10096,44575,42247,6678,6814,324740,109726,42619,24443,1587,45287,84739,6058,17937,37226,49044,7936,20739,23987,21,347,8458,99,27470,6821371,556,22211,231,38570,272579,120241,2634759,25259,20747,1017512,206997,52642,397,69859,8757,3138809,40054,6786,10,105440,36034,1500551,112793,116233,377839,119948,4262,302619,211548,175039,25883,42268,3344,934,20922,367842,103830,57401,11047,1004,15019,1784,35804,6187,3594,48037,39123,149,21,3438566,150206,894145,39408,14788,705,5351,23691,1344,95,33582,10797,50293,6326,6720,16642,2665,203092,12,409,22998,55863
"서울산",0,3799,45,686,94,15962,30323,318,242606,170,1,0,0,1454,0,37,6444,0,527,6612,781,13,189,21,1981,25,3267,13668,246,2008,184820,100,1317,29,0,999,849,41,0,34,1,7224,248,0,0,1355,0,48980,13289,849,0,100,0,188,307,59,3253,197,93,481,0,89356,179,2,373,706225,30410,1241,0,3001,0,183,0,0,26,120,150,24,0,29684,1486,0,4536,1,1985,2351,19589,80202,182,115,60,1822,203,0,0,35,0,113,4962,27,0,0,244,3275,1078,3559,494,190961,231,319,1162,0,37988,468,6610,344,0,0,1197,8097,774,1897568,141,2922,1155,1007,576,1082,916,2,53,0,22,59,690,56,576,56,0,0,0,125,0,0,0,981,0,0,5428,3603,1520,176,559,0,953,5140,0,0,31,74409,1036,0,0,178,35,412,0,0,1390,188
"서전주",6,9,1,1173,9,101,403,1282,1161,5817,2,0,1,3363,0,236551,1942,2,10,1611,252,16,646,7833,1735,6951,1588,289,2777,28,19,1,765,0,0,35182,6,6,0,0,0,11374,264,0,0,413,5,771,25063,609,7,53,0,546,53,52,1823,0,0,332,5,6,0,10481,106,153,1253,6960,84,1365,4,3,42,53,4,38465,185,8,8,1802,23484,83,965,0,19,299,32044,133,727,37,0,5555,0,0,2,38,0,0,5197,0,1,0,81,4361,331,2567,6304,27,389,993,1094,4,1186,3,3770,937,0,0,2939,638,710,728,597,42818,1604,22,1634,27679,2790,13796,18,3,0,156,27156,277105,5150,2,0,3,3,147,7,0,44,2009,1,0,4208,8251,2677,729,209,0,615,253,4,0,43021,21,3931,2,7,8,4,641,0,22,282,112
"서진주",2961,0,6060,431,63604,0,1,599,1,1746,632,416,70225,1421,25929,2,26,17863,0,5720,636,23,7264,9,1895,7,30,4,6649,0,3,17142,266,937,1996,1706,0,79009,13,740,3,12103,175,2130,17276,477,11337,2,17214,901,11692,33,0,504,221,19,3101,1,0,132,39212,0,17,1,297,4,5,3438,70535,2714,7957,82,629990,138653,67056,32,52,82100,11380,16,5598,55460,3785,2352,1,1106,40230,1,10,628,0,2609,1,295,404,14,1982,5,6663,1548,28200,1494,17,2894,1250,3800,3526,1,308,506,61,3768,1,0,5280,536,17465,638,778,0,557,6,195,11441,716,0,843,465,1591,0,13605,5357,3698,21,110,5,2185,5771,12621,153690,3942,49,74976,7490,31191,1156,3331,626,5711,4494,2385,2714,8,19813,264,0,3666,5,15,0,3202,70003,24347,102996,2605,257,783,26966,39,33
"서천",0,0,0,264,0,0,0,22,1,0,0,0,0,69,0,0,0,0,0,33092,5198,0,0,1,148,0,0,0,1,1,0,0,132,0,0,1,0,0,0,0,9108,3,124,0,0,0,0,1,115,3647,0,15,0,336,11914,6,1,15200,3210,100,0,0,11426,0,1377,1,0,1,0,2180,0,12571,0,0,0,0,25,0,0,2,0,0,133504,0,1,5853,6098,0,0,0,953,1,14662,0,0,8,0,4482,1276,0,0,0,29,0,5269,18,0,0,236,173,0,0,0,0,52,0,0,0,0,0,915,0,113,1,4,1,341,0,42,0,0,0,0,10,0,0,1,0,0,0,0,34,0,0,0,3,0,0,7,0,2,0,0,0,148,1,0,0,0,0,0,0,1,0,0,185,0,0,0,18
"서청주",461,38,121,29372,539,554,3486,29125,8631,7791,92,0,128,84695,689,35559,27710,265,36,28781,3297,1380,10163,710,407,1693,20643,4215,7190,77,1263,693,23065,35,28,21111,54,1461,1,8,13,267771,10877,161,23,2124,760,10951,611112,6704,806,2455,0,6044,855,1834,15,3,0,10337,691,1306,94,1459,2045,11545,15500,141506,4644,19907,394,344,5682,7523,479,4985,3991,508,1929,34870,41477,9647,18939,81,118,7305,24305,1778,4836,2749,2,286,21,1,37,1025,6,13,4597,35,1161,20,1240,196716,3816,74,15769,2008,18110,19319,11620,37,6201,19,209,54394,564,0,69919,5281,23219,11400,16642,109330,265140,58,68140,36930,119022,2255,4089,452,112,1756,28543,11447,275634,639,116,689,849,3244,662,228,2835,428058,14,0,70,89813,37,14674,2827,64,13064,2030,275,11,4542,1782,35062,498,1318,955,162,20078,3,45,6875,2155
"서평택",3,1,0,1940,7,6,23,90,101,5,0,0,0,658,0,13,67,1,2,918230,121861,1,18,0,2597,0,64,31,15,33,10,0,1101,0,0,11,1,15,0,0,127770,185,1560,1,1,0,10,28,449,42594,5,149,0,2260,397918,73,235,28187,6235,1684,0,7,167210,2,27326,66,133,132,22,25793,4,176154,33,132,8,0,206,14,3,179,55,73,1914901,2,177,192042,20894,16,0,15,14417,7,2777,0,0,48,0,249385,12658,1,2,0,151,220,94936,1080,9,45,2154,1287,15,0,32,17,880,6,1,0,93,23,8959,83,1114,78,171,6,4321,6,156,0,3,5,0,137,13,4,57,1,0,6,5,188,2,14,33,40,0,0,340,111,360,24,7,0,531,12,0,0,0,33,33,2,5,20,0,907,0,2,6,126
"석곡",143,0,8,0,18,0,0,0,0,1,5,8812,147,2,2209,1,1,101,0,5,0,0,8,0,0,0,0,0,7,0,0,34,0,27,18,0,0,33,0,2690,0,7,0,2710,227686,0,242,0,13,0,140,0,0,0,0,0,2,0,0,1,78,0,0,0,0,0,0,0,1972,0,51,0,721,799,9,0,0,6,205,0,2,1672,4,21440,1,0,16,0,0,182,0,3,0,279,11,0,6239,0,2,83,23965,3427,0,0,0,2,5,0,0,0,0,25,0,0,3,0,1042,21870,4,0,0,0,0,6,0,0,0,0,0,0,1,83,36,0,1,0,0,7,49,119,100,0,101,2032,392,0,22,14365,0,2,0,5,0,68,0,0,38,0,0,0,8,568,100,21,4,0,27,279,0,0
"성산",290,0,17491,0,62410,0,0,6,0,60,55011,8,21,3,157,0,1,55,0,52,14,0,293,0,20,1,1,0,114,0,0,10640,0,762,408,235,0,477,1061,1546,1,124,0,7,15550,4,624,0,125,5,402,1,0,0,3,0,50,0,0,0,65,0,0,0,3,0,0,32,3274,34,493,0,329,11,816,1,0,644,849,0,239,3670,43,22,0,12,189,0,0,292,0,39,0,1,2904,0,14,0,36,1510,348,5,0,32,6,37,99,0,4,1,0,2117,0,0,50,9,56,15,9,1,3,0,0,241,14,0,5,34,12,0,5042,267,58,0,10,0,6,2088,11,106,292,0,44,19,239,15,1274,67,88,55,21,132,0,5,35,0,754,6062,1,0,68,83,259,4139,49611,0,1408,879648,0,0
"속사",0,194,0,47691,1,12,56,663,133,46,0,0,0,1749,6,538,5,0,102,6529,974,2,24,6,300,13,13,0,18,100,21,3,7137,0,0,116,62,5,0,0,66,491,543,0,0,560,0,128,17676,2573,0,9157,0,132,306,11165,15,19,1,8772,0,10,86,7,407,172,272,254,1,3430,0,116,6,1,1,41,21852,2,0,1119,162,0,3197,0,292,813,7228,25,51,11,12,803,27,0,0,348,0,48,2145,1,12,0,493,428,1125,155,34,18,2235,4544,10,0,29,195,708,501,2,0,77,5,1830,152,25041,279,186,67,3747,173,1581,30,35,0,0,19682,212,142,207,7,0,1,0,5441,1,0,15,271,0,0,348,142,6,15,2,0,1671,396,0,0,23,14,74,3,0,6,0,9038,0,0,5,14624
"주암",674,0,19,0,115,0,0,1,0,2,36,27574,1083,6,20333,1,0,915,0,11,1,0,33,0,14,0,1,0,40,0,0,129,0,92,73,0,0,368,0,3451,0,39,0,28856,197854,0,1709,0,69,3,1268,0,0,0,0,0,3,0,0,1,880,0,0,0,1,0,0,4,17699,8,423,0,9373,8282,126,0,0,41,2505,0,23,12460,5,175934,0,2,80,0,0,1788,0,9,0,7830,19,0,797,0,15,210,239775,13591,0,9,0,11,22,0,0,1,0,375,0,0,19,1,10883,16358,5,0,0,0,0,40,2,0,1,0,11,0,12,1129,375,0,0,0,4,49,409,761,650,0,1145,17802,3825,1,340,8750,12,11,10,18,0,279,1,0,303,0,0,0,27,5716,1310,44,89,0,73,2240,1,0
"송악",1,1,2,1650,3,2,6,68,45,2,0,0,0,447,1,5,27,0,4,272512,35195,1,4,0,1070,0,18,8,0,23,7,1,1127,0,1,2,1,0,0,0,23519,70,1017,0,0,0,3,12,406,23855,4,161,0,2008,94538,90,60,8133,1841,655,1,2,103057,0,10715,32,23,40,11,12058,1,99316,11,25,0,0,773,2,4,77,12,27,685116,0,110,38925,18520,3,0,8,4912,5,238664,0,0,52,0,1853,7235,0,0,0,205,46,25460,400,5,7,1402,1591,6,0,18,22,472,7,2,0,18,28,6413,33,1179,32,162,6,1921,1,173,0,0,6,0,155,1,1,29,0,1,3,2,225,2,1,7,19,0,0,108,28,128,8,45,0,666,7,0,0,0,3,12,0,3,2,0,936,0,1,1,121
