"","가산","건천","경산","경안","경주","고령","곡성","곤양","곤지암","광양","광주","구미","군위","금강","금산사","기흥","김제","김천","남구미","남안동","남양산","남원","남원주","남지","내동","논산","다부","단성","달성","담양","대동","대전","덕평","동광양","동광주","동대구","동서울","동수원","마성","매송","목천","문막","발안","백양사","부산","북대구","북대전","비봉","산청","삼례","새말","생초","서대구","서대전","서순천","서안동","서울","서전주","서진주","서청주","서평택","석곡","성산","송광사","수동","수원","순창","순천","승주","신탄진","안성","양산","양지","언양","여주","영동","영산","영천","오산","오창","옥곡","옥과","옥천","왜관","용인","울산","원주","유성","음성","의성","이천","익산","일죽","장성","전주","정읍","증평","진교","진월","진천","창녕","창평","천안","청원","청주","추풍령","칠곡","칠서","칠원","태인","통도사","포승","하동","해인사","현풍","화원","황간"
"영동",24,557,4593,1465,9129,0,0,0,2658,0,2319,19139,24,6970,71,1214,388,30554,1576,81,533,0,466,0,0,4459,27,0,0,0,3818,103607,251,0,0,5482,19265,23614,190,0,4306,138,0,99,13024,16305,7763,0,0,314,843,0,37511,4246,0,79,43639,0,0,7215,0,0,0,0,0,7370,0,0,0,11679,5510,1799,385,1276,426,4391,0,3422,5866,11,0,0,68203,4076,691,7699,521,10883,1039,57,1202,2722,1329,201,1659,925,3315,0,0,1611,0,0,7380,12338,4419,11341,2659,0,0,326,1054,0,0,0,0,0,18049
"영산",0,0,0,0,0,2149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17034,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2411,0,0,0,0,0,0,0,0,0,0,0,0,0,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47966,0,0,0,0,0,0,40081,507784,0,0,0,0,21143,75170,436486,0
"영천",8530,21647,164636,1174,156886,0,0,0,2396,0,35,29604,628,393,69,1256,266,15509,39204,1110,10097,0,260,0,0,2684,1886,0,0,0,108100,27923,213,0,0,583471,19625,39012,149,0,6760,541,0,5,202571,282970,3317,0,0,285,126,0,386765,2296,0,3429,43081,1,0,3375,0,0,0,0,0,5616,0,0,0,3496,6251,25462,348,30578,920,4346,0,1951,6031,1,0,0,8791,46820,743,175519,507,6766,1534,1146,1686,3620,1993,8,1349,321,2228,0,0,2013,0,0,10097,6908,2616,1248,56695,0,0,197,16507,0,0,0,0,0,4028
"오산",42,1250,11329,916,23648,0,0,0,5696,0,99322,35324,84,512,1714,69012,6084,32404,4805,151,1351,0,25103,0,0,16975,52,0,0,0,7095,82284,15595,0,0,9418,1599,488889,24795,0,75048,7293,0,3478,34848,19613,28681,0,0,6922,29381,0,80150,18182,0,73,2490106,3,0,130,0,0,0,0,0,287023,0,0,0,54946,224386,5307,12921,3355,15139,6276,0,5105,5619,0,0,0,34850,4577,36779,22815,17639,25790,2797,127,32701,55594,2236,8917,52885,20848,866,0,0,834,0,0,369030,40951,186133,3493,3408,0,0,6691,3457,0,0,0,0,0,4287
"오창",0,0,0,20,1,0,0,0,23,0,6,2,0,0,0,0,0,1,0,0,0,0,6,0,0,2,0,0,0,0,0,40,5,0,0,0,174,65,1,0,0,0,0,0,4,4,20,0,0,0,53,0,10,5,0,0,30,0,0,130,0,0,0,0,0,8,0,0,0,53,0,0,8,0,3,11,0,0,0,3,0,0,18,0,10,1,10,15,140,0,18,5,36,0,5,1,117,0,0,316,0,0,1,51,0,0,0,0,0,1,0,0,0,0,0,0,0
"옥곡",0,0,0,0,0,0,8,938,0,1128,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,14,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,5,0,44,0,0,0,516,8,0,0,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,395,0,0,7,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0
"옥과",0,0,0,0,0,0,12891,61,0,3,0,0,0,0,0,0,0,0,0,0,0,1063,0,0,0,0,0,0,0,2525,0,0,0,15,769671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46066,0,0,0,0,0,0,22860,0,14535,0,0,223,68485,5536,0,0,0,0,0,0,0,0,0,0,0,7,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12928,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"옥천",77,998,11503,6210,18484,0,0,0,14206,0,12748,31185,66,18527,443,6350,1729,46546,3124,259,680,0,2453,0,0,15994,91,0,0,0,5380,686337,1643,0,0,10249,88533,103868,771,0,30804,1165,0,535,21767,26548,91208,0,0,1356,4295,0,68365,25137,0,171,187715,0,0,64795,0,0,0,0,0,26500,0,0,0,114113,29260,3053,1669,2036,2937,70949,0,7087,33112,25,0,0,32327,7753,3146,15063,3196,88913,8603,162,6325,11792,9425,1512,8404,4241,37001,0,0,13297,0,0,43063,152853,26369,9854,4286,0,0,1648,1390,0,0,0,0,0,25235
"왜관",1153,7662,150385,752,71795,0,0,0,1517,0,54,110047,1317,458,22,669,111,15764,110326,1722,2266,0,224,0,0,1251,865,0,0,0,9640,11946,138,0,0,243991,9440,11554,85,0,2404,102,0,3,50968,1125225,1573,0,0,82,391,0,1346424,1269,0,1829,19143,0,0,2461,0,0,0,0,0,3177,0,0,0,4500,3994,7727,141,10364,332,3216,0,49676,3317,0,0,0,6770,1155,484,59270,368,3224,853,1354,1589,1564,782,5,600,211,1030,0,0,824,0,0,4511,2788,1591,2497,103360,0,0,115,5334,0,0,0,0,0,4504
"용인",3,204,1339,1006,1983,0,0,0,3997,0,10945,3504,4,74,228,37849,784,4660,335,16,315,0,51081,0,0,2136,8,0,0,0,989,11141,36793,0,0,1393,16629,1069695,19855,0,3332,14742,0,499,4733,3129,4818,0,0,1036,42868,0,9805,3301,0,14,1367323,0,0,25162,0,0,0,0,0,138165,0,0,0,6820,21292,542,78614,473,36081,723,0,742,33576,20,0,0,3611,694,3894,1521,20726,4273,22867,18,75664,6520,23730,821,6983,2375,16208,0,0,8123,0,0,38901,7835,3871,539,597,0,0,886,253,0,0,0,0,0,469
