"","가산","건천","경산","경안","경주","고령","곡성","곤양","곤지암","광양","광주","구미","군위","금강","금산사","기흥","김제","김천","남구미","남안동","남양산","남원","남원주","남지","내동","논산","다부","단성","달성","담양","대동","대전","덕평","동광양","동광주","동대구","동서울","동수원","마성","매송","목천","문막","발안","백양사","부산","북대구","북대전","비봉","산청","삼례","새말","생초","서대구","서대전","서순천","서안동","서울","서전주","서진주","서청주","서평택","석곡","성산","송광사","수동","수원","순창","순천","승주","신탄진","안성","양산","양지","언양","여주","영동","영산","영천","오산","오창","옥곡","옥과","옥천","왜관","용인","울산","원주","유성","음성","의성","이천","익산","일죽","장성","전주","정읍","증평","진교","진월","진천","창녕","창평","천안","청원","청주","추풍령","칠곡","칠서","칠원","태인","통도사","포승","하동","해인사","현풍","화원","황간"
"가산",3763,3031,32455,24,24036,0,0,0,31,0,0,164,25442,8,2,19,3,239,201,154401,1215,0,2,0,0,29,11525,0,0,0,5864,261,4,0,0,65892,272,314,4,0,52,2,0,0,36775,216156,25,0,0,1,8,0,662560,42,0,78033,411,0,0,23,0,0,0,0,0,58,0,0,0,25,54,3353,4,3780,9,21,0,8582,43,0,0,0,97,1207,9,21844,5,63,9,81408,22,25,19,0,12,5,12,0,0,19,0,0,69,51,20,18,79085,0,0,3,2352,0,0,0,0,0,45
"건천",2194,531,51163,196,58238,0,0,0,338,0,3,5493,270,62,8,230,31,2443,4336,648,3578,0,58,0,0,288,357,0,0,0,31068,2647,47,0,0,120620,2667,3059,26,0,876,40,0,1,49624,40205,396,0,0,43,29,0,41725,214,0,1693,4834,0,0,379,0,0,0,0,0,927,0,0,0,411,786,7021,42,14077,115,485,0,19417,1082,0,0,0,1190,6181,110,53098,86,847,160,466,255,513,218,1,113,29,293,0,0,204,0,0,1010,593,359,244,9599,0,0,15,6837,0,0,0,0,0,585
"경산",30692,53455,19123,1322,362674,0,0,0,3643,0,30,63139,4172,575,76,1433,269,26071,69099,7941,6622,0,383,0,0,3312,6039,0,0,0,66422,25642,434,0,0,1220387,23760,46460,211,0,9852,275,0,3,146028,987600,3418,0,0,287,246,0,1058496,4010,0,13669,43912,0,0,3802,0,0,0,0,0,7288,0,0,0,4754,8682,21523,314,27153,846,4389,0,148797,10640,0,0,0,12025,133401,947,150003,629,8074,2063,6786,1929,4813,1958,10,1919,413,2983,0,0,2676,0,0,12200,5430,3962,2616,165765,0,0,269,14140,0,0,0,0,0,5986
"경안",10,164,1283,1046,3114,0,0,0,95294,0,16973,2863,12,110,334,320,1127,4707,358,14,167,0,37227,0,0,4937,5,0,0,0,1344,16462,5311,0,0,1924,1727784,6504,588,0,94,9359,0,679,5295,4390,8077,0,0,1257,31393,0,11833,4454,0,12,668,1,0,33419,0,0,0,0,0,2090,0,0,0,8065,757,475,3424,309,18360,1131,0,982,951,22,0,0,4975,851,1446,2032,10421,7258,29988,20,40251,9094,54218,1479,9643,3823,18648,0,0,13596,0,0,1502,6682,30,497,634,0,0,1611,253,0,0,0,0,0,554
"경주",20739,87328,360823,4002,6896,0,0,0,7808,0,78,74855,2412,1202,181,5717,582,34351,59152,6484,56585,0,1448,0,0,5780,3055,0,0,0,953151,61071,728,0,0,944815,58999,80054,843,0,28748,1961,0,7,1210382,354354,15213,0,0,769,640,0,490437,4554,0,22168,115646,3,0,8756,0,0,0,0,0,24834,0,0,0,9834,16212,149764,752,171808,1577,10083,0,160512,22749,2,0,0,21982,68923,3194,257148,1693,20521,3424,5526,5019,11716,3820,9,3548,642,6154,0,0,4083,0,0,26589,15895,7446,3508,67908,0,0,525,124551,0,0,0,0,0,10040
"고령",0,0,0,0,0,6051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50699,0,0,0,0,0,0,0,0,0,0,0,0,0,1569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807,0,0,0,0,0,0,400,8454,0,0,0,0,155733,832,853758,0
"곡성",0,0,0,0,0,0,210,62,0,15,0,0,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,0,4340,0,0,0,9,555127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57783,0,0,0,0,0,0,17317,0,34878,0,0,108,76531,6959,0,0,0,0,0,0,0,0,0,0,0,11,16394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,18181,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"곤양",0,0,0,0,0,0,80,4,0,2324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,74,2072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,48,0,284,0,0,0,2749,71,0,0,0,0,0,0,0,0,0,0,0,546,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3212,351,0,0,38,0,0,0,0,0,0,0,0,0,0,2673,0,0,0,0
"곤지암",14,356,3590,117455,6146,0,0,0,1326,0,34634,6915,26,172,827,4118,2679,13221,791,28,462,0,157658,0,0,9556,18,0,0,0,2710,32274,11434,0,0,4016,2259794,50569,1810,0,342,41704,0,1312,12261,10468,12411,0,0,2704,97627,0,29329,9000,0,21,5140,4,0,99811,0,0,0,0,0,15464,0,0,0,26482,3176,2361,7327,722,61598,2466,0,2146,6274,55,0,0,11714,1638,8622,4433,44409,10684,141706,56,124795,20631,214139,2982,21352,8251,78148,0,0,52582,0,0,5411,18782,178,1341,1629,0,0,3457,711,0,0,0,0,0,1782
"광양",0,0,0,0,0,0,36,2510,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2744,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,8,0,58,0,0,0,88,13,0,0,0,0,0,0,0,0,0,0,0,1132,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1279,0,0,7,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0
"광주",6,7,43,19680,187,0,0,0,38515,0,751,1512,1,111,159683,13708,306716,1189,206,7,948,0,8304,0,0,156685,0,0,0,0,25,41587,2971,0,0,43,334186,348929,2592,0,23449,3064,0,354143,48,386,42943,0,0,91438,17091,0,5290,126378,0,28,690791,229,0,32284,0,0,0,0,0,100852,0,0,0,24681,52007,6,5552,0,9059,1228,0,53,90612,6,0,0,8843,45,8915,58,13078,195990,10157,1,21051,129507,16039,877779,632286,642936,34900,0,0,12155,0,0,64552,44434,19386,160,16,0,0,140754,6,0,0,0,0,0,613
"구미",290,6288,67608,3437,82873,0,0,0,8466,0,1724,8572,144,3173,255,6466,793,275428,29126,755,2520,0,1070,0,0,8270,290,0,0,0,14672,84253,1244,0,0,138984,47580,79360,1056,0,14268,858,0,98,56980,753857,11910,0,0,867,1914,0,931229,8127,0,659,96614,0,0,20254,0,0,0,0,0,27402,0,0,0,10911,18147,5903,1079,7110,1751,19115,0,30347,27830,2,0,0,32162,143434,3283,34808,1644,28772,4393,275,7197,11970,4291,258,5558,2614,6053,0,0,5488,0,0,24935,16920,9372,26031,91743,0,0,992,4414,0,0,0,0,0,42475
"군위",27799,274,3893,16,2336,0,0,0,33,0,3,164,1513,8,0,11,0,168,108,20272,165,0,4,0,0,60,18798,0,0,0,1126,309,0,0,0,13054,373,373,2,0,55,1,0,0,3235,64462,35,0,0,5,2,0,161657,46,0,23011,651,0,0,33,0,0,0,0,0,128,0,0,0,39,70,379,3,367,4,41,0,423,106,0,0,0,141,1144,7,1846,6,87,9,7128,21,39,18,1,16,4,16,0,0,12,0,0,113,50,23,12,53198,0,0,1,268,0,0,0,0,0,38
"금강",1,49,610,137,860,0,0,0,183,0,98,2998,1,23488,9,98,14,3785,314,11,29,0,45,0,0,193,8,0,0,0,296,30484,17,0,0,762,1383,1529,13,0,424,21,0,7,933,2008,2266,0,0,20,31,0,4387,819,0,7,2901,0,0,1112,0,0,0,0,0,547,0,0,0,2478,525,140,21,108,57,7137,0,335,492,0,0,0,14429,529,60,576,59,1762,100,6,137,150,125,15,84,23,424,0,0,124,0,0,659,2005,461,1394,308,0,0,20,85,0,0,0,0,0,2262
"금산사",1,11,67,484,174,0,0,0,1131,0,144264,213,0,7,89,365,6874,251,16,4,2,0,127,0,0,7708,2,0,0,0,6,1043,66,0,0,99,7982,8182,66,0,566,46,0,11469,35,201,1279,0,0,11155,264,0,195,6287,0,2,15173,2,0,726,0,0,0,0,0,2276,0,0,0,646,1387,4,126,10,126,71,0,58,1950,0,0,0,397,30,219,137,140,6876,288,3,439,8706,463,13759,20133,42414,913,0,0,277,0,0,1311,1121,484,39,49,0,0,4601,2,0,0,0,0,0,27
"기흥",8,117,1939,490,3259,0,0,0,4167,0,10233,6269,9,65,158,1023,635,4246,1681,18,164,0,14114,0,0,2111,7,0,0,0,1517,10754,13171,0,0,1337,692,450305,22912,0,11288,4652,0,447,6650,3358,7002,0,0,781,14217,0,14002,2411,0,18,1908943,0,0,413,0,0,0,0,0,166142,0,0,0,8475,99407,513,17761,417,8587,737,0,997,42635,0,0,0,3707,520,39632,2861,6430,4462,7904,19,31786,7168,4785,976,5953,2209,2600,0,0,1953,0,0,102737,6936,27177,335,405,0,0,782,472,0,0,0,0,0,466
"김제",2,23,231,1332,558,0,0,0,2637,0,301165,756,1,12,4018,1067,614,796,67,15,2,0,425,0,0,16560,1,0,0,0,14,3341,186,0,0,291,20165,21261,198,0,1701,202,0,17740,145,460,3834,0,0,23976,895,0,575,18829,0,12,36126,5,0,3377,0,0,0,0,0,7194,0,0,0,1949,3819,22,262,52,392,250,0,182,5401,0,0,0,1303,93,687,344,664,18905,844,5,1530,17741,1318,25436,32194,452121,2869,0,0,1230,0,0,4224,3822,1585,94,101,0,0,31287,24,0,0,0,0,0,131
"김천",155,2878,25610,5765,34145,0,0,0,17455,0,1300,291556,135,4477,218,5758,927,2437,29057,469,1510,0,1601,0,0,9845,165,0,0,0,11540,141003,1363,0,0,40106,93472,107009,855,0,18231,606,0,75,39578,171332,14744,0,0,970,2295,0,221479,8711,0,303,160828,1,0,20319,0,0,0,0,0,32240,0,0,0,15540,23881,3632,1467,4280,2535,31314,0,14466,30454,6,0,0,52283,24148,3797,19774,2852,27032,4602,239,6458,8366,6471,198,4481,2050,7236,0,0,6490,0,0,30609,24482,11663,23320,23078,0,0,757,3297,0,0,0,0,0,46250
"남구미",246,4532,62743,546,56318,0,0,0,1283,0,304,8787,108,403,18,2154,121,29616,3758,297,2295,0,151,0,0,895,205,0,0,0,11767,10531,214,0,0,105264,7058,15750,104,0,3506,60,0,12,111778,451345,1955,0,0,149,236,0,900516,1193,0,348,16443,1,0,2496,0,0,0,0,0,4829,0,0,0,2481,2656,7069,261,7792,208,1920,0,24035,5367,1,0,0,4264,125433,467,68520,481,3706,556,139,720,1379,542,25,941,553,954,0,0,806,0,0,4344,1889,1372,2624,44742,0,0,158,5590,0,0,0,0,0,3306
"남안동",136597,591,7996,24,6108,0,0,0,37,0,2,535,25261,17,0,31,9,492,310,480,530,0,6,0,0,145,37226,0,0,0,3629,1193,5,0,0,30897,370,518,1,0,106,2,0,0,11064,195382,161,0,0,13,1,0,284715,102,0,76298,881,0,0,55,0,0,0,0,0,177,0,0,0,121,108,1298,3,1124,7,79,0,808,142,0,0,0,279,1494,17,6745,6,243,8,41970,16,223,12,4,70,20,8,0,0,10,0,0,217,77,73,28,135521,0,0,8,737,0,0,0,0,0,139
"남양산",1084,4546,8562,264,70708,0,0,0,724,0,3,3051,174,65,0,286,5,2174,2902,683,1484,0,99,0,0,371,132,0,0,0,1890029,3459,66,0,0,14758,4133,7164,38,0,1218,71,0,0,673536,7165,453,0,0,9,63,0,5820,279,0,2309,7965,0,0,686,0,0,0,0,0,1514,0,0,0,616,1413,8788,88,38764,124,615,0,12341,1383,0,0,0,1157,2740,191,124098,142,1292,328,651,408,174,340,0,35,3,552,0,0,260,0,0,1800,851,678,247,1747,0,0,3,49422,0,0,0,0,0,836
"남원",0,0,0,0,0,0,1109,90,0,76,0,0,0,0,0,0,0,0,0,0,0,1991,0,0,0,0,0,0,0,76662,0,0,0,89,696475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2137,0,0,0,0,0,0,703,0,2427,0,0,117977,4519,742,0,0,0,0,0,0,0,0,0,0,0,71,737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,34,0,0,3300,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0
"남원주",3,83,405,45692,1397,0,0,0,162961,0,8758,1184,4,51,117,11460,526,1423,110,3,63,0,5970,0,0,3648,2,0,0,0,573,16140,16781,0,0,687,956827,646687,14314,0,360,190884,0,279,2775,1837,6150,0,0,1501,176236,0,5965,3246,0,2,383325,0,0,27513,0,0,0,0,0,92756,0,0,0,7185,5791,254,52269,159,247187,485,0,270,24515,6,0,0,2595,252,74562,1385,114927,6809,7325,1,171485,5902,47971,1016,6807,2090,5775,0,0,6468,0,0,11149,4222,114,147,233,0,0,568,96,0,0,0,0,0,259
"남지",0,0,0,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,0,0,0,0,0,0,0,0,0,0,0,0,0,6337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63290,0,0,0,0,0,0,11880,461855,0,0,0,0,2889,18924,121864,0
"내동",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,46301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22052,0,0,37271,0,0,0,0,0,0,224450,0,0,0,0,0,123456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"논산",21,397,3940,5528,5661,0,0,0,10634,0,184018,8956,55,280,8373,3213,20082,9814,700,181,221,0,3337,0,0,3505,17,0,0,0,1535,42314,1140,0,0,3848,68375,60631,604,0,6224,1000,0,9106,6045,8844,37744,0,0,37641,5448,0,16955,261581,0,91,113327,16,0,16956,0,0,0,0,0,19213,0,0,0,24532,12472,1047,977,746,2537,4351,0,2262,15301,9,0,0,14602,1544,2099,6339,3520,230417,6341,78,7150,108975,6553,22074,169064,54853,19880,0,0,7599,0,0,15946,25003,7425,953,1177,0,0,22507,493,0,0,0,0,0,1677
"다부",5176,462,6246,14,3184,0,0,0,34,0,0,181,14309,7,0,8,0,165,158,29878,130,0,8,0,0,33,1826,0,0,0,676,239,4,0,0,13215,203,195,0,0,46,2,0,1,2497,50510,24,0,0,4,4,0,168655,22,0,23716,409,0,0,25,0,0,0,0,0,52,0,0,0,22,33,291,0,844,14,32,0,1633,49,0,0,0,74,544,7,1954,6,37,10,24409,14,35,16,0,5,6,17,0,0,11,0,0,98,30,35,39,30439,0,0,0,358,0,0,0,0,0,37
"단성",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41146,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7889,0,0,5323,0,0,0,0,0,0,41243,0,0,0,0,0,15499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"달성",0,0,0,0,0,2164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1324,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,6,212,0,0,0,0,5695,60,1422193,0
"담양",0,0,0,0,0,0,2665,20,0,1,0,0,0,0,0,0,0,0,0,0,0,75378,0,0,0,0,0,0,0,707,0,0,0,3,856145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9777,0,0,0,0,0,0,2182,0,3314,0,0,12503,23165,1349,0,0,0,0,0,0,0,0,0,0,0,0,2259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"대동",4974,34587,65839,1564,993300,0,0,0,3643,0,253,14798,1010,346,4,5556,41,11876,12246,3550,1922679,0,626,0,0,1474,578,0,0,0,2113,19176,737,0,0,84128,22053,28374,395,0,6308,351,0,5,346302,34625,2446,0,0,41,550,0,13212,1568,0,11918,45986,1,0,4193,0,0,0,0,0,8268,0,0,0,3097,5713,1147709,377,379227,912,3742,0,107533,5809,4,0,0,6215,8925,857,1673436,898,5976,1850,3157,1924,566,1726,15,136,8,2626,0,0,1419,0,0,8905,4795,3299,1462,6940,0,0,8,507301,0,0,0,0,0,4125
"대전",170,2863,28161,19962,57428,0,0,0,35240,0,56731,90691,218,43941,1315,15626,5401,144285,8477,1046,2417,0,17161,0,0,55722,188,0,0,0,17100,34519,4190,0,0,33692,267240,270129,5738,0,200953,3990,0,1698,82266,92225,102150,0,0,8216,33547,0,229232,79310,0,741,620958,2,0,198662,0,0,0,0,0,91947,0,0,0,127104,96012,7225,6187,5868,11151,117595,0,26055,79910,75,0,0,760554,15554,10435,46263,17820,68840,32394,427,32481,63809,30353,3437,61575,15886,181917,0,0,55999,0,0,315454,324221,103162,20481,12920,0,0,4961,5006,0,0,0,0,0,62752
"덕평",2,40,399,5362,590,0,0,0,8753,0,3846,1223,4,39,60,11074,226,1361,157,0,68,0,13540,0,0,1143,9,0,0,0,621,4861,323,0,0,524,79490,303970,10014,0,440,5042,0,87,1371,1110,2509,0,0,300,12766,0,3313,1209,0,0,201121,0,0,13579,0,0,0,0,0,68607,0,0,0,3057,4679,143,14603,87,15288,248,0,215,15334,7,0,0,1321,208,39465,506,6250,1871,10984,0,37705,2500,18262,264,2085,930,7045,0,0,3718,0,0,7742,1919,224,130,185,0,0,457,97,0,0,0,0,0,173
"동광양",0,0,0,0,0,0,31,154,0,2374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,24,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,6,0,70,0,0,0,1140,37,0,0,0,0,0,0,0,0,0,0,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,18,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
"동광주",0,0,0,0,0,0,553150,1862,0,294,0,0,0,0,0,0,0,0,0,0,0,703092,0,0,0,0,0,0,0,846731,0,0,0,402,4645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,948767,0,0,0,0,0,0,271590,0,213017,0,0,262458,1677759,95604,0,0,0,0,0,0,0,0,0,0,0,174,779901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,113,0,0,125702,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0
"동대구",67173,130206,1019794,2352,967216,0,0,0,5136,0,27,139977,14558,911,86,2080,249,45909,118232,36883,10803,0,797,0,0,3631,13701,0,0,0,83710,35367,456,0,0,1108,32919,36616,413,0,6737,367,0,6,289122,386241,5943,0,0,305,824,0,1107362,3877,0,39147,71284,0,0,5618,0,0,0,0,0,11420,0,0,0,4898,7301,30948,572,48330,1428,5971,0,469479,8733,0,0,0,12677,228708,1280,300541,984,11076,1776,30909,2691,3850,2335,14,1235,271,2870,0,0,2275,0,0,11741,7969,4188,4852,245128,0,0,160,24048,0,0,0,0,0,8077
"동서울",223,2895,22691,2121299,50669,0,0,0,2277788,0,338553,47388,303,1483,7196,1362,22733,92198,5468,370,2289,0,957158,0,0,74022,211,0,0,0,17676,272873,90891,0,0,30619,2685,22809,18197,0,646,198006,0,12930,101460,69931,123367,0,0,24214,819053,0,196221,63795,0,318,7831,24,0,602657,0,0,0,0,0,14504,0,0,0,112376,4425,7311,64040,5250,411798,21196,0,16740,4539,182,0,0,88912,11499,45363,33477,261131,100061,732229,599,922662,160392,938632,29159,206479,90765,401944,0,0,223492,0,0,9642,98718,402,7380,10612,0,0,31566,4550,0,0,0,0,0,11783
"동수원",279,3972,39629,6853,74917,0,0,0,43605,0,401158,92845,295,1727,9233,504719,26044,126381,14427,587,5283,0,657250,0,0,73661,275,0,0,0,35195,285058,331676,0,0,36123,15648,5875,487251,0,159179,172052,0,14380,160777,78244,107243,0,0,23635,635423,0,322383,68615,0,468,1819194,10,0,101333,0,0,0,0,0,738264,0,0,0,167765,669377,17399,654945,10290,345892,27508,0,26336,544681,42,0,0,122499,16991,1119276,72922,257427,94756,342659,751,853473,204856,306521,36471,216695,101768,192672,0,0,106910,0,0,871127,136564,456216,12505,14329,0,0,34864,9627,0,0,0,0,0,16430
"마성",3,59,310,1117,953,0,0,0,1844,0,3672,1438,2,26,62,16951,269,1171,95,1,56,0,13962,0,0,720,0,0,0,0,609,6543,8073,0,0,560,10645,466063,2565,0,2185,2543,0,94,1981,1662,4422,0,0,503,11583,0,3518,1115,0,0,582686,0,0,9874,0,0,0,0,0,181364,0,0,0,3044,13260,142,15490,150,6787,234,0,219,21069,4,0,0,931,216,13679,736,4145,2646,4770,4,21653,3390,4158,217,3576,597,4105,0,0,1633,0,0,26994,1964,3335,130,276,0,0,235,96,0,0,0,0,0,100
"매송",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6405,0,0,2482559,0,0,0,0,955765,0,0,0,0,0,0,0,0,0,0,0,0,1222228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3947002,0,0,0,0,0
"목천",60,1130,8992,92,32882,0,0,0,330,0,25411,16844,62,514,494,16709,2038,20570,3032,104,964,0,481,0,0,6982,30,0,0,0,6257,190137,427,0,0,6811,322,153406,2381,0,228,172,0,1154,25957,16098,49405,0,0,2531,1201,0,55880,16958,0,106,224785,3,0,20,0,0,0,0,0,54064,0,0,0,103847,90991,3123,810,3236,456,4781,0,6301,79367,0,0,0,34007,3140,2962,17213,461,30415,27,85,805,18155,29,2322,16496,5824,28,0,0,9,0,0,174442,69602,174681,2374,2979,0,0,1945,1810,0,0,0,0,0,2819
"문막",0,31,257,11736,1493,0,0,0,43035,0,2830,735,1,16,56,4261,182,630,64,1,42,0,186441,0,0,1161,1,0,0,0,312,3981,6083,0,0,298,201111,175653,3169,0,146,892,0,120,1093,1047,1733,0,0,257,73946,0,2230,1234,0,0,91870,0,0,9351,0,0,0,0,0,28423,0,0,0,2840,2271,136,19927,116,95407,166,0,556,5974,2,0,0,1141,101,21612,698,98131,1440,5335,1,60460,2936,21431,280,2172,635,3585,0,0,3549,0,0,3332,2268,42,63,81,0,0,194,61,0,0,0,0,0,89
"발안",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2536701,0,0,1408,0,0,0,0,57295,0,0,0,0,0,0,0,0,0,0,0,0,37347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75563,0,0,0,0,0
"백양사",0,0,4,834,12,0,0,0,1814,0,278737,82,0,9,12670,723,18232,76,6,0,0,0,317,0,0,8656,0,0,0,0,1,1070,133,0,0,3,13952,14057,73,0,1176,127,0,60,3,10,1955,0,0,6028,460,0,13,7139,0,1,25000,6,0,1065,0,0,0,0,0,4028,0,0,0,1201,2571,0,211,0,286,78,0,6,3478,0,0,0,418,1,765,3,298,8298,389,0,770,8343,1109,35065,28241,66447,1447,0,0,424,0,0,2584,1785,667,14,2,0,0,11911,0,0,0,0,0,0,29
"부산",26763,57926,142235,5943,1282375,0,0,0,11869,0,37,53134,2824,963,31,6907,128,40190,106963,10214,719809,0,3199,0,0,5635,2063,0,0,0,355125,75163,1444,0,0,291262,82288,107343,1256,0,22684,847,0,3,1534,140960,13183,0,0,220,1462,0,106640,6044,0,32737,210519,0,0,22129,0,0,0,0,0,31976,0,0,0,19097,22548,2711949,1916,669106,3438,13119,0,203025,21427,0,0,0,23857,46652,3636,625476,4259,22490,7740,8023,8920,3976,6690,1,2961,103,10072,0,0,5005,0,0,31789,19362,18377,4975,25460,0,0,68,1010844,0,0,0,0,0,12820
"북대구",234893,38484,856365,4505,342388,0,0,0,9706,0,50,748191,71595,2220,142,3879,477,193873,532314,205427,5379,0,1937,0,0,8044,56660,0,0,0,32666,87395,818,0,0,247628,65338,58583,1082,0,14228,665,0,12,136130,986,15867,0,0,446,1617,0,226079,7434,0,176346,142380,0,0,11981,0,0,0,0,0,24459,0,0,0,9950,14624,19644,1569,22445,3253,16391,0,258722,15929,4,0,0,29519,1133146,2497,124440,2330,23809,3482,170243,5175,7391,4341,11,2133,480,5556,0,0,5130,0,0,22978,16399,9252,17530,236282,0,0,522,12138,0,0,0,0,0,25737
"북대전",24,464,4651,9865,16805,0,0,0,14076,0,39129,12886,29,2853,1095,9880,3758,16026,1630,180,304,0,6103,0,0,43782,15,0,0,0,2573,117779,2263,0,0,6055,113754,95681,3690,0,50096,1621,0,1760,15294,16965,1194,0,0,7266,11066,0,32326,113430,0,94,289952,13,0,79867,0,0,0,0,0,44549,0,0,0,14354,32890,2453,2524,1048,3409,9082,0,3608,28309,28,0,0,95183,2075,4446,7435,6639,24936,10296,66,9913,51892,11934,3183,43323,9961,57775,0,0,16409,0,0,84516,72409,30242,1915,1740,0,0,4229,600,0,0,0,0,0,3905
"비봉",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1035673,0,0,45266,0,0,0,0,486,0,0,0,0,0,0,0,0,0,0,0,0,34950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99831,0,0,0,0,0
"산청",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18578,0,0,7231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,3985,0,0,0,0,0,0,18594,0,0,0,0,0,12549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"삼례",5,26,353,1400,776,0,0,0,2888,0,74034,716,3,20,9975,1006,23779,784,96,16,7,0,609,0,0,33486,1,0,0,0,43,5663,273,0,0,257,21521,20349,306,0,2126,161,0,4948,229,407,6772,0,0,1788,1517,0,651,29078,0,25,43411,6,0,3654,0,0,0,0,0,6453,0,0,0,2976,4150,31,417,48,590,228,0,315,6103,1,0,0,953,109,921,604,886,35020,939,8,1522,11364,1533,8450,8214,49945,3868,0,0,1210,0,0,4912,4662,2037,72,103,0,0,18766,20,0,0,0,0,0,119
