"","서울","수원신갈","기흥","오산","안성","천안","목천","청주","남청주","신탄진","대전","옥천","금강","영동","황간","추풍령","김천","구미","남구미","왜관","서대구","북대구","동대구","경산","영천","건천","경주","통도사","양산","서울산","부산","군북","장지","함안","산인","동창원","진례","서김해","동김해","북부산","서순천","순천","광양","동광양","옥곡","진월","하동","진교","곤양","마산","축동","사천","진주","문산","진성","지수","함양","성산","고령","해인사","남원","순창","담양","남장수","지리산","가조","거창","군산","동군산","서천","서서울","홍성","광천","대천","춘장대","매송","비봉","발안","서평택","송악","당진","서산","해미","서김제","부안","줄포","선운산","고창","영광","함평","무안","목포","무창포","울산","청통와촌","북영천","서포항","포항","논산","익산","삼례","전주","서전주","김제","금산사","태인","정읍","백양사","장성","광주","동광주","창평","옥과","곡성","석곡","주암","승주","내장산","남천안","정안","남공주","탄천","서논산","연무","지곡","남대전","무주","판암","덕유산","장수","서상","동서울","경기광주","곤지암","일죽","서이천","음성","진천","증평","서청주","오창","금산","추부","생초","산청","단성","서진주","청북","송탄","서안성","상주","선산","감곡","북충주","충주","괴산","연풍","문경새재","점촌함창","북상주","현풍","창녕","영산","남지","칠서","칠원","동수원","마성","용인","양지","덕평","이천","여주","문막","원주","새말","둔내","면온","횡계","장평","속사","진부","북수원","부곡","동군포","군포","군자","서안산","안산","춘천","홍천","칠곡","다부","가산","군위","의성","남안동","서안동","예천","영주","풍기","횡성","북원주","남원주","신림","제천","단양","북단양","남제천","강릉","현남","북강릉","옥계","망상","동해","북창원","서부산","장유","가락","계룡","북대전","유성","서대전","안영","화원옥포","달성","남양산","물금"
"군포",42923,233179,49050,33874,20553,22389,5240,15101,2210,4626,7764,1986,80,628,364,231,1913,5602,2265,1260,14114,4014,2248,1212,783,255,4102,509,864,566,3575,82,11,133,1228,98,69,135,109,373,22,177,148,32,166,94,153,209,47,0,28,1527,564,123,123,42,306,6,16,59,119,0,2,2,199,44,265,3341,7395,4018,1057210,14766,4775,7311,1279,11029,13595,23029,52614,22492,16405,17650,6208,1620,2852,1242,812,1769,1378,1094,1799,5616,1351,3558,257,328,300,2297,259,2369,416,3486,426,122,87,364,846,221,279,5670,7,0,0,1,0,2,3,71,3213,3156,654,409,1378,1030,238,240,915,1116,248,611,286,686,257,3355,13211,7793,15428,5968,8307,2154,4582,827,739,133,150,329,720,7309,7195,3342,2691,1247,24188,3754,14914,2843,1801,6237,7278,2664,0,0,4,3,21,0,490950,47259,144648,99020,25122,49295,30731,14181,13970,6487,4494,4038,3535,4490,1453,3794,35507,41548,22,825,1477101,264646,63709,3868,5033,849,31,52,158,198,796,4248,351,1261,9828,2846,855,17685,4420,17098,1133,2590,1216,14404,12462,3993,1301,1824,6775,78,690,157,197,744,4889,4188,1565,580,4,0,436,466
"군자",63098,667652,303365,322182,283583,318314,93400,205352,52866,89376,105603,29412,1043,10093,5928,4060,29251,43174,18146,13198,152677,36703,19511,16847,9228,2932,32978,5635,8367,6472,43350,1220,1460,2402,23078,2706,1349,2107,1719,6178,191,2080,2749,1060,2072,2014,1925,2188,659,0,396,28005,11660,1811,2227,576,4228,62,217,478,1443,55,27,42,2439,677,2534,57102,168933,63707,801436,146975,51444,81329,12319,321171,763109,460726,751347,422027,250383,281397,73579,24131,46826,18884,11570,27036,19637,18226,19444,87709,13592,39149,1886,4186,2532,21144,3006,33101,5735,48280,5896,1573,1266,4640,11603,3100,3629,77639,21,1,2,0,7,9,27,980,93203,71735,8670,6810,22211,14529,2767,4169,12704,13265,2595,6992,3291,1722,563,7583,64017,19220,89635,38567,52783,17729,29836,11721,13327,3344,1782,4359,7664,261985,167126,59616,15923,8396,113377,18271,66286,13979,8107,22052,34448,11533,1,9,27,60,490,0,1533296,152357,412550,347952,94118,195961,121657,60673,75008,32026,20550,19975,19227,15360,6225,19949,565386,494601,12,1531735,564,76,3201243,11160,16309,7878,287,353,881,1206,3915,20973,1870,7405,32174,11367,5067,80046,19198,75626,6230,13627,6622,76975,71884,20405,6708,9284,35951,1268,17683,1573,2766,9801,59569,52418,20273,8265,55,0,5490,5319
"서안산",56399,163481,76751,73541,50882,49336,16708,34233,7716,16188,14488,4597,195,1586,708,666,4922,13388,6192,3502,40494,7816,4475,3815,3292,772,12075,1521,2724,1380,8268,147,111,247,3790,327,249,397,453,1242,18,281,288,90,259,399,249,270,81,0,50,2903,1155,264,328,82,642,20,38,72,155,6,0,8,347,76,859,6456,22560,5855,3218445,14636,6022,9462,1534,35148,89222,78652,127380,50479,28017,26631,7653,2824,5841,2462,1378,3933,2621,2275,2361,9240,1906,9220,610,1496,575,4307,437,4858,844,6932,865,225,172,675,1661,437,525,11307,4,0,0,0,0,3,4,126,12018,9328,1235,782,3267,1984,429,625,1901,1516,400,1014,484,797,236,3505,12930,7249,29786,10235,15874,3717,7317,1623,1906,847,270,537,1118,35948,31312,11565,4209,2809,24960,3400,13197,1875,2377,5844,6194,2314,1,2,3,19,103,0,420672,30245,116436,95751,19977,46379,26216,14835,10334,5167,2595,1899,1926,2540,792,2408,94656,149969,4,285544,2262398,760,31211,3193,4136,1455,52,57,156,172,587,3287,300,1229,5930,2650,734,13097,2916,13076,1022,2170,904,10314,8244,2629,968,1384,5597,425,2465,310,502,636,8291,6701,2882,1216,6,0,1130,2000
"안산",43441,89269,25309,21065,20105,26720,6184,18638,2691,6165,10449,2584,94,973,497,294,2088,3895,1487,755,9232,3838,1911,894,551,257,2418,249,518,469,3149,84,20,123,1598,146,59,149,163,479,9,218,212,34,194,118,155,229,71,0,31,2053,690,125,155,47,460,10,16,37,144,5,1,1,272,33,307,4591,14611,3591,2477905,12251,4132,8274,1063,25981,24173,27147,47006,22772,15356,17753,5368,2351,4216,1999,1171,3132,2053,1769,1797,7603,1134,2806,179,215,236,2009,264,2374,440,3586,428,119,95,340,832,238,285,5748,0,1,0,0,1,0,3,67,4389,4758,793,625,2169,1360,245,402,1445,1384,302,719,356,798,185,1790,6952,3409,8793,3834,4785,1639,3296,1034,1259,128,169,372,802,11091,12782,6034,1443,791,10949,2437,9504,1696,614,2726,4083,1325,0,1,2,13,31,0,214626,24353,65537,40096,12173,22195,16700,7201,6158,3857,2184,2020,1994,2171,861,2547,38701,37169,2,79446,2223456,54300,2609,3099,4138,820,18,36,100,152,516,3005,266,921,5097,2012,610,11025,2863,11450,863,1840,927,9122,8498,2735,879,1381,4954,113,860,126,222,474,4706,4951,2136,929,4,0,357,176
"춘천",4926,12083,3351,4339,1517,4463,413,43,2816,6064,10471,923,36,250,152,32,877,1082,154,264,42521,11895,5977,1934,954,506,4944,552,888,1144,7462,0,0,0,7,0,0,1,0,0,14,150,164,9,59,23,59,50,12,0,5,258,112,27,3,0,87,0,0,1,151,5,9,3,64,0,5,159,96,169,4176,890,193,602,133,1226,805,435,481,630,706,1264,348,11,93,24,20,27,59,32,68,363,89,6934,303,423,445,4124,2294,3069,575,5341,773,157,102,403,1452,240,456,7009,8,0,1,0,0,0,8,69,276,322,98,92,115,110,49,215,905,500,60,491,38,5560,867,2457,14229,1687,3074,3944,2447,12681,6491,314,571,22,46,116,279,255,447,124,727,768,6572,851,4109,1772,408,877,952,1069,0,0,0,0,1,0,17105,3449,7774,15172,4984,11752,19249,51368,41018,4258,2998,3843,5488,4705,957,5010,9404,981,864,3204,12256,3191,3380,919,1187123,11942,2308,6755,5784,2319,3471,17105,4660,4540,17421,363572,194491,310140,18034,111376,5056,10367,5506,40089,9080,7517,2121,3999,15530,0,1,0,1,847,6938,5987,2031,627,0,0,930,332
"홍천",5757,11816,2869,3853,1006,2967,179,22,2354,5262,5810,779,17,108,79,18,495,627,86,106,25448,5920,3179,1017,547,360,2568,361,502,624,3944,1,0,3,6,0,0,0,0,2,8,139,85,8,50,690,55,25,6,0,5,282,1498,129,3,0,73,0,0,0,67,7,0,5,46,1,11,97,55,112,6474,540,192,418,43,1408,703,435,386,548,686,986,258,9,50,8,8,11,21,27,24,217,60,3900,153,218,224,2074,1506,3321,449,3220,539,125,72,226,1126,159,461,4956,2,1,0,0,0,1,1,32,186,206,69,33,48,57,124,186,828,248,39,457,68,7141,614,1544,11200,987,1713,2702,1685,7934,4544,267,403,81,32,135,245,198,274,90,405,647,4158,489,2503,1032,246,440,503,591,0,0,0,0,0,0,16214,1869,5427,13257,3750,6745,14851,26552,8915,1604,1545,1579,1732,1474,359,1708,11532,1133,1305,4372,18487,4247,4697,1119267,936,4355,1125,3385,1572,939,1758,8133,2371,2105,8725,36338,46766,107542,7816,43412,2737,5318,2318,7142,2269,1837,537,759,3363,0,1,0,1,1400,4123,3349,1726,545,0,0,484,220
"칠곡",20768,5991,1903,3886,3439,6633,5462,2249,4702,2355,14916,2712,732,2816,5184,3410,39944,182104,155784,48665,884528,43470,310282,173106,38080,10626,55573,3745,4733,7547,25201,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,4,0,0,0,0,0,0,1,0,0,7400,90,4,5,1,1031,459,655,504,239,270,384,63,1,0,0,0,0,0,0,0,1,1,32872,36743,29239,11309,92902,2280,1834,371,1936,383,89,48,267,315,10,7,29,1,0,0,0,0,0,0,8,819,41,13,15,78,57,2,485,2830,56,11,24,2,32846,1413,3804,443,560,480,880,486,3589,915,303,548,0,0,0,1,681,794,284,30714,14711,2537,669,4979,1223,4088,7639,9669,13392,1,0,0,0,0,0,2522,749,1736,1589,926,2993,2174,1200,996,760,1159,1283,1161,616,415,636,4140,366,504,815,9023,2110,1165,10337,3924,217,77409,341550,154781,164029,147271,63459,9964,55464,13047,1103,521,6021,1649,5934,7741,5893,4467,2584,2630,439,144,147,392,0,0,0,0,782,3945,8190,3787,2074,3,0,3464,1797
"다부",527,138,32,117,102,276,133,58,114,48,316,124,16,51,65,62,431,626,630,787,254019,55583,29942,11978,2241,844,4063,536,614,2554,2452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,2,0,0,0,47,10,18,23,1,4,8,4,0,0,0,0,0,0,0,0,0,0,3000,2096,1218,757,5807,34,49,3,45,3,1,1,12,3,0,0,2,0,0,0,0,0,0,0,0,29,2,0,0,1,3,0,7,69,3,0,0,0,1427,83,145,9,17,21,19,23,79,18,2,11,0,0,0,0,12,24,4,291,92,70,20,173,36,113,152,143,114,0,0,0,0,0,0,114,19,61,74,37,113,158,324,274,170,154,191,201,123,37,186,242,238,24,45,399,67,40,2460,1226,80026,1057,6915,27875,30988,49126,16029,3251,17885,5762,406,176,2408,844,2277,2983,2146,1730,926,702,172,43,71,134,0,0,0,0,19,59,119,89,34,1,0,390,233
"가산",597,141,37,87,69,178,111,63,114,82,354,69,15,55,71,51,429,354,498,1830,1025709,337399,132388,50667,9744,3726,19644,2961,3800,3281,18228,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,2,0,1,0,33,19,10,14,8,18,14,2,0,0,0,0,0,0,0,0,0,1,17997,7069,5522,3848,33163,116,76,10,84,12,1,3,10,14,1,1,7,0,0,0,0,0,0,0,1,26,3,1,0,1,2,0,19,61,3,0,1,0,1530,81,171,35,26,17,12,15,101,38,14,25,0,0,0,0,33,17,12,85,53,43,2,49,7,36,37,28,41,0,0,0,0,0,0,119,28,118,188,55,147,158,1264,728,476,746,1658,973,456,168,540,269,145,27,49,417,99,62,7009,3750,329356,10420,2614,32962,77112,209692,51818,7777,70379,16765,1005,544,6288,1997,7841,10728,12560,5680,3174,2636,647,218,311,659,0,0,0,0,18,48,154,115,54,0,0,2762,2171
"군위",978,258,47,98,55,130,102,60,80,49,281,54,12,47,60,29,280,199,172,906,241576,95849,28132,7655,874,398,3002,427,486,510,3030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657,1,1,0,0,46,10,14,13,16,10,6,2,0,0,0,0,0,0,0,0,0,0,4202,595,336,373,2782,85,62,6,64,10,4,1,8,15,0,0,7,0,0,0,0,0,0,0,1,10,1,0,0,0,0,0,6,38,1,0,0,0,3415,141,304,21,56,4,13,8,51,22,6,15,0,0,0,0,7,11,3,61,50,29,3,31,7,18,23,10,12,0,0,0,0,0,0,256,17,134,157,65,314,325,870,337,161,143,123,157,156,54,178,453,214,63,164,801,140,99,5718,1346,160679,30921,31961,210,12181,30331,16344,3191,14018,4743,614,728,3033,850,4045,2607,2678,1672,438,381,104,29,35,68,0,0,0,0,20,96,168,127,42,0,0,534,325
