"","서울","수원신갈","기흥","오산","안성","천안","목천","청주","남청주","신탄진","대전","옥천","금강","영동","황간","추풍령","김천","구미","남구미","왜관","북대구","동대구","경산","영천","건천","경주","서울산","통도사","울산","양산","부산","동서울","경기광주","곤지암","일죽","서이천","음성","진천","증평","서청주","오창","남대전","추부","금산","무주","덕유산","장수","서상","지곡","생초","산청","단성","서진주","군자","서안산","안산","군포","동군포","부곡","북수원","동수원","마성","용인","양지","덕평","이천","여주","문막","원주","새말","둔내","면온","장평","속사","진부","횡계","북대전","유성","계룡","논산","익산","삼례","전주","서전주","김제","금산사","태인","정읍","내장산","백양사","장성","광주","동광주","창평","옥과","곡성","석곡","주암","승주","담양","순창","남원","남장수","지리산","함양","거창","가조","해인사","고령","성산","서순천","순천","광양","동광양","옥곡","진월","하동","진교","곤양","축동","사천","진주","문산","진성","지수","군북","장지","함안","산인","마산","동창원","진례","서김해","동김해","북부산","장유","가락","서부산","북창원","서서울","매송","비봉","발안","서평택","송악","당진","서산","해미","홍성","광천","대천","춘장대","서천","군산","동군산","서김제","부안","줄포","선운산","고창","영광","함평","무안","목포","춘천","홍천","횡성","북원주","남원주","신림","제천","남제천","북단양","단양","풍기","영주","예천","서안동","남안동","의성","군위","가산","다부","칠곡","남양산","물금","강릉","현남","서대전","안영","판암","서대구","화원옥포","달성","상주","선산","현풍","창녕","영산","남지","칠서","칠원","감곡","북충주","충주","청북","송탄","서안성"
"동군포",23195,82432,29611,27455,16696,15594,3670,7988,6348,7895,6567,1406,25,927,182,196,3751,2631,273,661,3379,1718,1085,1673,126,1475,508,190,2944,407,2209,200,40,804,3743,1326,5077,1237,1982,913,2180,111,391,508,492,117,227,774,93,497,82,169,866,18,5,3,24,20,39434,27893,225517,12853,47153,40182,9924,12896,7897,3883,2682,1668,776,849,517,314,1591,766,3101,2317,1097,211,2423,390,3307,386,117,89,308,845,54,197,232,5236,1,0,0,0,0,1,2,1,6,58,3,69,375,171,13,9,12,3,10,103,58,9,42,43,36,52,8,11,1053,519,48,6,65,34,8,879,2511,0,228,179,338,63,2036,52,38,2698,72,15,2,3,71,1,11,9,12,2,7,2,10,4,4,3,13,2,3,0,2,3,1,3,2,8,462,617,809,139,4310,1096,4213,263,652,178,1936,289,215,951,172,88,66,26,10,254,207,2565,7063,3944,972,214,502,15446,2,0,20,277,0,2,5,6,22,2,1475,604,4247,76,2123,1534
"부곡",22007,61811,24524,29366,25891,21610,4293,9910,6254,6119,4391,1413,31,449,246,166,1216,1637,453,436,1328,758,309,627,107,1063,327,356,1206,566,3849,574,129,1408,4458,2187,5096,2378,3365,1416,1145,256,721,413,513,109,298,127,139,692,96,226,368,478500,137532,41473,23320,57779,80,15865,187948,12967,44248,36234,9199,22399,8091,3312,3724,1647,881,747,619,268,882,566,3108,2434,251,233,1447,247,2091,245,75,56,192,494,33,138,155,3251,1,0,0,0,0,0,1,0,102,66,4,79,148,89,18,17,9,5,11,109,54,177,82,101,61,86,17,14,726,345,67,10,76,51,9,126,1689,0,103,87,226,264,1613,153,91,9209,113,359586,10736,12308,23494,11051,13527,8550,8912,2854,5957,2325,4178,627,1868,1658,3035,474,1172,531,393,662,579,448,740,2516,895,1124,533,219,3682,1585,4484,357,958,308,1611,523,258,1169,225,112,80,31,369,230,271,1066,5336,4120,952,419,869,4065,2,0,36,111,1,0,6,6,49,0,2914,554,3811,2533,4296,1934
"북수원",229013,679042,335581,300343,283528,246423,51375,118598,31471,41760,59284,14386,451,5554,3217,2304,22114,25212,5211,5806,17706,9340,7312,6356,925,13182,2387,1759,12791,2567,15098,3708,801,8173,64358,20496,67849,25780,36051,16622,16684,1788,5023,5570,7203,1323,3797,1664,1458,1823,884,2036,3783,639126,119660,61164,23521,37981,28126,2882,1689556,181558,648802,452898,113939,177109,104379,41362,38290,21708,12186,11949,8645,4033,12795,10757,43390,29252,3245,2548,18317,3173,27257,2992,953,780,2507,6585,474,1752,1995,41824,16,0,0,1,2,6,27,8,223,959,34,1365,1909,1205,337,216,155,46,97,1266,693,115,561,467,1233,1196,275,102,8314,3974,693,178,770,389,98,968,9864,0,802,331,813,936,3888,535,757,8056,550,447611,13678,21112,24880,14140,15881,10317,13176,5006,10784,3037,7338,1144,2807,3771,5357,1098,2380,902,769,1353,1184,1149,1388,5786,9149,11934,6482,2905,53558,17283,50434,4729,9397,3711,19443,5177,3143,16330,3062,1424,968,346,260,3191,1449,1340,73749,53246,10605,3725,6065,35542,34,0,378,1414,3,6,44,64,402,9,27482,8763,52083,4524,43071,24249
"동수원",2240057,79784,205461,185174,153533,125753,21254,46151,11644,13064,24202,5019,180,2055,1090,669,5422,7316,1444,1742,8252,4083,1773,2560,323,5334,864,492,3992,820,6697,6446,929,8531,43334,27546,34832,11524,16508,5356,8976,798,1908,2148,3180,422,1517,603,481,333,382,850,1783,1634484,480542,295831,435014,305836,235395,1718968,2667,214092,436368,298551,101637,154558,96221,27070,27905,14323,7973,10181,6175,2929,9259,8142,21961,16384,1184,1121,8626,1569,13208,1483,483,363,1154,3222,222,772,944,19782,8,0,0,1,0,3,13,2,246,496,21,550,903,515,145,109,70,16,39,643,386,28,316,167,291,525,110,52,3813,1506,340,80,372,193,40,392,3695,0,260,104,342,306,1656,306,177,2161,262,1517214,109791,109349,43496,45287,32441,24544,30380,11346,22896,6138,14867,2306,4602,6451,6128,1303,3223,1145,1166,1700,2022,1524,2251,9609,14646,14044,5055,1852,40531,10062,29447,3038,5172,2345,11358,2774,1645,9324,1608,824,607,182,139,1757,600,304,48444,38868,4508,1416,2686,11944,24,1,195,506,0,8,27,25,75,2,15702,5802,32664,8921,34298,14538
"마성",638843,251546,39084,40089,17313,33031,3554,8429,1906,3262,7718,787,33,254,127,137,1023,2186,313,377,2337,971,284,687,86,1356,389,182,1700,244,2393,21983,462,1112,3680,3054,3129,1336,2243,5978,4798,179,311,222,502,49,163,103,60,73,95,201,1001,149199,26924,29035,34950,18151,12504,161009,221719,2043,22170,23579,8471,15015,8408,3471,2508,1007,698,998,390,176,593,759,5859,3651,307,257,3237,538,4620,549,136,100,340,999,56,226,257,6203,2,0,1,0,0,0,0,0,21,68,2,42,97,99,12,6,3,6,6,124,171,15,111,30,48,50,17,6,910,408,68,27,99,74,9,130,1360,0,70,31,182,98,857,158,39,1030,108,109928,10585,4594,2480,2623,2755,2165,3846,1363,1729,466,1777,114,380,935,874,63,268,93,61,129,132,74,87,782,3121,1638,477,242,7811,526,3959,311,768,258,1272,302,135,1241,182,63,92,155,37,635,273,93,8093,4402,1530,565,746,3475,7,0,44,142,0,0,11,3,13,0,1228,974,5726,1446,4231,1211
"용인",1677323,208117,100821,102451,40020,59853,9713,4729,8051,9867,12505,2246,61,772,491,450,4010,3945,843,1850,4250,2065,1145,1138,170,2296,684,404,2316,797,3457,34525,869,4430,21479,9337,21547,10132,12792,22902,12511,499,850,920,817,140,770,230,284,331,171,298,768,430138,132801,81708,123449,64637,53125,569268,413933,16345,4473,203906,56563,66751,41030,16100,12938,5582,3572,3659,2582,1172,3703,3066,8239,6334,1193,1106,5279,854,7184,935,313,222,722,2035,124,456,641,10931,7,0,0,0,1,0,3,1,83,171,16,202,314,178,48,37,30,8,11,320,234,26,145,54,166,168,69,21,1497,616,136,27,163,103,18,318,1737,0,166,130,282,266,942,188,127,1954,119,371826,28939,23509,8857,13257,8788,6324,7078,2777,4918,1737,4377,627,1174,1753,1512,268,747,265,199,395,542,422,593,2920,5870,4551,2443,1148,24663,7119,17592,1329,3371,1262,5041,1416,784,4526,783,375,530,301,186,1174,401,208,25948,16389,2490,886,1673,9813,10,0,70,215,0,3,2,4,51,3,7951,3031,17310,4727,14018,1366
"양지",1185480,153457,51722,38321,7162,13380,2614,791,2050,3355,6596,838,28,284,206,234,1174,1535,374,492,2246,1101,572,600,71,1007,278,155,1258,275,1311,174334,5917,11856,8686,6601,11571,5291,7293,13262,7850,182,521,489,374,44,247,89,74,96,49,172,339,411156,118629,59992,96307,56885,45152,450342,325693,25495,170792,2258,23225,89868,60958,22820,18547,7855,4530,4184,3453,1776,4626,3930,3672,3217,545,524,1771,475,2241,299,112,68,221,623,31,127,178,3206,1,0,1,0,0,2,3,2,28,68,4,57,117,73,25,17,12,3,16,165,107,6,58,30,93,48,16,4,573,221,50,12,88,29,6,72,674,0,57,41,108,91,570,77,31,807,46,334090,22727,11774,4288,6434,2507,2154,2962,1392,1966,488,1371,160,317,494,347,43,152,52,47,87,78,65,123,665,6574,5686,3627,1164,26153,12968,20769,1429,4293,1190,4666,1224,686,3852,749,346,452,272,128,654,120,65,23945,16511,1013,369,606,3350,3,0,23,103,0,0,0,5,14,0,8929,3390,13162,1433,2651,427
"덕평",219232,58297,12939,14511,3212,6544,780,258,2595,5014,4535,753,25,300,133,147,1301,1842,359,553,1433,675,769,339,44,1582,156,133,871,311,1295,171092,8428,13331,14889,4944,10238,5080,4961,10225,6036,156,293,179,333,54,284,62,57,285,41,110,266,89222,18870,14940,18847,11450,8922,84113,77492,7042,36123,14577,355,58771,25797,8583,6401,3036,2868,2895,1562,637,1873,2168,3069,2503,973,934,1913,254,2072,319,93,66,346,740,20,133,176,3644,3,0,0,0,0,1,0,0,13,66,1,49,89,39,8,16,9,3,11,145,159,10,40,30,30,65,11,6,404,178,33,8,47,28,7,57,765,0,46,22,95,180,445,50,31,1153,50,64649,5044,2730,1486,1791,1053,780,1306,546,818,239,528,71,109,174,128,14,70,17,16,28,27,18,32,216,2531,1908,1272,405,10524,3470,5993,542,833,410,1726,531,243,1471,272,198,292,161,45,355,116,101,9604,6355,885,278,357,3319,1,0,14,68,0,0,3,5,17,0,4465,1456,6190,652,1125,197
"이천",276031,140854,49009,36647,4582,9796,647,168,19566,13948,24748,3306,89,968,430,363,3792,4261,925,1445,5254,2864,1264,1277,204,3689,705,590,3603,884,4537,1019184,55602,159988,50415,11015,25634,16333,13473,67176,27239,658,1308,1061,1364,284,1383,416,262,436,209,491,1080,251117,60188,37859,52646,20705,27981,182904,177408,17892,76617,107359,80719,4232,77225,36164,37137,16337,11572,7856,7214,3120,9857,7469,10395,9542,1546,6419,10519,1389,17383,1721,565,299,1325,4915,133,709,1073,19035,10,0,0,0,0,4,8,4,34,335,13,282,433,214,131,34,11,7,44,622,370,35,212,92,155,220,59,25,1863,889,171,24,166,106,27,216,1934,0,278,133,275,340,781,200,100,2324,98,167747,13445,8521,3910,5134,2326,1977,3004,1096,1935,524,1627,259,420,338,217,41,141,32,38,60,82,57,113,663,11373,6379,5413,2844,61341,13222,45437,3732,6557,2596,12386,3209,1681,10825,2125,1240,1361,1613,565,2093,586,324,60341,37851,4581,1066,2077,12508,5,0,40,272,1,3,3,2,25,0,34405,12861,54946,1441,2816,267
"여주",175933,69788,15822,17752,2286,5256,485,90,3794,5121,8717,1505,22,528,167,165,883,534,85,125,2660,1465,718,575,107,1435,335,422,1413,997,2153,561960,23245,63665,21808,7561,7471,7771,4730,16306,8925,251,767,572,620,70,664,135,97,188,133,230,576,121705,25003,20056,24286,10705,8672,97783,96163,9212,42618,57626,27209,75309,1045,26764,33814,14429,7710,5744,5897,2622,7717,5562,5075,5174,549,2258,4140,546,4954,746,249,111,501,2235,76,331,460,8158,1,0,0,1,0,2,6,2,10,147,5,111,176,64,23,16,7,2,11,224,206,18,147,105,97,96,34,4,903,365,119,3,58,90,9,77,308,0,28,20,42,27,148,33,15,328,24,86369,6010,4422,1717,3072,1733,1307,2044,1235,963,404,904,104,171,188,128,11,87,26,22,38,39,48,77,392,15654,10375,7283,3353,43231,9859,26757,1788,4372,1455,6356,1727,1178,6718,1263,696,919,1378,533,1623,220,101,46160,27161,2246,547,1046,9289,1,0,5,50,0,1,0,2,8,0,19494,9549,47161,558,1263,159
