"","서울","수원신갈","기흥","오산","안성","천안","목천","청주","남청주","신탄진","대전","옥천","금강","영동","황간","추풍령","김천","구미","남구미","왜관","북대구","동대구","경산","영천","건천","경주","서울산","통도사","울산","양산","부산","동서울","경기광주","곤지암","일죽","서이천","음성","진천","증평","서청주","오창","남대전","추부","금산","무주","덕유산","장수","서상","지곡","생초","산청","단성","서진주","군자","서안산","안산","군포","동군포","부곡","북수원","동수원","마성","용인","양지","덕평","이천","여주","문막","원주","새말","둔내","면온","장평","속사","진부","횡계","북대전","유성","계룡","논산","익산","삼례","전주","서전주","김제","금산사","태인","정읍","내장산","백양사","장성","광주","동광주","창평","옥과","곡성","석곡","주암","승주","담양","순창","남원","남장수","지리산","함양","거창","가조","해인사","고령","성산","서순천","순천","광양","동광양","옥곡","진월","하동","진교","곤양","축동","사천","진주","문산","진성","지수","군북","장지","함안","산인","마산","동창원","진례","서김해","동김해","북부산","장유","가락","서부산","북창원","서서울","매송","비봉","발안","서평택","송악","당진","서산","해미","홍성","광천","대천","춘장대","서천","군산","동군산","서김제","부안","줄포","선운산","고창","영광","함평","무안","목포","춘천","홍천","횡성","북원주","남원주","신림","제천","남제천","북단양","단양","풍기","영주","예천","서안동","남안동","의성","군위","가산","다부","칠곡","남양산","물금","강릉","현남","서대전","안영","판암","서대구","화원옥포","달성","상주","선산","현풍","창녕","영산","남지","칠서","칠원","감곡","북충주","충주","청북","송탄","서안성"
"문막",84336,24900,9874,9597,1586,3121,176,34,1811,3713,4329,832,7,178,65,84,150,57,22,82,5717,2783,1406,1078,286,4468,614,452,2886,694,4022,240567,9340,30262,18573,2779,4261,3198,2349,8204,5134,109,250,175,227,26,250,39,41,47,27,71,160,59788,13744,9563,10385,5919,3650,37397,26958,3755,16571,21247,8016,33526,46166,1501,96630,56315,24876,16570,17157,7269,19440,14298,2631,2513,313,1281,2600,299,2158,311,134,55,200,1175,16,145,202,3085,2,0,0,0,0,0,1,0,21,62,2,33,68,6,1,2,0,0,4,93,95,24,38,23,36,50,14,10,182,129,26,0,14,10,0,5,19,0,1,1,8,4,11,3,1,24,1,44758,2651,1993,1421,1686,1095,651,999,360,435,156,407,65,77,79,50,8,37,13,18,17,17,15,32,173,44183,21175,39338,9228,62034,54404,116209,6999,14846,4657,20876,4562,2775,15508,3359,8011,2938,4318,1614,3539,441,219,101123,53540,1227,329,451,17948,0,0,4,6,0,1,0,0,1,0,7612,986,6327,384,748,121
"원주",64675,20107,5624,9756,2423,3903,180,47,2841,4212,7791,834,23,134,60,35,161,27,15,60,1910,927,361,290,58,965,178,108,1037,185,1285,213112,7689,27351,25399,2274,4273,3490,2432,13361,5394,210,288,264,212,50,446,29,14,19,29,53,157,67135,11352,8294,12288,3245,3337,35069,28845,2926,13252,15814,5951,33977,48935,124389,2105,50213,130674,55656,76768,17725,45775,28938,3291,4229,725,1488,3536,373,2971,513,134,58,264,1257,24,118,309,3371,3,1,0,0,0,1,1,3,9,50,1,30,54,16,5,0,0,0,8,105,40,254,58,37,40,16,9,3,152,128,29,2,6,1,0,2,8,0,1,0,0,1,1,0,0,9,1,36959,2464,1292,771,898,1453,1025,1036,425,442,237,422,49,105,111,65,10,43,10,5,19,20,15,27,180,54676,15355,2913,4894,25928,11058,34273,2682,3411,1706,5280,1977,1409,2959,898,971,564,1372,529,1232,154,59,242649,87471,1372,389,602,7998,0,0,0,3,0,0,0,0,0,0,7374,631,3891,313,817,81
"새말",33187,11681,2342,2837,560,2623,56,17,586,1720,1963,179,14,45,18,7,37,3,2,17,1044,739,238,168,31,726,139,58,463,373,616,117547,4237,12107,8620,991,997,1102,601,3777,1299,61,153,93,79,23,143,10,7,2,4,18,28,36637,5361,5158,7954,2357,1828,20596,15667,1109,5565,7796,2722,15631,25604,71689,63604,799,67923,38352,59136,15947,44930,30035,1167,1196,110,712,828,94,1235,166,54,16,97,989,14,59,111,2366,0,0,0,0,0,0,0,0,1,25,0,9,17,1,1,1,0,0,2,27,35,0,15,0,14,8,2,0,62,22,13,1,2,0,0,1,7,0,0,0,0,0,0,0,0,1,0,20024,1393,459,207,413,806,521,447,211,249,83,170,19,37,29,21,4,16,5,6,10,10,10,26,82,5647,2963,1320,3301,42246,4890,11155,1427,1389,929,1857,578,540,1887,354,247,304,689,273,2708,45,88,274367,67241,477,130,219,4146,0,0,0,0,0,0,0,0,1,0,3077,277,1607,123,293,46
"둔내",38163,7061,1381,1338,393,833,28,8,259,702,1085,70,5,16,15,9,21,9,2,7,1134,430,133,130,31,505,117,40,663,44,620,82614,2538,5623,3711,635,517,561,289,1804,925,49,47,27,117,2,74,5,3,1,4,9,32,17615,2037,2547,3048,1235,816,10936,8170,874,3528,3873,2285,11372,13902,30386,139445,73782,450,21905,21811,7940,15357,15697,827,663,56,117,276,42,348,50,13,10,28,170,3,6,20,527,2,0,0,0,0,0,0,0,1,11,0,0,3,5,0,0,0,0,2,24,12,2,7,2,24,8,2,0,20,24,5,2,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,12201,893,290,121,134,212,157,209,73,92,39,76,2,13,15,5,1,5,3,1,4,7,3,6,28,4540,3017,960,2286,30133,2230,7941,743,974,551,1523,349,460,1375,252,170,222,560,152,1061,51,28,40944,22321,204,82,125,2886,0,0,0,0,0,0,0,0,0,0,1776,167,1189,84,192,23
"면온",48054,8406,1675,1142,324,1069,35,5,471,813,820,93,1,10,1,5,11,8,2,10,1346,429,132,106,27,270,70,43,386,28,462,97612,2539,5107,2840,598,257,382,243,1066,631,126,24,9,112,2,30,2,1,7,6,11,21,15310,1542,1961,2434,1183,732,9987,8793,1241,3519,3432,2182,8642,12045,23138,57854,38663,23567,345,13771,14318,34880,20882,1024,500,40,89,282,20,356,61,6,4,12,96,4,16,24,594,0,0,0,0,0,1,0,0,3,3,0,3,4,1,0,0,0,0,0,10,25,2,7,3,2,1,0,0,22,32,0,0,1,0,0,1,2,0,0,0,1,0,3,0,1,2,0,12683,796,154,72,97,139,129,240,73,104,20,63,2,5,15,11,3,7,1,1,2,2,1,7,19,3731,2649,791,1379,14419,670,2726,303,465,341,835,251,296,916,185,104,136,1006,146,730,40,11,55849,21598,203,59,66,2382,0,0,1,2,0,0,0,0,0,0,1296,143,886,39,127,19
"장평",17399,5304,892,1190,274,690,31,10,239,676,982,122,0,20,10,6,24,2,0,4,540,220,85,50,23,250,66,35,351,42,376,55288,2286,4501,2722,421,383,448,285,1283,669,21,58,31,58,7,26,23,1,3,0,9,14,15397,2205,2323,2459,893,674,7844,6267,474,2621,2960,1475,6340,11166,21939,80690,66124,21087,15350,536,17722,79695,60798,477,565,49,169,344,71,504,110,40,80,39,302,4,13,44,916,1,0,0,0,0,0,1,0,1,10,0,9,10,0,0,0,0,0,0,25,18,2,6,5,3,2,0,1,29,12,4,0,3,0,0,6,1,0,0,0,0,0,0,0,0,2,0,9476,729,228,99,166,184,286,274,90,118,35,94,8,11,12,9,2,10,0,4,1,7,7,4,64,5539,2321,645,1465,17512,747,1757,234,349,269,626,242,339,523,169,133,221,377,109,763,53,21,184050,62265,258,96,90,2353,0,0,0,1,0,0,0,0,0,0,1332,134,861,77,134,17
"속사",6777,2914,427,689,134,357,14,4,151,444,511,54,5,9,5,5,6,1,1,3,336,137,32,20,15,120,36,26,200,25,186,19489,763,1769,1336,174,177,226,191,738,356,12,21,17,22,1,39,5,1,2,2,10,8,7117,995,1075,1226,667,292,3880,3242,173,1134,1578,543,3141,5914,11026,23775,20775,8880,13987,21639,457,5195,16073,261,342,32,83,221,29,213,68,26,4,22,124,3,13,11,641,0,0,0,0,0,0,0,0,0,6,0,22,4,1,1,0,0,0,0,9,14,0,1,2,3,4,0,0,3,5,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3998,318,178,53,57,72,97,124,45,51,8,47,6,9,6,2,1,3,1,1,1,1,0,1,22,1565,956,354,767,7419,504,1131,145,204,208,355,119,181,329,109,66,107,261,94,478,23,9,47428,9869,139,60,53,1282,0,0,0,1,0,0,0,0,0,0,671,57,451,29,71,6
"진부",25161,7411,1198,1894,398,1176,35,13,362,1035,1582,190,4,46,16,2,23,6,3,9,1000,396,108,77,26,318,82,67,331,83,521,74495,2842,5196,4491,531,471,652,498,2206,1134,51,94,59,62,20,112,23,4,5,10,23,38,20231,2689,3014,3125,1576,890,11063,8971,663,3470,3734,1474,8949,16626,27954,49869,48225,14519,35906,82545,10163,2707,75962,1015,923,63,366,556,91,622,137,29,19,52,283,11,30,46,1323,1,0,0,0,0,0,0,0,2,18,4,14,13,3,1,0,0,0,3,35,18,1,16,10,8,5,3,0,38,15,3,1,4,0,0,0,0,0,1,0,0,2,1,0,0,3,0,12797,936,370,179,214,178,240,353,102,146,55,142,11,31,39,18,3,9,3,2,3,4,8,6,53,6892,2990,1011,1925,17761,880,2561,362,509,564,1073,328,449,904,215,205,265,538,226,943,91,26,228551,44520,444,143,210,3742,0,0,0,0,0,0,0,0,0,0,2015,201,1427,97,207,37
"횡계",42982,6793,957,1479,392,976,35,18,369,918,1399,148,2,32,7,5,25,16,4,7,2026,517,148,172,37,408,84,66,600,86,814,94682,2323,4428,3149,517,347,460,425,1838,1091,43,65,42,178,25,78,14,6,5,7,13,38,15217,1683,2166,2244,1030,2073,9506,7582,863,3147,3128,1662,8368,13563,22539,34637,31674,16074,21453,60909,17927,85701,1420,1524,893,81,211,459,76,664,115,42,8,45,272,13,24,115,1485,0,0,0,0,0,0,0,0,0,19,0,14,20,4,0,1,0,0,1,34,24,1,7,6,7,6,1,0,22,16,10,0,2,0,0,0,2,0,0,0,0,0,2,2,0,3,0,11028,781,197,92,125,162,202,535,171,119,25,93,6,19,29,17,9,8,1,2,11,16,7,4,63,5889,3026,873,1566,11943,524,2439,273,578,444,1041,363,766,1150,298,201,281,893,216,1113,73,28,324608,75722,319,159,155,4755,0,0,0,3,0,0,0,0,0,0,1829,215,1537,48,153,23
"북대전",396049,72467,26655,43122,40466,135975,49384,43494,192063,30975,154193,133814,3103,18591,7445,3831,18308,20437,3891,6202,23380,9711,3779,8143,673,11947,1301,1114,10195,1431,7123,211522,9097,16612,26144,5862,17644,29543,83227,163887,49756,23231,32115,27127,16345,1540,3420,1089,784,714,689,1401,4775,58253,8832,7114,5302,3915,2701,37976,17309,4700,7303,3923,2900,9535,5241,2841,3304,1364,1089,1453,537,265,1255,1883,522,46955,54545,56667,60441,7753,65211,7206,1664,1142,5106,14351,909,2139,2639,45413,26,1,1,0,1,10,35,8,275,887,35,962,1305,652,110,183,113,58,119,1734,866,2897,564,449,575,665,117,103,7512,3246,625,128,653,302,74,656,9013,0,728,254,816,719,4972,544,396,7277,996,68469,10065,3647,2856,3706,1417,770,958,270,98,5,38,6,5,14,1,0,4,0,0,0,0,0,0,5,6648,3977,809,282,8500,386,1161,122,206,60,90,76,13,151,213,77,41,51,30,2591,544,268,7951,6232,183694,76182,95559,25832,87,1,1400,1552,4,16,43,51,152,2,149,25,99,7118,6946,1442
"유성",356805,62612,18727,39690,43021,111144,35176,34688,231274,184382,416185,188699,4262,33403,13117,7143,42273,40802,6580,14605,41294,20674,10254,19445,1940,28431,4102,2725,22885,3537,17585,185446,8910,15551,22229,6647,15894,24339,74052,123631,32283,129690,136595,93202,56703,6685,12472,4522,4111,6264,3281,6334,14668,59434,8346,8676,5133,3511,2325,27644,14622,3826,6123,3538,2641,9502,5863,2878,4489,1172,713,777,597,294,1127,980,87964,3621,133707,284756,255958,39695,290313,40416,9849,7585,22652,66501,3278,9366,13989,214077,158,5,2,2,5,32,54,33,151,2473,115,3656,5390,2915,713,999,566,343,338,3968,2326,412,1707,894,1911,2447,621,414,27854,10710,2387,503,2691,1533,330,2829,28569,0,2710,1442,3628,3026,16466,2219,1657,25252,2520,54800,9432,2816,1990,2928,720,675,810,231,78,10,37,1,5,4,5,1,5,1,2,2,0,0,0,3,5522,3217,650,279,7814,413,1553,106,213,92,109,188,19,319,571,236,118,115,119,6043,1835,821,8779,5608,151047,259436,190180,58044,444,10,2717,3442,18,103,211,163,765,23,153,24,135,5658,5995,1455
"계룡",38622,7992,2255,3482,2995,8574,2741,2669,27365,35664,83825,14433,519,3593,907,359,2566,4280,965,998,6993,2211,1879,1538,156,1813,209,115,3176,113,788,26671,1167,1997,2972,682,2056,2735,7800,10308,4138,38107,10546,8280,4392,508,656,313,360,249,247,501,1130,7429,751,612,403,1268,196,2964,979,296,870,383,633,1203,552,342,803,102,76,44,49,33,100,87,54206,132216,739,28077,31424,5027,27437,7102,1199,821,2542,7162,457,1141,2274,23717,9,0,0,0,0,1,3,1,14,113,6,232,726,218,38,91,63,57,7,150,88,18,102,73,128,194,57,29,2640,2775,1030,60,226,137,42,296,6880,0,268,81,365,3390,3336,208,113,3459,221,6868,691,217,252,313,41,46,36,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1107,870,89,46,3216,45,147,6,12,15,12,7,0,34,61,11,8,15,8,467,62,63,2304,675,19773,67119,48874,4224,86,1,297,431,2,15,32,18,44,3,22,2,20,553,1057,141
"논산",26188,4379,1239,3228,2809,3900,1975,5512,32466,32059,79169,21105,320,17853,2451,1399,9515,8694,1803,3666,8732,4938,3435,5127,379,4939,833,451,5777,1135,2248,44238,2436,5021,7265,3154,5861,6985,19557,17878,3478,30759,6816,6505,5792,603,538,564,370,382,363,774,1851,5305,800,842,423,274,194,2115,751,236,684,392,635,4569,2017,1309,1415,424,132,84,199,99,349,207,51528,261372,27403,2205,167606,31018,161429,25630,9969,6700,24180,43918,2247,8909,13923,190320,9,0,1,0,0,1,0,4,4,40,2,112,561,389,140,99,129,121,8,45,22,6,25,19,63,139,70,27,2773,1131,270,76,462,748,55,465,3546,0,756,505,540,505,2916,308,213,3701,268,3658,588,146,78,187,17,14,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1614,1448,342,107,2391,137,470,37,58,14,36,93,5,66,154,84,37,28,15,1287,268,82,3225,1728,193992,72308,39058,13480,220,0,1004,1262,6,38,45,45,180,7,32,4,32,353,341,122
"익산",288159,40476,13046,34230,24617,38883,6936,11987,48386,30849,66513,15647,235,9290,1742,1074,11046,15147,3375,3849,8879,5302,3217,7570,491,18087,1064,389,12190,353,1505,109352,5100,15751,16595,4449,13283,16818,35945,38221,10387,15580,3234,2891,10107,511,142,94,78,69,112,201,573,31441,5483,3978,2602,2874,1401,18035,6931,2778,5318,1739,1935,9812,4665,3113,3884,1141,366,300,541,272,676,490,57651,246615,30422,164214,135,5691,42300,21442,10305,10055,20948,47179,3163,7684,10691,141124,1,0,0,1,0,0,0,0,0,6,1,20,164,101,39,35,33,80,0,2,4,0,5,11,8,31,19,13,911,475,90,20,108,71,18,106,1431,0,178,81,232,291,1362,137,81,1634,105,30991,6398,1418,870,1771,119,56,38,14,8,3,7,0,0,7,2,0,0,0,0,0,0,0,0,0,3179,2912,522,179,3838,312,918,68,121,39,53,115,10,102,251,130,38,29,42,1608,124,55,5922,3849,139412,39976,21651,14884,219,2,1067,814,1,11,34,21,43,2,101,9,65,4922,4029,1224
"삼례",41027,5817,1868,4918,3457,5495,996,1720,5981,3530,8304,2279,42,1011,195,130,1918,1954,726,1047,894,713,1431,924,30,1342,146,26,1005,22,138,15383,683,2026,1966,669,1089,1689,4044,3930,871,2578,386,414,622,47,18,3,2,4,7,10,43,4760,798,669,395,398,206,2602,1045,372,635,460,370,1336,553,266,415,94,52,34,84,25,102,67,7034,34328,4580,29677,9610,31,13236,29655,20854,16510,28319,59005,1894,4660,16230,91918,0,0,0,0,0,0,0,0,0,1,0,0,8,8,0,3,3,4,0,1,1,1,0,0,1,4,3,1,61,28,7,1,6,9,1,6,77,0,7,7,10,20,110,11,3,106,5,4469,900,197,127,244,15,6,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,504,53,33,457,55,122,5,9,2,4,17,1,16,34,27,6,8,3,198,8,4,758,478,18810,5393,2975,1459,27,0,153,119,0,1,1,0,2,1,10,0,7,668,549,169
"전주",444686,62503,19472,51022,36851,57924,10922,18130,56674,34468,89313,17294,241,8813,1738,1120,10830,14151,2928,4535,7574,4556,3439,8060,413,8556,1033,772,8688,277,1127,157986,7438,14851,16204,6232,11893,13714,37898,36956,6475,18222,3937,3285,3855,255,105,41,27,42,40,46,245,50189,8369,6657,4248,4285,2148,27588,10754,4110,6781,2471,1896,16137,5177,2445,3304,1638,448,665,691,287,817,691,69914,296686,28695,153718,52391,25735,1074,31897,39902,43411,94948,343661,18898,36358,44403,896826,4,0,0,0,0,0,0,0,2,4,1,9,45,30,9,12,9,25,0,5,4,1,3,2,4,7,17,8,378,261,37,12,145,31,11,124,635,0,54,33,78,114,589,56,31,682,36,46903,9429,2028,1211,2532,163,81,56,21,15,3,11,0,0,3,3,1,0,0,0,1,0,0,0,2,4853,3318,609,251,5040,398,1152,102,156,39,63,133,11,169,302,128,39,52,34,1265,95,22,9202,5038,151627,46134,22772,10316,157,1,1408,838,1,5,13,2,24,0,130,14,112,7017,5844,1801
"서전주",43499,6264,1969,5116,3639,5857,1288,2249,8911,4148,11709,3381,53,1373,297,204,1579,1768,334,705,1273,740,501,1127,57,1134,127,25,871,31,148,20375,966,2295,2521,960,1586,1856,5236,4735,1059,2754,739,649,985,58,14,16,10,2,6,16,31,4465,765,577,367,407,206,2604,1034,410,742,299,275,1622,1006,384,610,193,70,74,121,46,133,134,7578,42467,7024,23974,23774,32472,36572,567,7232,9066,49848,297401,9666,11754,15399,253618,0,0,0,0,0,0,0,0,0,1,0,0,5,9,0,5,4,6,0,0,0,0,0,0,1,2,0,0,43,27,3,0,1,4,2,3,71,0,9,4,22,8,88,6,6,76,6,4418,904,203,119,246,18,9,5,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,729,546,123,38,743,55,184,15,33,4,10,16,4,35,39,28,6,8,4,222,7,0,1107,624,23264,7744,4068,1500,23,0,239,240,0,1,3,1,1,0,13,3,15,692,581,195
"김제",12147,1771,546,1437,1067,1675,315,450,2622,1371,2513,895,7,346,51,80,363,431,69,150,447,358,166,238,27,301,52,9,225,9,30,6523,309,696,711,261,725,720,1566,1490,278,808,406,853,163,12,3,4,3,1,2,2,3,1329,219,178,112,109,64,753,298,98,218,79,102,435,186,105,101,73,14,9,29,8,29,26,1840,7995,1048,9502,9737,20564,34458,5479,77,2962,32243,347738,9426,14787,15405,213843,0,0,0,0,0,0,0,0,1,0,0,0,6,2,0,1,2,0,0,0,0,0,0,0,0,0,0,1,12,3,3,0,3,4,0,2,15,0,2,2,5,6,26,2,3,27,0,1246,257,56,30,71,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,115,15,12,143,14,42,0,2,0,1,2,0,6,20,6,2,2,1,77,0,1,236,125,5183,1561,946,917,7,0,55,130,0,1,0,1,0,0,5,1,3,198,172,52
"금산사",11321,1566,504,1279,963,1404,286,362,1491,654,2117,525,9,259,63,46,440,348,49,101,247,125,119,137,15,207,17,5,201,8,25,5434,272,532,505,156,280,359,985,865,217,606,189,168,261,6,2,2,1,1,4,3,6,1261,209,158,99,108,58,735,271,87,177,49,39,303,120,46,65,23,12,3,6,7,25,17,1078,7373,885,6284,8620,17953,38958,7797,3324,14,7954,43752,3816,12588,11515,161660,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,10,4,1,0,2,3,0,3,7,0,1,1,0,1,8,3,0,19,1,1169,236,49,30,61,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,63,10,9,101,16,32,0,4,1,2,1,0,2,8,5,0,1,1,31,2,0,147,96,4052,1626,849,331,6,0,39,33,0,1,1,2,0,1,4,1,2,175,150,50
"태인",36436,5093,1604,4189,3025,4728,860,1223,5662,3127,6713,2073,18,1275,205,179,1754,1390,234,367,827,372,170,463,33,506,32,6,373,4,42,18310,924,1710,1772,630,1816,1538,3578,4868,945,2073,592,488,473,32,11,9,7,0,7,13,7,3974,685,553,345,353,183,2310,846,258,592,215,384,1023,584,198,261,96,32,18,64,29,61,46,5086,21112,2510,24216,18515,27829,89373,48851,27489,7958,2231,33150,3841,12748,10718,198548,0,0,0,0,0,0,0,0,0,0,0,1,6,9,0,4,2,5,0,0,0,0,0,0,0,0,0,0,10,7,3,0,2,1,0,0,9,0,1,0,2,2,6,2,0,13,2,3805,773,162,96,210,13,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,265,82,18,434,43,100,4,10,6,11,7,0,13,27,8,3,6,1,172,5,0,549,319,13707,4886,2849,847,16,0,115,107,0,1,0,0,0,0,7,2,6,566,480,150
"정읍",102222,14151,4519,11668,8415,13605,2637,4539,17657,8912,18826,7113,89,4393,943,352,3916,3759,1018,1006,1337,593,377,809,59,824,51,19,456,14,69,61996,2509,5398,7384,2384,4462,5488,15454,13083,1967,5214,1801,1539,1607,124,27,7,7,1,0,17,10,10812,1807,1394,914,965,475,6091,2413,783,1691,532,557,3880,2221,1165,1516,538,200,98,393,193,401,337,13976,69758,8054,40895,43837,65811,345410,296194,325402,48881,38502,225,7362,62593,62384,837492,2,0,0,0,0,0,0,1,0,1,0,0,4,9,0,2,2,2,1,2,1,0,0,0,0,0,0,1,10,9,0,1,0,2,0,3,16,0,4,0,2,2,25,1,1,17,2,10410,2145,457,280,575,37,18,12,5,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,1713,1335,275,80,1637,174,525,39,27,12,13,33,2,29,51,31,14,24,5,290,7,1,3214,1679,34354,11551,7772,1983,23,1,387,333,0,0,0,3,1,0,34,6,26,1617,1354,410
"내장산",4007,567,192,495,369,551,110,115,560,238,587,124,1,73,10,14,66,99,9,33,34,8,11,14,4,15,1,0,8,0,0,1504,82,123,130,46,79,125,238,300,34,177,78,46,33,1,0,0,0,1,0,0,1,548,81,65,36,42,23,269,97,27,59,14,10,67,34,14,13,14,2,3,6,3,7,3,581,1865,317,1283,1564,1765,12350,7814,7390,3124,3758,6066,109,11045,8908,90528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,468,90,20,12,26,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,11,3,1,47,1,13,0,1,3,0,1,0,4,0,2,0,0,0,5,0,0,54,14,1349,611,244,32,1,0,12,3,0,0,0,0,0,0,1,1,0,64,62,21
"백양사",28375,3882,1235,3346,2336,3528,623,678,2724,1191,2268,629,7,231,46,44,160,226,18,19,35,14,5,22,0,24,2,1,7,0,2,12525,580,1311,1187,383,971,881,1930,1722,276,831,193,168,100,12,2,0,2,0,0,2,0,3568,538,462,275,263,159,1845,661,192,428,117,94,642,342,218,180,66,12,17,27,12,52,35,2111,9025,1088,10466,6687,5799,38242,12669,16764,13359,13521,61006,10137,67,30270,440815,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,3084,619,134,78,162,9,6,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,201,202,50,13,293,28,49,5,4,2,0,2,0,0,1,1,0,0,0,8,0,0,397,225,4866,1341,898,23,0,0,17,21,0,0,0,0,0,0,12,0,3,448,381,116
"장성",29559,4115,1275,3474,2406,3660,665,983,3824,1954,3294,1314,10,401,116,45,278,442,59,32,45,25,8,13,0,11,22,0,3,0,4,15346,600,1418,1702,568,809,1311,2658,2671,388,845,258,182,93,5,1,0,0,0,0,0,0,3463,592,504,309,266,140,1819,705,226,523,165,131,842,559,228,317,99,29,19,141,12,67,81,2468,12074,2233,11835,8500,12196,41949,14969,16643,11603,11370,57653,10728,30864,88,758451,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,3189,619,139,81,166,9,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,530,413,71,38,517,33,73,4,4,1,2,1,2,0,1,0,1,0,0,5,0,0,758,382,5754,2079,1190,29,1,0,70,33,0,0,0,0,0,0,11,2,11,450,379,113
"광주",660770,93228,28233,73812,53695,82345,14394,23652,43601,29921,46534,14349,177,4296,1016,274,2023,4498,677,121,164,97,38,56,3,108,8,3,59,9,61,237262,10256,21165,20614,7727,12113,14059,35972,34127,7038,9969,3307,2510,933,56,34,6,2,2,2,13,20,79991,13196,11226,6502,6269,3243,40247,15681,5131,9534,3217,5604,16366,8919,3445,3881,2656,699,649,816,518,1294,1290,44149,210502,24531,171438,121564,106077,836432,269895,247830,157542,195941,789046,129578,484321,982514,208,40,0,3,1,0,1,1,2,1,6,0,3,7,4,0,0,2,1,1,1,1,1,0,0,1,1,0,0,16,14,1,0,0,1,0,4,20,0,4,0,3,4,15,2,0,27,1,70736,14050,3046,1874,3771,245,117,81,32,26,4,14,3,1,2,3,0,0,1,0,1,1,0,1,3,6788,4651,693,268,8410,559,1326,120,117,41,28,16,0,8,18,4,1,3,0,27,7,1,10573,6960,83084,20878,14294,162,5,0,421,256,0,0,1,0,0,0,146,23,108,10078,8393,2601
"동광주",186,18,15,19,17,17,12,13,47,20,85,26,1,13,2,2,7,15,1,1,1,0,1,0,0,1,0,0,1,0,0,198,10,8,24,3,13,16,32,32,3,125,143,716,6392,7695,464,1551,4672,3880,3186,4129,17694,28,3,4,1,2,5,17,6,2,3,2,4,6,4,2,2,1,0,0,0,2,4,1,23,79,5,1,4,0,2,0,0,0,1,2,1,0,1,12,8889,229049,981953,752008,237350,205826,98035,599763,303986,321175,58452,44936,20804,41657,4604,8884,11960,15409,705172,1432996,159431,199082,62986,69028,45496,5664,5512,2875,88023,45992,8079,2701,9872,7685,3569,11392,111996,0,15037,5875,15095,16965,199215,11148,6618,142417,7634,32,4,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,2,1,0,13,2,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,21,16,63,67,60,0,289428,348,5,1,743,2691,3518,1294,5376,189,0,0,0,1,5,0
"창평",12,0,1,1,1,1,0,0,5,3,4,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,16,1,3,0,0,1,0,1,1,0,2,8,24,97,102,6,11,31,37,34,81,399,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,191407,303,25557,45557,14402,8596,4520,4390,1962,2866,654,525,263,352,42,146,103,71,20868,37888,4725,4565,1721,1574,1217,209,165,126,1928,895,162,73,205,183,115,252,1622,0,527,118,283,288,3257,172,147,2509,118,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,1,0,2397,6,0,0,17,43,68,25,48,1,0,0,0,1,0,0
