"","가산","건천","경산","경안","경주","곤지암","광주","구미","군위","금강","금산사","기흥","김제","김천","남구미","남안동","남양산","남원주","논산","다부","대동","대전","덕평","동대구","동서울","동수원","마성","목천","문막","백양사","부산","북대구","북대전","삼례","새말","서대구","서대전","서안동","서울","서청주","수원","신탄진","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","음성","의성","이천","익산","일죽","장성","전주","정읍","증평","진천","천안","청원","청주","추풍령","칠곡","태인","통도사","황간"
"남원주",4,101,548,44525,1914,203794,10761,1605,0,76,238,10320,690,1653,177,2,57,0,4546,6,245,19313,20797,872,988776,644177,17705,392,267873,312,4462,1936,6651,1093,128865,7063,3297,4,458649,36100,113752,8396,7784,444,57825,253,254625,622,298,28867,3093,336,76269,1604,105370,7575,8387,4,210791,6785,84819,1640,9445,2055,6790,8061,12400,7404,155,201,267,582,155,223
"논산",16,539,5044,6476,9365,15328,204561,10459,35,593,12068,3572,21567,11173,1026,188,226,3992,0,34,1086,62272,1157,4505,90650,75969,953,7260,1366,10048,11375,13042,49486,39589,5970,21183,456273,142,158569,22139,27390,32327,14269,1908,916,1156,2948,6322,2012,21448,18422,2616,2495,7592,3949,289960,6322,81,8676,107650,7499,24654,192994,61403,23480,8227,19666,28032,9233,1172,1575,21825,525,2166
"다부",6680,287,5461,9,3187,23,0,243,15185,7,5,11,1,140,234,23427,61,7,24,0,272,225,2,12252,192,144,0,36,0,0,2705,66738,27,1,2,129307,10,24207,343,19,64,18,56,914,2,350,8,28,1441,30,64,849,5,2082,5,66,7,24267,13,12,9,0,9,2,6,5,44,21,22,19,32345,0,203,49
"대동",1977,15523,27288,621,423353,1447,47,6501,444,184,5,622,12,5810,5033,1295,1089105,322,1033,313,0,8424,181,34092,9002,12399,172,1939,150,0,198925,14148,1061,27,187,5206,579,5305,19146,1685,3724,1227,2085,388650,137,154418,358,1736,48411,2700,2753,3738,416,762193,428,2117,797,1106,818,286,675,0,93,5,1173,558,4621,1607,1149,582,2550,7,239503,1787
"대전",174,3438,35692,23015,80724,48509,65357,106835,252,78843,1551,17799,5524,160730,10381,980,1478,20412,78638,201,7436,0,5044,39800,328334,299470,6352,245173,5121,1912,112477,120395,125479,9853,32387,254069,71351,886,731821,256398,119118,243486,106816,15302,4686,6447,12912,136613,20899,104320,721206,21253,14403,55966,17666,68399,39932,483,39283,69870,33536,3678,75964,15932,203428,59321,402900,340916,132442,25209,14318,4940,5148,67481
"덕평",0,78,336,5418,1103,10210,4934,1387,5,27,75,11869,275,1630,182,5,39,12616,1338,3,164,5611,0,506,74149,341847,13965,455,5949,161,1741,1188,2150,330,10716,4783,1074,7,196345,13642,98555,2631,6535,209,19861,109,15617,270,166,19780,1412,220,54737,717,6053,1887,11712,7,48038,2404,16557,362,2491,1237,6588,4908,9450,2489,283,158,140,257,95,408
"동대구",60750,143666,1265195,2571,1221214,5802,45,134151,13154,999,98,2096,278,46971,130711,24233,7328,892,4411,14623,34344,42187,413,0,39098,38302,398,6042,431,13,382032,693663,6371,347,732,1225217,3535,36840,84888,7252,14047,5481,7980,58505,526,52333,1464,6633,512416,10422,14532,232696,1388,359592,1363,10232,2149,27779,3605,4265,2427,13,1457,345,3506,2203,13338,6608,3871,5053,271127,164,28723,8689
"동서울",163,3358,28532,2497607,68821,2584946,399864,62462,341,2529,8577,1607,27586,106043,6847,569,1404,997112,98104,185,6818,319779,93359,38116,0,26957,28360,670,232279,14949,138397,101446,132227,28395,840524,223983,61632,443,15581,718514,19439,130948,5674,12080,77427,5392,430119,26823,14741,5881,83944,13967,55602,39254,266410,115809,947748,704,1049669,186864,875265,30440,264766,102683,426200,261120,11324,130417,779,8291,11677,32791,4524,12506
"동수원",251,4813,58293,7922,103174,45537,455621,110011,383,2609,10291,502822,30366,149221,16221,692,3536,627892,93718,232,13497,306810,335171,42221,17245,0,567545,165415,195160,17777,209695,95535,105558,26739,562928,388878,65641,589,2144697,125090,823239,184880,1036163,27353,529877,10924,314202,31847,19291,686743,109806,19746,1011472,82415,242987,100712,365952,744,874745,221420,256096,42978,263208,99132,184412,110096,1360333,153154,480741,17780,14645,33303,9738,17362
"마성",4,58,357,1577,989,2787,4265,1934,2,67,127,24105,263,1660,172,7,51,15602,1087,1,288,6301,10473,530,11681,540726,0,2885,3126,139,2292,1789,4434,718,12464,4226,975,7,697110,12925,239280,3560,14983,257,23498,162,9109,260,144,26441,1045,221,54571,747,4683,2896,6562,3,23864,3925,4811,223,3871,760,5384,2805,28813,3697,2884,185,268,291,116,112
"목천",41,813,10037,121,25933,265,24565,16471,30,928,575,14221,1637,20857,2967,111,570,554,6871,21,1847,211682,391,6149,284,155582,2853,0,189,1045,26418,13955,51772,2368,985,54418,16581,76,318409,25,58565,118370,85787,4366,646,2021,409,4917,3100,88630,28751,3610,2388,15544,471,34604,27,67,791,14730,44,2151,16729,4992,42,8,189755,80813,186321,2761,1860,1829,979,2814
"문막",1,50,415,13495,6437,55966,3546,863,0,28,47,3195,219,852,169,1,23,249292,1631,1,152,5550,8638,406,230457,208070,4926,156,0,121,1621,1212,1798,279,71322,2822,1166,2,120392,11140,38701,3012,3058,365,233354,74,95057,210,536,9388,1009,204,277750,1171,94366,1425,5435,0,84457,4263,23897,288,4449,833,3408,4247,4225,3480,71,75,116,161,65,73
"백양사",0,1,10,1059,25,2794,305341,114,0,8,20273,791,19725,107,3,0,0,354,10994,1,0,1356,168,5,16755,17350,89,1261,111,0,6,11,2594,7652,466,15,9879,2,31493,1422,6111,1710,2632,2,165,3,269,76,2,4278,656,16,480,7,411,9677,604,0,975,9763,1040,46392,35771,78542,1769,610,2965,1990,885,10,3,12448,2,17
"부산",27683,78419,185916,7694,1657033,20015,74,67930,3471,1707,107,7953,266,56910,122209,9953,494913,4528,10731,2282,175118,109685,1520,384333,121743,156416,1563,23320,1457,13,0,185721,12143,566,1933,136711,6449,36663,314188,27622,48455,20757,28525,2959050,2539,791031,4575,18620,242509,33323,30964,49132,4821,1034943,5679,22496,10985,8386,14437,8626,8288,8,4233,352,13178,6866,53176,20391,22677,5354,30132,138,1295336,16519
