"","가산","건천","경산","경안","경주","곤지암","광주","구미","군위","금강","금산사","기흥","김제","김천","남구미","남안동","남양산","남원주","논산","다부","대동","대전","덕평","동대구","동서울","동수원","마성","목천","문막","백양사","부산","북대구","북대전","삼례","새말","서대구","서대전","서안동","서울","서청주","수원","신탄진","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","음성","의성","이천","익산","일죽","장성","전주","정읍","증평","진천","천안","청원","청주","추풍령","칠곡","태인","통도사","황간"
"언양",2906,12947,24922,404,165346,1456,13,6394,271,134,14,574,50,4556,8635,736,38012,174,988,266,155349,8435,261,45936,7268,11391,118,2721,87,1,761234,22051,1570,112,111,33828,871,2769,15315,2432,6169,2742,1942,203755,190,0,169,1619,25051,4862,2858,7048,617,1914600,265,1393,571,586,732,1266,656,1,322,57,815,695,4605,1714,1160,447,3825,22,50669,1012
"여주",0,124,945,21696,2003,76055,9689,2087,6,54,151,5967,507,2845,186,7,59,239506,3143,9,391,12343,17370,1370,388201,316769,11040,400,83894,280,5419,4044,4262,677,90465,10304,2253,6,210112,22204,77816,5428,5242,965,35023,195,0,638,488,13404,2485,554,50189,1700,79320,3782,7629,6,120349,4815,19401,818,5957,1528,6370,7380,7874,4807,187,291,433,555,258,263
"영동",16,748,6995,1684,12134,4144,2087,21402,29,11014,90,1343,468,34696,1954,76,344,564,6744,35,1892,118822,255,6045,25031,28048,243,4785,270,98,19122,20934,8218,455,1013,42963,3671,71,53429,11536,8858,12541,5906,3352,362,1488,525,0,3602,8469,82481,5340,778,7895,597,10210,1472,41,1676,3257,1577,244,1803,814,4470,1997,9533,16622,4949,9464,2818,287,970,28670
"영천",6840,27508,187958,936,170163,2050,25,23722,679,320,42,747,184,11693,25428,1116,10011,291,1705,1621,50105,21660,206,568863,14436,18409,119,2840,143,4,236961,277305,2443,185,85,322302,1271,3417,35562,2549,4496,2992,3465,54985,150,29480,442,3517,0,4534,7448,35179,450,183442,353,3502,741,1015,977,2482,985,9,774,239,1187,806,6359,3163,1612,1033,47703,83,15892,2654
"오산",45,1612,16743,1193,37163,6174,134376,47048,76,846,2437,90679,8354,46385,5134,194,1176,29044,25804,34,3966,105137,18050,12402,2152,656055,28010,92401,9593,4422,55354,26301,31165,9310,29218,110383,20269,159,2893608,144,320758,70886,288029,9453,13310,4833,15245,9513,4798,0,40549,6260,26664,28609,16348,31593,3913,172,42212,72480,2460,12488,82430,25833,926,922,466210,60276,237971,6051,4332,9623,4278,5175
"옥천",79,1506,15523,5703,25927,15282,11867,39839,80,72887,520,5024,2024,57671,3896,299,647,2647,18633,53,2525,619156,2323,12434,84288,99767,982,29048,1031,731,30868,33537,82724,1617,3423,78127,19030,221,174206,68678,30066,118678,26734,6097,1300,2602,2537,85526,6637,36623,0,9938,2787,18953,2714,78992,9540,172,6470,14745,8519,1285,10370,4282,34469,13007,45662,139979,27322,12870,4281,1585,1835,32602
"왜관",937,8151,156021,744,77007,1791,64,129284,870,523,37,535,137,23155,168388,1325,1438,253,1716,1016,3834,15192,149,235643,10814,12586,109,2366,182,22,50826,1142518,1747,130,306,1293927,1052,1992,22978,2159,4691,6548,3412,9222,177,8979,356,3607,39549,4172,7765,0,590,46777,385,3033,788,1248,2823,1626,1352,18,605,180,1158,1012,5079,2796,1425,2693,86587,100,3413,5377
"용인",6,149,1528,2452,2914,5472,11612,3326,5,107,254,23235,909,3946,478,8,97,50814,2619,6,415,11114,49427,1428,22635,950185,51871,3210,15177,475,5855,3338,4460,901,40602,9741,2281,9,1496429,26008,122218,7186,17009,837,81334,610,36982,803,509,28382,2726,751,0,1897,19584,4068,24800,12,81218,6453,20368,840,6556,2283,15954,8062,32307,8480,3566,571,652,965,211,434
"울산",45509,64920,177248,2518,314190,8870,76,40071,1874,973,217,3156,813,29543,86651,6196,133692,1459,8576,1673,792080,61557,818,345029,45808,106123,670,16124,1001,14,897665,176254,6524,968,779,265156,3443,25479,110072,12606,19444,11924,13321,723717,573,1887302,1479,8085,171278,28763,20615,40258,2405,0,3410,12909,5089,5158,5182,20590,3610,17,8512,810,7112,4361,27119,10191,7921,2366,24119,290,365645,8400
"원주",1,120,665,15089,2262,55582,13097,1940,1,81,172,4049,822,2913,200,4,61,97876,3882,1,438,16686,9208,1174,279493,262606,6912,395,112258,394,4404,3253,5901,1054,447686,7911,3397,3,185074,25865,49518,8867,5993,579,21991,392,93168,591,338,14306,2801,494,35865,3117,0,6005,5616,8,80126,7895,26890,946,6680,1634,7521,6675,10765,6699,145,189,351,533,190,249
"유성",43,937,8758,10247,22206,18335,196715,21975,65,4644,7043,8407,21400,28964,2557,289,596,7860,304484,40,2434,63945,1728,11003,127669,106168,2806,44788,1404,9254,27559,28326,44922,40912,9348,62504,126464,212,319863,66321,48542,58403,32340,4469,1486,1692,4008,12490,4324,35054,85042,5134,4676,15081,6047,0,9351,140,10356,249097,10274,20143,231696,51251,46741,13197,86352,94037,28993,3990,3843,23880,1354,5172
"음성",9,216,2214,42855,4513,188250,14469,5023,11,188,285,5110,1123,5566,967,15,217,9923,6328,4,1098,34148,11693,2465,847122,356736,7451,32,4623,553,10025,4934,11137,1294,10635,17202,6252,15,179958,273873,48183,25891,447,1703,11839,584,9630,1310,917,3365,9560,1122,29615,4310,5815,8142,0,18,33240,11295,66034,1265,9454,3041,122146,69909,296,25703,20,839,613,1862,443,1250
