"","경산","경주","구미","금강","기흥","김천","남구미","논산","대구","대전","덕평","동대구","마성","문막","부산","새말","서대구","서대전","서울","수원","신탄진","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","이천","익산","전주","천안","청원","청주","추풍령","통도사","판교","황간"
"옥천",266,1513,2016,30740,38,7373,45,1391,4741,25203,7,1423,82,3,3895,69,6087,885,26067,3419,8833,1821,131,9,70,104,16115,420,4273,0,246,72,923,122,3803,73,1934,4416,3805,890,15004,1686,11,2164,2222
"왜관",5364,7380,2308,17,8,447,2662,34,136900,952,6,21469,15,0,11378,2,327112,32,4678,556,736,291,407,2,227,1,98,2183,450,183,0,14,1097,13,85,12,132,73,214,5,226,34,300,326,183
"용인",19,350,195,4,632,339,8,89,521,823,2384,86,2498,571,3354,2222,1691,55,294993,11673,184,1347,53,4614,10,9257,19,24,3197,64,24,0,66,5595,122,23049,264,1301,2721,2,684,17,9,33642,10
"울산",4620,8606,2729,62,6347,972,7481,379,10744,15584,52,74857,53,33,124119,56,14445,536,47114,12323,949,1181,33954,10,215217,119,275,3881,16499,1212,1609,335,0,104,913,493,1549,4147,3339,54,4330,72,42929,3095,327
"원주",6,83,39,3,818,69,3,43,117,761,851,31,1414,82921,250,159749,247,30,178807,50856,48,1020,5,4215,2,44757,29,4,3169,44,9,4449,17,0,130,180559,350,969,2875,3,163,10,1,5267,11
"유성",92,2009,1431,546,173,2283,24,6272,1812,1619,21,648,175,5,4861,216,5303,14506,73407,6771,2414,2484,148,34,31,156,425,364,7194,3499,90,199,432,130,0,206,11400,26910,9478,218,11216,410,66,4109,119
"이천",82,1087,164,8,1799,399,35,253,3409,1220,19425,2619,1960,26582,6674,75441,3193,207,140176,79697,701,1700,203,26455,23,179610,50,47,7715,94,16,21242,272,174528,195,0,1473,9565,3845,1,520,58,10,1294,5
"익산",110,2306,1159,38,671,1119,30,5777,2137,1821,23,498,357,116,3847,585,6257,76718,96487,8347,4070,2474,162,37,55,289,127,142,17633,2017,79,319,1351,803,10380,5642,0,9098,2316,464,10791,94,14,9031,73
"전주",195,2610,1550,54,499,1951,67,54410,1466,26349,166,618,1641,108,14553,1591,6631,128769,561803,57247,9904,9973,260,130,177,1506,199,281,54435,4478,77,1503,3463,2328,27418,6534,8765,0,13215,916,32356,342,57,32471,114
"천안",789,5399,3948,204,2045,7011,116,1099,7982,130804,256,1978,2574,497,17977,3415,13132,4260,756780,84805,14665,36418,722,519,236,1763,1060,860,109244,3468,200,3177,1520,3682,6518,3166,2708,14987,0,334,89306,1335,271,80695,371
"청원",6,60,30,17,3,217,1,120,484,3151,0,42,0,0,376,7,1,187,828,121,36,67,4,1,2,1,93,6,277,843,4,3,43,3,280,6,610,1148,306,0,234,17,1,99,38
"청주",261,4988,2978,379,1088,5386,126,2297,7625,107088,53,2411,985,31,20713,452,13471,3673,319450,55533,6974,23926,814,60,92,225,2138,334,57015,13702,205,710,3051,301,10205,605,9401,34412,88508,227,0,508,75,24433,820
"추풍령",55,168,953,324,6,1638,5,144,939,3525,1,468,44,1,637,5,1705,173,5370,769,333,314,7,10,9,7,911,29,868,1692,49,11,72,4,387,25,160,307,1079,18,568,0,3,861,901
"통도사",702,16577,282,2,9,226,1330,16,423,398,3,6742,10,0,143444,1,1030,24,1977,522,58,57,3198,5,30891,4,29,900,818,49,338,21,40892,2,38,23,16,38,238,1,127,9,0,153,29
"판교",487,8603,4170,226,19552,11029,1239,2589,12007,25685,3176,2840,5425,376,44884,4278,20197,1392,387820,139425,3810,48227,1114,24337,476,1569,1344,774,86543,2705,544,37924,2368,5714,4139,2257,7348,42490,90421,81,27860,928,307,0,547
"황간",165,1171,3100,177,7,5206,17,64,4110,7835,0,1067,23,0,3137,11,9693,40,3861,711,289,167,67,1,57,11,3850,289,734,2242,226,13,1217,9,133,8,72,141,458,49,798,1189,19,449,0
