"","서울","수원신갈","기흥","오산","안성","천안","목천","청주","남청주","신탄진","대전","옥천","금강","영동","황간","추풍령","김천","구미","남구미","왜관","서대구","북대구","경산","영천","건천","경주","통도사","양산","서울산","부산","노포","군북","장지","함안","산인","동창원","진례","서김해","동김해","북부산","서순천","순천","광양","동광양","옥곡","진월","하동","진교","곤양","마산","축동","사천","진주","문산","진성","지수","함양","성산","고령","해인사","남원","순창","담양","남장수","지리산","가조","거창","군산","동군산","서천","서서울","홍성","광천","대천","춘장대","매송","비봉","발안","서평택","송악","당진","서산","해미","서김제","부안","줄포","선운산","고창","영광","함평","무안","목포","무창포","울산","청통와촌","북영천","서포항","포항","논산","익산","삼례","전주","서전주","김제","금산사","태인","정읍","백양사","장성","광주","동광주","창평","옥과","곡성","석곡","주암","승주","내장산","남천안","정안","남공주","탄천","서논산","연무","지곡","남대전","판암","무주","덕유산","장수","서상","동서울","경기광주","곤지암","일죽","서이천","음성","진천","증평","서청주","오창","금산","추부","생초","산청","단성","서진주","연화산","고성","동고성","통영","청북","송탄","서안성","상주","선산","감곡","북충주","충주","괴산","연풍","문경새재","점촌함창","북상주","현풍","창녕","영산","남지","칠서","칠원","동수원","마성","용인","양지","덕평","이천","여주","문막","원주","새말","둔내","면온","횡계","장평","속사","진부","북수원","부곡","동군포","군포","군자","서안산","안산","춘천","홍천","칠곡","다부","가산","군위","의성","남안동","서안동","예천","영주","풍기","횡성","북원주","남원주","신림","제천","단양","북단양","남제천","강릉","현남","북강릉","옥계","망상","동해","북창원","서부산","장유","가락","동대구","계룡","북대전","유성","서대전","안영","화원옥포","달성","남양산","물금"
"의성",1103,307,65,89,43,145,115,48,63,62,566,71,13,56,101,40,389,213,201,1118,315267,158287,9910,1508,708,5047,627,1002,1090,5186,754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790,3,0,0,0,61,13,21,11,7,6,14,3,0,0,0,0,0,0,0,0,0,0,6964,747,478,360,4338,77,98,45,121,20,6,4,9,22,0,0,3,0,0,0,0,0,0,0,1,17,0,2,1,4,4,0,9,124,1,3,1,0,4283,189,313,27,50,13,19,5,61,24,9,13,0,0,0,0,0,0,0,0,8,11,1,32,23,20,5,21,4,7,6,7,5,0,0,0,0,0,0,391,21,136,240,86,272,352,6132,637,364,191,127,104,83,53,123,559,59,80,165,912,190,130,2326,1155,160485,32949,63187,16475,335,28838,18415,2160,15040,4160,632,989,3813,1063,3750,2736,2770,1387,620,489,102,15,27,70,0,0,0,0,26424,35,136,304,119,75,0,0,1449,831
"남안동",3687,1074,232,217,52,191,98,53,48,109,1047,81,18,56,69,32,551,521,340,1452,371856,271787,17786,2394,1627,13068,1058,2462,2483,12325,2081,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2660,5,1,5,0,149,65,28,20,21,19,34,4,0,1,0,0,0,0,0,0,0,0,19379,1533,648,429,4529,132,270,54,327,39,5,4,42,59,2,0,5,0,0,0,0,0,0,0,1,17,2,2,0,1,5,0,40,182,7,1,1,0,17579,578,1176,100,213,23,21,6,60,18,19,25,0,0,0,0,0,1,0,0,9,13,2,28,23,68,6,11,2,7,6,7,4,0,0,0,0,0,0,1241,79,511,733,265,865,1278,1871,674,246,167,171,202,125,56,161,1776,198,244,620,3296,531,467,3207,1888,165960,48721,201238,28239,30773,123,64436,6163,31555,8388,1168,644,5635,1209,10614,5944,3995,3352,809,558,167,17,38,93,0,0,0,0,44127,104,295,450,228,125,0,0,3390,1953
"서안동",28985,6702,1394,1183,164,225,49,24,34,44,487,50,13,32,33,16,155,171,158,601,138105,80949,8689,2204,1333,9465,566,1277,1642,7485,1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,16002,50,14,30,1,1094,334,171,83,87,105,223,40,0,0,0,0,0,0,0,0,0,4,11472,1030,910,432,4540,58,158,14,134,28,4,2,17,33,1,0,6,0,0,0,0,0,0,0,0,14,3,0,0,6,7,0,14,83,3,0,2,0,110107,3104,6616,573,648,80,50,8,72,27,14,14,0,0,0,0,0,0,0,0,37,58,19,14,11,301,17,32,8,5,15,7,3,0,0,0,0,0,0,8634,914,3192,4373,1360,4726,7382,10672,2785,1214,1478,1121,1262,727,237,744,11105,975,1467,3330,19501,3206,3101,17881,9355,67416,17208,41880,16726,20075,60050,575,22296,108512,52439,5359,3854,29174,6592,54726,31517,34715,17672,3987,3015,768,99,158,354,0,0,0,0,17676,38,115,174,101,67,0,0,1992,1188
"예천",1088,288,73,72,1,9,1,3,3,10,33,4,0,1,3,0,20,20,17,66,23166,14339,1258,427,233,1543,101,230,335,1466,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,883,3,0,3,0,32,17,4,3,9,6,10,0,0,0,0,0,0,0,0,0,0,0,2333,193,185,92,973,11,10,0,8,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,4946,203,326,39,34,7,4,1,6,3,2,2,0,0,0,0,0,0,0,0,2,4,1,3,0,13,1,3,1,0,0,0,1,0,0,0,0,0,0,326,13,164,219,101,246,399,863,547,243,347,188,277,160,73,184,565,95,74,177,1293,194,190,3797,1868,8865,2704,6083,3017,2383,5040,25199,160,24790,11246,893,407,5268,1888,6884,8972,9611,5495,1276,984,301,61,94,228,0,0,0,0,3079,1,3,7,4,2,0,0,363,212
"영주",6067,1729,412,409,54,122,22,11,20,78,288,33,5,26,21,5,136,243,154,591,164041,105092,10333,2638,1515,11234,937,2189,2339,10301,1502,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,2,4949,35,12,25,2,332,174,78,58,55,56,90,17,0,0,1,0,0,0,0,2,0,7,26841,1339,1242,579,6163,50,66,10,109,21,3,4,6,15,1,0,3,0,0,0,0,0,0,0,3,4,5,3,2,4,3,0,12,54,2,1,2,0,25160,1028,1982,276,192,40,46,6,69,41,6,5,0,0,0,0,0,0,0,0,13,31,17,5,11,104,9,7,4,0,1,5,3,0,0,0,0,0,0,2094,232,896,1390,449,1380,2265,3268,1005,352,303,262,309,186,92,218,2970,344,408,1035,6483,1197,964,4516,2455,64551,18739,66194,17677,17643,30090,94808,19880,227,9169,1600,1069,9478,2534,23621,16397,11875,7250,1732,981,357,52,94,200,0,0,0,0,19407,9,67,94,58,30,0,0,2881,1766
"풍기",33239,9886,1982,1861,216,395,23,2,41,67,128,12,1,4,10,1,37,52,38,220,46249,21802,2372,821,575,3976,356,490,785,3323,474,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,22857,103,18,95,10,1536,677,312,152,260,143,251,59,1,1,0,0,1,1,0,0,5,25,5379,444,393,236,2575,33,55,5,38,5,5,2,6,8,0,1,7,0,0,0,0,0,0,0,0,21,14,2,1,3,2,0,11,15,0,0,2,0,149668,4350,11321,955,1370,182,145,37,180,81,14,11,0,0,0,1,0,0,0,1,53,66,21,2,0,276,12,35,7,2,6,3,0,0,0,0,0,0,0,15767,1397,4305,6883,2226,7156,9938,19624,4665,1863,1671,1175,1163,834,304,1063,18087,1348,2682,9723,29986,6532,5355,19040,10185,14733,6296,16276,5560,4472,8848,52829,10680,10765,98,8187,4987,54539,15980,170608,157485,68283,48291,5180,3567,1258,164,218,388,0,0,0,0,4589,5,58,76,35,8,0,0,789,462
"횡성",10288,5142,1553,1317,243,724,45,9,428,1322,1451,442,11,36,35,12,157,159,37,39,6592,1808,524,169,106,961,62,138,195,836,120,0,0,0,2,0,0,0,0,0,6,30,38,0,33,4,11,10,5,0,0,34,75,9,4,0,25,0,0,0,10,3,2,0,16,1,0,41,17,32,7605,169,69,97,17,663,335,164,127,148,205,255,66,6,9,4,7,2,7,3,7,44,14,2469,92,88,69,681,476,664,128,700,147,35,22,80,363,54,114,1074,2,0,0,0,0,1,0,13,40,65,16,8,16,24,15,38,203,81,28,157,8,27175,1736,5149,5335,877,960,920,676,2343,1520,89,103,4,15,37,56,2,6,5,42,81,78,39,135,154,2512,224,947,283,121,200,203,309,0,0,0,0,0,0,7137,684,3090,9545,2270,6253,9816,44731,2069,528,518,563,715,564,192,589,7559,725,1570,2692,12968,2734,2237,352636,44643,1340,360,979,568,640,980,4421,981,1244,6347,458,18226,101650,11592,36737,1450,3239,1762,2108,812,649,153,285,971,0,0,0,0,609,285,952,905,461,131,0,0,198,111
"북원주",3742,1822,611,508,92,257,17,1,153,363,506,68,4,14,7,4,41,108,13,15,2368,750,87,74,30,266,23,52,57,294,48,0,0,0,0,0,0,0,0,0,0,9,15,0,5,1,3,1,0,0,0,6,3,0,1,0,15,0,0,0,7,1,1,0,2,0,2,16,3,8,3454,45,27,37,3,244,108,73,45,45,52,104,26,0,3,2,0,0,2,4,3,15,3,1194,32,28,12,234,197,192,25,276,56,11,2,21,72,15,14,334,0,0,0,1,0,0,0,5,17,23,3,1,6,5,2,14,60,25,5,43,3,18327,809,2273,2240,727,392,364,231,902,578,44,44,2,2,3,26,0,0,0,26,18,38,15,41,56,1240,104,309,214,33,66,40,63,0,0,0,0,0,0,2391,209,1451,3368,1252,4039,4370,12892,2459,1099,860,584,498,537,144,495,3114,244,429,1010,5519,935,805,172643,43750,441,115,479,1519,586,274,1265,290,463,2063,16316,170,25017,4245,11744,782,1246,850,2106,1018,598,92,249,643,0,0,0,0,184,80,261,293,120,42,0,0,80,45
"남원주",119407,37028,8359,7188,1742,5355,433,64,2219,6757,10068,1214,69,267,114,45,802,667,120,182,36874,11365,1963,998,559,6574,400,1233,879,5183,1610,0,0,1,4,0,0,0,0,0,20,146,184,10,93,20,56,43,11,0,5,151,123,31,2,0,123,0,0,0,138,8,9,5,68,0,12,126,44,176,60231,1100,297,811,83,4195,2373,1360,822,944,1065,1650,472,7,78,16,12,14,25,28,40,288,125,8060,344,526,351,4025,2473,2884,540,4296,764,165,84,484,1672,236,445,8002,5,1,3,0,0,3,3,73,262,285,106,60,103,102,47,285,1043,516,144,572,43,418326,17324,47390,22801,6023,6230,5972,2569,17542,8589,415,549,33,53,139,240,10,24,8,258,336,560,171,594,480,11783,618,2146,938,392,601,703,649,0,0,0,0,0,0,43802,7514,22899,47389,12379,54065,45265,64574,25906,41794,35877,16134,13581,20757,6758,16304,48730,3405,6433,15883,75202,13064,11968,321192,126426,11584,2346,6893,2616,3158,4516,23481,5452,8141,46315,103292,28264,8601,131199,533380,11156,39678,22501,80857,35670,18828,3271,7185,22421,0,0,2,0,3817,2700,7626,7290,2232,700,0,0,1486,893
"신림",18134,6151,9072,1661,111,265,17,2,102,276,509,54,2,10,6,3,38,11,14,34,8683,2568,498,238,161,1284,92,163,221,916,138,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,1,0,0,0,0,2,1,1,1,0,10,0,0,0,8,0,0,0,6,0,1,9,2,9,11046,85,23,40,6,789,271,139,64,422,66,137,37,1,4,0,0,0,4,4,0,24,10,1553,122,154,117,901,130,189,38,376,27,12,7,25,129,19,24,335,0,0,0,0,0,0,0,1,18,17,4,3,3,10,0,9,62,24,6,26,1,74047,3538,8885,1438,1429,198,241,87,566,261,26,58,2,0,4,4,0,0,0,14,34,28,12,12,12,425,42,163,38,70,24,19,11,0,0,0,0,0,0,8715,387,4455,21996,2559,6498,9907,45723,7892,3876,2117,639,543,677,525,847,11625,982,1552,3514,16724,2851,2687,16731,9524,1889,799,2113,817,940,1170,6200,2258,2583,14833,13297,5345,130651,263,116227,4748,14824,11596,3989,1902,1225,202,416,1003,0,1,0,0,804,54,232,324,115,25,0,0,246,129
