"","서울","수원신갈","기흥","오산","안성","천안","목천","청주","남청주","신탄진","대전","옥천","금강","영동","황간","추풍령","김천","구미","남구미","왜관","서대구","북대구","동대구.구.","경산","영천","건천","경주","통도사","양산","서울산","부산","노포","군북","장지","함안","산인","동창원","진례","서김해","동김해","북부산","서순천","순천","광양","동광양","옥곡","진월","하동","진교","곤양","마산","축동","사천","진주","문산","진성","지수","함양","성산","고령","해인사","남원","순창","담양","남장수","지리산","가조","거창","군산","동군산","서천","서서울","홍성","광천","대천","춘장대","매송","비봉","발안","서평택","송악","당진","서산","해미","서김제","부안","줄포","선운산","고창","영광","함평","무안","목포","무창포","울산","장수","팔공산","청통와촌","북영천","서포항","포항","논산","익산","삼례","전주","서전주","김제","금산사","태인","정읍","백양사","장성","광주","동광주","창평","옥과","곡성","석곡","곤지암","일죽","서이천","음성","진천","증평","서청주","오창","금산","추부","생초","산청","단성","서진주","연화산","고성","동고성","북통영","통영","청북","송탄","서안성","상주","선산","감곡","북충주","충주","괴산","연풍","문경새재","점촌함창","북상주","현풍","창녕","영산","남지","칠서","칠원","동수원","마성","용인","양지","덕평","이천","여주","문막","원주","새말","둔내","면온","횡계","장평","속사","진부","북수원","부곡","동군포","군포","군자","서안산","안산","춘천","홍천","칠곡","다부","가산","군위","의성","남안동","서안동","예천","영주","풍기","횡성","북원주","남원주","신림","제천","대동","단양","북단양","남제천","강릉","현남","북강릉","옥계","망상","동해","북창원","서부산","장유","가락","동대구","수성","청도","밀양","남밀양","삼랑진","상동","계룡","북대전","유성","서대전","안영","화원옥포","달성","남양산","물금","주암","승주","내장산","남천안","풍세","정안","남공주","탄천","서논산","연무","남논산","풍세2","지곡","남대전","판암","무주","덕유산","서상","동서울","경기광주"
"순창",301,50,16,41,21,37,22,30,124,41,209,38,2,14,4,1,5,13,1,0,2,0,0,0,0,0,0,0,0,0,0,0,447,48,262,1976,336,99,449,219,4348,293,856,91,100,28,20,39,14,29,0,18,716,825,373,384,205,4834,2669,1821,986,98749,4616,24972,12069,8371,751,7065,3,17,3,83,2,1,5,0,10,5,5,2,1,1,0,2,5,9,20,18,164,25,2,0,31,2,0,57,0,0,0,0,0,88,77,42,582,97,68,193,232,1528,2077,4251,621,318010,1781,420,162,71,53,56,18,30,35,67,82,24,231,78,1441,987,1393,2006,95,214,47,173,1332,10,2,7,5,2,1,0,2,1,3,1,4,6,16,15,56,52,29,5,20,1,2,2,18,36,22,8,16,3,1,2,1,2,0,1,28,1,5,10,61,9,8,22,5,0,0,0,0,0,0,0,0,0,0,0,1,18,2,2,0,0,0,0,19,8,7,1,5,2,119,2375,261,185,0,0,0,0,0,0,0,22,66,237,98,140,30304,0,0,0,177,102,489,5,1969,24,26,22,68,27,0,0,736,152,151,317,449,192,471,21
"담양",606,89,40,67,67,52,41,167,687,226,540,197,5,19,8,3,25,29,7,2,0,1,0,0,0,0,1,0,0,1,0,0,481,70,245,2759,506,199,560,357,5399,10741,26855,2248,3288,1041,1811,1154,192,427,0,45,1230,1182,415,390,234,3282,1982,1667,1020,53046,29985,2715,8957,6234,450,5099,13,119,13,266,20,14,12,1,31,18,30,13,4,13,5,28,26,38,81,77,640,105,8,15,91,4,2,58,0,0,0,0,5,1688,1272,893,8562,2874,1532,3428,2441,5583,5498,10896,4449,456768,4571,4748,8090,2917,298,297,136,274,172,483,607,168,200,95,751,637,668,1256,61,243,72,229,1531,22,34,13,15,13,5,1,1,1,0,1,3,9,37,40,56,28,139,2,21,5,18,14,33,216,103,32,57,64,5,7,29,12,12,11,42,6,10,11,179,19,10,90,53,1,0,1,0,0,0,0,0,0,0,7,7,116,5,8,0,1,7,1,65,51,14,5,6,19,217,3103,813,245,1,1,0,0,0,0,0,326,1050,2794,1082,486,30938,0,0,0,4748,2280,1648,9,25119,197,286,66,655,236,0,0,531,219,259,376,648,118,2104,123
"남장수",489,98,36,88,58,62,72,30,109,68,175,24,1,4,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,127,12,81,895,195,71,184,140,1775,40,99,23,6,11,6,12,27,29,0,19,612,401,105,125,50,14147,645,554,386,165953,12076,7858,1521,36776,254,3387,0,0,0,117,1,0,0,0,24,7,12,3,0,1,0,0,0,0,0,3,11,9,0,3,6,0,0,81,0,0,0,0,0,2,0,0,1,4,5,8,16,205,344,1486,143,68116,559,124,28,20,52,56,16,26,20,61,55,16,127,64,874,508,636,936,66,146,36,80,723,23,12,14,2,1,1,0,1,0,1,0,1,1,9,3,19,5,27,1,23,1,4,2,5,31,15,4,6,0,2,0,1,1,0,1,46,2,9,8,97,16,13,1,4,0,0,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,7,9,0,1,1,1,130,1331,163,110,0,0,0,0,0,0,0,11,45,143,62,131,8142,0,0,0,64,8,106,8,6,0,1,0,0,0,0,0,1045,123,94,175,214,84,552,24
"지리산",8690,1791,720,1570,863,1380,1168,426,1266,723,2679,163,6,29,7,0,12,16,1,0,2,3,0,0,0,0,0,0,1,0,0,0,621,93,390,4303,595,190,834,586,5808,26,113,85,22,73,51,206,349,141,0,55,3584,1907,528,741,387,6264,2371,2100,2091,127001,9075,5355,38193,5031,1221,7941,0,1,1,2758,3,0,1,0,373,139,178,35,17,13,11,1,0,2,1,7,21,7,0,3,2,0,0,782,0,0,0,0,1,135,44,9,46,18,3,19,79,470,593,651,86,36199,499,110,40,5,793,995,242,541,269,467,802,275,1453,752,2733,1625,2961,4228,245,593,135,353,2707,501,253,226,4,2,4,1,5,0,2,4,2,1,19,13,90,66,114,7,413,38,72,56,85,326,184,63,29,20,9,6,18,4,9,14,1923,77,209,159,2320,352,253,111,53,0,0,0,1,0,0,0,0,0,0,20,6,88,0,5,2,0,0,0,57,43,8,7,3,9,457,4627,635,307,0,0,1,0,0,0,0,214,591,2883,1276,1972,30430,0,1,0,31,6,174,319,59,15,3,1,15,7,0,0,2234,2178,1163,1371,1733,965,7542,410
"가조",1986,593,129,299,208,405,314,80,341,230,550,22,0,0,0,0,11,24,1,5,3,0,0,0,0,0,0,0,0,0,0,0,70,31,110,473,70,24,145,91,592,19,195,365,26,91,30,195,315,132,0,70,1797,1920,247,222,27,8383,33561,21948,17225,2177,736,346,232,793,6025,184502,0,0,0,805,0,0,0,0,118,43,30,9,8,10,5,1,0,0,2,0,14,1,0,0,0,0,0,1629,0,0,0,0,0,95,25,2,23,3,2,0,9,49,53,96,1,3572,27,7,1,1,140,157,61,65,78,56,216,91,225,137,2182,1258,1592,4647,160,240,58,426,1386,138,102,77,8,13,1,2,2,1,0,2,2,5,140,36,120,17,19,367,112,9,19,20,18,58,8,8,16,0,0,0,0,0,0,0,253,20,525,46,575,79,70,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,5,1,0,0,0,0,108,492,56,50,0,0,0,0,0,0,0,43,149,620,325,305,95238,0,0,0,6,5,7,51,5,2,1,1,3,8,0,0,678,288,187,111,140,216,2134,77
"거창",12870,3158,1024,1616,1919,1674,1733,555,1256,631,2819,171,8,10,1,0,16,67,8,1,8,1,0,0,0,0,1,0,1,0,0,0,921,384,1677,19375,1185,468,2194,1401,8657,268,2848,8244,507,1248,1071,3425,3035,982,0,489,21408,26470,3385,3923,395,118595,98083,56756,44478,27697,6936,4041,9093,8403,185385,13639,0,0,0,2925,13,1,0,0,544,178,259,141,27,135,87,10,0,2,1,2,28,5,0,1,2,0,0,7301,0,0,0,0,0,555,171,31,63,18,5,6,38,282,540,982,72,39967,405,101,30,17,638,1754,206,479,308,396,897,408,1254,639,10014,14033,12700,51105,1247,3346,880,3520,16673,565,252,295,10,28,5,3,8,2,6,3,15,19,395,206,464,100,220,1455,405,58,127,67,77,226,125,14,45,0,3,2,3,1,1,4,1283,89,253,194,2228,1070,276,20,15,1,0,0,0,0,0,0,0,0,0,1,17,23,2,0,0,0,0,0,14,19,1,0,1,1,2309,9050,1527,630,0,0,0,0,0,0,0,225,680,2858,1626,1532,432926,0,1,0,93,67,127,295,21,16,4,7,35,33,0,0,3360,1957,1113,752,1006,772,10527,328
"군산",37608,6457,3928,5449,1519,239,40,31,10,5,15,0,1,0,1,0,1,4,0,1,6,1,0,1,1,0,1,0,0,0,2,1,1,0,1,3,1,0,0,0,2,11,117,4,18,3,6,2,0,0,0,0,1,2,0,0,0,1,0,0,0,1,1,14,0,0,0,0,125,23732,31816,219055,51763,34609,121672,31025,28665,32148,25809,23762,11280,15264,17195,43426,7360,18037,7410,7124,10858,6028,4875,3813,19852,40680,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,35,528,7,4,2,3,0,66,7,59,5,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,9046,6366,5605,1,1,18,2,11,1,0,1,1,0,0,0,0,0,0,0,5985,967,652,208,87,202,154,83,60,22,9,19,14,10,4,15,4224,3394,6,5448,64711,11406,4208,141,104,0,0,0,0,0,0,1,0,0,8,10,12,126,6,44,1,0,8,3,110,107,33,5,13,33,1,1,0,0,3,0,0,0,0,0,0,0,16,2,6,1,1,0,0,0,7,1,0,14,0,4,1,1,2,1,7,0,0,0,1,1,0,0,93,23
"동군산",13007,4158,1993,3271,1044,153,29,23,7,9,13,1,0,2,0,1,3,4,1,1,7,4,0,1,2,0,0,0,0,0,1,0,1,0,1,3,2,1,0,0,4,92,397,11,70,28,30,10,1,2,0,0,5,4,0,0,0,0,2,0,0,0,16,88,0,1,0,0,19916,224,58735,280733,112349,50995,207987,53796,49532,34645,34445,45038,25382,33600,38599,113345,19791,92001,39394,65124,89443,45296,45793,26923,140769,58247,1,0,0,0,0,0,2,0,1,1,2,0,1,0,1,2,6,156,3565,32,21,55,20,13,41,9,24,2,0,1,1,0,0,1,0,0,1,2,0,0,0,0,6,12013,7768,3767,2,0,9,1,6,0,1,2,0,1,0,0,0,0,0,0,3903,556,399,83,51,134,78,41,37,16,6,5,8,3,0,14,2074,2252,1,5746,107076,19535,8038,92,45,0,0,0,0,0,0,0,0,0,1,9,5,83,5,23,1,0,5,1,75,61,25,5,8,34,1,8,1,0,3,0,0,0,0,0,1,0,8,5,2,1,1,0,0,0,55,10,2,12,1,3,0,2,1,1,17,0,0,1,3,1,0,0,77,6
"서천",13450,4678,2089,4952,1618,229,39,48,7,5,6,3,0,2,0,0,2,5,0,3,5,2,0,1,1,0,0,0,0,0,0,1,0,0,0,2,1,0,2,0,0,5,42,0,2,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,7,0,1,0,0,22225,49932,1059,151964,49032,42580,136899,27563,17955,23892,18656,19948,7878,13459,13939,30905,7961,12612,3954,3153,5539,3275,2841,2044,11975,51123,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,8,192,2,2,1,1,3,65,12,50,5,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,8685,4075,7049,1,0,14,4,10,0,0,3,0,0,0,0,0,0,0,0,4271,369,482,129,91,233,149,70,77,47,20,20,18,17,19,25,1923,1965,2,4831,46105,8092,2831,86,110,0,0,0,0,1,0,0,0,3,2,18,10,146,11,50,0,4,5,1,94,93,29,4,12,51,0,1,0,2,1,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,7,1,0,11,0,2,0,0,4,0,2,0,0,0,4,1,0,0,62,13
"서서울",15476,775339,394186,394186,367426,440246,115351,257329,49610,126233,125327,35845,1801,10171,5227,3441,23703,52483,14967,11490,118713,40483,0,11220,7003,3142,27504,3978,6795,5304,26349,4447,900,465,1372,11955,765,396,847,481,1195,362,1662,2414,584,2365,1769,2315,2588,498,0,194,10618,6970,1678,1445,236,5090,416,277,481,1801,71,175,70,3125,852,3562,225088,303033,139731,2097,537950,168593,314944,51756,852054,2066940,1075761,1514781,824313,646099,807096,232888,58421,120274,47224,40031,79604,73696,56164,64380,277600,53470,37591,8962,3457,1734,3453,1679,22987,1416,1125,296,2079,219,78,62,256,417,201,404,5588,70,24,76,33,39,2863,52583,14727,78625,33527,40658,13956,33258,13616,14927,2528,2324,5180,11155,716,2613,1138,2510,19306,509239,297505,95647,32651,7245,93682,15562,57400,12782,8094,17876,30723,12693,382,186,268,198,305,2967,1894513,168906,423392,357030,92448,160118,109859,56345,41041,22090,16822,18833,19837,11561,3929,15773,531567,541568,7,1376708,606872,3776950,2983765,4029,7401,7532,151,203,575,915,2776,20764,1305,6161,25123,7643,3460,70457,12662,63826,51003,4002,11149,4572,61457,47449,17033,3904,8650,28751,957,2386,958,698,10760,6819,1701,2746,3827,1662,3039,10185,94842,70737,23286,9482,381,0,8424,4970,185,57,82,122403,9,100894,20604,8734,35748,24355,337739,0,2992,4711,17461,16056,3041,4763,763,192
"홍성",55536,17797,8605,12969,8516,1631,741,2815,240,394,653,110,7,65,23,45,182,457,95,54,727,507,0,64,26,20,166,7,29,58,175,31,3,0,10,60,1,2,5,5,11,25,71,8,9,4,3,9,4,0,0,0,12,17,19,5,2,5,7,0,0,2,2,8,0,4,0,8,51017,98621,44533,540566,1309,47238,116846,14883,48126,107250,64423,47740,28593,37918,51960,54212,9941,22869,8324,5217,11149,6207,4592,3872,19550,16660,277,7,44,10,20,17,197,0,1,0,1,0,0,0,0,0,1,12,483,6,2,2,4,3,283,49,223,24,6,4,1,2,20,30,1,2,9,31,2,6,2,9,73,22694,14696,25022,17,24,174,44,207,34,12,32,58,22,1,0,1,0,3,1,19244,1984,1935,537,408,1310,919,421,373,182,74,136,109,144,16,92,7889,11449,14,13484,114898,13994,9323,659,462,149,0,0,3,3,10,88,2,27,147,134,46,929,48,379,324,16,56,22,776,500,151,36,85,255,6,13,4,5,126,88,8,25,9,7,29,6,243,208,38,37,1,0,53,29,11,29,0,120,0,39,19,8,11,7,24,0,10,7,96,53,3,9,372,60
"광천",14839,5229,2393,4497,3250,330,138,298,35,40,54,6,0,5,2,2,12,26,4,6,42,17,0,4,2,2,11,2,2,6,13,1,1,0,1,4,0,0,1,0,0,20,47,1,5,2,3,2,0,1,0,0,3,17,1,0,0,1,0,0,0,0,1,9,0,0,0,1,31807,45517,40380,170578,52457,799,65613,13190,18888,33712,23725,15006,10874,19713,27479,61489,5024,8949,2970,1965,3753,2140,2479,1526,7667,18668,28,0,4,4,2,2,22,0,0,0,1,0,0,0,0,0,0,8,225,2,1,3,1,3,86,14,94,4,2,3,0,0,2,4,12,1,2,4,0,1,0,0,5,11017,4614,12320,2,5,52,8,30,4,2,7,8,6,0,0,0,0,0,0,5472,424,577,186,103,361,275,141,106,59,18,26,38,21,14,23,1867,2753,1,5049,42096,6799,3394,193,178,8,0,0,0,0,1,10,2,12,24,46,21,258,26,130,17,8,15,9,182,141,39,6,20,178,0,0,0,2,9,1,2,0,1,1,1,1,33,21,8,3,0,0,2,1,3,1,0,18,0,12,1,1,3,1,6,0,0,0,13,1,0,1,70,26
"대천",37115,10719,4976,9166,6424,1959,459,1524,100,107,173,18,1,8,2,2,19,47,15,7,61,39,0,6,4,0,16,0,2,3,19,1,1,0,1,10,2,1,1,0,0,20,98,4,7,5,8,9,1,0,0,0,1,6,0,1,0,3,0,0,0,0,1,17,0,1,0,1,132038,197548,126771,318505,132500,72242,268,28296,29601,65995,36226,36295,21955,30497,42408,104271,17965,23947,8941,6304,11806,6582,4347,3275,17684,21822,28,3,2,3,1,1,28,0,1,1,1,0,0,0,1,0,3,12,549,12,0,1,1,1,184,27,191,24,5,4,1,3,3,7,1,2,2,2,0,0,0,2,9,13719,11484,17442,3,2,110,23,136,20,4,6,21,6,0,0,0,0,0,0,10565,1442,1502,371,285,840,607,307,350,158,79,81,103,82,16,89,5298,6432,10,7430,62618,8455,6252,538,456,5,0,0,0,0,1,23,4,31,83,85,43,703,39,277,26,15,35,19,502,561,159,29,76,241,0,13,2,0,10,8,3,3,1,0,0,2,47,45,16,2,0,0,3,2,17,0,0,69,0,14,6,3,8,3,11,0,0,4,25,2,0,0,182,39
"춘장대",4866,1530,731,1127,1084,131,52,109,4,7,2,2,0,0,0,0,2,6,0,0,7,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,9,0,0,1,18,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27682,45602,24137,49212,18866,15466,29890,305,4294,10163,6766,4942,3101,3983,5268,8740,4858,5328,1795,1234,2520,1285,1187,873,3894,11455,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,5,93,7,1,0,2,0,25,2,30,0,3,1,0,0,0,1,0,0,0,1,0,0,0,0,1,2519,1249,2648,0,0,11,1,8,3,0,0,5,0,0,0,0,0,0,0,1575,109,185,29,30,116,60,46,33,12,4,5,6,5,4,6,563,699,1,1342,9275,1339,897,60,45,0,0,0,0,0,0,0,0,0,10,9,5,56,4,18,1,0,5,1,47,48,14,2,2,35,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,9,0,1,0,2,0,0,1,0,0,2,5,0,0,0,34,3
"매송",11829,35590,10367,10401,97881,103926,41932,70921,14421,31388,28909,8898,296,2212,1499,780,6531,6024,2586,1924,17721,4691,0,1838,1381,597,5932,596,1668,943,4458,704,287,197,439,3343,239,169,154,166,245,45,263,493,117,431,703,493,542,134,0,34,2503,2048,348,389,93,1017,54,59,75,270,8,22,11,550,158,680,31848,56311,19293,839222,50783,20930,30103,4784,138,83091,283656,395541,207875,113530,96403,26896,9076,16769,6423,4307,10496,8983,5828,6153,29617,5484,8012,1879,417,217,394,216,2778,257,203,58,303,39,8,11,38,78,23,63,1166,11,14,16,9,4,744,3149,2141,4281,1938,2228,329,1368,3410,3349,1428,413,1003,2050,156,728,282,684,3640,125226,89849,36837,1608,482,5357,788,3763,800,318,985,1564,619,72,37,71,38,116,418,79510,10526,26350,17799,5226,11622,6762,3264,2286,1281,954,926,858,596,309,849,7496,7030,5,9948,221309,24010,14790,1013,1643,1005,26,23,35,54,126,1047,89,296,1598,684,280,4526,879,4607,8557,232,738,270,3147,2865,1077,247,507,1807,225,646,244,336,1425,773,262,390,706,238,461,1369,16148,12739,4550,1928,38,0,1413,928,21,9,13,31125,0,25793,4047,1741,8445,4724,79837,0,510,1328,3689,2813,783,958,224,52
"비봉",17195,16616,3403,2491,26008,24899,8966,16436,3346,7742,7288,1758,88,466,416,219,1656,2692,855,809,7241,2103,0,643,661,235,2128,177,393,383,1447,257,66,28,106,1281,79,81,80,65,87,16,103,128,33,170,117,199,149,29,0,9,731,548,94,130,18,270,11,27,21,79,8,19,5,156,25,198,29833,32199,23828,2337197,102445,35701,62244,10204,85906,134,145865,312738,244635,166087,180820,47937,7477,14657,5201,5214,8462,8028,6490,8060,35898,11309,3125,427,230,117,209,85,1219,73,75,11,67,10,4,3,16,22,4,21,357,4,3,4,0,1,941,1595,1598,2084,914,794,89,282,668,834,233,106,332,614,38,287,107,289,935,46336,25547,15857,524,211,2793,479,1993,281,134,467,732,252,34,8,57,18,58,299,50808,7257,19340,9672,3541,7703,5089,2722,1518,617,423,263,412,285,120,372,7381,9009,3,12931,944740,170239,32694,839,795,462,5,7,14,45,72,494,30,183,685,356,133,2353,528,2010,2887,120,245,92,1596,1111,463,119,257,905,121,244,116,127,590,425,110,213,334,90,277,429,4678,3644,1373,619,13,0,495,295,5,7,7,7799,0,5530,1078,390,1882,1287,17053,0,135,390,1180,738,126,200,310,89
"발안",10428,9015,2915,2584,41729,32221,14661,22459,4351,11109,9228,2207,93,648,434,299,2505,3944,1511,1327,10914,3363,0,1535,1479,535,4878,324,709,647,2142,418,72,42,132,1684,148,100,123,49,129,23,88,143,39,109,134,177,194,35,0,66,1241,580,131,158,25,320,23,24,29,84,6,12,9,188,31,215,24805,34576,19584,951983,63644,25307,39452,6453,169205,108982,330,276686,207210,148872,115840,29335,6880,13034,4758,3935,7959,6172,5473,5467,21985,7941,5363,602,343,205,354,138,1661,85,82,17,92,8,3,2,12,17,8,40,499,3,8,6,3,1,527,265,537,441,136,100,14,32,763,1114,231,166,365,739,40,197,84,152,1021,19269,33541,44825,208,291,602,151,512,97,50,156,348,112,46,13,28,10,29,206,28247,2754,6651,2380,1340,2569,1683,1052,679,312,194,148,164,150,60,224,6745,7771,1,15107,382042,105325,27144,418,486,734,12,17,19,16,41,219,6,80,293,182,100,1270,136,762,4478,44,82,60,853,607,250,61,159,544,177,423,218,187,1101,709,135,271,425,226,391,556,5562,4278,1689,965,12,0,732,445,12,3,3,11032,3,7356,1191,477,2198,1360,23391,0,180,477,1578,849,147,307,201,33
"서평택",71659,37211,27433,42140,38446,17451,13308,24436,4909,16654,10823,2806,104,1161,465,298,2773,3600,2120,1883,15100,3486,0,2869,2357,531,6920,552,1298,1065,3128,629,124,46,158,3710,116,213,112,73,181,33,168,148,291,126,165,182,108,29,0,10,673,827,104,149,22,309,36,37,28,37,4,17,5,88,24,194,29909,49887,18496,1554350,39790,13965,32389,4642,334784,320434,276550,1423,381658,139900,127297,23931,5129,14500,3660,2044,5239,3462,2792,3196,14151,4557,7744,480,337,212,344,195,1472,61,78,12,48,6,3,0,1,8,7,20,1122,6,17,2,1,2,374,90,249,103,41,14,8,18,1723,1255,1095,113,290,667,43,214,268,263,1124,160740,55930,87160,163,281,249,55,182,37,30,70,113,73,48,12,47,23,99,508,37189,1928,2660,820,630,1515,959,688,520,162,128,99,145,104,43,140,14431,27221,15,53015,638928,166446,42123,481,405,1075,135,31,9,16,29,125,15,58,159,90,44,863,70,404,7775,18,70,31,719,574,210,59,124,488,233,667,221,292,1300,668,142,219,378,158,560,643,5393,4451,1737,1246,14,0,1229,750,10,2,2,6507,0,5899,811,362,2104,844,14483,0,156,760,1665,659,141,210,284,42
"송악",64017,27336,16386,30830,17783,5537,3363,9742,1856,8076,7215,1384,44,386,251,1024,1908,2159,1563,2912,19942,2363,0,1273,5198,547,9810,284,687,778,2494,490,100,97,149,1123,163,139,95,63,77,50,295,66,110,85,208,134,47,11,0,5,355,329,49,107,3,143,45,7,9,19,0,22,1,24,15,56,14428,33511,8393,883406,22666,9489,19046,2673,173209,238448,207887,407078,960,120396,57988,16316,2406,8993,1740,1135,2721,1758,1216,1314,7912,2932,5657,77,236,115,766,210,4632,24,8,0,10,1,0,0,4,2,1,13,441,4,3,3,3,0,371,62,238,85,25,33,7,7,284,361,79,65,123,331,19,101,59,132,732,119074,37756,70488,87,249,256,44,192,41,13,46,221,61,85,9,12,15,31,179,28810,2014,2389,724,503,1117,994,590,453,197,109,98,193,138,46,195,9179,16031,14,24312,397149,86203,22006,574,587,814,4,16,8,7,14,134,11,50,132,123,47,905,58,430,6257,16,74,24,661,540,202,27,134,418,95,777,172,751,1142,596,115,120,724,80,369,176,2961,2191,914,466,25,0,987,617,2,0,1,1461,0,991,270,94,539,261,1465,0,43,351,1564,268,37,66,249,40
"당진",64897,21652,11424,19266,10365,4075,1636,5987,1055,4859,6650,726,21,236,81,203,697,1523,502,464,3519,1132,0,461,408,119,972,56,279,188,754,155,14,16,61,593,47,34,47,31,59,12,53,8,10,14,13,28,31,8,0,9,197,172,35,71,2,91,4,3,4,9,1,69,0,15,10,42,16541,30650,13482,711043,40291,20391,31886,4271,100822,171601,148798,160396,124579,1118,53248,40781,3767,8710,2625,1741,3148,2334,2358,1897,9426,6880,2628,30,114,79,159,65,1315,9,2,0,1,2,0,0,0,1,0,13,304,5,1,4,0,0,283,52,217,55,8,11,2,3,205,368,25,26,70,208,7,68,39,49,308,68594,17591,45050,67,75,175,66,207,42,18,47,136,55,9,11,7,7,9,69,22123,2460,2246,735,646,1098,992,544,483,205,146,184,186,139,51,173,8582,12353,13,19666,245255,39807,15711,551,736,231,4,4,10,19,25,123,10,45,167,160,54,942,69,460,1751,28,87,21,865,638,207,53,143,444,41,140,64,91,357,215,40,54,206,27,148,95,2452,1904,673,425,11,0,279,165,4,4,0,584,0,379,114,28,361,162,229,0,15,172,696,174,29,31,231,46
"서산",81754,24699,13071,19574,14818,8036,3019,11360,1414,6076,16052,1038,59,373,126,118,903,1591,403,557,4804,2548,0,1103,251,153,1449,95,199,389,1062,180,20,5,48,741,31,14,49,31,84,15,77,12,14,8,4,21,16,8,0,5,236,224,49,20,5,74,12,8,10,4,1,11,0,14,5,82,16871,36195,13277,766545,44218,28435,38899,3794,84617,168119,109598,125863,57722,50637,1159,48246,4029,8643,2935,1877,4032,2549,1802,1708,8115,5524,3018,22,253,72,121,67,1225,4,3,0,6,1,0,0,0,0,5,9,318,3,3,5,2,1,436,77,307,58,21,12,2,3,240,359,47,35,82,259,21,77,21,66,501,46569,21244,49923,82,135,252,96,388,79,14,70,205,85,9,5,7,5,20,65,26540,3772,2850,917,705,1648,1403,742,621,333,225,304,265,210,70,236,10748,15238,13,19260,235257,28670,13741,1101,803,555,16,7,6,14,32,257,16,68,208,206,77,1354,110,700,2171,36,124,42,1131,974,282,63,183,574,80,174,72,69,542,341,42,122,91,56,145,89,2894,2296,645,445,9,0,344,199,5,4,1,822,1,352,117,31,161,88,127,0,40,181,888,319,28,43,309,67
"해미",25484,7516,3590,5782,4309,1583,618,2122,222,582,1078,129,5,70,27,29,148,319,38,92,657,472,0,55,34,23,203,14,27,80,173,25,2,1,7,88,9,1,9,6,18,59,637,13,36,10,10,14,4,1,0,0,52,37,24,6,0,7,2,2,1,1,2,28,0,2,1,7,43688,111205,29263,232601,53478,66119,104816,7199,23090,46757,29582,27076,19916,39721,48772,1852,7913,21701,6421,3822,8996,4505,3543,2704,14607,11400,338,6,231,15,22,8,202,2,0,0,0,0,0,0,0,3,1,52,957,14,2,13,7,6,102,24,137,17,1,4,3,1,56,40,6,9,11,58,3,5,8,5,80,13898,7015,14161,25,78,84,30,114,14,5,28,67,23,2,0,6,0,1,8,8165,1024,794,201,205,415,442,249,220,82,56,71,86,71,24,65,3050,4226,5,5427,56782,8169,4241,292,211,85,0,3,3,2,1,51,1,20,53,68,16,421,25,198,334,13,34,14,374,232,69,21,63,139,8,26,13,16,104,57,8,25,15,14,29,30,393,252,66,70,2,0,52,31,30,31,1,100,0,87,18,3,25,17,33,0,6,23,116,55,3,5,130,23
"서김제",1815,550,226,437,151,19,5,7,0,1,2,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,7,1,29,179,7,30,1,8,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,19,0,0,0,0,6978,23355,7916,53189,10246,5012,14883,4197,7838,7603,6625,5233,2237,3495,4080,7934,105,11352,18343,28562,44486,22047,19982,11948,58942,4595,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,58,973,20,6,29,10,11,13,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2007,653,609,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,696,52,73,15,7,19,10,13,7,0,0,0,2,2,1,2,508,478,2,1518,15861,2654,1490,12,3,0,0,0,0,0,0,0,0,1,0,4,1,5,0,5,3,0,0,2,10,7,3,1,3,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,10,6,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,17,2
