"","가산","건천","경산","경안","경주","고령","곡성","곤지암","광주","구미","군위","금강","금산사","기흥","김제","김천","남구미","남안동","남양산","남원","남원주","남지","논산","다부","달성","담양","대동","대전","덕평","동광주","동대구","동서울","동수원","마성","매송","목천","문막","발안","백양사","부산","북대구","북대전","비봉","삼례","새말","서대구","서대전","서순천","서안동","서울","서청주","서평택","석곡","성산","송광사","수원","순창","순천","승주","신탄진","안성","양산","양지","언양","여주","영동","영산","영천","오산","옥과","옥천","왜관","용인","울산","원주","유성","음성","의성","이천","익산","일죽","장성","전주","정읍","증평","진천","창녕","창평","천안","청원","청주","추풍령","칠곡","칠서","칠원","태인","통도사","포승","해인사","현풍","화원","황간"
"담양",0,0,0,0,0,0,2990,0,0,0,0,0,0,0,0,0,0,0,0,83393,0,0,0,0,0,0,0,0,0,982674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8596,0,0,0,0,2522,0,3241,0,16974,28048,1649,0,0,0,0,0,0,0,0,0,0,2364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2906,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"대동",5230,35331,67009,1681,1014338,0,0,3867,317,15487,954,351,6,1815,32,13226,12442,3460,2251409,0,618,0,2420,586,0,0,9,22482,666,0,85931,24559,33827,417,0,5343,344,0,1,430676,36548,2562,0,68,562,13123,1362,0,12095,54124,4076,0,0,0,0,8878,0,0,0,3047,5955,1096069,411,399123,1079,4146,0,106540,7004,0,7066,8775,1051,1846194,977,6601,2051,3048,2234,675,1917,15,231,17,2725,1673,0,0,10809,4777,3074,1167,6807,0,0,13,568880,0,0,0,0,4055
"대전",147,3401,36909,22242,72985,0,0,47314,66926,106417,236,41299,1560,18862,6306,160646,10671,1237,2507,0,20856,0,77348,171,0,0,16653,26615,4998,0,36311,306308,300677,6420,0,226846,5609,0,1887,98356,107322,148542,0,9166,34723,260127,95373,0,875,695489,237534,0,0,0,0,107788,0,0,0,220778,109011,10486,6122,6779,13677,130528,0,23076,97945,0,783527,20370,12068,54419,18181,87722,39116,534,37648,71316,34769,3893,72567,15663,212860,64045,0,0,381108,361626,130693,23171,14263,0,0,5492,5427,0,0,0,0,68392
"덕평",2,64,350,6884,950,0,0,12666,4603,1470,2,14,81,12466,285,1496,187,2,50,0,13172,0,1445,9,0,0,528,5666,3,0,566,86880,378761,14119,0,509,7138,0,134,1749,1112,2569,0,314,12026,4236,1040,0,6,227813,15103,0,0,0,0,90418,0,0,0,2812,6391,177,27711,113,21138,281,0,226,19249,0,1965,281,55702,641,6521,1889,13201,2,44823,2682,20231,389,2205,1277,7572,4973,0,0,9904,2765,258,173,184,0,0,395,146,0,0,0,0,171
"동광주",0,0,0,0,0,0,587442,0,0,0,0,0,0,0,0,0,0,0,0,749607,0,0,0,0,0,993160,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,853450,0,0,0,0,281275,0,209528,0,267943,1957088,107002,0,0,0,0,0,0,0,0,0,0,843553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"동대구",71352,139140,1149461,2390,1098330,0,0,6071,49,139663,13685,925,54,2414,290,46226,120221,29804,10500,0,771,0,4538,15152,0,1,77218,37890,439,0,44,35588,38164,453,0,6310,417,0,9,321907,570643,6233,0,291,839,1220571,3916,0,39274,75921,6191,0,0,0,0,12061,0,0,0,4985,7742,37184,587,51212,1627,6767,0,496425,10067,0,13503,239670,1305,329320,1045,11077,1697,29515,3005,3837,2415,8,1389,319,2903,2493,0,0,13216,7169,4039,4870,281199,0,0,165,27417,0,0,0,0,8188
"동서울",211,3459,27881,2400815,61490,0,0,2651213,399359,59603,369,1334,8553,1544,27644,103611,7237,543,2424,0,1016590,0,95577,217,0,0,17056,304981,103756,0,35028,298,27828,20804,0,687,234747,0,14748,120988,84931,134145,0,28151,849344,231236,67341,0,389,10401,696167,0,0,0,0,16932,0,0,0,124481,5042,8870,89633,5494,460065,24301,0,16472,5489,0,94085,13318,65492,39749,260401,115995,874842,681,1069116,188462,944693,33271,239589,101724,441388,257833,0,0,11196,138370,413,8563,12193,0,0,33883,4220,0,0,0,0,13023
"동수원",305,4649,55076,8824,90215,0,0,52381,456428,109236,397,1528,10230,530056,30009,140009,17777,706,5821,0,688812,0,85021,255,0,0,33375,301448,378300,0,39702,19684,238,610742,0,173292,216450,0,17156,192797,90836,105088,0,26160,650378,384590,66973,0,512,2228272,124260,0,0,0,0,870156,0,0,0,181650,762107,21318,664285,11459,361794,29775,0,23435,572449,0,120981,19221,1138860,85339,259925,100825,384670,847,949182,227312,297161,42408,232144,100278,207555,118514,0,0,1039719,166839,479984,13948,15331,0,0,34876,10568,0,0,0,0,17489
"마성",4,92,453,1644,1177,0,0,2542,5221,1888,4,58,134,22393,310,1645,141,11,66,0,17368,0,1071,1,0,0,634,7711,11232,0,622,11928,606609,2,0,3138,4027,0,133,2408,2157,5220,0,687,13932,4995,1362,0,7,729905,13615,0,0,0,0,199556,0,0,0,3657,16395,179,25239,193,10058,263,0,192,29644,0,1236,302,27842,1010,5301,3334,7266,9,25855,4489,5092,302,4083,823,6129,2495,0,0,33825,4177,4146,211,379,0,0,290,139,0,0,0,0,177
"매송",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2341952,0,0,0,0,979809,0,0,0,0,0,0,0,0,1339795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3190932,0,0,0,0
"목천",50,1503,11894,112,42406,0,0,388,27782,17542,38,404,533,18570,2173,20332,3011,118,968,0,614,0,7246,35,0,0,5203,194541,461,0,6764,386,169073,2848,0,103,227,0,960,26156,16061,50213,0,2460,1107,61647,16168,0,90,355507,27,0,0,0,0,58029,0,0,0,109893,106925,3641,800,3512,514,5233,0,5193,98238,0,31806,3700,2608,20168,488,33937,27,105,875,17982,39,2639,16068,5556,74,10,0,0,244878,86233,197125,2701,2505,0,0,1798,1981,0,0,0,0,2773
"문막",0,39,337,14322,3461,0,0,58730,3711,848,1,13,73,3589,233,770,145,1,43,0,228834,0,1311,2,0,0,348,5269,11224,0,448,229589,224439,5125,0,159,6,0,150,1354,1202,1896,0,378,72774,2831,1503,0,2,121769,11943,0,0,0,0,30280,0,0,0,3804,3867,302,31210,95,105649,211,0,597,8058,0,1261,207,32688,985,99471,1761,5689,0,100335,4305,27929,324,3559,782,3804,4999,0,0,4476,3696,56,99,100,0,0,193,76,0,0,0,0,96
"발안",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2299706,0,0,0,0,0,0,0,62138,0,0,0,0,0,0,0,0,48366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78251,0,0,0,0
"백양사",1,1,4,1075,12,0,0,2901,332537,95,0,3,17735,852,20427,95,4,0,0,0,288,0,10697,0,0,0,0,1582,162,0,8,16228,16417,82,0,1270,199,0,0,14,14,2754,0,6544,530,13,8721,0,3,30320,1267,0,0,0,0,5070,0,0,0,1355,2891,0,183,2,329,60,0,4,4116,0,507,7,549,7,289,9570,598,0,960,9961,1033,43485,34584,75337,1734,614,0,0,3332,1829,1003,18,3,0,0,17050,1,0,0,0,0,23
"부산",30668,67603,168854,5707,1403336,0,0,18865,42,61393,2837,1360,45,8044,222,50684,113178,10434,835347,0,3707,0,9905,2066,0,0,410952,91637,1822,0,317314,101447,132010,1446,0,24245,1196,0,2,80,165718,11360,0,466,1836,118462,6223,0,37446,256609,25526,0,0,0,0,42101,0,0,0,17750,26859,3019240,2945,741136,4026,16965,0,214112,28435,0,30077,47852,4255,920587,4779,24840,9838,8727,12691,5641,7815,5,3583,238,12176,6799,0,0,44558,17495,18205,5089,28710,0,0,86,1153579,0,0,0,0,14667
"북대구",384947,47308,1014698,5277,399487,0,0,12053,72,875097,110093,2446,177,4552,800,208124,660512,219669,5743,0,2068,0,11911,97056,0,0,33872,104276,891,0,369230,77299,69923,1280,0,14816,700,0,8,166289,236,19352,0,488,2174,508570,8268,0,222669,168219,14440,0,0,0,0,28973,0,0,0,11128,17711,23715,1691,24983,3622,21097,0,290303,18835,0,34650,1240443,2738,153368,2888,27397,4207,226157,6252,9251,5189,16,2680,639,7058,5853,0,0,27792,15624,10123,18415,705571,0,0,410,14125,0,0,0,0,29631
"북대전",27,529,5645,9336,23938,0,0,19120,54809,14697,30,2331,1528,11502,4650,17261,1850,190,345,0,6614,0,56020,17,0,0,2635,165184,2301,0,6523,126505,98565,4090,0,54582,1735,0,2210,13735,20793,605,0,8778,11344,36179,132625,0,127,301937,88357,0,0,0,0,46962,0,0,0,26169,34650,1991,2673,1046,4300,10310,0,3403,33791,0,104497,2771,5003,8129,6340,36594,12067,73,10987,62868,13153,4997,52210,12031,62995,19757,0,0,94686,87646,38229,2326,2317,0,0,5377,724,0,0,0,0,3818
"비봉",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065822,0,0,59422,0,0,0,0,0,0,0,0,0,0,0,0,0,51355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93241,0,0,0,0
"삼례",4,55,326,1661,966,0,0,3701,91912,934,5,27,11197,1245,27372,984,113,13,11,0,729,0,34866,2,0,0,62,6581,233,0,221,24763,22176,403,0,2368,274,0,5434,349,437,7636,0,6,1466,687,32482,0,14,51905,4338,0,0,0,0,7499,0,0,0,3649,4560,57,425,59,644,354,0,279,6688,0,1150,135,848,1080,925,35255,1156,5,1543,14791,1677,9965,12731,56041,4264,1307,0,0,5696,4962,2712,68,81,0,0,20006,60,0,0,0,0,139
"새말",2,48,254,34497,681,0,0,104788,16628,1747,1,67,361,7844,1188,2189,152,0,54,0,98343,0,6331,1,0,0,372,27835,14982,0,767,734141,546237,14328,0,632,58803,0,449,1465,1788,9721,0,1456,4,4538,5376,0,5,469720,41392,0,0,0,0,72938,0,0,0,12749,10552,702,44711,102,95651,665,0,101,21001,0,3578,272,67633,593,344724,8562,7454,7,131638,11274,53440,1211,9477,3012,11434,11729,0,0,21067,11494,223,181,236,0,0,1332,90,0,0,0,0,382
"서대구",738070,58736,1404908,15631,687020,0,0,41214,126,962792,185284,5568,196,14384,785,258815,1019109,289544,6324,0,7234,0,23762,182624,0,0,17636,277128,4535,0,1217479,256311,328154,3302,0,60143,2925,0,19,166864,209304,34536,0,730,5299,559,19071,0,351981,593990,49203,0,0,0,0,85422,0,0,0,35842,73813,29015,4118,43237,9922,47115,0,441718,86035,0,88070,1395431,9377,269483,8570,68007,15923,363009,20154,15231,17706,15,3489,620,24712,19939,0,0,98631,54947,29735,25250,3023502,0,0,456,19283,0,0,0,0,50402
"서대전",23,343,4642,14381,5661,0,0,14046,141292,10289,30,1007,6681,4283,23925,10773,1202,128,279,0,4721,0,367135,29,0,0,1689,102527,1222,0,4658,74772,70286,1194,0,21526,1690,0,7618,8807,9948,132982,0,35133,7782,22368,198,0,117,133564,42806,0,0,0,0,23237,0,0,0,101829,18922,778,1510,1062,2801,5040,0,2149,22000,0,26561,2178,3079,4387,4549,159467,8385,67,9171,261982,8457,13319,188923,48983,39591,12717,0,0,41164,74931,15160,1494,1360,0,0,22995,410,0,0,0,0,2583
"서순천",0,0,0,0,0,0,63125,0,0,0,0,0,0,0,0,0,0,0,0,743,0,0,0,0,0,7769,0,0,0,735199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29671,0,258177,0,265,34301,94359,0,0,0,0,0,0,0,0,0,0,38872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19251,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"서안동",75847,1550,15328,17,19534,0,0,34,3,537,40023,11,1,40,6,290,337,70923,1635,0,4,0,116,32418,0,0,9826,915,4,0,35913,479,574,6,0,74,1,0,0,33288,198425,99,0,12,8,307833,84,0,0,1112,57,0,0,0,0,187,0,0,0,98,122,3927,7,3434,4,83,0,2383,118,0,230,1491,11,23462,4,194,13,52165,19,160,20,2,82,10,16,8,0,0,262,56,63,26,120656,0,0,10,2229,0,0,0,0,85
"서울",353,7303,50470,1475,146162,0,0,10520,903540,142324,613,3235,16540,2068405,54138,216151,17550,1243,4997,0,475304,0,172613,419,0,0,35677,701118,227293,0,68808,4038,2252139,698941,0,365322,123536,0,27567,283855,183899,337748,0,59010,611830,533714,125775,0,873,1005,56797,0,0,0,0,5861161,0,0,0,263868,3030481,18363,921598,12355,235385,55218,0,39397,2963531,0,201753,25347,1593585,96608,170524,307787,199469,1411,500702,433549,167936,59607,543582,212213,99497,62389,0,0,4122341,239620,963780,17741,20640,0,0,76455,10120,0,0,0,0,25330
"서청주",21,463,4887,45757,9202,0,0,137014,40641,25306,29,1240,883,388,4280,19476,2657,57,629,0,34335,0,21011,21,0,0,3577,191275,14940,0,7844,687890,133374,9162,0,46,12188,0,1132,23292,13128,67792,0,4541,50047,50349,33498,0,37,71581,177,0,0,0,0,7681,0,0,0,113511,108,2478,17385,1284,22734,8646,0,2732,206,0,64914,3177,29569,9854,28272,55474,298070,46,89596,38182,95908,4760,28922,7493,390848,479858,0,0,121,97018,61,2330,1984,0,0,3257,2195,0,0,0,0,5521
"서평택",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1267165,0,0,55714,0,0,0,0,53301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41123,0,0,0,0
"석곡",0,0,0,0,0,0,27692,0,0,0,0,0,0,0,0,0,0,0,0,273,0,0,0,0,0,3542,0,0,0,272402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29356,0,0,0,0,0,0,10708,0,90,28625,5392,0,0,0,0,0,0,0,0,0,0,22417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10197,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"성산",0,0,0,0,0,55451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,0,0,4237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1744,0,0,0,0,0,0,2072,27224,0,0,0,188798,2684,934442,0
"송광사",0,0,0,0,0,0,37855,0,0,0,0,0,0,0,0,0,0,0,0,847,0,0,0,0,0,3794,0,0,0,209451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282907,0,0,0,0,13592,0,0,0,267,274179,29296,0,0,0,0,0,0,0,0,0,0,15261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6586,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"수원",46,1162,8092,3633,24355,0,0,17418,106793,35071,88,556,2058,285504,8007,33015,5009,225,1150,0,120481,0,22078,56,0,0,6536,94701,110654,0,11927,5782,841498,215391,0,62688,37922,0,4071,39175,28725,48617,0,7985,117516,75768,18330,0,155,5860933,6340,0,0,0,0,98,0,0,0,50393,603281,3811,107640,5642,92719,7847,0,4221,400516,0,28133,4234,116122,15392,48257,36835,50901,193,214632,53992,50844,8141,59723,22241,26832,16014,0,0,549076,52404,178321,3492,4188,0,0,8259,4370,0,0,0,0,3687
"순창",0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,123417,0,0,0,0,0,16903,0,0,0,261441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,0,0,0,0,62,0,183,0,0,1127,61,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"순천",0,0,0,0,0,0,111041,0,0,0,0,0,0,0,0,0,0,0,0,4200,0,0,0,0,0,33493,0,0,0,2037979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30951,0,0,0,0,41923,0,292148,0,1676,3,80367,0,0,0,0,0,0,0,0,0,0,98817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30493,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"승주",0,0,0,0,0,0,9316,0,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,0,0,1784,0,0,0,101291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93298,0,0,0,0,5865,0,27868,0,70,66389,0,0,0,0,0,0,0,0,0,0,0,6176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3190,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"신탄진",34,584,7577,9831,14135,0,0,32057,32310,14889,27,2403,921,12445,2935,18773,2701,124,464,0,8023,0,37770,32,0,0,2931,138532,2940,0,5423,123763,174226,2638,0,119176,3733,0,1279,28298,13857,21094,0,4400,13194,42948,98989,0,117,267438,125778,0,0,0,0,48911,0,0,0,731,69256,3344,3710,1876,5581,14319,0,3991,63088,0,133004,7981,6671,9844,7939,67367,26664,74,15475,32712,19559,2814,29532,6466,126944,41578,0,0,163084,63172,50901,2951,2442,0,0,3251,1202,0,0,0,0,5548
"안성",48,983,10939,960,20178,0,0,3410,74804,23774,63,518,1570,131107,5675,32215,2929,159,1181,0,8207,0,17176,53,0,0,6430,105069,5655,0,8582,2258,716575,16446,0,104539,4398,0,2889,31895,20848,36205,0,5447,17227,78141,17803,0,128,2781505,59,0,0,0,0,510273,0,0,0,66466,285,4642,6110,2874,5923,6803,0,4832,292683,0,34432,6019,15227,15075,7142,34322,378,158,10708,43326,366,6976,40704,16191,100,89,0,0,303032,63050,207314,3918,3144,0,0,6461,2325,0,0,0,0,3581
"양산",3600,10880,23795,8631,161380,0,0,3227,5,6142,280,200,12,2116,39,4553,11065,1473,14811,0,328,0,1117,299,0,0,1004625,10161,292,0,32835,10570,23656,71,0,3603,290,0,0,2940844,24730,1745,0,66,477,22684,531,0,4587,25265,2994,0,0,0,0,5088,0,0,0,2765,3810,6,293,130173,356,2200,0,26262,6372,0,5397,7551,621,405213,297,2865,1252,866,1208,970,1168,0,479,15,1061,1210,0,0,5576,2795,2446,490,4056,0,0,10,198606,0,0,0,0,1976
"양지",4,57,448,8770,1042,0,0,12607,5272,1572,7,32,91,15523,343,1666,382,5,79,0,61878,0,1348,1,0,0,436,6022,17166,0,623,80898,688367,30303,0,801,24045,0,189,2908,1777,2537,0,468,47491,4537,1390,0,10,910317,16000,0,0,0,0,83947,0,0,0,3296,5879,359,2,144,50111,337,0,249,12990,0,1496,284,103164,786,21275,1995,15712,14,90203,3058,13327,419,3090,875,13516,6615,0,0,10244,3444,1060,190,258,0,0,360,116,0,0,0,0,194
"언양",3425,13237,27123,438,158046,0,0,1273,13,6424,328,122,17,724,50,4433,8743,949,43743,0,188,0,982,305,0,0,369882,7614,233,0,45506,7624,11998,103,0,4085,86,0,0,716313,22921,1416,0,94,130,33534,1003,0,3651,15572,1899,0,0,0,0,5631,0,0,0,2295,2544,123356,245,1,200,1519,0,26085,5340,0,2734,8727,600,1925636,362,2402,471,650,765,1038,660,0,295,52,887,890,0,0,4610,1516,964,440,4402,0,0,42,52505,0,0,0,0,1273
"여주",3,152,890,22804,1952,0,0,86821,11075,2200,5,26,158,6631,631,2790,217,9,227,0,238067,0,3279,3,0,0,961,13022,23866,0,1401,411179,354096,10935,0,394,94678,0,314,4869,3908,4417,0,900,94418,10216,2562,0,6,215411,23362,0,0,0,0,69472,0,0,0,6093,4710,694,50076,244,10,538,0,475,13805,0,3056,572,55219,1717,77023,4172,8259,2,137845,5779,23554,913,5533,1665,8123,8156,0,0,8430,5500,171,328,506,0,0,556,275,0,0,0,0,276
"영동",28,726,6743,1472,12085,0,0,4013,2370,22598,35,6246,68,1452,404,35439,2145,79,621,0,519,0,6597,29,0,0,3637,114743,266,0,6513,22169,25777,205,0,4977,188,0,70,17238,20746,8350,0,404,872,45312,3910,0,79,48912,8304,0,0,0,0,8063,0,0,0,11114,6137,2334,423,1478,463,4828,0,3788,7545,0,78027,5493,716,8650,554,11986,1267,37,1663,3115,1521,283,1801,797,3760,1611,0,0,8442,12833,4749,9962,2885,0,0,296,1304,0,0,0,0,23736
"영산",0,0,0,0,0,2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18914,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64077,0,0,0,0,0,0,47364,517866,0,0,0,24222,86039,444029,0
"영천",8375,24941,206398,9085,181092,0,0,2441,37,27911,715,399,58,1161,215,13586,37607,1386,10772,0,348,0,2377,1842,0,0,99871,25852,211,0,603360,17722,30365,159,0,5584,252,0,5,213774,307117,3306,0,240,142,381714,1777,0,4245,42636,2941,0,0,0,0,5103,0,0,0,3410,5073,29455,203,30106,589,4796,0,32,5577,0,8809,47945,594,186863,388,5800,1024,1353,1239,3211,1213,6,1001,266,1638,1406,0,0,8797,6527,2067,1192,57239,0,0,125,18326,0,0,0,0,3441
"오산",65,1473,16019,1304,34196,0,0,7647,122594,43049,84,543,2014,95909,7554,38191,6269,180,1461,0,29515,0,21577,73,0,0,7772,95467,17901,0,10779,2193,529843,31411,0,96683,9367,0,4160,45806,23499,31246,0,8001,31525,102559,20053,0,103,2689619,183,0,0,0,0,315155,0,0,0,63885,279239,6564,15556,4801,16607,7856,0,5121,1356,0,39055,5747,30332,28326,17098,30284,3570,155,39328,68788,2454,10778,61618,23189,1064,884,0,0,445852,59908,223264,5038,4220,0,0,8009,3881,0,0,0,0,5069
"옥과",0,0,0,0,0,0,16682,0,0,0,0,0,0,0,0,0,0,0,0,1182,0,0,0,0,0,3176,0,0,0,813438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47960,0,0,0,0,21898,0,15686,0,258,84099,6393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14464,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"옥천",84,1392,14989,6209,24444,0,0,17274,13744,38466,94,21640,464,5995,2033,54108,4225,301,996,0,2730,0,19459,72,0,0,5390,679847,4313,0,11679,93071,106450,923,0,30845,1295,0,707,28823,30873,97127,0,1565,4063,77849,25276,0,214,192306,70055,0,0,0,0,30004,0,0,0,117631,30957,4343,1687,2469,2751,80246,0,6955,36633,0,27968,9308,3099,19209,3067,93262,9294,199,6990,13907,9939,1515,9626,4731,37084,14821,0,0,48474,154862,27597,12454,4378,0,0,1792,1768,0,0,0,0,30543
"왜관",1170,9322,174660,739,80192,0,0,1873,57,134913,1145,467,27,680,108,20739,146151,1322,2011,0,260,0,1867,871,0,0,8388,15204,172,0,264775,10566,12885,115,0,2701,204,0,4,51367,1177548,1767,0,109,355,1381359,1338,0,1928,22029,2270,0,0,0,0,3837,0,0,0,6218,3905,8134,194,10492,353,3834,0,50285,4251,0,7587,19,489,61027,380,3549,1016,1410,3337,1929,987,10,678,161,1189,1161,0,0,5419,3041,1569,2843,91620,0,0,79,4809,0,0,0,0,5931
"용인",3,168,1557,2838,2670,0,0,5784,12212,3557,7,88,249,28501,926,3765,534,20,136,0,47910,0,2714,4,0,0,934,11301,46316,0,1418,26556,1086390,37146,0,2965,16001,0,441,5419,3397,4816,0,1003,41249,10478,2704,0,17,1638490,26650,0,0,0,0,113596,0,0,0,7096,18263,596,79182,640,36064,787,0,582,29446,0,3338,773,11,2053,18565,4258,25054,21,76937,6924,21510,938,6647,2319,17852,9663,0,0,35167,10055,3654,658,695,0,0,981,239,0,0,0,0,480
"울산",35036,68251,176569,2405,323906,0,0,8721,49,39837,1911,1013,203,3993,595,26746,91214,7679,118315,0,2300,0,9276,1792,0,0,1764138,61705,762,0,328627,46243,105443,650,0,22375,921,0,14,843997,173050,8076,0,799,886,253232,4270,0,29033,108043,12338,0,0,0,0,18797,0,0,0,10972,15102,408756,824,1914269,1665,9128,0,174467,28927,0,20018,63601,2036,40,3081,19480,5056,5846,5038,17769,3785,8,7401,677,7288,5475,0,0,29592,11229,8612,2416,25866,0,0,335,406999,0,0,0,0,8504
"원주",4,108,656,14648,1954,0,0,57780,14086,2048,4,56,157,4755,900,2640,236,5,115,0,114766,0,4242,5,0,0,873,17591,12602,0,1046,281305,290111,6642,0,429,123865,0,330,3538,3093,6901,0,1103,366043,8050,4045,0,2,181902,29145,0,0,0,0,40529,0,0,0,9494,5862,405,31877,337,97312,566,0,399,14665,0,3137,520,40825,2740,6,6542,5888,11,85413,8547,32448,1231,7132,1788,9006,7490,0,0,11671,7860,111,227,394,0,0,712,127,0,0,0,0,233
"유성",82,1127,12812,10508,28052,0,0,18810,228142,28193,63,2981,8011,9424,24481,34177,3850,319,1191,0,8190,0,315438,86,0,0,7294,83382,1726,0,12612,124741,109199,2766,0,42680,2021,0,9443,32077,31702,55396,0,42338,10538,78406,136637,0,236,323419,64694,0,0,0,0,45546,0,0,0,69469,36507,3889,2209,3015,4254,14918,0,6403,35007,0,101594,8657,4652,22541,6507,577,10160,201,10387,273079,11249,24004,241983,58685,52109,14498,0,0,86720,106557,29657,4633,4635,0,0,26493,2057,0,0,0,0,6803
"음성",7,186,2114,39598,4301,0,0,175330,14972,5305,15,71,273,6270,1148,5523,953,16,324,0,9606,0,7352,9,0,0,2201,32945,13947,0,1979,759670,357684,6896,0,22,5391,0,620,9649,5240,11145,0,1333,11424,17077,6391,0,17,163898,279055,0,0,0,0,37141,0,0,0,27477,394,1111,17168,521,10429,1192,0,1070,3019,0,10059,1276,32185,3951,6104,8638,55,43,35812,12571,60793,1752,8816,3437,128599,64916,0,0,278,27491,13,901,712,0,0,1503,712,0,0,0,0,916
"의성",98818,428,7266,41,5000,0,0,70,2,299,19883,11,1,43,10,284,216,44572,439,0,1,0,91,41502,0,0,2842,715,2,0,26300,791,893,5,0,94,0,0,0,9309,201377,104,0,14,8,333060,54,0,35654,1480,74,0,0,0,0,228,0,0,0,79,149,1032,13,761,10,49,0,716,161,0,243,1459,14,4889,9,219,40,0,32,129,16,0,49,14,14,25,0,0,211,56,88,34,126728,0,0,17,584,0,0,0,0,71
