"","가산","건천","경산","경안","경주","고령","곡성","곤지암","광주","구미","군위","금강","금산사","기흥","김제","김천","남구미","남안동","남양산","남원","남원주","남지","논산","다부","달성","담양","대동","대전","덕평","동광주","동대구","동서울","동수원","마성","매송","목천","문막","발안","백양사","부산","북대구","북대전","비봉","삼례","새말","서대구","서대전","서순천","서안동","서울","서청주","서평택","석곡","성산","송광사","수원","순창","순천","승주","신탄진","안성","양산","양지","언양","여주","영동","영산","영천","오산","옥과","옥천","왜관","용인","울산","원주","유성","음성","의성","이천","익산","일죽","장성","전주","정읍","증평","진천","창녕","창평","천안","청원","청주","추풍령","칠곡","칠서","칠원","태인","통도사","포승","해인사","현풍","화원","황간"
"청원",36,788,6636,9418,19164,0,0,28774,48949,19401,42,2186,1026,11001,4319,24477,2188,100,671,0,6948,0,30875,28,0,0,3492,361752,2687,0,6644,113362,150231,2236,0,79604,3548,0,1809,20431,17627,69654,0,5942,10614,57456,67280,0,42,210540,90342,0,0,0,0,44157,0,0,0,74938,58134,3064,3818,1489,4597,14996,0,6788,57404,0,166244,3726,9840,10437,6016,101972,29650,55,19179,42474,25720,6232,34253,9541,142017,48605,0,0,109280,371,39432,2945,2161,0,0,4912,1524,0,0,0,0,8848
"청주",26,583,5738,96,9965,0,0,262,24821,14944,35,687,533,37794,1906,14399,1735,88,605,0,563,0,9782,26,0,0,3237,118023,277,0,4924,555,451042,4968,0,200592,170,0,902,19780,12551,33727,0,3040,1396,35961,13817,0,65,897522,100,0,0,0,0,173766,0,0,0,45667,207499,2305,692,1208,420,6445,0,2426,224698,0,31150,2690,3312,8174,502,27605,40,82,674,18842,47,2092,18052,4784,53,20,0,0,436022,48242,141,1558,1922,0,0,2032,944,0,0,0,0,2868
"추풍령",15,281,2722,608,3438,0,0,1878,407,28212,10,1285,28,582,155,27740,2607,29,216,0,160,0,1313,13,0,0,1005,21660,218,0,4082,9691,13558,101,0,2502,112,0,18,5125,16492,2045,0,86,187,22460,1403,0,23,21624,1950,0,0,0,0,3096,0,0,0,2620,3200,511,170,449,305,10560,0,944,4560,0,13028,3894,452,2254,214,3828,663,32,669,999,735,58,580,251,765,670,0,0,3685,2704,1265,350,2399,0,0,154,296,0,0,0,0,8663
"칠곡",116399,11159,232381,1129,89975,0,0,2521,24,135629,65774,491,36,793,167,36124,99969,141252,1785,0,341,0,2337,38076,0,0,7881,19170,217,0,313460,16339,18242,268,0,3252,141,0,2,36338,832904,2859,0,119,445,2999839,1689,0,126435,29209,3102,0,0,0,0,6138,0,0,0,3945,3862,5098,329,6163,661,4139,0,64768,5260,0,7173,120791,651,30988,571,5522,946,134269,1401,1914,1196,6,654,136,1331,1164,0,0,6101,3188,2145,3491,20,0,0,177,3371,0,0,0,0,6795
"칠서",0,0,0,0,0,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17352,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0,0,0,0,0,0,0,0,0,51377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57192,0,0,0,0,0,0,0,573318,0,0,0,4678,26557,165193,0
"칠원",0,0,0,0,0,14047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493201,0,0,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28256,0,0,0,0,0,0,0,0,0,0,0,0,532561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574400,0,0,0,0,0,0,690000,0,0,0,0,120422,454906,3193326,0
"태인",2,35,278,2182,706,0,0,5763,158236,1511,2,18,9834,1902,39079,732,117,20,8,0,587,0,25232,0,0,0,19,3625,442,0,185,33844,34510,285,0,2075,197,0,14476,105,705,5874,0,22965,939,507,23595,0,15,73812,3288,0,0,0,0,9474,0,0,0,3158,5892,28,401,44,589,218,0,156,8388,0,1430,112,965,344,683,25339,1489,14,1824,20509,1631,20359,66893,46493,4417,1329,0,0,5333,4707,2083,127,128,0,0,2,12,0,0,0,0,142
"통도사",2716,7213,14735,472,117656,0,0,2496,2,4209,185,106,2,1204,25,3442,5972,656,59584,0,158,0,525,212,0,0,483636,6439,331,0,24314,10794,21183,78,0,2445,119,0,2,1080368,13890,651,0,19,82,15150,499,0,2174,26588,1990,0,0,0,0,6735,0,0,0,1396,3502,181475,265,35211,254,1039,0,15963,6704,0,2731,5085,660,376573,334,1757,1163,452,999,329,1179,0,116,17,628,948,0,0,4302,1552,1316,309,2511,0,0,7,5,0,0,0,0,994
"포승",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3121836,0,0,91831,0,0,0,0,121223,0,0,0,0,0,0,0,0,26165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"해인사",0,0,0,0,0,199249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2855,0,0,4828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226660,0,0,0,0,0,0,0,0,0,0,0,0,19195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9079,0,0,0,0,0,0,3861,107423,0,0,0,0,3816,1420289,0
"현풍",0,0,0,0,0,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22494,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3724,0,0,0,0,0,0,0,0,0,0,0,0,87705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41856,0,0,0,0,0,0,29285,466262,0,0,0,9071,0,933670,0
"화원",0,0,0,0,0,958972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126670,0,0,1786348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,991317,0,0,0,0,0,0,0,0,0,0,0,0,438586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395646,0,0,0,0,0,0,156060,3195449,0,0,0,1522102,1045421,0,0
"황간",29,694,7840,820,11037,0,0,2306,1122,49582,35,2218,27,704,195,53724,3441,114,611,0,226,0,1712,44,0,0,3555,66939,417,0,8471,12812,16070,83,0,2794,109,0,52,14944,28709,3698,0,150,372,48857,2230,0,83,24149,5540,0,0,0,0,3919,0,0,0,4969,3261,1996,272,1204,246,24753,0,3120,6206,0,35213,8148,502,8409,275,5546,996,83,723,1340,903,134,935,451,2104,938,0,0,6235,8260,2357,8461,4904,0,0,175,976,0,0,0,0,1160
