"","경산","경안","경주","곤지암","광주","구미","금강","금산사","기흥","김제","김천","남구미","논산","대구","대전","덕평","동대구","동서울","동수원","마성","목천","문막","백양사","부산","삼례","새말","서대구","서대전","서울","서청주","수원","신탄진","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","음성","이천","익산","일죽","장성","전주","정읍","증평","진천","천안","청원","청주","추풍령","태인","통도사","황간"
"신탄진",594,3588,6252,7989,9840,4714,2125,295,1340,813,5355,0,15393,18931,159859,645,3132,116024,0,3229,51989,2204,309,11910,671,4935,0,26554,90443,13910,29765,0,15078,1121,1957,546,1955,4837,283,61703,32546,585,0,2329,3201,0,9791,7682,13295,5597,552,10976,2145,39690,9972,49419,22850,78884,438,755,108,1669
"안성",2578,246,22696,532,25544,6716,313,309,10960,1658,14510,0,6046,41384,78801,1017,5253,725,0,8941,22883,993,517,19664,625,3512,93,4958,1037516,8,170221,13475,0,5278,1067,459,1439,2379,744,166969,7196,1452,194,4458,2437,0,65,2479,16699,38,645,16341,5487,31,19,106193,5393,76970,1096,1023,455,893
"양산",25438,600,475251,2226,12,18133,27,2,257,116,7563,60,1182,46755,19012,160,68056,22629,0,7,2770,263,0,1300884,41,51,306,1024,43510,334,13395,1186,4783,0,202,110581,414,1451,56500,31047,3273,6366,1188,763673,891,0,603,1474,576,765,0,566,12,595,593,4673,2298,6200,105,5,77213,1533
"양지",84,2554,675,3412,1859,663,4,21,2799,101,708,0,566,3272,4039,3120,366,46389,0,137,152,13516,55,1487,72,10248,0,511,415473,4393,98389,1736,958,373,0,58,13739,180,40,4913,352,80,30371,520,9772,0,4508,20910,1084,2665,89,1465,396,3408,1549,2426,329,58,19,98,88,40
"언양",9007,198,138883,396,8,6601,29,3,93,8,1573,0,358,20153,4103,20,29968,6161,0,0,846,49,1,309387,5,19,0,175,9992,143,3762,703,703,109625,91,0,101,378,10037,6691,776,2393,355,918143,118,0,120,273,225,205,1,100,42,271,248,1700,412,999,44,5,14737,236
"여주",268,6955,1193,13777,4738,940,8,43,1891,231,1649,0,1221,7842,10673,2945,1112,322848,0,0,199,70642,72,3672,151,32445,17,1107,64671,9162,103720,1631,1352,334,7812,77,0,289,123,7786,837,108,19592,962,61444,0,2098,28690,2872,7742,150,3090,780,1521,2524,3202,673,310,81,133,34,93
"영동",837,649,5947,1363,549,7314,2379,17,109,68,15257,39,773,25304,49597,55,4115,32144,0,425,1705,186,14,8619,40,447,69,662,26737,202,6736,3854,1840,1402,130,407,225,0,491,8352,39357,1162,19,3389,329,3973,455,616,1098,432,39,654,160,1189,534,3242,4296,7792,5020,43,162,19752
"영천",36901,226,63714,403,9,12829,23,10,111,17,2905,0,403,116378,5191,70,154220,9845,0,8,838,71,0,162553,12,27,0,247,8251,77,2910,218,883,55532,16,11855,141,849,0,3803,1518,5616,134,61731,187,0,123,237,520,170,2,200,63,182,108,1191,433,1318,160,65,4453,883
"오산",12040,1108,84166,2755,199960,51153,690,2355,14993,9147,68801,0,32181,258272,261850,7355,24565,1427,0,264,58749,8752,3859,135019,5414,13698,0,21726,1977696,117,79037,58102,195110,34345,5429,6495,9099,11278,4573,0,29330,6637,29395,38704,11104,0,1933,18926,118129,970,6315,108695,31629,420,457,497025,28828,303578,5031,7482,4845,4913
"옥천",2929,1318,9737,4221,4583,14332,57657,171,336,594,28026,0,6549,51344,241557,217,8276,50255,0,1011,9756,488,133,18026,310,1006,0,4802,46377,20850,14436,29700,6313,2966,283,676,927,44131,1155,25613,0,2806,0,6325,987,30804,1937,1683,6610,1872,152,4222,1906,8214,2877,13186,50262,19503,4366,301,473,14528
