"","Andong","Ansan","Anseong","Boeun","Boryeong","Buan","Busan","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangneung","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jinan","Jincheon","Jinju","Milyang","Muan","Muju","Munkyeong","Naju","Namwon","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Sungju","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yicheon","Yongin"
"Sacheon",3,2504,7029,196,118,948,273859,27015,132403,14537,9,545,324,0,17317,122966,64051,3637,346,2,35,0,288,1355,355,24139,8916,3724,318353,403,1508,410,5420,377,2143,42595,2160,1425,149,0,3378,44674,193222,10,3,1480,323717,563081,103,35232,1512,135,401,58,4152,5918,4480,2246,8,1954,68881,2378,1285,2010734,2,180,11649,334,0,8698,3492,810,6049,4,115,3582,306463,138156,2458,20,227,75090,8990,742,80807,3268,5550,137020,11,16639,764,19,180,0,788,0,88,535,6,2290,9759
"Sancheong",0,2929,7229,193,9,182,53656,3857,27966,13134,5,124,274,0,14485,40221,45391,1684,233,0,62,1,272,1406,454,38752,11289,910,74214,476,421,99,317,497,4228,31822,679,1358,7,1,3581,11007,18644,3,2,743,23056,102436,26,68361,3508,134,419,10,3032,12922,7491,392,13,931,30345,4884,2890,201981,0,82,15221,99,0,18240,4553,586,6236,2,169,3812,124844,84485,728,3,92,80807,7183,2622,8022,1193,5421,65273,7,31365,768,3,130,0,899,3,46,130,0,1814,8569
"Sangju",70,28662,15406,84455,98,6,34425,12490,6928,71187,30625,95437,3720,2658,196311,508146,147693,287,2046,20,600,45,3069,49744,2814,1542,1610,63116,17890,662,36,113102,44,550,14695,213,360599,22453,3,50,61635,7301,3149,28532,21791,3638,959,38080,21,652,727,1646,2502,228,9389,7197,181,723,86,3982,10502,88,3779,4235,6119,238,212,83656,3,1337,7973,1863,20196,29140,2267,11789,2691,729,382143,6,1796,595405,71853,243,1362,29228,71490,1696,37568,3075,8437,21510,1566,6,21468,18424,3473,36,37,53091,73069
"Seocheon",1,13056,13139,5,280615,18953,77,1,21,372,0,26,171,0,131,32,45,491,28243,10,103,0,3991,173,188,1,1,3,60,10233,9948,5,427,1,3,5,12,6327,137784,0,95,13422,692,1,1,3,122,37,4212,5,0,123,134,61381,80023,1,3,1322,87,12,4,0,39,27,0,19771,0,0,226,48,4,3,5765,0,92,39231,23,7,8,48581,54981,209175,49380,70,3436,0,7716,33,4,2,433,0,120,0,209,1,3,4025,17,633,8702
"Seosan",211,53642,96174,647,260072,21684,1799,233,240,11331,522,437,1116,76,11998,8736,27502,1086,181270,194,821,6,23945,1993,1783,48,679,961,615,9066,12056,95,1019,439,105,106,2701,25343,191642,3,507,36936,3431,2243,2158,101,539,1758,4772,76,12,970,1006,96612,447839,26,20,3190,1005,31,57,4,382,293,383,27832,623,115,359,202,251,913,26828,1243,1370,235324,236,100,1834,53061,97284,1037163,272440,190,25687,481,45761,419,3931,13,3688,1428,1028,5,1980,555,273,5592,347,3285,49923
"Seoul",197933,7381131,4370259,96338,560009,160040,264093,47758,36281,3709383,48328,685243,9658,14433,2607082,993596,2891623,23204,1680515,110528,281812,5884,648467,1785532,666409,25343,148909,192245,97754,90503,106863,159299,20196,673872,30170,29205,349991,1896387,549801,3857,7024636,994848,61490,219526,54742,72946,39658,282501,56103,93382,4216,365803,23662,507396,4057283,423132,70509,92085,621736,255856,613276,21226,318956,151240,47583,355080,117774,150228,3338,31225,380511,197398,3428607,177004,648398,2846087,71831,73339,577259,204994,1095754,55421,659585,2245,170683,42318,5558272,168504,320074,284728,1624019,189908,280477,7405,1245470,63924,67261,70763,263981,3730769,15391860
"Siheung",20320,5848322,417148,14720,121620,40011,57052,11477,10117,472075,10028,69703,5454,1987,300873,128605,313992,3502,683066,15257,38233,760,547477,206506,84686,2544,21029,27627,19598,18956,25327,19782,3038,94582,7165,4235,48602,1673358,187058,457,4208,130623,7668,35600,14217,7573,3863,50122,15276,8664,423,52844,11462,111434,1509657,30789,5493,11271,79561,17117,45287,1569,36348,18878,8080,91883,12980,18381,1120,3136,44616,25597,304361,21994,65896,1071631,10014,7480,81736,64230,310185,736210,588,388,27367,5444,1869174,22671,56633,21375,204108,34164,49567,1082,117878,16224,11504,15913,33454,283101,1608413
"Sunchang",0,125,226,8,264,1488,2348,436,1099,372,0,29,18,0,338,27546,939,23055,93,0,8,0,14,39,13,6727,199,425,3542,307,5820,16,551,38,2875,400,293,37,1058,0,78,334400,279,2,1,30,100,2653,244,4602,861,5,9,149,267,152,11907,4576,2,1817,700,34,26,2864,1,1201,733,51,4,105290,223,20,185,2,7,167,658,2953,254,108,190,2632,423,2209,1530,663,131,1482,1,140,61,0,8,0,44,0,8,1134,0,81,270
"Suncheon",5,7604,14495,335,10559,14938,148621,10113,56115,31011,2,481,717,0,15804,81938,40985,123069,12175,2,118,0,803,1342,499,3430,2016,2324,176130,22073,28669,285,288220,4859,1216,17418,1493,2731,30427,0,3223,1983092,610737,11,0,2013,100315,132178,1770,2607,592,219,531,6873,16959,10262,493,56243,39,42678,42369,209,1233,111399,0,1683,4214,226,20,825,12085,536,14560,26,287,14338,87235,8476,1392,3683,19948,166624,26336,2911,1563406,2151,10190,75349,23,10505,1302,13,302,0,1110,0,70,10270,3,3072,19382
"Sungju",20,2125,2330,1619,6,18,21128,27311,11817,10105,206,4892,293,16,10244,120554,16980,708,544,4,32,17,115,2672,212,10580,352,55550,18625,38,162,2484,44,30,50342,262,23605,1281,2,10,3419,10477,6834,292,109,278,1595,52456,17,1935,4183,137,170,1,1570,2116,402,659,8,195,1758,210,776,4486,32,135,77,2642,0,2319,1002,1907,2734,306,137,2603,2702,1101,24723,0,603,35328,4644,550,1666,65711,3216,1594,292,1343,542,70,111,1,1560,136,3251,78,16,3497,4590
"Suwon",25474,967679,544082,10844,27660,5160,26067,5816,4161,430521,5129,98183,21145,1358,269521,106610,261906,1565,80669,17807,39148,778,270492,239124,100542,1879,14200,23561,10296,4329,3517,24581,1277,69913,2629,2664,50725,914127,19518,519,10918,69956,4158,22845,7259,4522,3239,26613,1825,7333,353,69603,28602,28063,248638,34400,4625,5986,87610,19016,50357,1672,32624,11123,5105,14034,11130,20400,106,2639,32469,17775,384070,17494,93503,153114,5871,5392,72952,9122,55366,5594448,1951287,131,11917,4851,3664862,12816,34191,23918,262011,18458,59734,1066,225506,7590,7068,2272,41404,515888,3381048
"Tongyeong",1,3913,11797,405,69,1387,69761,8468,30482,24223,6,542,659,0,32206,87991,106341,4691,633,3,206,0,441,1458,807,22010,12713,3599,89804,562,1902,576,5419,777,1625,2993981,3057,2201,99,1,6175,57824,105702,8,1,1250,83282,52741,234,25664,2994,256,575,95,5450,12222,6017,1414,26,2376,20887,4220,1922,706071,0,446,23047,385,0,11436,4788,1104,11441,8,310,5255,132363,75949,1794,24,323,159610,20775,1719,75960,1839,10346,714,10,33487,1459,12,606,0,1567,3,120,528,5,3785,18325
"Ulsan",37497,22718,21235,5532,37,2,2976425,17,223,94034,101859,23839,9034,47415,69309,1658811,147357,1,6801,28185,127,9872,1110,14470,1267,13,3018,29328,308093,791,2,15666,1,227,8,5,160308,8513,2,4873,21936,25,5,1086819,186617,2313,15,59,0,21,4,3984,6261,169,19487,16481,24,14,16650,1205,18434,22,6760,33,286539,3,207,8976,0,4,10855,10084,33953,996,4758,27377,22,7,29539,1,3457,281798,50851,0,5,102,34101,11,2431871,2150,17014,2738848,1424,3081,6876,210876,16365,0,41307,18856,41697
"Wanju",68,7604,37746,1599,13,16,68247,3534,19580,74689,624,109,2362,63,66964,89633,252710,3594,280,65,760,17,1125,7324,1774,6539,3800,3113,58621,33842,654,61,1641,21402,8142,7607,4988,4926,7,10,8472,331786,2922,1423,506,19678,2395,54870,553,41611,2651,1188,1966,6,11426,150483,204818,28161,310,419475,66358,124191,7082,33656,47,3492,127070,159,12,2471,99806,5068,34118,1473,1586,14377,16451,34853,3330,10,69,301632,23831,124,9311,1121,22822,35050,1734,78319,4640,70,1077,0,3396,817,1653,718,24,9786,45072
"Wonju",57053,72703,78797,1159,2039,109,10653,227,226,10989,16229,9216,615530,1084,76002,105052,81986,272,5340,90551,125726,11167,10865,50552,437404,690,2200,2260,2060,535,49,3729,139,956,215,131,4321,68603,373,5962,188579,15447,1763,14822,3779,5184,321,2408,46,626,20,585762,242507,1842,19994,10052,1427,1319,915723,5241,12776,277,17430,1218,3555,687,1265,2107,0,499,6493,3126,23100,7507,406240,3717,539,540,6688,386,4238,1525138,194317,39,1242,553,247663,1279,19967,4024,888753,12008,115003,10393,130368,3407,751,79,106630,208988,349900
"Yangsan",3429,2699,3760,398,3,0,5149039,18,332,12077,17391,3563,605,92512,9852,1380118,17973,1,312,1283,554,785,256,2048,144,0,272,2854,691040,4,0,3294,0,11,2,5,15662,1599,10,492,3286,2,1,805464,35844,251,22,52,0,3,1,209,401,2,2618,200,2,0,1018,14,96,1,1162,45,603356,0,6,1713,0,1,1406,1339,4973,366,170,4964,24,7,3210,1,112,28610,5855,0,0,4,4084,10,2748871,17,1978,2422355,126,294,877,64042,1442,0,2689,2744,5350
"Yangyang",2582,11305,11845,251,472,26,1281,29,24,3137,2280,2417,5054,128,15627,17373,16369,47,869,2259,216385,318,1724,6684,148365,21,384,469,289,119,12,949,45,221,33,62,915,11136,94,394,21941,4286,255,637,353,475,73,225,17,102,5,59237,1932,267,2860,1788,268,263,9573,907,2393,50,2230,225,500,186,203,493,1,98,868,488,3567,141,195947,773,190,172,1107,87,854,217813,41956,10,290,51,47774,400,1481,815,125010,1484,80,710,17810,185,112,28,3783,29215,50251
"Yechun",31788,307,44,2,0,0,1829,0,0,9,8677,0,3350,240,11,48466,42,0,5,18769,225,2456,47,23,1566,0,1,10,317,0,0,0,0,1,0,0,40,241,0,2808,604,1,0,2028,1179,1,0,0,0,0,0,1226,1986,1,101,4,0,0,13001,3,3,0,5,0,719,0,0,0,0,0,3,6,39,1061,895,8,0,0,4,0,7,6115,903,0,0,0,854,0,3461,1,9562,2007,720,146,269,843,6,0,38219,352,654
"Yeoju",6560,45677,45778,1268,963,60,7699,1906,1446,5954,1954,50398,18972,465,58001,40223,51538,166,2551,3955,11360,239,7936,61151,33594,318,1671,6136,3638,417,42,10415,113,630,1076,207,15591,45395,215,200,171365,11231,1238,6130,1785,1352,411,8503,45,662,120,25178,10689,836,12875,6071,1218,944,27055,3677,8896,161,13648,1698,1788,441,759,7956,1,405,4319,2766,14770,5267,24778,2191,765,733,23025,215,2066,1228687,123321,33,1122,1825,216227,1504,9265,3280,117116,6385,12906,400,780,2379,642,72,7984,213024,284704
"Yeongchun",11213,14303,7790,1893,6,1,136785,7,7,40396,156123,9349,2368,16571,25225,3120942,57716,0,3567,3159,24,3183,438,5869,378,2,988,22607,8835,245,1,5100,0,78,7,0,133397,2713,1,2234,6459,114,8,107855,150330,1195,3,15,1,3,2,871,1427,54,11569,6509,7,58,3447,1204,8149,6,3303,6,40342,14,61,5685,0,5,4980,5412,8759,253608,715,12486,6,6,17357,0,922,87839,25688,1,18,51,8895,2,198722,822,4445,68590,298,1014,3632,100390,7870,3,8582,5810,11489
"Yeongdong",231,3166,9081,161,13,4,12124,3008,1577,20407,9814,803,330,812,68944,90328,389602,36,721,22,91,108,321,2203,280,49,3029,69976,5041,336,5,650,12,126,2358,28,66974,1283,3,74,3659,3933,169,14375,5632,3530,93,8618,4,95,82,164,256,16,3724,5191,150,358,40,2427,5356,21,2850,271,2521,115,190,576,0,79,7343,63455,7951,10305,153,7878,143,72,3697,2,232,62507,9080,7,116,2543,6423,257,19750,1530,823,8833,120,6,604,7537,35036,12,96,2331,8908
"Yeonggwang",0,3085,1630,17,7550,30026,1936,100,637,287,3,3,61,0,542,3392,1325,4125,3819,1,19,0,728,80,31,360,45,76,2151,22669,86075,3,3460,113,191,134,49,1376,46189,1,89,15832,2367,2,3,97,490,1579,18269,251,74,21,54,5000,22153,308,332,5968,6,761,777,29,52,665,0,72079,100,2,902,2364,244,125,1028,4,29,6448,654,146,64,4083,5773,71254,12761,1074,10100,67,1825,627,1,698,93,0,29,1,78,5,26,119,1,164,2023
"Yeongju",190104,13467,1500,3,119,1,18840,2,2,345,118692,40,23170,2212,339,498530,518,0,377,240380,742,23184,1665,702,9201,0,22,184,3237,1,0,13,1,9,3,1,398,14102,5,25025,22100,15,3,21581,14542,13,0,8,0,4,1,13150,13254,87,2741,66,3,1,271239,24,82,0,165,8,7120,1,6,3,0,0,84,30,2066,10360,5952,327,2,1,21,8,333,257117,33159,0,1,2,40962,2,49193,27,118735,21812,3803,34215,8308,7984,54,1,23827,17114,29724
"Yicheon",8387,114557,180301,3700,2167,126,17670,4422,2490,15842,5762,64728,20710,989,305172,63041,150393,586,4676,6341,18937,323,32960,208474,59004,625,5547,8034,8000,1591,74,13277,387,1459,1584,698,24259,109827,509,243,544857,35615,2552,11865,6085,5209,885,15864,84,2286,176,42203,14443,1917,33151,18479,4025,3005,39007,12614,29309,597,63122,4054,3677,1138,2743,12505,2,1133,11470,9530,34905,7977,41734,5276,2231,1807,44642,646,3806,3649792,283415,61,3401,2637,443322,3845,19745,9703,177623,13702,23389,413,174325,4346,2424,166,13988,172379,545157
"Yongin",23647,835806,1057424,14622,32241,4743,45660,7026,6825,1030430,8712,102808,43883,2274,408830,167678,477975,2775,91250,17679,46162,771,239312,252133,121673,2768,18838,32638,15052,6519,3178,23266,2235,118771,3396,3291,86189,892611,19084,858,52812,125893,6688,33944,9879,10254,4784,36767,1688,11882,492,91147,49256,27779,196472,63245,6738,10707,88147,34911,91321,2814,31507,18004,7720,15025,15272,20380,68,3535,57674,21096,877558,21709,111336,336173,9058,8064,78847,10247,61267,15889838,1795476,212,21037,5628,3372873,19431,48584,43666,379549,31866,65914,946,318711,9833,9104,2341,33057,591511,2822786
