"","Andong","Ansan","Anseong","Boeun","Boryeong","Buan","Busan","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangneung","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jinan","Jincheon","Jinju","Milyang","Muan","Muju","Munkyeong","Naju","Namwon","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Sungju","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yicheon","Yongin"
"Hadong",1,2941,3412,102,586,841,188725,15007,75452,7109,3,248,190,0,8752,87122,22077,3895,353,1,36,1,137,990,148,7079,3011,2856,215237,520,1098,202,5518,226,1986,33646,1066,504,828,0,1905,42734,243691,3,1,280,101921,259329,101,8263,749,116,158,297,2208,1276,860,1524,8,1445,40899,426,949,733261,1,151,4774,190,0,713,1080,260,3475,7,89,2036,338301,25842,1287,172,593,40311,5588,126,96482,2710,2727,80595,10,2318,481,18,98,0,543,1,45,462,2,1033,4631
"Haman",21,15567,18420,4773,145,2401,555199,871034,666345,58084,71,17398,641,2,48325,1491813,133449,8859,3283,6,96,1,1451,8645,600,54741,12225,60783,852235,1357,4455,11668,10920,1448,35489,26485,25429,7324,179,2,17996,136228,221544,19,22,5457,282596,5170125,384,66276,15054,292,564,153,11764,20479,7867,4360,42,6098,458522,4991,4842,1436705,5,822,21789,8701,2,18689,8968,4347,24644,41,458,17152,575237,121832,34198,45,1084,268316,44787,2854,141110,50777,22306,59237,44,57287,2319,88,373,2,7034,10,6427,1685,26,17062,31213
"Hampyeong",1,2646,1168,15,7941,20727,257,32,84,156,6,1,34,1,331,654,861,823,2725,2,13,1,601,28,22,57,23,22,309,17112,52288,0,558,74,73,44,32,1021,47554,0,53,2206,469,1,0,71,111,285,3511,59,14,17,21,4257,15339,193,62,1097,7,500,463,22,20,181,0,256872,16,5,41483,542,165,21,657,4,12,4915,161,29,27,3911,4784,53512,10125,290,1786,24,1389,181,1,458,48,0,16,0,38,1,3,20064,0,99,1280
"Hamyang",1,6787,9742,161,11,1484,31489,3076,13622,13883,5,115,483,0,16650,78563,63286,3070,597,4,53,0,292,1425,277,125777,12440,1155,39276,2127,576,121,135,498,10944,11818,665,1922,13,0,4364,23016,7511,5,5,776,8049,58256,57,146857,5459,153,287,8,3151,13273,43188,625,10,1385,17394,9264,1656,143218,1,260,23904,99,1,42177,5075,537,9073,6,144,4456,32002,70325,578,2,71,90649,7428,4477,2558,1678,6609,23809,7,39476,693,5,128,0,835,3,65,219,6,2152,12721
"Hapcheon",2,108,201,71,0,45,7647,8308,4501,606,4,211,22,0,646,270640,2893,755,12,1,4,0,15,223,8,56884,417,1809,9349,47,165,190,30,39,132264,315,1138,94,2,0,268,5353,971,5,0,47,565,16272,2,4856,3303,5,13,1,112,631,699,143,0,105,644,521,30,3011,2,50,564,204,0,4703,201,42,235,3,13,112,1292,2863,757,2,10,4448,390,615,517,3385,450,2203,3,2220,35,0,7,0,133,1,54,45,2,247,518
"Hoengsung",9954,19388,19104,278,463,18,3231,62,37,2606,3080,2513,407301,199,17564,24689,17302,62,1080,8565,87879,1156,3165,11342,268525,129,705,496,480,143,11,1143,33,256,33,37,921,19587,125,1154,43206,3340,195,2863,594,436,90,233,11,139,6,128220,64778,303,4528,1766,494,305,62611,1506,2212,77,3234,333,948,163,254,549,0,97,1740,630,4905,1633,277422,795,105,126,1458,88,1085,386766,58711,12,198,95,74448,226,6674,882,620722,4060,45502,1509,33879,761,182,29,13329,57064,88981
"Hongcheon",11287,7339,16775,412,628,31,3989,54,64,3396,4946,2462,1254508,330,22020,39535,28139,108,1175,10222,3538,1066,1035,9349,7822,59,790,820,640,259,20,1317,51,427,105,78,1825,5570,134,1593,2820,6648,406,3641,894,1764,125,317,21,261,10,65205,1463,429,2375,3512,584,684,52695,1959,4427,123,4176,2124,1372,284,388,907,1,164,2090,1277,3817,2189,6066,804,270,286,2066,170,1088,21246,13771,13,590,152,28524,707,6871,1754,246128,4333,1502,2172,13608,1205,275,49,13109,19563,45322
"Hongsung",45,20766,34621,95,162500,17175,178,11,39,1713,27,188,560,9,2234,1099,1236,848,64916,68,230,1,12679,707,739,4,43,127,113,6545,9024,25,522,27,16,13,383,12604,126358,1,254,23026,881,127,59,9,286,179,3729,15,2,326,406,61,198270,3,8,1779,325,18,22,1,129,73,27,19255,23,14,253,96,10,70,12136,170,393,76775,89,8,256,53294,94849,500308,96941,119,5329,16,22471,141,273,1,1622,93,319,1,904,45,41,3804,114,1666,22340
"Hwaseong",1973,396710,339040,6760,233158,54437,17036,3405,3073,269795,3748,7421,1976,601,132239,45480,158636,2866,1162640,1358,3815,86,34810,22009,7727,1100,10044,11397,7092,20373,33481,1609,2320,48408,1581,1674,21468,42435,197901,49,2112,91459,3919,16513,4593,2225,1722,17577,17255,4062,144,5001,2796,195376,932612,15330,2526,9447,8514,8577,22500,756,6503,7160,2722,104098,5549,1507,1018,1336,21232,12363,13210,6603,5620,1216109,4251,3589,10744,81602,473009,4186492,1433029,259,15870,1759,173093,7150,22816,10703,21423,11588,4273,113,13410,5215,4298,22078,3063,34314,168156
"Iksan",223,10373,54325,2584,8,6,23799,1299,7758,100119,3849,186,3682,186,132317,43791,573026,2998,368,88,1405,78,1512,10713,3543,2190,6135,10036,21869,58832,194,88,1801,26587,2886,2797,23306,6659,5,54,13806,182644,2463,16703,4115,38453,1206,18630,212,11449,740,2309,3725,9,15329,22321,29455,27408,568,123893,61855,37632,11803,11530,394,1871,27909,261,9,1670,91786,12472,45940,6129,2263,19285,5330,11454,7835,7,94,419837,32109,142,10743,1573,30626,11319,15053,128583,10489,518,2049,2,6562,5097,5417,284,773,18591,61277
