"","Anseong","Busan","Cheonan","Chilgok","Chungju","Daegu","Daejeon","Eumsung","Gimcheon","Gimje","Gumi","Gwangjoo","Gwangju","Gyeongju","Gyeongsan","Hoengsung","Iksan","Jangsung","Jeongeup","Jeongju","Jincheon","Nonsan","Okchun","Osan","Seoul","Suwon","Ulsan","Wonju","Yangsan","Yeoju","Yeongchun","Yeongdong","Yicheon","Yongin"
"Anseong",404,41191,253529,5895,317107,104927,253106,43249,39000,6266,23700,211909,67367,24875,13246,62355,42220,8170,19751,48513,23067,18229,30312,231361,3441076,1579319,17938,96257,8284,22949,3131,9217,73911,150844
"Busan",37371,0,73451,58314,86875,815629,183087,10282,64332,515,192944,27275,767,1782983,175455,2084,8968,207,735,5680,6970,9734,35489,37927,471204,227749,2844622,12278,3109076,4336,277833,34617,15726,14316
"Cheonan",282347,85574,244301,7617,690969,194990,1083160,335,64820,9555,49361,5732,96587,70887,26018,22811,59899,10207,24495,67696,59,25977,70432,465096,4060423,1901478,41191,24813,17116,7755,6297,20636,23231,166569
"Chilgok",4518,66847,6549,9107,7196,3156280,26701,759,23104,141,243880,2347,60,98946,163330,342,1381,15,315,753,831,1302,7842,3510,34256,16592,101968,852,14838,293,37155,7987,2363,1181
"Chungju",336004,87240,691647,10543,890123,221712,1909456,375776,71994,17562,66228,284885,152687,49405,19395,58693,126684,18728,41803,123727,448187,76459,253256,269300,2343367,1074792,40874,84262,15086,25659,6591,59463,136670,120456
"Daegu",99216,900048,184076,3253041,212859,12481558,626117,20658,537991,2246,3801200,72778,269,2693840,3315564,8393,28648,110,3249,8287,19141,31703,150273,104880,1226903,553716,972082,29635,188623,14626,1030379,153890,35171,37004
"Daejeon",271687,205362,1171581,38052,1696903,626863,1257594,88288,252124,70607,166355,162542,450973,140730,55723,66269,697085,60036,181829,600128,117307,837471,958001,233473,2389404,993894,104280,81884,31546,24036,23605,230955,88786,90201
"Eumsung",55639,9080,287,987,355524,21482,78704,0,6047,1179,5881,217188,12277,4293,2134,9735,11351,1451,3951,9479,56371,5564,8150,3550,1057460,381318,4297,14773,1926,7250,606,3370,41033,49265
"Gimcheon",33490,62968,57113,35068,68239,467202,240803,5304,55289,1302,333288,26479,1809,47742,29754,2687,11752,398,2987,5044,5649,9815,79309,46056,398976,190572,33245,5633,12670,2632,9669,99819,11004,11020
"Gimje",6442,448,8383,250,16755,2188,66852,1329,1445,23978,1156,6690,410199,1051,432,1137,50126,69724,537441,54468,862,22941,2241,8364,96252,42718,697,1872,111,584,239,455,2078,2866
"Gumi",21738,211074,45483,310891,60595,3475174,153454,5392,304935,1235,30115,14226,2328,167303,147390,2252,15878,413,4274,7547,4721,8157,47140,37815,217218,140947,136329,4339,32330,1736,40357,64341,9426,12444
"Gwangjoo",198304,27357,7023,2746,242406,64058,125090,199398,21695,5421,11785,162502,55139,12649,5983,103474,30225,6146,16815,34990,62728,14577,12903,7006,4768349,84563,9322,245994,5355,52995,2062,5594,141795,29652
"Gwangju",61324,787,91651,80,145026,1450,451073,10540,2094,427402,2830,66800,0,1260,396,14879,208929,1294403,715803,668688,12986,159672,9331,106121,1202338,464152,130,21919,35,9397,177,2269,25135,24844
"Gyeongju",27020,1637596,74551,89039,51615,2521888,149202,4364,48462,1189,165017,17148,682,179997,382829,868,23123,76,2693,5892,4577,8933,36099,41799,302799,169055,603578,9592,647308,2013,206302,27373,9028,19936
"Gyeongsan",15815,173520,28365,155900,18726,3545971,55802,3224,30713,457,170656,6604,103,375565,0,323,6872,37,620,2958,3148,4089,14444,16584,99267,102892,184789,2327,50791,1228,135594,12998,3678,4055
"Hoengsung",47600,1768,16935,312,49109,6809,57531,5974,2660,1122,1867,120917,14022,694,278,0,9698,1135,3574,8728,8447,4811,2941,20861,1088854,526966,773,545607,747,72402,78,1087,124795,89910
"Iksan",41237,9703,57403,1961,125816,30478,675763,10636,11289,45921,16518,39890,232993,22025,6268,11314,24375,36114,138652,56691,8849,106615,14192,59214,647630,268186,17576,17027,2152,4226,2157,3409,15858,17897
"Jangsung",7887,27,10502,11,16757,129,60215,1701,321,71269,358,8153,1089881,65,26,1315,32760,83042,152479,76143,1524,27362,1476,11976,135984,54031,46,2344,6,967,8,408,3222,3622
"Jeongeup",20568,506,24671,435,38983,4196,183382,3656,3088,519629,4622,24391,691856,2314,732,3974,138582,146512,80234,420105,3523,71291,4888,28771,403167,148375,1428,4944,118,1705,302,1302,7004,7875
"Jeongju",50838,5458,75073,969,125122,9749,600798,9771,5528,47538,12008,51065,655161,5128,2407,10659,40056,74414,395646,0,9287,54603,8879,87359,866391,338976,5959,13664,742,5259,753,1904,19488,21830
"Jincheon",26042,7612,58,1114,405496,20289,106182,56352,6510,807,4917,68278,13317,3751,2619,9655,9009,2002,2952,9222,0,6500,11394,606,269427,100929,4032,13825,2019,5204,699,2443,24876,15756
"Nonsan",19133,11101,24879,2117,72825,33113,811459,5564,10114,26552,8730,17721,182468,8993,4240,5268,115112,29417,76516,189537,6879,0,17021,19589,230903,96962,7186,7622,2878,2586,1407,4305,8119,6723
"Okchun",30618,31768,72465,8720,248293,124374,851315,8497,70938,2549,41829,18717,11360,26881,12844,3447,15927,1776,5873,10384,11881,17759,169410,33994,233963,119527,20858,5391,6600,2018,5301,118524,7440,8591
"Osan",225539,65474,530737,5973,299807,1088995,251658,3512,61284,10541,47993,5763,136837,42722,16983,27831,74447,15617,35698,91301,742,26270,37203,0,2846528,905786,38280,42062,12653,13929,4425,13839,50856,127282
"Seoul",3556796,492166,4093037,38736,2417854,1117651,2335196,1156552,345330,103583,220070,4954424,1231860,253405,76780,1255475,634324,119776,389565,827470,297094,248929,237479,2965208,15528,8304066,169900,1855763,49301,514991,33774,117750,1545411,4190651
"Suwon",1644201,279159,1984996,23876,1127545,623647,993661,397269,208938,49145,159004,69427,531313,148679,70647,637403,287019,61387,153823,333795,108798,108180,121787,1016013,8009548,1335504,126787,1057657,43285,336280,18631,58735,1371610,2868935
"Ulsan",19623,2672424,45864,61847,45542,931973,113654,5446,36549,771,155501,12514,85,590485,181974,1036,21083,38,1469,8796,4400,7734,25191,40822,214269,161589,3794224,5800,1463730,1751,198407,19649,8617,9174
"Wonju",89355,11410,22033,1045,85786,27062,80609,13924,4984,1825,4250,310152,21193,11056,1698,600024,16247,2397,4521,15099,13993,8218,5010,39100,1893625,1038501,6367,535211,1800,331869,779,1631,316567,216615
"Yangsan",7905,3019306,15617,13923,14426,171693,31329,1982,12732,98,33277,5461,10,562548,48286,848,2337,5,79,827,1319,2127,8739,9987,68170,46373,1378889,2031,0,705,88071,7459,2496,5177
"Yeoju",18849,5222,7022,513,27555,13457,23944,5294,2885,607,2221,61797,8319,2075,856,77766,4611,902,1773,5143,5635,2627,2090,11893,472909,321716,1808,311183,1277,0,383,626,82294,78412
"Yeongchun",2749,266029,5585,32363,5846,965293,21334,552,9561,240,38742,2194,20,175610,138082,87,1788,19,239,538,596,1266,6062,3048,32386,15757,208255,691,88787,362,0,4085,881,949
"Yeongdong",9602,35202,19041,12119,53291,146588,205458,3596,98767,536,66189,7594,2716,23866,11994,1224,3567,390,1319,2038,2615,4110,119075,12520,111198,53156,18284,1709,7845,551,5274,41158,2989,3318
"Yicheon",65012,16093,23695,4064,139011,36790,86771,37307,11223,2092,10534,168439,59020,8647,2738,133782,16555,3379,8226,20131,24573,8527,6774,48827,1472052,1332606,6569,298693,2141,83931,901,2530,82850,252144
"Yongin",124449,15615,146532,1484,114366,36976,78345,46524,10689,2309,12340,23835,25208,15111,3458,89614,17160,3440,6344,17937,15686,5953,6644,101189,4257710,2737220,6255,174771,2818,76595,892,2586,228530,305747
