"","Andong","Ansan","Anseong","Boryeong","Buan","Busan","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangneung","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Gokseong","Gongju","Goryeong","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jincheon","Jinju","Muan","Muju","Munkyeong","Namwon","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Suwon","Ulsan","Wanju","Wonju","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yicheon","Yongin"
"Muju",20,3891,11451,13,0,21209,521,5812,23051,70,15,560,36226,11259,459668,2338,305,16,145,3,500,1630,567,1718,82218,353,18686,263,0,8,84,99,1318,1058,2522,1,5,6132,17122,12214,169,43,3608,6248,19375,0,19123,655,323,289,28,4581,8600,90601,142,74,2048,5313,1722,25174,0,52113,17,7805,5739,1991,9896,303,604,4721,20373,13284,99,1,282,129392,14825,1176,4358,11027,219,664,1278,22,344,0,747,73,288,0,7,3255,17671
"Munkyeong",34,8913,493,15,0,8674,0,0,102,6323,41405,930,81,104292,978,0,93,14,202,3,978,18076,996,0,36,5333,2,10,1,78735,0,0,0,47558,9464,1,10,19817,127,3,7203,2927,26,2,1,1,2,0,460,503,37,1623,125,6,13,54,83,209,29,16,1,96,40,3,70,197,1075,6695,581,138,7,9,105037,2,116,173871,24395,1,0,22982,10068,23,2031,3925,514,3,6060,3768,315,1,10,16649,22659
"Namwon",1,903,3129,2,0,36982,1488,13383,4181,0,6,199,7036,152517,25752,75919,25,0,68,0,134,517,198,42457,4112,26,44486,1,0,4,357,14,27153,27,566,0,0,2265,310259,3729,0,0,291,3504,32932,0,51358,8163,78,134,1,1018,18,194744,0,12,2,3878,513,33565,0,5982,1,284416,153,398,2244,3,139,988,26613,27166,17,0,8,35788,3546,96235,1037,3039,0,1,472,1,122,0,319,0,80,0,0,1288,4927
"Nonsan",191,8462,35262,6,1,5565,106,1712,68979,2494,65,2304,78808,32933,700196,1,300,34,766,69,1362,5238,2223,411,12535,10155,3547,15439,0,10,2,46820,285,12077,5829,1,70,7311,242567,143,5231,3518,29553,183,4904,0,1216,126,976,1692,9,13262,140808,655,25640,257,76392,154161,6614,3091,0,39084,57,113,20573,17963,31801,4488,1075,13645,2799,1665,1275,0,99,332008,32262,2,57,24086,7319,27695,5508,1811,1379,2,2455,3289,10642,0,57,8096,55303
"Okchun",139,7156,26710,40,1,7603,4,307,68590,5445,65,1075,338950,63979,1402572,41,1046,40,507,90,1081,7339,1876,411,11998,33398,593,1465,0,46,6,322,22,23676,4497,3,69,11822,16532,1671,11072,4448,15405,645,1380,0,1521,54,609,889,158,12558,17217,2616,2859,176,9126,16260,12293,3329,2,63314,171,1062,21280,81331,21676,7883,510,15091,4044,1262,1340,3,1056,169830,26298,68,862,15413,11468,3180,3853,4019,884,9,1604,4751,72643,0,69,6480,25889
"Osan",1850,101354,627377,13404,2041,29308,109,3030,662913,7165,4480,4866,260568,82142,246415,12,42265,1545,4229,110,36144,7024,11085,1748,14365,22675,7683,3227,1203,876,7,71631,132,44758,65378,7180,86,6552,70001,3066,16800,6174,3944,1926,18305,665,8416,225,5923,4207,12590,18782,36514,4940,6096,5187,16118,45654,906,15482,5733,10860,1176,1867,26800,21607,4439,7264,7386,140235,10289,6566,2961,4842,24162,3202163,310792,29,2871,414128,27860,5538,27056,7844,6885,128,14373,4769,9565,981,2727,41142,728094
"Pohang",11384,11459,8350,26,2,1236,0,0,29249,103460,13889,5244,26075,2352892,85698,0,3327,6275,31,5000,699,6579,269,0,1732,31961,0,519,0,9392,0,136,0,175095,3149,1,2957,8578,100,5,1931,23746,2535,1,1,0,11,0,1814,3011,100,5752,7482,38,71,6475,1635,9141,1901,8,2,6444,5363,8,5268,7575,7704,244664,1858,5024,2,1,29743,1,923,148950,26155,0,3,13748,1158,1234,7468,1271,367,1499,3786,291640,11311,1,10925,7750,20110
"Pyeongchang",4942,19142,16520,518,53,2673,0,2,4859,4268,3348,21606,17102,30930,20721,4,1404,3986,105708,479,4162,7900,848640,5,406,442,1,154,15,1296,0,249,0,1160,21764,106,791,42105,4666,277,1512,552,304,45,8,5,149,3,267212,9479,518,5505,2167,424,297,14599,1340,2609,2909,254,155,724,500,134,947,575,5143,1393,668996,1071,138,121,1127,182,1497,590910,74984,6,101,86220,3129,585,415359,718,140958,1167,46900,433,113,16,5777,44508,88978
"Pyeongtaek",365,284418,416568,94463,31050,25295,113,3307,313534,6388,564,1598,163187,69412,169873,8,626333,238,1244,42,31004,762,2944,1152,12718,20699,8930,8818,12404,109,4,48776,119,28662,69341,100685,22,1579,33378,3455,16987,8773,3027,1712,18136,5414,4284,143,1260,1144,79637,1141270,17279,2604,2868,949,7601,22121,119,7716,33459,7559,143,1209,16581,17301,112283,6395,1665,507710,9095,7066,519,36411,222714,2946691,1100136,20,801,142004,23133,2607,5415,8591,1911,24,2670,6650,6888,6285,537,6932,327246
"Sacheon",2,5282,16495,10,4,251963,29084,116001,28671,1,20,402,36608,133598,131627,5501,1055,2,83,0,754,2295,626,42530,17981,50,275089,14,0,8,11018,114,2128,35,2634,3,0,7345,95783,240839,2,1,2943,422238,492954,0,50799,3540,157,368,45,7647,962,51222,2,20,13,47762,2384,1899519,1,22155,1,21797,3184,1878,11642,2,198,6896,590072,175389,15,2,534,187955,26696,1302,140871,12275,1,25,1046,0,349,0,1124,1,179,0,1,4008,25175
"Sancheong",0,2777,8215,4,1,56095,4470,28113,16172,3,4,245,16189,42332,55823,2158,354,1,64,0,347,1121,481,40112,12787,24,71155,7,1,0,299,52,6129,33,1223,0,0,3374,10165,17377,0,0,1199,22678,98452,0,58301,3349,117,260,9,4162,244,57540,1,19,14,19820,2699,194660,1,11139,7,24643,1679,648,6683,7,164,5081,159863,75646,8,0,259,84685,9299,2966,9593,5509,0,13,529,1,153,0,547,2,84,0,0,2693,10335
"Sangju",82,20139,1545,46,0,25920,0,0,2144,56171,87127,3582,1525,736482,23049,3,270,44,625,49,2123,38303,3020,0,467,25521,0,155,0,163296,0,30,0,584694,15540,1,93,41595,879,17,27224,25565,654,4,1,1,19,0,1476,1872,69,4008,1864,61,136,98,850,2084,86,14,2,1994,125937,12,1644,1274,3260,31946,1601,413,14,6,97558,6,341,421628,57889,1,6,52102,32281,419,7530,10880,1902,18,13745,17864,2327,0,49,34119,48799
"Seocheon",7,12976,9605,267666,26370,5,0,0,531,1,29,273,174,18,68,0,28999,15,108,0,1809,41,252,1,1,11,1,14282,13715,2,0,5,0,13,5844,177713,0,147,0,0,3,1,0,0,1,3649,0,0,121,161,69825,78718,1,0,0,70,0,0,0,2,19540,9,1,0,2,3,4857,3,119,37529,1,0,4,56986,56958,222022,60520,0,0,8531,10,0,599,0,210,0,295,0,2,4231,17,683,11096
"Seosan",313,52223,67200,232721,33345,1514,10,194,14874,335,595,1522,13111,7549,18614,0,247582,221,1134,23,8968,423,2310,45,834,951,541,10216,16775,114,0,441,9,1588,22237,174344,9,841,36,24,1784,882,148,39,899,4684,137,21,1104,1255,96472,396099,19,16,0,1016,6,61,34,448,25744,695,105,8,227,937,20348,888,1654,224823,494,172,317,53635,78580,1085921,307176,0,5,45786,2521,1,4809,372,1573,25,1937,531,569,5969,496,4492,56846
"Seoul",191615,6423417,4199267,624376,201597,342493,934,18153,3847529,58191,651655,14881,2650031,1200982,2970877,285,1616154,126555,279783,7821,480567,1555570,689701,27250,151111,168768,51034,104500,135692,152116,115,537283,1819,384586,1215355,599782,5574,6699071,922151,56644,183245,58980,75891,34579,139346,64493,94532,3964,366113,21090,661313,3873378,466199,75746,85445,512312,236272,598388,316264,161483,398865,105537,154292,36975,308401,185307,3419065,158108,693828,2908964,178368,78124,422985,220247,1154255,59230,798507,750,28565,4759641,240019,76373,1591846,76285,375790,10936,999069,60316,86407,82798,253350,3392463,16399087
"Siheung",24888,3201319,407217,146365,65710,63804,169,5021,504921,13838,84557,11160,358568,216982,352952,31,672410,19857,45235,1206,494601,203012,104088,3214,25051,33311,10715,26970,38606,22086,16,87215,279,69716,1531747,226035,881,8146,77730,7994,35910,16847,9801,4179,28835,18226,10297,478,63943,16309,146975,1545006,38836,7057,6729,82248,17223,50539,38567,21864,107153,15305,22052,3895,39747,30455,322183,23676,80736,1180458,29140,9509,61904,76026,354976,866267,566,56,2374,2098682,51256,5896,239992,19176,71884,1870,121657,15300,16021,19637,39579,309299,1883877
