"","Andong","Ansan","Anseong","Boryeong","Buan","Busan","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangneung","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Gokseong","Gongju","Goryeong","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jincheon","Jinju","Muan","Muju","Munkyeong","Namwon","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Suwon","Ulsan","Wanju","Wonju","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yicheon","Yongin"
"Andong",127597,7640,1026,40,1,26730,0,0,657,306915,60,21212,423,1257105,3456,0,201,79381,785,55842,1017,445,6301,0,78,793,0,16,0,19,0,10,0,1538,5506,0,55299,10900,21,1,25680,25661,101,0,0,0,2,0,9743,10839,65,1939,429,6,3,86309,92,476,76,1,2,293,15,0,228,160,1523,10545,4858,242,0,0,71,7,287,175299,23836,0,0,22042,37725,83,63839,9476,4227,28282,8257,8352,235,0,200624,7854,18643
"Ansan",7395,88880,108468,30930,14518,15466,58,1300,115355,4420,28538,6292,99906,70094,83029,2,116624,5895,13316,324,187138,74488,26647,1275,5822,7970,3008,5786,9614,6562,1,17521,84,28562,364996,48218,256,5716,17078,1618,15522,4709,1110,919,6302,4044,2617,109,18465,8274,26887,280323,8516,1747,1485,26357,3701,11009,14069,4321,21001,4049,8570,920,9481,7470,94606,7127,19158,265519,5209,2327,19568,12043,57405,5797786,4485854,11,552,768655,15645,1293,69773,6905,16742,566,42916,6343,3764,4674,13177,111382,727228
"Anseong",1399,120168,61828,31106,2917,25922,104,3045,605921,6952,1805,17000,497108,73576,400941,27,90340,1115,10179,114,34711,73144,28696,3173,24307,21712,7612,4024,1701,515,9,72526,166,25231,64508,8138,71,287673,83325,4404,12807,5571,7874,2567,15939,1008,7755,274,21653,13750,26839,244602,50866,7591,7995,3817,25052,54074,59324,12733,8080,17343,446,2558,37066,26759,615752,7956,20836,336983,14833,8584,1494,7511,68175,4153085,400616,71,2181,502542,17209,7449,81564,6702,17571,84,35407,5351,10494,1204,2179,160697,1129981
"Boryeong",44,28554,31814,170479,50974,56,3,4,3020,11,222,878,2100,248,747,0,94480,84,558,0,5306,212,1319,1,26,59,11,26226,25586,30,0,60,1,128,13245,438394,0,492,5,2,25,7,5,0,20,6793,11,0,481,662,204542,205538,2,2,0,510,1,8,5,17,35791,30,17,0,14,72,11465,28,535,98827,12,14,40,250740,226405,606857,121780,0,1,25530,53,0,2500,11,988,1,1157,16,31,8662,137,2661,31589
"Buan",1,12258,2734,54735,22002,9,0,0,120,3,5,100,48,20,22,0,17070,3,37,0,1170,13,118,1,2,3,0,29665,74117,1,0,3,0,1,3983,198027,0,38,3,0,4,0,1,0,5,25264,2,0,28,48,36098,62110,1,0,0,21,0,3,0,7,92113,2,2,0,0,3,1675,6,32,28701,3,3,1,30542,33690,188905,48335,0,0,4927,4,0,167,1,74,0,102,2,3,35436,3,221,5084
"Busan",26629,15249,25922,229,2,3986150,239090,3125010,74444,49912,13806,7973,72187,1500591,156596,6670,2659,8132,204,6412,2793,10804,2173,10951,19315,21636,6823066,87,0,8851,14383,229,41,102225,6773,278,2497,19496,156890,244013,1300208,118810,4635,197685,512470,0,35759,154,2790,4852,299,16547,2311,90869,1,9491,49,87639,5338,414189,1,28450,5425,39357,7076,7437,26157,1195,3305,17468,254976,61147,23752,156,1751,329846,56309,2602,160850,24074,2345559,217,16183,4904968,2257,2623,4959,153383,11482,1,19297,13653,66628
"Changnyeong",0,72,183,5,0,250414,140320,258117,434,0,1,0,345,982351,1828,449,19,0,0,0,3,19,0,228,565,0,278894,0,0,0,895,2,6,0,15,0,0,26,9440,19799,0,0,69,15379,1296692,0,2097,2,0,0,0,113,46,2822,0,0,3,20696,34,74914,0,572,0,1415,230,9,137,1,2,99,29331,4975,0,0,10,1061,190,157,12784,86,0,3,0,0,0,0,0,0,1,0,0,5,239
"Changwon",0,1978,4039,10,0,3016599,311232,2617192,14145,0,2,7,10216,564322,33063,2938,610,0,2,0,230,895,2,7073,5355,3,4553166,7,1,0,6718,36,18,1,489,0,0,874,67383,88987,0,0,1010,76433,743077,0,18299,86,2,1,27,2869,697,29563,0,2,8,78555,1069,288758,0,7644,0,12726,2199,276,3916,0,5,2971,123438,34503,0,0,351,26168,5325,961,63070,2275,0,19,11,4,3,0,54,0,7,0,0,407,6211
"Cheonan",746,122201,680051,2932,115,83589,404,9963,396203,20150,759,6415,874065,261530,1444547,30,11165,452,4023,329,26793,832,11428,3545,59279,62261,25422,5933,71,127,27,158095,419,123389,61741,332,294,4648,155653,7325,78741,25201,13395,4461,42987,41,12591,657,3788,4301,2325,227987,82153,8220,13333,2182,36613,103426,83,26718,519,63617,124,3694,99520,66250,682350,30428,7150,291500,29907,18145,2507,505,13277,3830823,468462,52,2324,413317,85596,12601,17007,23084,7315,20,6688,27047,29514,44,922,20258,1159153
"Chilgok",330822,5396,6060,11,0,51959,0,0,18017,26499,8543,9904,14533,4988014,37128,0,555,28997,1237,109913,773,4337,5483,0,709,31880,2,271,0,6713,0,46,0,323364,2674,1,62022,7485,98,0,100548,211888,826,0,0,0,5,0,3121,5227,29,3476,2947,19,21,18275,758,2756,1144,0,0,3199,5445,1,2371,4794,6259,123091,4763,4861,1,0,54178,0,383,71819,12589,1,0,7121,95289,431,15985,26589,3592,11279,2517,139442,8752,0,112731,6265,11975
"Choongju",108,30433,2120,281,9,17778,0,0,534,8718,63782,5541,540,132453,1125,0,523,138,2455,15,4371,49416,9132,1,40,8384,0,9,5,46770,1,37,0,47594,23046,20,48,73405,332,25,13945,7299,18,6,5,3,9,0,3483,3400,253,7358,193,18,38,384,102,182,191,17,33,46,41082,4,87,109,4262,13397,3621,484,16,6,97175,38,701,650217,85228,0,10,93551,27147,41,13168,10906,5369,8,40537,8494,853,7,102,67643,90048
"Chuncheon",20576,6571,15870,884,117,7464,0,0,5152,9327,4960,919,24478,72335,32833,9,1336,15423,19529,2319,981,9646,49727,5,885,909,1,270,47,2180,1,512,0,2004,4068,255,5784,3324,7017,255,5450,1934,847,109,8,32,174,1,370828,1187123,890,2466,3644,494,696,116882,1924,5344,3944,418,431,965,877,215,2519,959,4339,4569,20003,1183,275,184,2748,302,1612,14662,12256,5,172,26509,8630,773,615051,2150,9080,4660,19249,1680,402,59,21961,18423,41829
"Chungju",544,108880,496094,1482,29,77317,330,8246,901169,17136,1237,27184,1563007,254873,3262140,77,12476,686,12556,237,16536,495109,42722,4067,127986,90996,22110,9509,12,313,41,3047,438,120121,54369,50,200,276224,160433,17679,48116,16633,59605,7075,36621,5,15133,543,16242,17740,2834,113805,160726,25690,22364,2662,77716,162984,513190,34923,63,199383,108,6842,92408,334278,273597,29922,20715,141293,34678,18101,1773,139,14044,2643339,330016,264,6731,273848,59856,24852,85276,21711,22900,21,42342,17965,92325,5,810,249851,456626
"Daegu",1278666,73205,71890,203,8,1494028,1024083,468023,236183,5122541,113914,75308,231529,12757359,569977,37964,7001,124889,5686,771333,7080,54284,37407,518545,13030,619845,779992,1911,3,90997,2327,855,1515791,5764085,40950,48,546747,108306,305100,188505,1728529,3625652,15072,82337,2174745,1,77023,284359,25654,43179,924,42214,32790,68209,186,106432,5952,71417,19564,252139,11,51581,90963,148140,33274,64220,73509,2469853,34375,48526,130163,42797,724562,30,7830,1260780,189651,29085,101598,114953,1054084,4441,120438,229642,29443,66992,37818,2492413,124967,1,490988,85192,214549
"Daejeon",3826,82743,421106,522,13,173333,1532,27017,1515389,44201,1297,36071,3432095,642413,8554359,379,24210,999,14800,1474,13415,125789,42913,13881,2287093,276576,70007,43824,12,315,127,3411,2859,282779,47540,31,712,153244,441230,42730,123017,41429,570003,20272,131441,0,66539,3392,17660,23302,1288,132820,683132,93039,49155,5041,231801,713426,189702,112425,21,988147,1037,26089,813320,1529922,261095,100201,24729,148553,127294,58773,24539,56,17614,2844514,317396,1003,18697,236597,149913,105651,85979,37446,24829,63,34491,44542,469678,0,1317,128396,521794
"Damyang",0,6,29,0,0,6039,344,2458,37,0,0,11,151,38230,899,8324,0,0,1,0,0,9,9,6943,225,9,7349,0,0,0,110852,0,5677,2,3,0,0,30,561139,19668,0,0,1,2555,5952,0,5343,1265,1,5,0,12,0,11752,1,0,0,641,5,4306,0,1000,0,78402,2,21,13,1,4,7,4958,2358,1,0,1,358,17,42396,102307,16,0,0,14,0,2,0,8,0,10,0,0,17,37
"Dangjin",267,120151,98797,92682,19770,5127,15,514,13730,808,490,1494,13997,14079,28883,1,96761,190,1542,34,17261,500,2203,118,1326,2631,1404,5955,8466,86,0,1496,19,3464,42166,83008,15,1112,501,497,4654,936,258,227,2443,3284,424,13,1322,1248,71417,870967,254,140,39,914,106,461,32,1027,19668,1224,76,60,958,1438,37591,3666,1584,655553,1438,399,333,28932,241770,1654739,613767,4,76,68441,5046,35,5105,1222,1645,9,2504,1949,757,3662,477,4769,78126
"Danyang",87100,6159,707,89,5,8304,0,0,333,28689,59,12307,460,130645,888,0,183,32500,1119,8709,1139,436,5505,0,15,83,0,11,1,19,0,14,0,125,4090,16,7192,9423,103,4,9538,2832,21,1,0,0,2,0,7688,7566,76,1316,136,9,11,131170,50,170,163,1,21,39,5,0,53,43,1126,6882,3321,141,0,1,9,21,176,104924,18221,2,2,16740,25378,29,89653,3714,3265,34268,7883,3072,29,1,255272,7324,15698
"Donghae",726,13904,8679,551,51,183,0,0,3065,1082,2169,18407,10620,4974,13204,0,1430,1099,52517,140,1652,4028,1180480,1,274,229,1,91,30,702,0,187,0,324,9968,118,103,17583,2643,87,61,73,556,91,2,18,55,0,82447,3961,317,3253,1594,154,320,8014,949,1920,1783,115,209,444,205,54,789,530,3404,27,118052,850,69,44,566,113,1203,246423,42407,7,78,34728,149,342,127342,70,228419,357,16781,37,84,17,879,16507,36994
"Euisung",55670,329,80,1,0,6376,0,0,338,93745,29,2571,280,723003,1430,0,20,6004,108,634,51,40,792,0,48,502,0,8,0,16,0,4,0,547,240,0,17062,496,6,0,5767,9672,40,0,0,0,0,0,1112,1187,0,107,202,3,1,5334,36,106,8,1,0,124,14,0,73,97,96,5071,491,46,0,0,78,0,28,6570,1006,0,0,944,8677,26,13333,2437,588,2501,399,2579,175,0,20566,399,759
"Euiwang",1029,173059,32804,6849,1326,6884,12,274,31229,808,3907,980,18538,13200,16603,0,21795,1259,2028,52,102,11529,4283,122,1088,1160,886,671,805,1354,0,3847,12,3741,98895,4332,203,954,3527,1170,1194,382,267,225,1161,408,414,13,2952,1125,7551,31963,1822,359,312,3142,797,2324,2837,708,2986,743,979,136,1725,1458,32381,917,3394,35945,836,566,2504,2444,12301,467162,504997,3,87,182437,2002,268,11922,2799,3127,871,7795,699,737,490,1966,27836,183983
"Eumsung",646,80223,68875,232,11,10220,26,589,615,3754,38892,11040,467251,52426,116597,6,645,613,5281,64,13641,4735,17465,296,7149,6452,1672,1090,5,14188,1,69,42,18431,55016,37,20,270703,15966,1239,5906,2946,2392,386,2048,4,1178,23,11024,7309,221,15360,14135,2758,2210,1687,6887,12832,55369,2016,50,5011,14113,394,6197,6533,8376,5994,9859,751,1961,1210,34485,39,516,1545778,199735,22,438,212674,9528,2139,51761,3763,9505,50,50227,3372,2210,2,887,178812,214668
"Gangneung",6167,27509,23368,1284,122,1757,0,1,8297,5012,7146,45309,34503,34392,37431,7,1997,5338,1024578,774,3663,14718,198497,12,993,834,3,259,44,2175,0,473,1,1719,21823,307,711,45163,8483,418,697,739,1732,146,17,31,239,1,271951,9485,813,6836,3655,532,582,24827,2210,6303,5109,548,427,1211,1080,180,2046,1588,8556,181,903743,1981,334,421,2336,238,2172,596999,94801,25,225,87731,1411,720,435300,506,133941,2259,51920,353,323,43,8910,51675,96125
"Geochang",0,1244,2685,2,0,9220,182,4988,3526,1,0,17,3851,492342,14647,6978,109,0,3,0,114,416,12,424672,2292,3,11196,6,0,0,93,17,233095,1,631,0,0,1125,43890,11267,0,0,324,7940,22654,0,121979,69788,5,15,4,1065,108,19451,0,1,9,4606,356,84893,0,2388,0,41493,558,208,1935,2,17,949,39875,40520,0,0,51,28093,2902,7302,4336,1899,0,9,58,0,16,0,88,2,8,0,0,476,4147
"Geumsan",61,6163,26323,10,0,24266,486,4653,61141,716,25,963,132893,12591,1985980,286,976,21,370,34,754,7043,1029,1883,59116,3234,11952,1026,1,9,32,364,1200,4586,3444,4,15,8754,8120,6203,1521,648,17472,3462,14472,0,11415,358,839,728,32,9501,8353,22618,2506,115,4688,9476,9651,15608,1,208638,42,3208,12856,6032,15831,1501,500,11304,15457,14137,415,0,693,149076,21966,293,2000,12924,2514,1763,2619,193,564,4,1831,840,3343,0,49,5815,21463
"Gimcheon",891,8829,23064,44,2,21554,0,0,61830,35024,6447,963,86487,571738,239969,14,1015,107,259,401,918,6149,948,4,3688,135774,2,966,0,4321,0,203,0,349399,4446,3,317,9563,2824,46,25333,25914,3087,21,9,0,37,0,329,559,111,11989,13146,228,413,123,4406,9578,5747,68,1,26712,4017,31,9830,34417,23362,34358,522,15246,63,35,23471,4,868,171521,34140,2,33,17841,29492,1978,1978,9872,471,22,2136,20464,94819,0,291,6277,33381
"Gimhae",0,3940,8679,11,2,6844576,274291,4684105,25095,0,2,18,20184,770829,68412,7988,1136,2,5,0,480,1831,11,13275,11580,0,9929913,29,0,0,18660,92,54,1,1204,0,0,2151,178359,252551,2,0,4836,194812,724722,0,39857,176,9,6,55,6126,1365,69839,1,5,21,122057,2062,525847,0,20214,0,34820,4522,563,7393,1,4,5436,261832,74766,1,0,637,58042,10780,2907,177136,4539,8,46,22,8,11,0,98,1,15,0,0,914,13293
"Gimje",25,5263,3950,25265,25415,72,1,7,5681,206,8,243,8990,2361,36570,0,6119,12,89,5,585,880,265,4,1157,856,37,6377,68344,2,0,2258,7,864,2502,46911,2,1512,382002,0,376,163,2021,0,28,19570,15,0,146,178,11423,23761,48813,11,50391,24,433059,71982,761,19,70791,1645,10,0,16483,1351,3084,370,121,8377,16,12,118,15321,10711,97605,20725,0,1,3690,475,14752,573,16,179,0,320,162,616,21374,13,1309,6053
"Gochang",0,6881,1520,24435,87810,1,0,0,62,0,3,39,17,5,10,0,7804,2,18,0,708,4,39,0,0,1,0,71473,42160,1,0,0,0,1,2318,170567,0,29,0,0,0,0,0,0,0,49280,0,0,17,25,17443,35251,0,0,0,17,1,0,0,0,294978,0,0,0,0,0,908,1,22,11529,0,0,0,14333,15914,118120,27088,0,0,3119,1,0,85,1,33,0,48,0,0,70944,2,100,2779
"Goesan",56,5398,443,23,1,12088,0,0,81,7013,41587,1897,125,94656,247,0,101,63,554,9,861,14329,2093,1,13,4402,1,4,0,20126,0,6,0,39187,5517,4,10,15922,83,4,14422,5213,4,2,1,1,1,0,1003,986,34,1436,39,1,7,99,27,59,43,5,2,21,81449,6,17,60,685,9819,1104,64,4,3,175962,3,100,133145,18597,0,1,18390,20268,8,3404,7654,1196,2,6786,8457,377,0,19,13662,17584
"Gokseong",0,3,8,0,0,11769,710,5340,16,0,0,0,27,1612,115,105937,1,0,15,0,0,4,0,127,39,1,16298,0,0,0,83981,0,56,0,0,0,0,6,1787785,79045,0,0,1,4568,10249,0,114,27,0,1,1,2,0,237,1,0,0,1086,4,6329,0,86,0,579,3,6,11,0,0,0,9536,273,0,0,0,118,11,430,270882,4,0,0,5,0,2,0,0,0,2,0,0,2,12
"Gongju",2,15450,52567,11,0,54,0,3,129366,11,19,292,1350,256,1262,0,527,5,101,0,2503,35,330,0,63,52,10,1395,0,1,0,35520,0,94,10852,4,0,217,38038,0,37,12,70,1,26,0,6,0,106,174,17,24865,19702,6,3227,61,8664,24016,8,26,0,57,1,1,37792,81,59997,33,145,25960,29,5,8,1,144,556060,58425,0,1,44812,63,2999,516,5,244,0,279,8,42,0,5,758,102466
"Goryeong",0,70,149,1,0,15,1,4,488,1,0,0,463,1299945,3293,5339,8,0,0,0,9,44,2,206905,1231,0,15,0,0,0,38,3,85008,1,34,0,0,45,31696,891,1,0,97,427,31,0,13559,168372,0,0,1,101,101,15499,0,0,4,60,40,855,0,943,0,23179,281,19,153,0,0,105,1126,4746,0,0,12,1564,236,4297,749,156,0,5,0,1,1,0,2,1,0,0,0,28,306
"Gumi",3082,27045,25336,92,2,106223,0,0,112454,352429,46063,3154,121147,5542168,252846,1,2000,360,625,823,2988,19261,3060,2,5101,348444,1,1072,0,40638,1,318,1,225419,14859,9,594,33891,6297,30,123311,185151,4655,8,2,1,55,1,1123,1813,431,15643,26311,344,834,472,6422,17687,6094,40,4,21100,46773,30,12606,24091,42939,195652,1876,20918,31,30,588937,7,1667,402503,69267,6,22,55767,182054,2584,6679,44911,1957,167,10700,122771,66068,0,1387,33215,95243
"Gunpo",6193,328360,62465,13458,4104,7744,19,418,57708,2385,22825,4442,52771,49149,48096,3,38923,4600,10773,258,95717,51610,25813,493,2959,4614,1138,2100,2584,6015,1,10922,33,13907,881,10756,204,4420,12963,696,6190,2242,2406,526,3469,1094,1898,71,18770,5818,14781,47661,6541,1095,1128,21864,2925,8299,8087,3309,7425,1818,7510,510,4287,3827,64972,4345,23001,70252,3147,1334,17634,5301,23872,1118908,1477104,1,296,827214,8292,1001,64679,5241,16152,427,39399,2529,1972,1382,13202,111456,842426
"Gunsan",1,39649,7761,450744,215447,12247,0,9224,449,3,22,279,117,22,83,0,84760,13,127,0,3548,28,361,0,3,4,10592,36406,171500,2,0,7,0,3,9947,40636,0,173,12,0,0,2,0,0,2770,46072,2,0,122,194,154132,178865,6,0,0,79,1,7,0,1,201636,5,0,0,6,9,5788,5,117,89447,3,2,1,201426,173073,543171,179672,0,2,14493,7,0,574,2,261,0,223,3,1,50686,13,659,17020
"Gunwi",46675,239,79,1,0,3030,0,0,242,63788,34,5718,221,526236,770,0,26,5285,103,12181,214,33,571,0,21,309,0,5,0,25,0,1,0,421,227,0,210,445,7,0,3400,7655,20,0,0,0,0,0,918,1346,1,70,68,0,0,5717,24,64,13,0,0,38,23,0,85,66,98,3155,668,31,0,0,83,0,8,5050,801,0,0,709,5139,10,5818,1345,381,3191,325,1805,107,0,18761,435,613
"Gwangjoo",12242,8399,304939,784,64,17801,25,600,6578,5811,75184,3294,268892,104413,148961,21,1709,10632,20597,576,2127,290218,53667,959,7504,8596,1945,1465,33,19773,1,629,56,32776,5303,204,468,195705,30639,2482,10582,5017,3380,1324,3175,21,3785,100,38238,2205,708,3995,18002,5316,3604,44566,10309,18633,66034,5312,253,6156,18314,1685,9447,10755,8748,9009,47585,2383,6366,2912,42886,196,1317,6591974,11478,61,1711,19271,14886,3473,188354,9862,31391,781,137834,4386,4560,24,18698,442268,66960
"Gwangju",24,22892,93319,20,1,148683,8023,59573,170862,80,195,7614,148404,295856,422102,722593,738,117,2977,4,3503,11193,9224,39527,7866,2537,175057,392288,0,30,1837683,32194,28595,5763,14871,7,2,25574,8713,510412,82,32,25894,46743,143366,0,23367,7149,2887,5310,28,33197,207639,61813,1495727,984,1046662,825558,14178,73270,2,24819,64,322280,189792,14600,81276,81,4606,33878,96447,12854,599,3,207,939893,84718,251462,2240529,61406,91,271202,16363,11,6449,1,10351,32,4594,0,24,31784,146371
"Gwangyang",0,4922,5072,3,0,259402,18868,87900,9123,1,14,327,15484,212062,37684,20202,876,1,92,0,284,1730,497,20783,6511,26,266194,0,0,5,79335,43,1049,15,658,1,0,3216,471488,671537,1,0,440,273333,182708,0,7534,929,172,275,3,3515,37,2542,1,17,1,22072,2257,216603,1,11432,0,970,257,953,3558,4,316,2947,243631,19578,11,0,50,60577,9871,227,938250,3490,1,2,930,0,305,0,795,0,111,0,1,2308,7712
"Gyeongju",26639,18496,14144,259,2,1242740,0,0,79675,89223,13260,6492,43176,1681317,110419,85,2098,9579,80,5638,1102,6931,930,0,2014,25304,0,481,0,12054,0,131,1,125852,5816,345,2793,11914,103,2,237520,276143,1450,0,49,0,84,0,2717,3888,362,14051,16236,233,24,10505,1828,8783,3090,150,1,6984,5892,6,5984,11478,17912,684,2117,17576,1,179,26490,190,2079,196073,43820,77,1,18546,1192681,1112,14497,963515,1054,2297,4524,130020,13082,0,21157,11755,34753
"Gyeongsan",27122,6831,6168,24,1,123062,0,0,23683,201213,6926,2190,14988,3623079,38135,7,611,2753,85,10912,392,3214,874,0,717,27535,0,120,0,5216,0,27,0,188253,2093,19,7562,5317,96,1,294517,1788,1425,1,3,0,8,0,718,1144,35,4580,3634,42,35,3339,823,3303,1735,10,0,2724,2567,2,3523,4734,6045,17857,643,6277,1,9,25042,12,493,61244,15236,4,1,7217,214855,398,4721,75238,575,1467,1973,127889,5577,0,14355,3874,10868
"Gyeryong",88,1181,7244,4,0,4158,70,1047,13155,762,27,1421,56438,15904,498373,1,164,20,615,31,196,3049,1933,363,19164,3231,4984,2181,0,8,2,220,109,5229,1926,0,13,3178,25056,419,1741,1384,707,278,7435,0,1366,102,333,1103,4,1805,38605,720,3525,86,11440,31542,2486,4886,0,48287,24,348,31068,15394,3568,2759,310,2757,3335,1173,628,2,124,72507,7372,3,201,4382,3442,7098,4433,377,539,1,768,977,4743,0,24,3602,11747
"Hadong",0,3567,3220,1,0,196972,15810,73733,7780,2,1,195,10250,91378,24484,2997,504,0,35,0,111,558,154,8361,4394,12,209412,0,1,4,5685,23,991,12,536,0,0,1672,43386,236696,1,0,327,93910,246314,0,8537,749,101,137,1,1644,45,2965,0,5,0,39386,1682,784450,0,4149,1,1101,240,326,2455,1,69,1613,409716,26381,5,0,38,36786,4914,81,92384,2549,1,0,724,0,118,0,402,0,58,0,0,944,4847
"Haman",2,6441,16470,12,4,529467,1281408,660053,44771,0,6,40,36016,1966680,133518,6609,2196,2,7,0,881,1906,25,26205,14884,10,770387,18,0,3,12778,111,95,9,2979,3,0,3405,151291,202207,2,0,6288,274513,5430798,0,60613,241,11,16,64,10780,1286,73623,3,4,28,403531,3952,1397058,1,23034,1,30547,4665,986,17863,2,34,13651,504404,116815,1,3,1282,145512,27301,2918,153639,9837,4,47,72,3,22,0,175,0,32,1,1,1601,23411
"Hampyeong",0,2888,882,6723,22397,0,0,0,36,0,2,29,9,2,4,0,2753,1,11,0,375,3,24,0,0,0,0,17616,50984,1,0,0,0,2,837,42122,0,15,0,0,0,0,0,0,0,72,0,0,15,27,4653,14729,0,0,0,4,0,0,1,0,153724,0,0,0,0,0,504,0,9,4882,0,0,0,3728,4401,64701,11988,0,0,1538,0,0,44,1,24,0,29,0,0,17367,2,88,1587
"Hamyang",1,2622,7712,4,1,33074,1882,15012,12043,1,6,207,13598,70546,63575,4291,321,0,69,0,359,1238,265,117957,12406,22,38458,11,0,0,101,73,14985,31,1770,1,0,4290,19108,6277,3,0,1231,7391,54094,0,132248,5693,126,240,14,2766,242,77500,1,17,23,7060,1905,138760,1,18552,3,49115,1371,741,8091,7,166,3881,46474,58475,3,0,117,92405,9027,6385,2833,6155,2,16,665,1,129,0,532,0,61,0,2,2073,10564
"Hapcheon",0,101,299,0,0,77,26,25,641,0,0,2,594,257568,3706,1255,13,0,0,0,23,37,1,64517,468,0,73,1,0,0,18,8,182877,0,77,0,0,140,5937,869,0,0,62,533,156,0,5382,2116,0,1,0,104,33,2617,1,1,1,83,35,3299,0,477,0,6647,123,46,253,0,1,136,2904,2794,0,0,15,3945,423,830,655,313,0,1,2,0,1,0,11,0,4,0,0,56,510
"Hoengsung",9177,19717,18066,547,51,2558,0,0,3231,3105,3210,349028,14140,26310,15329,1,1596,8527,79906,1075,3990,9411,266377,7,701,426,2,187,18,1254,1,240,0,753,19726,167,1006,35384,3200,158,2483,885,368,64,12,13,121,0,120958,43353,432,5076,1852,430,333,61129,1431,2166,2719,181,172,515,472,71,940,546,5098,1592,257320,906,163,92,1315,107,1139,352563,65099,8,64,73283,4784,347,557745,1054,52609,1721,40490,586,156,19,11805,46613,74238
"Hongcheon",9891,8944,12296,670,58,3946,0,0,3332,4616,2992,1119267,16539,38902,21249,1,1234,8055,4122,939,1133,5871,9516,12,670,513,0,206,19,1278,0,308,0,1360,5677,152,1572,2158,4958,833,2928,1017,1400,80,10,27,265,0,39487,936,540,2546,3770,462,620,45730,1384,3223,2702,1872,241,867,440,113,1611,796,3853,2298,6852,858,293,248,1499,155,1244,19372,18487,7,149,27746,4885,539,197591,1206,2269,2371,14851,918,187,21,10830,11482,35238
"Hongsung",71,25756,28863,179672,32173,203,1,17,2597,45,212,855,2983,1196,1517,0,72085,69,303,1,5564,180,1041,9,45,176,52,10094,17087,46,0,68,3,411,14394,146402,3,438,9,0,182,33,10,2,74,4293,16,0,399,538,3036,199793,4,1,1,336,1,11,2,53,25627,69,40,2,15,172,11566,170,648,86824,42,13,79,60103,90800,659243,132005,0,0,30179,229,0,2452,40,627,2,1030,45,83,5875,191,2569,34203
