"","Anseong","Busan","Cheonan","Chilgok","Chungju","Daegu","Daejeon","Gimcheon","Gumi","Gyeongju","Gyeongsan","Hoengsung","Jeongju","Nonsan","Okchun","Osan","Seoul","Sungnam","Suwon","Ulsan","Wonju","Yangsan","Yeoju","Yeongchun","Yeongdong","Yicheon","Yongin"
"Anseong",0,2534,10941,143,5865,2515,5419,404,155,490,46,384,4359,251,649,17188,128777,5038,12221,125,1074,27,379,164,141,442,1100
"Busan",2736,0,11751,7863,12042,221299,32209,4427,17414,227687,13379,2523,11712,1688,2911,9324,240024,5973,29792,191061,1633,153336,213,17123,2075,533,1862
"Cheonan",11125,15084,0,112,27978,8290,66688,2994,908,1766,296,1635,9132,978,1566,35360,356147,9292,20761,233,2665,33,738,360,388,618,3901
"Chilgok",134,9354,131,0,110,305572,463,270,3103,3060,964,17,142,57,161,115,2232,44,152,250,9,45,4,1472,89,6,28
"Chungju",6090,13676,28845,86,0,9771,122951,2708,2133,3935,178,373,15291,2042,8300,22469,168149,5845,15679,597,226,51,172,168,1036,349,1455
"Daegu",2024,210432,6707,291815,8541,8996,49628,17979,190080,192790,47330,1052,17193,2595,4688,5112,135117,2372,11204,24265,643,975,122,30538,3806,373,1036
"Daejeon",6185,30367,71408,463,126361,49919,27058,9677,3047,7098,528,1189,126101,133047,22433,12559,177917,4153,14770,1369,1176,86,222,618,4875,498,1069
"Gimcheon",387,3581,2471,230,2311,15286,8301,4709,14048,1444,108,176,3104,613,2847,1211,30185,742,3210,422,115,27,46,215,2775,66,203
"Gumi",196,15817,1009,3293,1295,177102,3271,14983,0,4881,1683,47,1751,228,1048,733,16010,139,2192,1742,45,631,43,668,1179,33,137
"Gyeongju",698,239116,2213,2836,2886,160350,8530,1457,4180,0,5288,485,4295,721,1487,2967,79878,1673,8116,10638,263,1256,89,2475,583,242,427
"Gyeongsan",45,15122,303,865,211,41867,540,131,1177,6684,0,43,830,121,199,90,2388,200,546,1077,19,191,9,4590,96,9,30
"Hoengsung",379,2113,1610,17,443,1430,1390,135,54,519,45,0,1677,92,95,699,93339,1923,6564,36,67769,0,1566,52,18,856,3890
"Jeongju",4180,10976,9288,183,15193,20828,120419,2828,1042,2824,343,1729,0,30768,3764,12719,305747,5759,14787,1212,1625,16,423,659,411,618,2087
"Nonsan",233,1835,775,34,1792,2978,130604,658,258,788,107,68,32904,0,1413,794,25340,468,1126,96,68,14,37,112,85,17,197
"Okchun",734,4060,1510,184,8333,5294,20497,4116,1204,1386,185,83,4124,1673,25646,1128,8805,303,1283,352,41,28,8,183,9977,31,201
"Osan",19596,18726,55809,147,32738,12784,24879,2326,1647,3515,211,716,30746,2170,2304,0,203695,10267,12671,706,6133,117,664,146,228,1741,4610
"Seoul",130776,224343,328763,1499,162362,120900,175529,26031,15845,57478,1433,86126,279332,23142,8220,186729,0,156316,300546,17105,136768,510,52770,1997,2850,94334,230560
"Sungnam",5821,9198,10347,62,6333,3308,5380,1333,537,1432,183,1968,6663,457,380,11148,147868,0,42448,444,5004,15,5330,187,94,12434,13290
"Suwon",12418,31119,19590,179,15767,17838,15634,3937,2646,6343,378,7687,23807,1650,1499,13405,272558,38918,0,2950,25158,95,6712,226,258,12546,82227
"Ulsan",194,196591,431,240,741,23812,1934,456,2141,12394,803,52,1273,140,299,303,22051,242,3287,40874,25,14129,30,760,256,25,109
"Wonju",1099,1040,3067,5,190,675,770,96,16,147,15,78051,2042,63,30,5226,145782,4705,24795,25,37327,5,21898,26,18,6206,7967
"Yangsan",10,149970,45,54,51,1325,68,58,910,1417,177,3,8,5,23,87,950,12,371,15708,10,0,0,225,39,1,12
"Yeoju",363,484,748,4,154,204,181,73,39,66,1,1273,395,21,22,554,54674,4162,6770,13,22859,1,0,2,4,9350,9362
"Yeongchun",68,21868,271,1124,210,26349,459,191,414,3560,3074,20,632,119,159,107,2430,277,162,1395,39,136,5,0,112,6,30
"Yeongdong",128,2223,346,112,959,3788,5461,3249,872,498,90,26,385,68,8950,160,2513,60,229,246,28,29,2,135,3994,4,15
"Yicheon",393,1600,691,3,275,580,466,56,15,150,5,618,612,27,39,1857,99388,9766,11714,10,6302,1,11289,12,6,2363,22531
"Yongin",1189,1149,4533,23,1430,1013,1021,195,88,399,17,4066,1825,146,178,4212,227285,12740,79968,39,8887,4,9827,51,28,26344,61472
