"","Anseong","Busan","Cheonan","Chilgok","Chungju","Daegu","Daejeon","Eumsung","Gimcheon","Gimje","Gumi","Gwangjoo","Gwangju","Gyeongju","Gyeongsan","Hoengsung","Iksan","Jangsung","Jeongeup","Jeongju","Jincheon","Nonsan","Okchun","Osan","Seoul","Suwon","Ulsan","Wonju","Yangsan","Yeoju","Yeongchun","Yeongdong","Yicheon","Yongin"
"Anseong",3,33671,143368,3251,195058,83788,198460,31188,25344,2918,13158,127973,47836,33371,5989,30127,30158,3478,12357,33878,15951,12448,17126,90841,2435767,762401,10665,38304,7566,8954,1587,6201,41397,40397
"Busan",28719,0,53513,31411,72451,750733,183225,5452,51839,72,152699,17377,0,1414469,114247,231,7121,0,753,7324,3048,7447,21173,40340,471808,170904,1953110,8625,2613554,2575,242265,24879,12707,6420
"Cheonan",135102,63924,69678,4896,426589,141421,875042,61,42013,5480,28848,2255,65347,43547,10309,11506,36839,4500,17127,48194,8,16673,46055,258678,3190522,1181825,22626,11175,12166,3779,3233,13273,10026,61677
"Chilgok",3410,36050,4483,0,5538,1589613,19083,508,18151,79,113332,1587,18,61786,77127,157,1049,5,233,443,437,1046,4344,2760,31951,11918,32347,676,10612,243,17068,5846,670,453
"Chungju",202358,76396,445564,4755,384968,180881,1208787,207413,47239,11250,39703,165533,111084,42030,10319,35048,94873,9007,30961,101494,219022,51763,177086,190815,1938043,701977,29251,44249,11494,14211,3230,43148,72400,53165
"Daegu",72754,834740,129130,1528635,168541,2480586,560096,13117,407129,596,2891938,52507,39,2333815,1499011,3041,23787,11,1431,7206,11732,25567,88012,101143,1173187,405379,685441,20605,155491,11928,523242,104225,27692,17828
"Daejeon",194756,204440,893264,17017,1242802,555228,681246,60459,181429,44108,113187,98098,331376,127141,29776,46329,529139,27852,126158,456812,78804,590840,627597,174891,2312714,755636,77260,54147,25620,17069,9787,154366,59695,44042
"Eumsung",30469,6344,0,398,196198,15323,58791,0,3180,705,3169,125940,8069,3361,1253,5001,6784,685,2782,6528,33309,3822,4568,1834,1052346,235495,2593,6455,1365,4544,252,1935,22010,23476
"Gimcheon",18085,53541,36093,15325,44960,375792,173348,2609,38236,1026,183483,16127,1390,38196,16342,1642,8218,156,2204,4308,2643,7247,43282,28290,330941,111470,20387,3028,10630,1827,5123,59835,7064,4089
"Gimje",3346,291,5562,69,11189,1574,45278,764,1034,10807,878,3460,288613,735,106,749,24534,39567,420585,41908,457,14120,1362,5080,83137,25856,391,886,65,425,58,182,1096,1166
"Gumi",11234,171294,27668,127357,40265,2905546,105314,2303,170935,650,3299,7893,1180,143706,91698,1142,12335,89,1883,5979,1727,5031,24942,24264,175637,92401,90299,2307,23627,957,22912,37118,6371,5049
"Gwangjoo",136384,23490,4949,1600,175831,62822,113063,148632,16051,3705,7437,111733,47854,9830,2459,60106,25096,3620,13226,31032,48810,11205,8297,3160,4445990,29862,6310,129476,3630,18162,1026,3978,71412,11632
"Gwangju",36307,0,59103,0,105392,0,339925,6180,239,268398,1359,36020,0,0,0,10840,111556,941906,515021,531202,7146,103708,5546,72572,1121752,297267,0,12875,0,6085,0,455,15612,10217
"Gyeongju",30881,1338693,44796,57647,45527,2200415,140251,2877,39737,263,142477,11454,501,399,234704,133,11187,22,995,5698,2749,5769,19232,51267,304402,147582,374438,6203,524867,1678,151969,18126,7335,12457
"Gyeongsan",6642,130837,9937,73889,10398,1641318,30949,1004,17658,122,93695,2231,14,261007,0,118,2175,10,275,744,782,1777,5770,11030,62662,41143,164581,807,36772,319,68649,4483,1664,1166
"Hoengsung",25453,1711,10433,129,30760,5740,47116,3550,1607,604,1107,49658,11664,410,80,0,6989,364,2675,6409,4785,3416,1409,11654,874343,259358,410,448780,510,65274,34,589,84189,39679
"Iksan",28131,8256,34969,885,93461,26919,516777,6006,7965,24610,12091,22409,125310,11338,2040,7446,4891,14311,79563,21895,5176,64421,10476,40493,561752,166816,7131,9868,1192,2832,813,2266,13101,8097
"Jangsung",3465,0,5192,0,9205,0,34857,709,0,40744,0,3203,816865,0,0,466,13636,29280,90513,51754,683,14971,709,6482,88958,28056,0,383,0,457,0,0,972,720
"Jeongeup",10723,593,17425,76,27448,3568,123500,2185,2446,393808,2553,11631,504291,1919,386,2882,78234,84826,45166,337265,1653,49398,3336,18615,347401,89405,1006,2332,41,1230,44,434,4405,2178
"Jeongju",29400,5645,48290,358,101475,8263,440472,6038,3990,40001,7115,26141,509399,3882,795,6732,25078,43085,313139,0,5249,125775,6503,68293,730523,202385,5554,8395,581,3896,267,1408,11884,9286
