"","Anseong","Busan","Cheonan","Chilgok","Chungju","Daegu","Daejeon","Gimcheon","Gumi","Gyeongju","Gyeongsan","Hoengsung","Jeongju","Nonsan","Okchun","Osan","Seoul","Sungnam","Suwon","Ulsan","Wonju","Yangsan","Yeoju","Yeongchun","Yeongdong","Yicheon","Yongin"
"Anseong",0,3850,21690,646,13677,5153,11361,1544,613,1802,379,1140,7265,645,978,21702,208914,17724,48798,414,2138,40,705,170,211,2058,2762
"Busan",4199,0,14236,9625,12998,236826,42483,7148,42182,391415,16333,39,12957,2028,3777,12250,227414,10207,33014,274176,853,393408,635,23944,2664,4082,2253
"Cheonan",21740,22342,0,426,48925,14985,129938,6686,1887,3991,396,3409,17385,2222,2727,67353,586879,31403,63252,1360,3508,164,1154,857,777,3081,4970
"Chilgok",513,9363,214,0,195,379871,787,388,3927,4036,2583,6,193,133,127,220,3841,158,347,665,12,103,1,1557,135,25,18
"Chungju",13207,14207,53046,435,0,15089,191238,5314,1424,3510,219,405,26609,2700,13012,27793,232347,14273,38862,1340,286,80,250,382,2884,486,1852
"Daegu",5018,245889,13881,402420,14303,27341,82697,25268,466920,299262,64460,129,18251,4367,6277,12050,256676,10016,32120,55982,723,6425,327,45308,9374,5666,2123
"Daejeon",11187,45630,127851,1655,195964,79228,19375,20777,5867,15324,1159,2312,147315,203524,30882,24904,273642,11373,33114,8102,975,667,578,1286,9869,2347,1672
"Gimcheon",1480,6596,5343,611,4652,20697,17742,2468,37352,2830,276,73,2895,1110,4941,4022,64939,3014,7986,1240,110,72,203,491,4666,682,440
"Gumi",424,43868,1312,19698,1842,433010,6301,41301,154,13662,3250,10,2071,447,1479,1666,30926,1107,5020,4725,56,1012,39,1785,2219,100,351
"Gyeongju",2108,345003,5313,3677,3926,266220,17309,2848,12288,0,11680,35,5146,1224,1416,5920,94109,4098,12475,21186,190,5735,172,3855,1192,617,1089
"Gyeongsan",277,19703,368,2976,272,62184,1387,361,3203,15772,0,5,595,184,172,471,3965,319,452,3039,5,928,9,7096,187,20,49
"Hoengsung",1180,62,3379,5,359,166,1841,67,20,12,2,0,1579,145,50,1668,115187,735,15469,2,84649,0,4777,0,32,56334,3912
"Jeongju",6186,14387,14562,341,24040,20784,140427,2424,1684,4818,357,2041,0,40166,4389,21756,411723,20357,27668,876,1161,67,750,782,335,4918,2121
"Nonsan",559,2579,1433,204,2295,4846,199971,1182,447,1369,161,170,39806,0,1873,1410,34180,1872,3028,471,87,33,62,358,187,60,160
"Okchun",1094,4789,3045,362,13909,6759,28528,6544,1947,1609,221,84,4753,2043,35952,2067,14031,2149,2827,543,33,49,42,262,14606,132,121
"Osan",25327,20308,88780,868,34916,20694,30678,6259,3001,6668,458,2571,34610,2720,2584,0,330484,39520,22728,1950,2999,1043,2652,432,861,6162,8190
"Seoul",210857,219069,563162,3538,227614,213466,266108,56663,25618,69799,2116,114066,370341,32963,13230,312395,0,182042,475912,31469,140508,4588,39088,3184,9092,44418,402711
"Sungnam",20104,18662,36159,354,16529,15663,15271,4435,1305,5547,311,1348,24732,2169,2690,38145,177906,0,109512,1212,2586,591,387,457,491,1197,33176
"Suwon",49461,41446,58289,1012,40353,38944,37632,8448,5774,11306,476,14536,39130,3347,2985,25617,445042,104501,0,4814,29541,1041,19396,723,1146,39575,118724
"Ulsan",458,272259,1785,725,1579,57086,8840,1007,4640,22020,3067,7,1357,499,446,1809,37779,1136,5662,71134,67,34432,51,2514,405,114,1880
"Wonju",1816,355,2696,16,115,326,591,50,16,60,6,94250,1133,82,19,2636,138657,2036,30345,24,78147,4,39290,5,7,132097,8383
"Yangsan",35,380695,139,123,159,6588,1309,98,1694,6674,1005,1,137,43,37,328,6582,296,1165,40347,6,0,5,647,62,18,27
"Yeoju",663,921,1433,5,284,330,680,90,21,205,5,3658,748,57,25,2322,40346,364,20598,30,37779,29,0,7,15,117194,20292
"Yeongchun",114,25036,729,1288,393,45664,1148,486,1393,4605,5219,4,1182,315,194,273,4043,619,764,2653,14,511,5,0,249,20,26
"Yeongdong",207,3437,741,372,2750,8520,10170,4956,2242,997,211,31,312,177,13761,698,9210,367,912,443,9,57,17,221,3495,26,61
"Yicheon",2066,6702,3512,67,570,8199,2454,469,62,928,12,50209,7151,88,70,5334,40797,1101,40490,73,142024,52,152006,28,26,17567,40153
"Yongin",2533,2622,5373,64,2224,2486,2243,529,215,744,29,3497,2357,220,233,6804,408772,166867,110874,1200,9711,39,22563,54,89,48423,58430
