"","Andong","Ansan","Anseong","Boryeong","Buan","Busan","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Damyang","Dangjin","Danyang","Euisung","Euiwang","Eumsung","Gangneung","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Gokseong","Goryeong","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jincheon","Jinju","Muan","Muju","Namwon","Nonsan","Okchun","Osan","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Suwon","Ulsan","Wanju","Wonju","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yicheon","Yongin"
"Gwangju",27,24473,77034,18,1,149290,9713,57735,96943,125,131,6793,144741,294836,460518,828926,365,160,4,3256,12291,10594,46509,6788,2306,176128,405372,1,1971538,27415,5448,12798,5,1,31484,11366,493548,112,39,24565,53381,146152,1,27458,8930,4050,4653,26,19014,227657,59612,1466836,1448,1114569,839415,14096,87612,5,15313,366621,171480,14558,73900,4574,22276,99051,11981,426,4,116,970072,80152,304015,2444414,56010,71,269895,16582,17,6976,0,8925,56,5327,1,44,29733,139536
"Gwangyang",0,3831,3995,0,0,245790,14854,78598,5880,1,6,216,11644,169010,29114,19159,199,3,0,260,1397,526,19885,5275,41,243648,1,0,80483,1004,23,584,1,0,2682,439495,837360,4,0,334,294805,158053,0,6601,906,117,185,1,2058,47,2492,1,24,1,4764,1647,231680,0,11547,1053,182,819,3096,183,1544,251585,18331,5,0,17,50254,7408,2323,915590,2720,4,2,835,0,325,0,629,0,154,0,0,1574,6400
"Gyeongju",28740,17774,23270,393,47,1366422,0,1,59772,118994,18,7244,57307,2104379,143042,88,1538,11021,6443,1369,4259,1241,109,2202,34959,1,609,43,0,3,147576,5225,598,3134,8226,453,2,287821,423244,1897,1,66,24,247,31,3251,4419,265,19489,18549,228,55,11509,1674,9136,5830,295,162,522,152,6149,15714,25875,1965,11205,2,221,35317,221,1553,235964,53550,82,2,20376,1281153,1360,18384,953263,1408,3063,2281,248846,17012,27,23251,8329,46223
"Gyeongsan",26023,4993,8313,29,3,144417,0,0,15273,199608,6,2310,16228,3614576,47637,5,321,2498,8938,358,1801,1066,6,743,28896,0,185,2,0,0,152850,1525,37,6614,3662,178,0,429307,2284,1331,0,5,1,21,2,928,1244,26,4357,3283,34,17,3870,576,2856,2854,20,9,98,11,3597,6029,8034,545,4174,4,16,23332,12,327,66994,14155,5,2,7559,245145,442,5223,79161,694,1673,820,200696,7563,1,14463,2045,10534
"Gyeryong",95,1363,6108,0,0,4362,101,1074,11317,1021,22,1107,52281,14047,479789,2,87,27,11,196,2078,2304,259,18827,2925,6169,2020,0,2,120,5676,1671,0,8,3164,23763,330,1969,1879,739,358,7499,0,1404,91,267,870,4,1160,36451,672,3415,153,10161,27501,2735,5259,0,4903,353,28077,14952,3483,313,1923,2768,1008,297,0,60,72174,7431,14,200,3943,3500,7102,4452,238,675,0,552,1538,4500,0,19,2518,11797
"Hadong",0,2745,3210,0,0,209816,16380,77586,4640,1,0,99,7631,78376,25003,3342,74,0,0,129,519,185,9281,3907,22,216726,1,0,6410,1198,13,525,1,0,1770,49109,254814,3,0,351,120534,257850,0,9232,969,83,75,1,1201,48,2523,0,4,0,11685,744,890278,0,4954,1408,352,326,2504,49,995,459908,29534,2,0,17,38636,4795,706,105242,3611,3,0,699,1,125,0,284,1,39,0,0,874,5524
"Haman",0,10367,20375,10,2,521788,1290597,643045,37029,2,7,37,42467,1916466,141996,6469,1048,3,0,1273,2746,81,39341,16291,11,739942,27,0,13438,8276,7,4651,5,0,7356,159528,170063,2,1,6801,287029,5714551,0,60880,7705,22,12,36,11573,1518,60409,1,8,29,92214,5019,1811849,2,21328,41790,5124,1160,19558,32,8732,522636,117922,4,3,431,211532,37260,2353,164922,14156,4,41,128,1,47,0,450,1,67,0,0,4977,29548
"Hampyeong",1,3609,485,5438,20155,0,0,0,26,0,1,33,3,1,2,0,2215,6,0,472,3,35,0,0,0,0,19615,55923,0,0,0,1243,40436,0,22,1,0,0,0,0,0,0,290,0,0,18,22,4452,12783,0,0,0,15,0,0,0,0,163081,0,0,0,0,494,19,5757,0,0,0,4314,4306,66962,12253,868,0,2117,0,0,64,0,34,0,37,0,0,20488,2,109,1451
"Hamyang",0,3200,6824,7,1,32400,2309,15539,10591,3,4,183,14246,67277,63293,3946,139,1,1,370,1149,333,138143,12616,25,39648,25,0,121,13545,50,2138,0,1,3533,23618,6333,9,0,1275,8888,55554,0,167370,6231,79,216,7,2353,416,86350,3,28,37,2018,1855,184941,0,25527,64983,2468,749,7805,158,2329,50975,73281,5,1,54,93310,9743,5417,3451,6435,5,19,508,2,224,0,505,1,94,0,0,1941,10371
"Hapcheon",0,105,326,0,0,4157,4279,2349,583,0,0,0,690,284510,3985,1112,7,1,0,14,45,1,77412,624,1,4438,0,0,32,169356,0,75,0,0,166,6903,791,0,0,103,678,7476,0,5524,2121,0,0,0,109,39,2628,0,0,2,32,68,4443,0,552,9027,93,30,288,0,158,3207,3436,0,0,9,4724,493,898,799,325,0,3,3,0,4,0,18,0,1,0,0,62,560
