"","Andong","Ansan","Anseong","Boryeong","Buan","Busan","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Damyang","Dangjin","Danyang","Euisung","Euiwang","Eumsung","Gangneung","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Gokseong","Goryeong","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jincheon","Jinju","Muan","Muju","Namwon","Nonsan","Okchun","Osan","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Suwon","Ulsan","Wanju","Wonju","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yicheon","Yongin"
"Ulsan",41588,25914,31003,1046,119,2599056,0,0,70895,106722,16,9152,82267,1049231,163474,240,1884,29327,8956,2808,11437,2417,291,3440,33700,1,849,116,0,4,199331,9798,1614,4038,14569,504,2,1247621,255048,3586,0,180,66,638,88,4549,6376,667,22836,19302,471,32,16749,1353,16950,8592,786,436,880,394,10024,12946,42542,3774,17081,4,590,38149,596,2513,303256,64602,224,1,35685,5602809,1555,21823,2795989,2530,4817,2966,314920,20098,75,34916,12412,50945
"Wanju",74,1342,6355,1,0,230,5,29,7145,717,18,729,22190,3759,103732,0,27,37,28,206,1599,1107,9,1388,1783,94,16298,0,0,10,2342,774,0,6,3261,253618,0,1191,501,7024,3,81,0,31,5,386,546,1,1226,56246,14,27153,199,356915,36572,1856,63,0,1043,1,23974,3434,5116,508,1519,43,24,239,1,7,68292,4465,0,0,3638,1023,567,1830,38,624,4,1006,1127,1670,0,26,2857,9684
"Wonju",65502,81499,80588,2479,237,19287,1,5,14994,23029,18029,576390,72915,134414,75896,6,8216,100769,15853,12582,42394,493699,44,1992,781,27,717,133,2,1,273,59417,718,10138,148822,14635,794,16074,4569,3612,237,59,76,450,2,520685,212818,2056,19687,10748,1106,1586,754007,5336,9957,12605,1050,930,1152,362,5426,3138,33009,382845,8365,638,462,11,629,6481,1426688,239370,45,384,250169,18627,1528,958094,5015,207820,17530,172044,4337,938,78,111359,170826,279882
"Yangsan",10908,12132,8160,1931,223,5151833,0,3,16544,27055,3,2579,23095,216090,34194,454,1570,3702,2663,2335,2874,1446,547,2166,10495,3,130,218,0,10,47266,6663,3050,1282,6685,740,0,994342,79246,807,0,342,127,1166,166,3306,2509,1128,9440,588,753,0,5100,36,937,2136,1471,825,1095,724,1526,3763,9078,2384,4796,0,1108,12282,1126,1690,88315,23999,423,0,15341,2949011,798,9871,3680868,1026,1325,967,113151,6283,143,8020,3918,15172
"Yangyang",4717,21342,15517,1074,73,2224,0,0,5387,4323,9408,16943,20249,27072,23603,5,1477,4490,759,3339,10641,210988,18,572,199,3,196,38,7,0,65,15939,322,789,25246,5002,203,1013,596,513,70,18,28,136,3,92907,6739,634,5541,2985,286,444,14084,1383,3506,2944,270,426,360,86,1471,818,7332,223975,1952,246,91,3,209,1577,367089,79490,11,154,70579,1715,458,222925,645,282,2790,49629,285,221,29,6190,35586,58877
"Yechun",39130,1498,163,7,1,2516,0,0,34,10490,21,7886,25,60528,89,0,17,27537,3772,224,158,4758,0,2,24,0,1,0,0,0,33,1066,2,4090,2052,6,0,2320,1339,1,0,0,0,1,0,3252,4521,6,283,15,0,0,16959,2,14,8,0,0,0,0,6,8,210,2166,58,0,0,4,1,36,30500,4956,0,0,4115,4440,2,19861,882,3733,301,1817,582,12,0,52410,1585,2685
"Yeoju",7981,45059,24253,1308,113,2496,3,77,5741,2036,56710,15654,33845,15040,28177,2,3040,5827,696,8672,26965,46160,87,1339,1048,215,371,60,1,9,669,34991,316,919,86910,8160,477,1542,718,549,193,495,48,408,16,29422,10375,963,12149,4686,669,791,28545,2812,4957,7771,1121,469,690,258,2258,1527,17752,27542,4893,942,551,5,275,3279,824262,121705,10,244,193946,2170,746,117021,1318,27161,1178,1045,575,695,39,8083,110079,195066
"Yeongchun",5090,21279,14510,56,5,185565,0,0,31610,108260,8,2494,32015,1969837,99483,8,1983,2646,1986,850,3849,365,10,1654,27420,0,768,3,0,0,116531,2254,61,1137,4554,213,1,222835,184560,1696,0,6,2,30,3,993,1545,55,10331,8716,88,58,3387,1826,10376,5451,33,15,254,17,5764,9129,13994,485,7317,4,25,17372,21,592,134863,34737,9,0,10143,310986,1180,5546,110633,371,752,1158,15933,13171,2,4273,2903,18082
"Yeongdong",275,5531,12460,18,2,14702,2,7,24504,18709,16,583,97467,128141,469218,8,442,51,136,629,2329,623,17,3644,124336,12,840,0,0,0,74606,2463,1,65,4932,6708,179,17174,7417,4426,80,63,0,151,2,146,215,18,3482,12055,355,857,119,6118,10800,3962,387,1,399,156,25338,100554,12146,188,5484,342,145,1903,2,314,110739,17156,12,169,10473,19152,1650,1050,6850,350,9,532,12173,104110,0,113,2733,16202
"Yeonggwang",0,5586,603,9089,34265,0,0,0,39,0,1,68,10,2,8,0,3301,2,0,597,2,95,0,1,1,0,23362,84692,0,0,0,1702,57654,0,27,3,0,0,0,0,0,0,19720,0,0,24,36,6963,21037,1,0,0,8,0,1,0,0,90278,0,0,0,0,538,27,7330,1,0,0,6031,6692,90159,18539,1246,0,2650,0,0,97,0,52,0,63,0,1,28,2,186,2056
"Yeongju",228983,17087,3617,156,7,21069,1,0,1022,113549,224,25468,722,499075,1531,0,603,276049,25635,2239,1776,10371,0,43,194,0,9,3,0,0,359,10526,15,26973,16364,17,0,20628,12779,27,0,1,0,3,0,16684,15584,215,3520,223,2,8,153494,62,201,317,1,11,21,0,133,68,2985,5308,826,2,0,20,23,666,256863,44458,0,1,37703,34195,31,136716,7377,6960,46495,16338,4344,95,3,20807,14273,29664
"Yicheon",15661,149342,133549,3818,342,12739,41,969,21124,5198,80508,14751,209884,36262,119014,8,7479,11105,1510,40682,101221,74451,579,4407,8867,2970,1548,181,4,43,10220,113743,1031,1735,367786,30985,1381,6742,2447,3193,741,4719,96,1912,86,42671,8854,3595,41511,19513,2393,3056,58760,10552,25155,32722,4560,1296,2936,1115,10878,6201,61103,47242,15421,3644,2304,79,1098,7526,3324079,367148,80,1258,578613,7473,3012,190832,2904,47139,2035,109360,2278,2841,148,18964,176256,582752
"Yongin",26559,810390,1138478,32099,5618,77039,372,5983,1049154,14321,92527,31628,455530,166863,503655,29,79097,22951,1835,208282,120264,128445,2983,19720,45542,16407,7061,3426,16,454,77527,742456,17965,1698,46816,131657,6139,34875,11176,12201,4015,28400,2067,9857,542,62723,27600,30733,256332,71241,7762,11574,92835,31993,87383,32027,22905,16583,16807,4697,7136,27061,886012,83848,297125,19043,10715,1092,10292,58936,15641664,1879118,418,3900,3197986,43444,10317,301128,12809,87946,3603,208895,14268,16495,2466,35362,600944,2636888
