"","Andong","Ansan","Anseong","Boryeong","Buan","Busan","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangneung","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jincheon","Jinju","Muan","Muju","Munkyeong","Namwon","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yicheon","Yongin"
"Jangsung",13,2292,12811,0,0,298,15,80,19395,76,9,876,19112,829,48126,1195,79,7,605,0,344,1751,679,67,929,491,273,64579,0,4,1675,4145,52,17,906,1480,0,1,3431,1440939,893,29,54,4355,49,203,0,75,6,467,792,3,3686,28012,49,64072,133,158981,78736,2198,100,0,117,11,502,27228,2427,8673,58,430,3841,76,12,132,0,19,99973,8412,211,2756,6235,66,16,31241,2082,0,493,0,1013,28,893,0,5,3248,14905
"Jecheon",79084,27694,3015,405,17,8133,0,0,1368,17967,209,120369,1992,90082,4157,1,1380,140700,9013,5384,3047,1650,29256,2,118,84,0,41,11,56,1,104,0,0,178,21511,61,5334,42007,805,10,10246,2974,82,3,0,5,6,0,56707,50651,366,6431,628,36,111,83816,308,1031,635,8,103,50,26,5,284,124,4561,5622,14179,743,4,8,38,71,883,486837,83528,1,4,68849,13,16612,93,832422,8218,13766,12066,34009,3240,48,11,237296,32366,66497
"Jeongeup",144,5202,30380,4,0,452,23,129,46683,1095,54,2448,75143,7344,227058,635,184,45,1433,27,793,6482,2360,31,4968,5970,390,447598,0,31,735,14406,42,31,7141,3440,1,16,9777,1085378,899,1182,673,11857,99,324,0,58,11,1379,1663,6,8617,144643,29,151463,312,88964,461956,6276,186,0,1967,72,235,74363,11768,20396,1896,1691,9067,134,33,1119,2,43,247464,19052,98,3525,14596,174,1690,463696,6659,43,1427,3,3143,867,5074,0,64,10957,35296
"Jeongju",472,16918,78441,16,2,94715,18511,74516,146171,5447,172,6096,170038,72904,743978,931,720,150,2016,138,2536,12988,6893,5594,8971,11511,130465,89344,0,62,1211,37051,89,1686,22507,10913,5,71,19428,868559,18641,10077,6010,37027,26390,393678,0,5544,105,2621,3703,21,27836,79105,4528,81642,855,467707,1829,13392,68461,2,4397,156,2093,143490,18068,64362,10249,3170,28822,32212,16579,3010,2,175,709928,62513,215,11132,46431,7373,17507,35715,12247,1229,3928,8,5729,6331,10844,0,148,28456,111640
"Jincheon",145,14106,64243,11,0,3639,14,414,23,1396,384,4246,499022,17464,190433,27,47,239,2273,16,2211,66486,5863,294,8723,4986,833,1014,0,69,7,29,55,549,4839,9421,1,14,64348,17831,1296,3520,1542,2556,532,2607,1,1441,48,3012,2796,22,3375,15807,3731,2290,908,8106,12945,375,3052,1,1542,49,441,8265,11567,1001,1659,3631,126,1640,2874,172,2,39,313851,36250,29,565,33434,1659,5327,2090,16551,3585,3069,15,9916,1888,3739,0,311,43444,33269
"Jinju",1,4106,11725,4,1,401822,70025,260125,24488,2,25,660,31401,225882,102083,4309,843,4,105,0,445,2093,611,85146,16741,43,545595,21,1,8,7288,164,1273,244262,23,3001,1,0,6432,68625,233889,0,1,4816,752008,1395411,0,139419,3102,282,566,35,5015,792,47256,95,27,108,108912,2193,363177,0,23285,4,26075,3176,1650,15742,4,353,4874,2048519,232152,6,0,479,155874,16125,3032,116277,11052,587643,0,32,1342,2,423,2,1130,2,124,0,2,5313,20955
"Muan",1,16157,9154,41874,76821,0,0,0,416,0,39,360,65,13,43,0,22152,22,172,0,2866,25,366,1,0,1,0,76312,334447,2,0,5,0,0,6,9034,200064,0,175,6,0,1,0,0,0,1,176986,3,0,140,200,31522,108534,1,0,0,113,1,3,0,2,3522472,1,0,0,4,0,4868,2,159,32799,1,1,3,24236,32961,406847,85088,0,2,12949,0,4,0,705,0,232,0,350,0,2,100786,4,833,14853
"Muju",8,3568,11128,12,0,18453,457,4954,23405,41,21,567,38007,9095,485467,2026,321,16,160,5,501,1710,533,1478,88347,273,17126,245,0,7,80,157,1346,3620,811,2351,0,0,5950,15754,11748,142,30,3847,5591,18460,0,21855,565,309,338,41,4724,7836,98089,138,64,1856,4718,1756,23047,0,33279,29,6897,5741,2162,9732,241,628,5025,10580,13293,95,0,287,125190,13593,1040,4115,10042,16245,197,641,1333,14,333,2,800,71,233,0,13,3056,17599
"Munkyeong",17,8196,477,33,0,7631,0,1,89,5563,38570,961,98,83578,1130,1,96,23,227,8,1018,18171,1048,0,40,4713,1,11,0,74489,0,4,0,1,41955,9816,1,11,20500,109,4,7833,2918,33,2,0,2,3,0,504,528,28,1602,150,7,12,47,86,199,24,5,2,18,36,4,96,141,1025,6838,524,113,3,5,109110,1,124,175367,24119,2,1,23259,8,11118,35,2361,8939,547,2,6049,3929,355,0,9,15168,21884
"Namwon",0,882,3226,1,0,30292,1333,11061,4187,0,3,262,6673,149182,23340,78747,40,2,50,0,131,640,185,40611,3888,25,36124,4,0,6,366,28,24761,4375,31,541,0,0,2149,311446,940,1,0,263,1057,26129,0,46814,7931,72,161,2,1119,17,204794,507,16,186,2818,533,26895,0,6491,4,271415,138,404,2358,3,108,1248,11678,26540,11,0,13,33998,3462,100972,990,3102,13538,1,2,428,0,147,0,390,2,58,0,0,1225,4662
