"","Andong","Ansan","Anseong","Boryeong","Buan","Busan","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangneung","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jincheon","Jinju","Muan","Muju","Munkyeong","Namwon","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yicheon","Yongin"
"Andong",125185,7305,910,54,1,25627,0,0,595,311103,66,21088,350,1163845,3562,0,232,76171,643,50848,1173,472,5847,0,72,755,0,15,0,22,0,7,0,1,1231,5661,1,44965,11474,11,1,28375,26524,142,0,0,0,0,0,9632,11243,55,1841,496,3,3,86364,152,461,71,0,0,11,21,0,209,162,1400,9930,4806,220,0,0,63,2,301,179038,22800,0,1,22756,0,44749,67,63110,26155,3573,28459,8660,8899,190,0,200894,8077,19205
"Ansan",7577,118573,118998,29738,13698,12450,24,771,117727,5050,29402,5235,103208,65561,82719,17,118728,5678,13687,322,196204,80005,25179,1608,5638,7650,1290,6176,9236,7424,12,20068,60,903,27037,379824,45732,215,5227,21199,1424,19785,4672,1144,1000,5182,3818,2820,103,17368,7233,25679,284757,10785,1894,1878,26743,4697,13752,14416,4085,20695,3520,7870,786,10998,7236,95819,7622,18248,259905,2454,2066,29689,12445,56392,5643404,4584487,16,588,747828,3573,20598,1747,68050,14311,15480,497,39396,7230,3958,4386,13099,112222,706332
"Anseong",1351,127409,79826,41571,3653,17718,47,1689,735192,8265,1827,16368,533131,73381,438405,99,117761,1072,9939,110,34076,81627,25929,7072,26319,21285,3520,4909,2305,543,65,100281,137,3040,24588,66280,11490,59,283423,103577,4860,14099,5376,8866,2862,13241,1267,7590,246,21479,13176,32957,273573,60396,8990,11136,3643,30615,66324,65916,12731,10737,10718,449,2562,46282,29229,676607,7842,19351,420198,7241,9062,1598,10252,85284,4295294,395527,70,3877,485567,10169,20239,9975,77701,14060,16120,83,34159,5766,11570,1702,1902,168215,1136486
"Boryeong",53,26008,41073,198617,52184,35,2,0,3401,11,203,927,2046,215,678,0,93699,88,473,5,6290,199,1145,4,17,44,5,29278,27485,26,0,37,0,4,112,13694,466353,3,453,12,1,35,9,2,1,12,7404,5,0,446,536,207240,221324,5,0,0,446,2,6,7,10,36567,8,21,1,12,31,13375,41,562,100836,5,7,39,274800,243367,601351,118678,0,0,25607,16,71,0,2233,15,764,1,998,18,29,8825,191,2265,31125
"Buan",1,10102,3095,53942,30820,4,0,1,118,3,6,82,43,18,17,0,15783,4,36,0,1197,3,97,0,2,5,1,32435,85372,1,0,4,0,0,5,3791,188245,0,40,2,0,5,0,1,0,3,26830,0,0,15,31,34951,59007,0,1,0,22,0,0,1,1,84573,1,2,0,0,2,1502,3,25,24854,0,0,0,27816,37280,169883,44183,0,0,4397,3,8,0,129,1,61,0,58,1,2,33249,6,167,4215
"Busan",14595,7222,12729,27,0,4545635,223365,2916352,37464,32500,7457,4380,31436,815355,95047,6515,1375,4275,131,3631,947,5063,1097,10847,16939,12817,6969368,62,1,5241,13918,185,21,9547,61032,2911,0,1539,10499,153300,240699,1401876,78496,3066,192058,521509,0,35623,134,1372,2192,77,7712,1795,97611,240,4904,295,94680,2092,415485,3,21998,2838,34133,4906,3887,13186,1058,1607,8443,257095,61096,12180,2,1043,175802,25519,2829,159237,13655,60259,2775063,126,7477,5176888,1045,1382,2765,144352,6651,0,10082,7321,35064
"Changnyeong",0,35,68,3,0,229368,128568,196609,257,0,0,1,148,876286,920,400,6,0,0,0,1,5,0,201,454,0,263998,2,0,0,744,0,5,1279,0,11,0,0,6,8236,17655,0,0,48,14125,951280,0,1805,1,0,0,0,39,34,2742,14,0,9,17975,9,69703,0,545,0,1213,127,1,109,0,1,43,27525,4643,0,0,5,376,82,154,11250,23,8032,1,9,0,0,0,0,0,0,1,0,0,9,103
"Changwon",0,1055,2783,4,1,2634342,230430,2620996,9081,1,2,2,5936,479981,22840,2766,508,0,0,0,165,443,4,6584,4324,4,4139204,17,0,0,5948,32,20,4995,1,328,0,0,414,59669,87051,1,0,843,71283,728592,0,17598,51,2,2,14,1744,381,29297,88,0,96,76243,596,276638,0,6556,0,10905,1682,225,2696,0,6,2207,120010,34421,1,0,314,14429,3487,1021,59622,1358,25336,1,17,12,0,4,0,22,0,6,0,0,182,3642
"Cheonan",791,119405,809217,3335,127,61254,168,5781,417875,21095,756,5905,917211,253621,1542720,154,12397,410,3653,309,25744,848,9866,3730,64336,59693,10874,6797,44,127,122,214294,364,5978,128201,59421,379,206,4037,185054,8399,86327,24382,13682,5288,40020,30,13352,534,3540,3815,2487,251141,97461,8503,16230,1894,43086,122843,82,25194,477,21027,122,3445,116967,70027,723874,31818,6859,339913,13660,16928,2693,518,13236,3897822,466817,55,2994,393278,21712,105638,15943,15675,58730,6767,23,6077,29463,31618,39,751,17981,1181867
"Chilgok",335424,5368,7230,11,1,60072,0,0,17984,34213,8650,9578,15490,5212299,38448,0,635,28388,1019,113294,888,4126,5165,1,843,32917,1,191,1,5713,1,84,0,2,316204,2521,1,61931,6567,122,3,122793,237160,777,1,0,0,7,1,3004,4897,30,3442,3065,27,28,18874,680,3505,1280,1,1,59,4586,2,2511,4365,6817,132630,5149,6051,1,4,35331,1,556,68806,11255,0,2,6803,2,122387,579,17153,72603,3281,10168,2213,166851,9674,0,117134,6068,11195
"Choongju",106,31022,2145,282,3,19786,0,0,568,9381,76438,5292,652,123599,1254,1,572,136,2391,14,4271,54652,8471,1,31,7677,0,12,3,53352,1,28,0,3,48822,24553,22,19,78426,375,20,18671,9115,23,3,1,1,13,0,3241,3093,281,6868,159,24,25,400,109,258,231,18,34,27,40241,14,82,106,4357,14280,3710,551,6,3,122904,48,734,666070,84072,0,10,93960,23,34786,46,12971,28615,4715,4,40558,10601,909,1,117,69453,92698
"Chuncheon",20220,5365,14908,943,74,5886,0,0,4754,9345,4820,852,26338,63898,35268,6,1177,14059,18106,2090,1201,10348,44971,18,1028,1068,2,243,29,2196,2,544,0,83,2236,3511,212,3261,4163,7590,410,6496,1899,1238,117,7,33,260,0,380088,1185272,814,2137,3689,547,790,118895,2182,5388,4098,508,343,552,943,265,2413,1026,3813,5111,19689,940,227,183,3187,224,1636,12952,9974,6,226,24435,457,9535,794,650153,5280,7752,4095,20482,2087,389,53,21955,20918,43376
"Chungju",530,109539,530443,1586,37,51981,137,4245,942134,19544,1155,28376,1903447,237030,3627077,185,13537,763,13058,226,16426,515444,41164,3749,132441,82893,9036,9777,6,331,76,3547,326,5425,123767,54468,39,182,294804,169565,18069,53303,17207,65235,7141,30744,5,15169,630,17150,17845,3066,121675,159501,29738,21636,3162,79744,165706,553813,32173,62,36792,120,6271,95021,344540,269569,30907,21702,158066,16643,15989,1651,153,15023,2738969,326100,237,6573,269498,26531,71967,25775,88483,46522,22195,19,44681,19082,90730,12,751,276592,468448
"Daegu",1189985,65636,67316,114,7,931607,935561,404237,224412,5400893,104401,64819,212089,11318708,565842,37200,6793,107960,4123,717636,6249,48964,31572,529983,12410,603029,499584,1728,0,76736,1832,911,1485286,8502,5441162,38014,10,528149,98043,315306,185602,1706803,3708133,15188,75795,2118703,0,82437,283895,22458,35525,789,39628,33846,67279,752,91598,5534,67829,17685,239217,6,10229,77767,145424,30212,55636,73395,2286285,30575,50570,122811,42158,486382,18,7920,1185244,169109,28812,92875,111319,68791,1144632,4524,105390,440991,23493,56082,34308,2636410,108490,1,453832,76163,187126
"Daejeon",3624,81670,450002,436,6,130810,775,17389,1589578,42876,1252,37404,3622041,607047,9371985,685,27180,929,14876,1322,13498,144302,41626,13647,2002511,265150,40376,42986,5,360,322,4000,2359,20017,283997,46544,30,632,156491,448383,42509,133002,40577,640450,19929,120692,1,68130,3375,17684,23318,1419,144730,680867,100080,52177,5032,239928,740426,197875,105206,19,505682,1178,23756,816545,1505094,271406,106582,24719,168746,63318,53960,28707,39,23104,2906479,310326,977,17845,233576,101295,172472,111424,89770,93541,23763,67,35756,52760,488090,1,1214,138150,534387
"Damyang",0,18,110,0,0,5904,337,2416,186,0,1,13,238,41922,686,14622,0,0,2,0,2,28,13,7708,278,5,7732,292,0,2,121459,24,5723,560,5,11,0,0,56,616161,21702,0,0,19,2746,5933,0,5782,1468,4,5,0,31,165,14279,1494,2,603,1219,21,4340,0,1741,0,86566,135,33,79,1,4,33,3255,2693,4,0,0,1031,101,44874,108235,66,2533,1,166,23,0,9,0,12,0,12,0,0,58,148
"Dangjin",260,124796,128621,91495,20337,4803,13,426,15555,1440,485,1351,16344,22627,34571,0,148534,165,1231,24,19851,506,2121,141,1319,3102,830,6037,8495,106,0,1724,17,373,4649,42693,87376,9,925,537,502,10481,1353,302,291,2627,3186,514,20,1045,1189,64771,955417,270,174,45,875,116,517,36,1078,20884,577,85,66,1216,1787,41116,4531,1339,706863,663,391,342,29962,151711,1683379,620638,0,52,67161,1049,8369,43,4568,4141,1386,25,1922,3681,924,3745,406,3936,80173
"Danyang",84421,5673,784,60,2,7446,0,0,308,29689,52,11872,628,119153,975,0,162,38898,1024,6933,837,409,5348,0,13,56,0,8,0,21,0,20,0,0,115,4251,9,5525,9718,92,3,9911,2753,16,0,0,4,0,0,7850,7249,101,1213,141,5,16,143155,57,141,161,1,22,15,6,1,64,22,896,6692,3112,122,0,0,15,17,209,101117,16752,0,2,16303,1,26746,28,88710,8477,2844,31585,8333,3135,22,0,256771,7124,16521
"Donghae",616,14005,8041,513,30,134,0,0,2767,917,2052,18276,10771,3761,13559,3,1622,1058,51771,101,2474,4538,1121581,2,357,218,1,106,15,962,1,170,0,18,353,10091,102,52,18957,2591,126,53,37,603,60,4,16,52,2,86135,3953,297,3191,1538,169,352,8446,1031,1911,1999,95,191,152,273,60,806,503,3217,17,125942,940,33,71,608,101,1216,250240,41710,10,49,35619,127,141,391,130701,117,235084,320,17650,20,125,21,820,17425,40725
"Euisung",47253,320,71,0,0,6632,0,0,277,97254,26,2326,201,662803,1395,0,13,5506,97,335,59,33,737,0,22,429,0,10,0,11,0,3,0,0,439,245,0,16475,502,3,0,6523,9923,35,0,0,0,0,0,1187,1155,3,95,143,1,0,5137,32,121,19,0,0,4,6,0,85,84,89,4698,490,30,0,0,44,0,17,6180,912,0,0,950,0,10855,20,12634,6988,489,2160,352,2781,157,0,19200,408,769
"Euiwang",1178,181632,33083,10477,1689,4546,3,81,32355,990,3878,908,19127,8019,16896,2,28385,922,3913,71,93,12428,4338,123,952,898,175,748,1004,1453,1,4448,7,122,3342,104062,6041,425,833,4091,1197,1725,325,241,215,819,498,374,15,2562,1015,12285,31365,2145,344,366,2930,920,2657,2603,598,3593,527,943,127,1999,1384,30405,862,3501,38130,341,346,3037,3335,20643,516146,534346,5,100,176546,508,3613,342,11711,5369,2950,233,7062,494,682,580,1794,28551,180019
"Eumsung",675,86084,80177,209,12,8357,10,259,618,3711,47421,11987,481639,48940,137038,21,657,697,5821,40,12691,4536,18876,264,7139,6299,641,959,3,15780,7,76,20,499,18645,59358,26,39,290055,16559,1255,7726,3268,3161,428,1526,5,1178,34,11747,8461,181,16211,14875,3065,2278,1875,6947,12528,63549,2126,42,1293,15421,418,6863,7251,8647,6462,10162,747,1065,1067,44082,38,464,1652085,202881,29,434,220835,1204,13746,2111,56121,9089,9279,41,50914,3796,2274,6,913,194171,225198
"Gangneung",5691,26148,21347,1149,105,1287,0,2,6754,4722,6684,42193,35132,29354,37800,2,1753,5039,1003170,703,3476,16924,189428,7,941,782,1,235,31,2175,2,409,0,68,1672,21663,212,582,46900,8048,764,669,751,1742,166,8,15,236,0,261835,9441,812,6323,3693,556,583,25962,2097,5766,5251,460,383,532,986,209,2134,1973,8716,164,969346,1568,285,262,2191,215,2097,604217,90478,12,217,91067,609,1463,779,444560,1268,146504,1913,52959,281,314,35,8227,54835,101574
"Geochang",0,2067,4304,0,0,8997,156,4839,4001,0,0,22,3932,502848,14810,6444,160,0,1,0,101,598,12,413895,2383,0,10444,4,1,0,97,22,223116,5768,3,986,0,0,1064,43290,12051,1,2,242,8256,22360,0,125397,66958,7,19,7,1170,110,17509,93,1,35,4257,334,85147,0,2019,0,40137,626,140,1793,0,18,1312,24441,41474,1,0,48,30674,2891,7792,3838,1969,19913,1,9,83,4,14,0,104,0,11,0,0,544,5645
"Geumsan",90,5664,26784,15,2,21076,378,3920,66043,871,40,1011,130725,12687,1842847,305,916,19,352,24,715,7239,935,2001,56969,3136,11403,1057,1,12,32,311,1302,3310,4846,3957,2,15,9209,8121,7297,1692,724,18111,4150,14728,0,12701,403,732,769,48,9553,8307,28130,1783,129,5185,9708,8959,16477,4,82776,64,3335,14113,5717,15680,1889,441,11699,8206,15918,589,1,636,150881,21121,357,2027,12763,12103,2979,1830,2679,588,556,2,1817,1039,3165,0,34,5730,23033
"Gimcheon",890,8030,20686,24,1,21358,0,1,57967,35901,6690,1160,74120,558821,244951,5,1022,103,231,444,672,5700,880,3,3354,136670,2,623,0,4507,2,174,1,19,375697,3509,2,290,8585,2419,42,27707,27676,3224,16,4,0,24,1,389,578,99,10897,12469,199,387,150,3960,9550,5686,54,0,256,4237,31,9327,29035,21298,34419,652,14175,33,28,24042,4,875,154767,28379,9,25,15223,93,34653,2627,2102,21476,583,21,2006,22849,72738,0,302,5640,30804
"Gimhae",0,1615,4382,29,0,7022378,261807,4611533,13635,0,3,4,10025,508865,44380,8672,661,1,3,0,173,772,4,12774,10789,3,10655568,38,1,0,19302,78,38,12451,0,539,0,0,824,182776,267524,2,0,5972,203357,762007,0,41596,154,3,4,35,2914,958,76873,288,1,300,127728,845,551423,1,20073,1,35115,3249,299,5297,0,5,3395,275880,78673,2,1,486,22980,4887,3290,185586,2068,69315,1,68,13,1,6,0,39,0,11,0,0,326,6174
"Gimje",21,5033,4751,28825,29481,81,3,17,6702,213,8,221,9325,2234,37213,333,6053,6,95,8,613,729,236,3,1001,661,46,13306,71141,1,181,2288,5,8,924,2428,53492,8,1331,406231,494,363,139,2105,14,57,18757,12,2,199,165,12698,24587,50923,4,59139,24,471281,82911,812,66,70065,228,6,11,16498,1581,3393,396,102,9203,23,12,141,16357,13196,97611,21248,16,817,3633,29,554,19915,517,35,143,0,314,179,618,21761,12,1256,6240
"Gochang",0,6282,1933,26408,99140,0,0,0,78,1,3,51,11,1,10,0,7904,1,25,0,809,4,27,0,0,0,0,74702,46224,0,0,5,0,0,0,2337,179558,0,21,2,1,0,0,0,0,0,53456,0,0,10,18,18138,37721,1,0,1,6,0,1,0,1,322407,1,0,1,0,1,986,1,12,11543,0,0,1,13972,18225,116973,25865,0,0,2993,0,2,0,63,0,25,0,29,0,0,79854,1,88,2775
"Goesan",38,6258,472,42,2,12460,0,1,100,5685,47850,1907,156,79429,329,0,137,50,838,15,931,15636,2065,0,12,4441,0,3,0,25369,0,4,0,1,32248,5560,6,10,16308,123,1,16318,4982,2,3,0,0,5,0,1048,1025,40,1435,54,9,8,107,40,83,54,4,5,3,75394,5,23,98,762,9760,1167,83,2,0,216789,0,151,139490,19960,1,7,19363,7,25235,8,3935,16897,1131,4,7028,8347,458,0,26,14599,20140
"Gokseong",0,16,79,0,0,11325,571,4944,144,0,0,3,81,1617,290,111288,0,0,11,0,1,6,1,122,35,2,17203,190,0,0,87502,21,70,772,1,7,0,0,17,1770881,80156,0,0,7,4810,10346,0,137,35,3,1,0,25,83,247,1683,1,618,1634,6,6552,0,93,0,590,116,3,61,0,1,23,6165,338,0,0,0,741,63,477,280746,42,4053,0,89,5,0,4,0,7,0,2,0,0,31,103
"Gongju",1,18578,70580,13,2,56,0,1,169479,18,16,316,1600,287,1456,34,691,4,102,0,2911,36,332,2,94,52,6,1670,0,2,24,68800,0,2,100,12538,2,0,247,47006,18,42,23,95,2,26,0,9,0,114,164,21,32224,24329,6,4083,64,10645,29805,8,29,1,39,1,1,55056,85,73842,45,154,33843,12,5,9,2,168,673836,68842,0,263,52727,21,67,3973,552,30,243,0,292,13,49,0,6,773,123585
"Goryeong",0,69,139,0,0,18,2,5,411,0,0,1,353,1295798,2463,5345,10,0,0,0,3,18,0,201167,1308,0,9,4,0,0,38,7,67343,188,0,26,0,0,35,30752,882,0,0,113,465,36,0,13549,168210,0,0,1,88,90,15697,69,0,32,42,51,742,0,1220,0,21364,364,12,138,0,0,106,990,4465,0,0,7,1308,185,3852,778,129,890,0,8,2,0,1,0,2,0,1,0,0,12,219
"Gosung",0,724,2894,3,0,12359,1478,6094,4296,0,4,95,4703,11006,15246,530,186,1,26,0,91,451,237,5493,2169,10,16321,4,0,0,756,16,422,194516,4,353,0,0,1042,7480,19542,1,0,676,22399,19889,0,7012,475,37,47,7,1238,132,6719,8,6,9,2423,442,213686,0,2896,0,3213,539,301,2278,2,24,1322,24023,22858,4,0,61,31244,4933,265,11477,1842,2017176,4,7,168,0,194,0,233,0,32,0,1,627,3768
"Gumi",2885,23480,24247,69,3,104285,1,1,118843,348829,43267,3351,117826,5206354,270051,5,1853,383,603,769,2798,18655,2800,0,4902,364188,1,953,1,34659,2,309,0,13,215824,13756,3,560,34083,5715,19,138419,186560,4595,8,2,0,44,2,1284,1983,341,14928,23971,323,876,477,6375,19784,5198,30,2,735,41240,27,12583,21385,46569,196113,2207,23226,16,33,428502,5,2014,382382,59422,8,20,55856,29,207654,2659,6485,111624,1841,126,10325,133414,63204,0,1232,32051,90795
"Gunpo",6466,347841,66922,13394,3681,6729,3,206,58680,2416,23811,3753,53494,41942,47825,10,38620,4711,11109,296,97112,54821,26106,662,3479,4243,412,2134,2621,6189,7,12663,33,890,14033,810,10312,205,3598,15250,692,7144,1995,1910,503,2569,1099,1913,53,17979,5360,13239,53103,7830,1179,1339,22609,3444,9891,8729,2825,7218,2159,7556,489,5116,4727,65082,4905,23425,69989,1337,1337,22655,5566,23566,1229338,1477820,12,347,843117,1881,11697,1269,67598,8386,15495,332,39188,3000,1557,1439,13769,113978,805907
"Gunsan",0,37199,10313,476945,204772,1,0,0,448,3,27,230,88,23,81,0,86865,7,88,1,3953,31,266,0,2,3,1,43062,178742,4,0,8,0,0,10,10472,41597,0,136,9,2,9,1,1,0,1,46766,1,0,95,135,158891,192373,5,1,0,72,0,13,4,1,197326,3,0,0,4,5,7008,6,114,93127,3,0,2,179756,190894,540209,169302,0,0,14940,1,8,0,587,0,213,0,209,0,0,50629,14,588,17251
"Gunwi",38692,234,75,1,0,3227,0,0,244,64402,21,2910,193,499950,740,0,3,3898,68,13420,428,26,456,0,17,290,0,8,0,16,0,3,0,0,354,224,0,196,321,2,0,3730,7825,21,0,0,0,0,0,826,1251,0,80,63,2,3,4988,21,71,14,0,0,0,12,0,58,51,77,2862,483,25,0,0,63,0,10,4376,643,0,0,661,0,5277,17,5208,3470,300,2379,321,1822,95,0,17870,268,604
"Gwangjoo",13263,7327,294783,676,36,16409,4,284,5873,6387,80363,4397,287341,101987,153232,50,1378,10377,21970,561,1735,310584,54572,903,7945,8284,696,1506,21,19103,18,729,36,997,35196,4863,196,401,228301,31201,3009,14718,5232,3814,1652,2825,19,3793,94,38719,2369,511,3390,16720,6028,3809,45486,10545,18538,65897,5132,237,5009,19351,1769,9476,12004,7630,10626,47388,1991,2974,2930,57763,181,1173,6649148,9953,43,1719,17918,4463,22640,3268,196224,18402,29832,756,138636,5545,4218,29,20640,500373,70834
"Gwangju",13,25019,112198,19,4,145626,7805,55132,211018,145,186,8218,157061,300650,440117,772326,897,85,3184,1,3772,12541,8881,38007,7944,2492,176723,417316,3,62,1819215,39191,27765,8265,5601,16117,5,1,24945,8792,522612,84,53,27015,47408,141079,0,23173,7149,3385,4601,35,40569,215987,66522,1642839,969,1084089,829681,14243,72233,2,13122,68,312293,196276,17443,93815,110,4571,41910,58631,12898,866,2,237,1031941,91422,262815,2194680,67866,47197,98,309609,16511,40,6458,0,10023,35,4902,0,36,35247,163021
"Gwangyang",1,5756,5456,0,0,257368,16484,88678,10488,1,14,465,16262,202876,38888,20541,839,2,229,0,266,1959,511,20836,6679,32,276983,414,0,4,81079,78,1004,20988,15,673,1,0,3629,485410,617199,0,0,392,269738,191497,0,6226,1002,232,323,1,3903,111,2796,870,19,911,24139,2836,215159,0,12801,1,919,337,1025,4437,7,556,3538,175551,17837,8,0,37,64516,11181,217,934968,3715,74238,2,109,1119,0,320,1,1059,1,119,0,0,2936,8218
"Gyeongju",25539,18031,12943,22,1,1376565,0,1,77679,99319,14277,6375,39004,1592719,113956,1,2112,11416,64,5806,858,7435,681,0,1736,24793,4,469,0,11347,3,153,0,0,126606,5468,1,2665,13679,80,2,206303,252910,1181,0,2,0,13,0,2404,3403,138,13656,16193,51,23,9914,1473,9139,3159,2,2,196,6200,5,6095,11291,17812,460,1695,18327,2,2,22179,1,1477,200293,39439,0,1,20125,2,1061331,1175,14092,846493,757,2148,4771,113187,12302,0,20017,12394,36546
"Gyeongsan",28444,7610,5283,6,0,85912,0,0,23401,232850,7065,2037,14649,3692404,39032,1,771,2611,51,10948,309,3473,860,0,637,28272,3,150,0,4316,0,50,0,0,192422,1813,0,8845,5447,119,0,273161,763,1290,0,1,0,4,0,676,930,33,4572,4604,12,23,3026,753,3901,1566,2,1,47,2644,1,3637,4251,5862,17252,621,8122,0,0,20074,0,596,58008,13324,0,1,6897,1,191335,401,4088,54759,443,1448,1753,141273,5894,0,13814,3820,10246
"Gyeryong",177,1168,8220,8,0,3381,55,1061,14077,711,22,1648,62184,16750,627613,43,186,23,677,32,188,3230,1884,275,20895,3612,5372,2154,0,4,19,200,125,458,5045,1765,2,9,3768,26737,397,1742,1130,784,357,7181,0,1327,89,604,1462,12,2043,42358,1013,4186,99,11927,35608,2909,4916,0,4679,22,324,44321,17815,3778,2330,377,2950,1871,1110,839,1,211,78706,7781,8,280,5447,2190,3853,7962,5742,1506,651,1,861,1202,5324,0,19,4234,12996
"Hadong",0,3107,3250,2,0,189996,13929,72254,7092,2,1,164,9528,87753,23401,3187,429,0,16,0,150,786,128,8656,4186,14,217105,21,0,0,5876,22,906,24984,9,553,2,0,1957,42806,237391,1,0,376,90359,253612,0,7689,688,241,108,8,2218,51,3134,62,3,80,39464,1163,741243,0,4595,1,1089,208,335,2936,0,69,2144,351397,25821,3,0,42,39999,6367,102,97799,2584,64689,2,12,648,0,98,1,303,0,33,0,1,1219,4932
