"","Andong","Ansan","Anseong","Boryeong","Buan","Busan","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangneung","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jincheon","Jinju","Milyang","Muan","Muju","Munkyeong","Namwon","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yicheon","Yongin"
"Euiwang",965,252412,31257,15663,2225,3811,28,107,33457,717,3895,914,178,18994,8020,16971,71,41322,943,3452,44,98,12820,3824,111,891,745,455,824,1249,1198,54,4162,16,113,2707,116949,9568,177,849,3514,609,1543,277,206,146,671,704,390,13,2601,1034,20094,37897,1989,249,327,3026,912,2565,2509,463,810,5002,473,817,146,1910,1210,26799,867,3157,50303,298,337,3137,4832,34877,594333,538149,4,523,169862,484,3424,335,10799,4383,2324,131,7411,395,555,860,1788,27599,176233
"Eumsung",700,95713,90694,241,3,8954,267,289,568,4021,51317,13353,849,444025,57080,140216,273,656,704,6727,40,14280,6708,20658,330,6779,6275,2099,1080,8,18163,135,61,99,503,18244,62666,27,34,313277,16489,1348,8598,4704,3482,425,1834,6,1263,35,12144,11147,227,17773,15522,3376,2612,1919,8132,13618,58614,2369,3407,43,1284,16790,411,7410,7830,8490,6577,12080,686,1290,1134,48978,37,503,1761126,210679,22,1126,236007,1495,14399,2103,59018,10059,10113,35,62388,4049,2498,4,960,221875,240021
"Gangneung",5834,26875,23320,1055,62,1416,2,6,6452,4791,5956,39137,184,36591,31693,38347,89,1753,4978,1052637,699,3262,20483,205024,16,955,837,313,286,24,2400,48,398,7,100,1788,22920,189,597,53452,8467,500,721,615,1812,177,31,17,278,1,284487,9688,854,5945,4013,671,571,27406,2234,6527,5481,524,690,282,439,823,174,2108,2242,9316,136,1101756,1518,284,239,2759,161,1940,628681,89720,9,517,94919,785,1587,841,474779,1430,165503,2257,57597,279,287,26,8695,64064,107943
"Geochang",0,1495,4410,1,5,10232,1035,5064,4474,6,15,21,0,4296,528796,15872,4824,180,0,2,0,109,550,20,389556,2258,27,12195,13,44,9,165,31,210348,5936,141,1018,0,0,1183,43706,11737,1,0,268,7062,25378,0,132020,61703,5,16,13,1172,229,18290,1674,0,514,4280,386,88431,0,3,2016,5,39086,729,201,1916,0,11,1207,25003,41814,59,0,103,31259,2804,7673,3595,2053,22044,0,21,128,2,20,0,133,0,11,6,0,646,5205
"Geumsan",78,5458,23792,17,1,20470,353,3402,58513,979,39,1162,112,120293,14034,1180934,357,790,15,323,33,706,6819,841,1991,53494,3083,10577,956,2,22,56,430,1290,2875,4892,3770,0,9,9068,7749,7742,1842,741,16163,3775,14654,1,13208,405,683,834,48,8832,7391,30350,872,124,5269,9127,7810,17019,416,2,85519,62,3429,15076,5390,16244,1795,489,11193,9354,15891,731,1,634,146017,20012,317,1805,12746,13456,3160,1552,2322,921,489,0,1895,1022,2846,1,42,5707,21134
"Gimcheon",962,9058,21375,24,1,22801,503,338,61912,39409,6711,1191,3431,81746,594833,255844,32,1381,88,243,405,637,5851,906,24,3246,94762,3672,556,1,4506,8,238,593,22,376628,3500,3,229,9128,2674,154,30132,27715,3062,36,1677,0,55,38,427,825,117,11536,12929,232,434,139,3826,10076,5564,151,8259,4,290,4998,59,8779,29221,21168,34778,705,16589,90,43,28165,1,1194,154005,26629,10,73,15166,163,37813,2929,2748,22265,623,30,2603,24616,70590,5,333,6232,31345
"Gimhae",35,1410,3029,13,42,7712709,270398,4746672,9851,85,513,23,27770,7139,795650,34226,11211,668,11,2,9,146,738,16,14471,10753,466,11610128,747,200,271,17783,80,1156,14036,595,454,2,3,926,173269,288211,91023,1002,5105,203309,821356,2,43636,508,4,13,23,1989,1904,77695,7963,11,7783,136846,611,580798,169854,6,19105,167,34123,2851,394,4173,27,6,2510,301635,82882,711,0,496,17922,3741,3798,184616,1751,81747,277184,267,60,609416,12,2,207,5195,191,19,26,637,4119
"Gimje",26,5016,4620,24491,29698,675,17,474,7151,215,6,236,10,9204,2589,40920,6761,5760,4,94,14,592,1043,275,34,700,671,794,14872,73076,5,3809,2464,21,55,811,2036,30333,2,1404,443200,5813,464,203,2475,453,738,19984,65,3,151,177,10246,23375,53281,102,57568,38,474488,80783,691,321,30,70957,378,6,174,17095,1587,3652,375,113,9331,401,46,168,12113,12020,89663,18720,374,23609,3455,299,665,21592,509,32,117,1,366,215,611,22065,12,1306,6013
"Gochang",1,6571,1896,27974,99098,207,6,62,49,1,4,27,0,20,212,6,832,8624,2,12,0,805,10,28,34,2,0,160,77037,55166,1,292,3,19,5,1,2235,174069,0,16,11807,237,0,0,1,36,100,56656,19,10,20,16,17733,37818,5,12,737,8,20,19,0,65,0,353326,4,0,328,0,1,1157,0,17,12141,43,12,3,13432,19639,112345,24398,137,1080,2839,39,0,7,71,1,20,0,38,0,1,88175,1,82,2781
"Goesan",28,7031,504,37,1,12471,250,172,93,5397,51101,2104,762,183,80829,428,1,134,49,889,10,1085,17883,2267,7,35,4278,2402,7,1,28170,1,6,169,3,29699,6763,4,13,18198,170,41,15529,5169,3,10,982,0,11,7,1086,1368,42,1420,67,11,11,138,64,101,44,63,3880,4,16,63684,9,26,160,829,9435,1275,95,19,6,202893,6,142,149780,20819,3,10,20895,21,26215,18,3952,15669,1195,2,8333,8222,518,0,19,16260,20577
"Gokseong",0,434,1745,15,86,11148,513,4741,3482,0,2,63,0,1596,2024,4310,125174,30,2,58,0,56,168,65,172,65,8,15970,4275,354,2,89092,623,135,756,10,259,159,0,423,1722280,63739,1,0,269,4928,9527,6,153,41,33,49,14,691,1693,318,34554,6,13206,8942,256,6455,0,45,93,2,811,2024,110,1605,0,26,759,6013,298,6,6,32,16435,1508,997,287869,1108,4271,1,2133,102,0,42,0,60,0,13,64,0,356,2469
"Gongju",1,22437,78084,11,1,52,0,1,191593,15,17,310,0,1655,309,1517,939,814,5,97,0,3080,39,313,2,121,56,6,1791,1,1,691,71773,0,2,129,13653,5,0,220,46784,447,51,23,96,10,33,0,12,0,114,213,21,35539,26495,18,4201,73,12205,33372,14,29,7,3,48,1,14,60338,98,85708,42,157,39298,15,8,14,0,231,730439,75796,45,6405,59896,26,82,4472,529,39,239,0,320,17,45,0,8,755,131681
"Goryeong",0,275,364,0,2,1045,1281,629,966,7,258,13,0,936,1550274,3338,4121,29,0,0,0,17,146,8,192440,1291,721,1303,21,26,221,103,7,59191,228,1202,99,0,0,307,30210,869,1,0,142,421,2477,0,13363,168931,2,12,2,191,281,15709,1555,0,626,207,101,943,0,9,1023,106,20483,414,113,337,9,5,254,891,3995,929,0,29,3564,698,3822,575,324,885,2,23,32,1,3,0,67,2,156,5,0,203,528
"Gosung",0,855,2961,0,2,12453,1727,6316,4045,0,12,86,0,4676,11189,15428,600,241,0,33,0,101,403,325,5600,2055,24,16725,39,8,0,686,26,314,245160,23,391,1,0,1147,7317,23004,0,0,545,22696,17762,0,8777,420,27,73,9,1294,208,7174,291,4,398,2158,385,239766,0,1,3264,2,3069,709,300,2242,2,35,1481,30405,24532,24,1,67,31379,5219,293,14649,1963,2514261,0,17,187,0,241,0,289,0,15,1,0,726,3716
"Gumi",2811,23700,26028,80,3,98935,1039,549,127688,349955,42528,3642,19622,125266,5167473,284576,45,3041,419,598,783,2593,18161,2760,259,5052,361938,14424,860,4,31602,9,348,1373,20,184393,12811,5,466,34273,6683,295,140186,188461,5001,97,3117,1,132,119,1411,2499,414,16287,24291,314,1061,488,7234,23907,5394,461,36178,1,646,41484,150,13601,22295,47646,188657,2456,27569,301,74,374369,7,2467,372832,53091,42,201,52586,304,191488,2897,6485,108471,1694,132,11659,132927,67796,2,1346,32433,86403
"Gunpo",6446,555331,66640,13173,3395,7118,104,251,60492,2655,24208,3338,451,52070,42903,49022,308,41751,4625,11949,249,107839,58598,26334,633,3237,3989,1694,1848,2305,6720,224,12327,72,659,12175,807,10972,170,3598,14834,805,7135,1943,1199,483,2631,1129,1905,56,18253,5592,13133,63516,8322,880,1345,23743,3843,10745,8798,3327,2347,7373,2063,6595,495,5892,4691,62494,4951,24120,77999,1003,1332,25245,5409,24213,1473762,1566772,23,2222,833643,2236,12413,1413,68140,8505,14521,297,42800,3027,1541,1132,13937,122097,802589
"Gunsan",1,43187,11951,514190,156842,13,0,5,487,2,20,233,0,74,26,88,127,85526,13,88,0,5646,34,253,0,1,5,4,27152,172549,2,93,11,2,0,10,11201,43997,0,136,4139,170,1,2,0,13,10,50668,1,0,72,149,164112,205244,5,0,197,71,5,7,0,10,0,191357,2,3,2,5,2,8720,2,92,103993,8,1,5,175372,212565,550573,171787,17,690,16186,7,4,1,458,0,168,0,232,3,3,51324,9,557,19401
"Gunwi",37004,169,74,0,0,3546,0,0,289,72005,20,3014,1335,193,511736,772,0,10,4387,50,13645,171,28,477,0,12,232,702,4,0,15,0,1,0,0,334,182,0,857,333,0,0,3943,7872,8,0,1,0,0,0,863,1344,2,55,52,0,0,4725,19,62,11,1,1906,0,3,17,0,45,78,47,2735,537,29,0,0,56,0,4,3964,520,0,0,524,0,6206,16,5416,3887,301,2279,274,1979,86,0,19038,355,477
"Gwangjoo",13937,6821,306646,658,50,17614,415,487,5268,7578,86146,4017,1442,297068,115031,159838,624,1310,10617,23752,529,1838,328115,60360,1119,8260,8242,3133,1444,28,21119,340,686,201,942,34962,4882,189,341,282104,29385,3194,16603,5705,4356,1644,3554,17,4053,99,41753,2616,603,3262,16305,5956,3672,49905,11160,18136,66871,5808,6545,205,5147,18994,1655,9265,12066,6497,12236,49847,1707,3107,2916,63795,174,1135,6885645,8455,78,3189,15970,4983,25315,3368,206591,19427,29011,756,158295,6333,4200,27,22038,572269,69620
"Gwangju",23,26394,111658,1157,2984,135280,6347,49497,212021,130,271,8650,2,162049,310405,436250,796490,1371,115,3153,1,3508,11977,9011,38720,7994,2612,165846,437024,13098,107,1744091,40007,25806,7868,6394,15550,4876,5,24223,11502,416983,84,38,27006,45921,131564,30,23751,6784,3091,6454,646,41157,206808,72714,1585681,942,1014770,783591,14205,68756,11,143,13038,138,348831,187610,17462,96371,113,5146,44567,56258,13217,1529,354,1622,977143,89291,334415,1986382,67828,51105,104,335340,17093,41,5848,1,10641,45,4755,354,33,35803,152075
"Gwangyang",3,7563,5645,38,85,271616,16436,93410,13486,2,71,546,0,16858,221965,39264,28860,1339,1,111,0,254,2093,569,23257,6799,384,298282,7053,276,24,61953,796,998,23927,192,800,200,0,3468,386548,505143,2,1,388,274243,198875,5,7503,1058,207,443,50,3677,1828,2615,17421,10,15259,34458,3256,228027,0,5,13128,40,907,2580,1079,5453,8,413,3679,191556,18649,166,13,120,63115,11308,489,703890,3738,87717,3,1985,1264,1,340,0,1194,0,94,68,4,2855,8118
"Gyeongju",29458,18192,13387,29,0,1446804,1,11,80929,108902,14896,6511,21462,43403,2051971,120535,0,3317,10478,58,6403,866,8221,655,1,1712,26395,92496,451,1,11309,0,130,0,1,128195,5090,0,3152,15577,78,3,219304,269621,1531,0,5,0,11,0,2664,3662,118,13729,17508,49,43,10533,1961,11440,3275,0,97155,2,187,6506,8,6299,11604,20572,519,1956,20975,3,1,23201,2,1949,210656,39847,2,2,20673,2,1068255,1247,15024,836575,772,2487,5270,124049,13307,0,20726,13583,38966
"Gyeongsan",30719,6818,5711,5,0,83541,0,0,26630,253765,7570,2147,10336,14159,3961771,40335,0,852,2588,55,11382,323,4274,625,1,697,28260,6763,162,0,4009,1,38,1,0,196733,1908,1,8902,5594,93,3,290513,1654,1019,0,2,0,2,0,652,1171,24,4843,4752,15,15,2925,828,3789,1606,2,41752,1,60,2805,2,3767,4105,5149,18467,717,8178,0,2,20472,2,517,58166,12358,0,3,7474,1,198231,509,4135,55407,406,1682,1839,161169,6784,0,15124,4486,9630
"Gyeryong",123,1326,8483,2,0,3240,53,729,13931,793,26,1507,148,65721,19022,531557,462,211,25,793,24,146,3199,2103,296,19528,3178,3291,2369,0,9,260,224,126,412,5420,1042,2,7,4179,26126,422,2219,1025,820,283,7154,2,1279,79,596,1558,5,2231,45962,1046,4110,104,14401,38676,2926,5084,532,11,4954,42,359,45502,19171,3902,3114,415,2950,1849,963,971,1,120,77023,6738,22,1859,5220,1916,4734,8748,6053,2528,608,2,967,1307,4806,1,28,4646,12116
"Hadong",0,1767,3319,13,18,186717,13964,72944,5787,0,17,150,0,8747,85734,22888,3835,139,0,33,0,129,764,212,8132,3590,109,214815,613,35,3,5562,61,886,25959,71,511,19,0,1899,42427,246686,1,1,313,93870,257144,0,8369,648,127,112,12,1775,236,2833,1949,3,2284,40513,841,729507,0,1,3976,9,1040,367,329,2635,3,111,1650,333437,26936,60,2,61,39736,4563,173,100395,2563,76273,1,214,603,1,83,0,401,0,31,9,0,1021,4760
"Haman",3,5826,11119,17,53,577841,888272,678123,39240,9,1179,66,0,29342,2013263,125804,8490,1905,1,12,0,551,1675,55,29351,15501,1405,880676,758,120,757,12119,263,2268,20317,2105,2741,7,0,3179,141760,211508,2,1,6374,285857,5318381,2,67849,844,43,41,73,8379,2362,87310,7274,4,7354,439324,2721,1483202,1,9,22563,455,28326,4784,903,15313,7,48,12111,594501,121286,1966,0,1396,87163,20004,3453,149053,7666,61620,5,318,222,9,42,0,608,3,432,11,2,1938,15660
"Hampyeong",0,2744,916,8365,24185,3,1,0,27,0,1,25,0,13,17,22,6,2920,1,4,0,501,2,11,0,1,0,0,17864,59340,0,8,1,1,0,2,1142,49340,0,20,35,3,0,0,0,0,1,202,0,0,13,24,4994,16863,2,1,21,5,9,15,2,3,0,172216,1,0,1,7,0,587,1,12,5273,0,1,1,4522,5946,60760,11663,0,18,1509,0,0,2,42,0,7,0,31,0,0,18275,0,42,1391
"Hamyang",2,5082,8679,9,26,33798,1460,14931,14005,6,11,319,0,15312,79235,67807,3374,624,1,62,0,279,1389,282,124704,13215,38,40763,100,26,9,144,80,14388,10323,77,1916,2,0,4509,22467,7000,4,2,979,7898,58637,0,136806,5563,201,259,15,3118,852,83856,1200,14,1387,7619,1842,146125,1,2,23511,7,47271,1878,600,8818,3,173,5703,33288,67204,33,1,147,91592,8274,5491,2663,6496,23872,5,40,757,5,148,0,733,2,70,3,5,2321,13665
"Hapcheon",0,117,264,0,1,421,402,246,671,0,7,1,0,532,268955,3477,1007,6,0,0,0,10,37,0,56805,516,33,538,2,9,11,25,6,177298,366,66,61,0,0,135,6517,1014,0,0,62,499,935,0,5200,2739,1,0,3,104,52,2717,259,0,112,81,37,3133,0,2,469,8,5788,138,18,257,0,0,121,1423,3121,51,0,18,3337,347,839,551,275,2257,0,2,5,0,2,0,17,0,5,0,0,55,497
"Hoengsung",10037,18698,18158,504,17,2984,3,5,2513,3336,2949,397636,315,16274,25263,16870,43,957,9607,88813,1302,3331,10451,271079,25,655,441,399,159,4,1300,24,225,3,24,975,19359,103,1063,40163,3593,179,2928,647,438,79,24,11,144,2,127360,59344,389,4681,2036,513,321,67361,1760,2283,3034,241,944,133,283,545,97,1501,874,4764,1638,300563,659,118,132,1526,102,989,366245,58820,5,180,69741,204,6246,452,612296,3599,47984,1625,44216,721,142,6,12749,51842,82904
"Hongcheon",12372,8045,14928,701,46,3757,3,3,3533,5646,2845,1245084,330,22420,41660,27112,70,1121,10672,4288,1092,1012,8726,9015,17,832,740,547,236,22,1392,52,348,3,76,1753,5646,131,1592,2619,6166,347,3559,1059,2131,81,33,21,210,0,55546,820,509,2395,4939,721,672,57142,1858,4634,3836,1572,1308,206,458,718,148,2021,1185,4213,2137,7258,716,239,290,2451,180,1111,22152,15413,6,460,27614,549,6500,694,247461,3862,1664,2631,19595,1254,289,21,13922,16719,44848
"Hongsung",98,23317,33587,180744,31193,246,1,8,2492,54,251,659,11,3062,1695,1676,10,66511,72,340,3,11449,198,963,8,50,227,59,9941,16366,46,9,66,7,10,576,13498,149638,3,343,496,24,211,64,6,13,77,4592,24,0,390,462,1309,219799,4,7,13,401,1,11,6,69,58,23422,56,32,6,18,117,12969,214,497,85130,12,12,97,59416,106172,596474,114898,2,136,27133,82,415,0,1817,224,500,2,919,57,88,6207,174,1941,30858
"Hwaseong",1999,374202,268156,238471,60842,12551,281,1055,276561,4157,7686,2272,681,137304,57162,163275,879,1088209,1461,4179,115,23810,15568,7814,1308,10209,12010,3431,24991,40373,1680,631,47634,198,1920,18632,37995,209572,68,2390,41910,3001,15605,4041,2426,1762,8830,17791,3901,125,5003,2926,216872,877307,23024,2941,3741,7801,10607,29581,2999,7310,3851,107182,5481,1608,1337,21055,13382,15476,6113,5736,1324733,4793,4279,5971,84146,497231,4168623,1548091,60,6057,180187,6732,23225,3868,21730,12677,4584,125,13537,5100,5695,23183,3135,36285,180636
"Iksan",440,14746,70546,9,5,3692,95,647,124860,4699,166,4345,284,159386,43818,667804,3256,528,118,1604,106,2037,14530,4566,181,6832,11943,2272,51099,11,53,1476,36399,224,251,25814,8909,3,56,17477,198685,1806,20762,5561,48660,253,2203,2,748,42,2483,4695,14,22991,26791,1749,27688,730,140850,60289,16266,1295,931,48,10403,168,146,128704,17914,56184,8713,2992,25400,606,632,2837,0,154,553626,49610,121,9682,39258,1450,20088,56164,11866,1931,2929,5,5815,6013,8843,8,215,22399,88226
"Jangsu",5,1806,8105,2,0,108642,2708,30888,8647,15,26,690,2,31512,66416,93096,8635,72,2,177,2,258,3177,640,12492,29538,194,83204,91,17,11,261,81,15735,9362,249,959,0,0,6418,70256,2780,39,7,948,2511,84886,0,85167,3102,494,773,9,2273,2015,2313,1902,43,516,6986,3176,54490,1,11,104202,13,204378,505,1766,5820,45,695,2429,24434,57890,75,0,46,79181,5663,12221,1453,4760,43250,48,126,1808,8,463,0,1090,9,234,9,2,4204,7990
"Jangsung",9,2496,12383,84,248,5780,413,2292,19979,82,18,841,2,19016,14407,48148,18135,131,10,455,1,326,1948,680,1542,748,502,7070,62037,1230,10,36110,4613,1531,308,1056,1477,340,3,3159,1394605,16364,44,37,4326,1701,5533,17,1259,253,357,974,51,3890,27272,2489,68928,104,164209,76057,1612,3172,0,192,290,14,11568,24659,2440,9101,58,440,4155,2412,707,245,38,120,96179,8381,6709,66996,6345,1811,18,30969,1829,2,465,0,907,42,718,110,4,3473,14309
"Jecheon",84517,28648,3315,419,10,8999,0,1,1470,19839,221,126693,631,2100,104054,4140,12,1300,163591,9221,5434,3196,1966,30573,0,119,96,1650,44,9,89,9,102,0,0,146,22405,76,5327,46257,904,10,11213,2929,81,2,4,3,8,0,64103,60240,444,6357,645,26,74,96052,394,935,610,12,2963,81,73,23,6,383,137,5123,6011,15272,728,5,5,47,90,1014,536668,87442,1,21,76549,18,18267,116,884029,9683,13086,13043,41865,3079,40,6,259665,39563,71975
"Jeongeup",129,6266,33726,6,8,8041,467,3065,53274,1083,87,2646,51,79137,12991,240014,15221,221,55,1398,47,873,7910,2511,651,4846,5795,9050,444248,51,26,14669,16234,809,595,7497,3816,6,20,10168,1001255,15421,1303,710,14458,2723,7989,18,805,185,1462,2190,5,9743,147763,645,157531,343,94867,464182,7233,4091,67,82,2014,84,7237,81465,14063,23952,2016,1816,10689,3453,861,1452,1,64,262926,21258,2079,76836,16746,3805,1709,499906,6595,52,1545,4,3434,914,4440,37,71,11971,37682
"Jeongju",529,19522,84930,13,17,93214,18195,79682,160650,6516,202,6161,320,180006,79027,783739,11755,914,159,2234,114,2620,14850,7665,5711,8017,11954,139766,88736,49,90,7518,40500,329,1829,27124,11515,13,69,18247,804789,29212,13140,5863,39763,28853,416024,6,6723,130,2561,5066,25,29941,88514,5352,76239,954,470524,4717,14175,71218,617,54,5345,210,2142,141323,17521,72118,10942,3817,32783,39270,17871,4022,0,232,729867,65938,614,57923,50733,8676,21765,39796,15114,1893,3676,4,6999,8429,9723,16,151,30078,113777
"Jincheon",107,15055,66084,18,0,3746,77,368,49,1655,320,4059,191,478028,21481,194919,388,52,192,2725,16,2149,59508,5797,370,7630,4510,1220,804,0,69,208,19,102,476,5127,9142,2,15,64479,18799,1584,3962,1530,2755,594,2361,2,1406,58,3414,3294,13,2907,14960,3402,2104,987,8416,13708,594,3181,1202,6,1632,43,404,8244,12960,803,1606,3643,127,1475,2737,279,3,38,323366,36054,21,1003,32407,2093,6171,2133,17220,4363,2944,9,10810,2031,3561,3,307,48651,32259
"Jinju",0,4380,12459,10,18,428400,68039,269471,25439,1,78,639,0,31194,222434,106498,6126,968,3,99,0,417,2108,603,86062,16769,112,584471,258,57,40,6882,208,1224,268182,278,3193,1,0,5739,68569,248456,4,2,5021,750437,1465265,0,149247,2857,326,1523,55,5500,1317,48644,3008,19,3202,110022,2417,369414,0,2,24522,28,25178,3274,1794,16315,9,442,5731,2224228,240771,207,1,677,159008,15927,3026,114966,10885,650886,3,137,1439,2,407,0,1378,0,107,4,1,4242,20251
"Milyang",33,16,22,0,0,383746,0,4,54,83,13,11,209292,43,1081078,92,0,0,10,0,9,0,7,3,0,0,34,162422,0,0,9,0,0,0,0,112,6,0,2,18,0,0,94658,1040,0,0,0,0,0,0,0,6,0,10,0,0,0,10,0,0,3,0,900012,0,0,5,0,1,7,22,24,0,12,0,0,21,0,0,340,61,0,0,23,0,288222,0,8,633762,4,1,5,5400,16,0,25,15,47
"Muan",1,16831,9122,40134,70925,18,0,1,424,7,17,305,0,145,78,150,90,22447,10,119,0,3475,45,312,4,2,7,8,77049,366377,2,28,14,6,2,13,8806,196925,0,139,148,5,2,1,12,3,8,180741,3,3,140,173,29754,110445,20,7,140,85,61,79,14,3,0,3126797,10,1,23,30,5,5142,2,163,34239,7,5,3,23604,33380,390768,82207,23,28,12061,8,3,58,555,0,186,0,324,1,2,92518,6,624,13740
"Muju",14,3483,11076,9,2,16974,403,4441,22896,52,30,562,2,40647,9423,483802,1667,370,7,148,4,427,1618,479,1680,91030,360,16429,398,5,9,103,153,1171,3381,946,2181,0,1,6072,16648,12178,147,51,3910,4314,18522,0,21393,510,332,408,44,4783,9780,102078,355,75,2013,5598,1778,25087,16,9,32557,18,6770,6214,2237,9916,255,571,5182,10665,13568,114,1,355,119671,12964,1152,3887,9862,18735,199,795,1380,34,272,1,882,59,225,4,9,3291,16990
"Munkyeong",13,8318,457,24,1,7757,146,152,143,5319,36903,1020,594,234,85060,1683,1,107,10,251,18,956,19766,901,8,42,5078,1481,5,0,65837,0,4,84,3,40382,8841,1,11,21102,138,24,8219,3060,32,9,648,0,9,5,598,797,28,1605,161,16,13,54,87,188,24,29,2426,4,9,144,14,84,117,1035,6283,679,120,24,6,72335,0,108,177645,22355,1,7,23305,13,11308,29,2372,8476,622,3,6152,3998,422,1,10,17842,21818
"Namwon",0,881,3319,2,40,27940,1249,10713,4245,0,12,279,1,6503,145096,23240,54287,43,0,43,0,133,822,180,39811,3814,51,35361,147,353,14,808,41,22373,4168,101,588,5,1,2024,346703,985,1,0,289,1172,24855,1,46496,7236,104,169,6,1114,96,208539,11575,10,6634,3081,517,27476,0,27,6201,6,263632,213,437,2363,2,123,1195,11854,27098,56,2,21,32714,3550,101338,1033,3239,14882,4,57,500,2,126,0,344,0,72,48,1,1318,4375
"Nonsan",212,11545,50258,6,0,4728,92,1132,97190,2843,65,2392,308,83804,33582,737026,3793,445,50,826,57,1582,6488,2169,432,15621,9405,2238,15976,3,19,2538,78900,312,553,13222,6911,1,33,7166,229046,1993,5845,4461,40904,250,3823,6,1141,83,1130,1915,11,18020,140081,506,24911,275,81452,161451,7969,2876,1153,26,5640,60,222,34310,18869,43194,4699,1115,19792,1434,1237,1726,0,126,404342,39028,372,20578,30393,1935,9301,28337,5756,3671,1112,2,2805,3236,10189,8,63,9605,67038
"Okchun",204,8202,30979,32,0,7604,204,310,74366,5525,86,1450,528,362157,60224,1424123,294,1481,35,673,80,1087,7990,2579,622,8338,30373,1426,2119,0,172,107,330,77,784,22588,4865,3,60,12866,19696,1922,13411,4064,19750,893,1113,0,1675,59,667,1302,229,12577,18935,3013,2533,164,11785,18409,13965,3840,3654,8,10403,128,1307,21800,77715,26007,7545,804,16669,2243,1537,1889,1,1183,190048,27484,65,978,16250,6142,13803,4099,4018,8285,688,5,2585,5659,71985,2,78,10791,23885
"Osan",1795,117048,744627,17757,2001,19567,262,1254,780733,7976,5157,3817,1013,268167,97340,287443,1755,56153,1364,4086,95,35826,7192,11399,1981,15609,20497,5144,3940,1454,940,1295,93706,282,2267,48661,65420,9793,52,4404,86832,4091,20908,5363,3668,2136,13622,802,8873,218,5733,4087,14336,16926,49520,5793,7938,5905,22901,63082,703,16212,4821,6508,9325,1017,2089,37067,24424,2822,8687,6562,149482,5145,5671,4027,5521,29707,3436597,323741,114,12547,349015,8954,33553,8343,25310,18653,5799,112,13062,6457,10301,1046,2475,34928,885073
"Pohang",11091,10344,8310,24,0,2371,1,0,34016,126628,14312,5956,11370,28438,2597390,106068,3,4624,6665,14,4817,900,7085,205,0,1911,33621,1459,506,0,9338,1,156,2,1,186714,3696,0,2894,12085,133,5,817,16822,2570,8,3,0,9,1,1909,2555,172,7581,8004,52,66,6134,1804,10104,2173,9,20889,0,204,5729,3,5689,7473,9642,237633,2143,6429,1,4,27298,4,1312,180721,26156,0,6,17393,3,1716,1260,7829,2856,212,1910,4735,292718,13038,1,10757,10136,23037
"Pyeongchang",5574,18153,16809,522,43,2621,3,2,4342,4896,3061,21273,176,18640,33173,24156,63,1099,3858,146500,532,6330,9431,1037358,9,448,532,394,155,19,1375,14,204,5,22,1373,23292,71,740,45407,4866,320,1962,631,397,76,27,8,141,1,321463,10011,464,4830,2571,613,321,16447,1445,3297,3207,318,949,140,448,628,101,1031,732,4600,1392,845077,861,118,177,1595,99,1290,563039,67836,3,243,81885,238,4662,698,471689,3000,166817,1201,54025,524,178,11,6301,52274,93977
"Pyeongtaek",311,337636,529721,98897,26549,19934,406,1400,402453,10279,601,1167,1025,191271,90809,204494,902,760940,227,1094,47,37790,807,2342,1405,13214,19579,5824,9903,13172,150,643,70673,305,1972,33976,69970,118074,36,1148,43805,3171,23365,10559,3606,1651,13743,5819,5910,136,955,927,77929,1243349,24254,3302,3899,957,11169,31435,104,8155,5531,33989,5960,165,1344,23081,19981,116343,7230,1350,662114,4734,5437,1087,40623,248308,2932099,1033801,58,6467,124483,6149,35155,4069,4349,21753,1557,26,2065,9567,9010,6742,450,5608,309904
