"","Andong","Ansan","Anseong","Boryeong","Buan","Busan","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangneung","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jincheon","Jinju","Milyang","Muan","Muju","Munkyeong","Namwon","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yicheon","Yongin"
"Tongyeong",0,3744,11550,12,50,78943,8990,32041,23210,4,52,656,0,29577,92278,104537,4196,745,3,252,0,392,1508,874,22853,13013,108,96106,286,52,29,5535,120,1933,2734264,278,2001,5,0,5534,50292,90453,3,1,1364,78412,51527,1,24966,3057,185,507,42,5358,1413,42182,1906,20,3466,9565,1922,669145,1,7,19864,19,14437,2058,1414,9725,3,295,5037,122376,75762,111,2,548,148790,19601,1824,74747,9623,2084,2,176,1327,0,567,0,1022,3,160,8,1,3599,19452
"Ulsan",38400,24320,21863,50,2,3003343,0,30,92740,110319,26556,9349,48272,66577,1719693,156676,2,5771,30463,153,9886,1339,13834,1478,1,3139,29180,287855,848,1,18346,0,286,0,0,169513,8466,2,4641,21546,26,3,1086614,190656,3432,1,1,0,17,1,4151,6635,263,20252,23613,82,14,15654,1632,25472,6275,6,296439,2,278,7609,12,10146,10991,34480,1161,4454,27229,2,5,27394,6,3967,292132,53129,3,2,36669,3,2465488,2008,17077,2777747,1600,3580,6797,217305,19821,0,39872,20832,47097
"Wanju",77,2222,10850,1,2,469,16,106,18947,583,44,877,44,27996,6538,121616,3310,79,31,466,26,300,2286,851,30,1654,2684,410,28550,31,12,1386,6410,23,37,3162,1337,1,19,3655,318793,1289,1519,691,9051,183,371,8,78,7,458,764,3,3449,62682,134,30182,136,490074,45521,1980,172,92,78,919,23,70,26642,4021,8525,1403,762,3809,109,47,703,0,24,89044,7471,87,7201,5904,183,1840,628,1869,130,545,1,1196,722,1754,18,15,4092,13567
"Wonju",54848,74577,72751,2150,114,10926,15,22,11931,17936,11196,636597,1110,79479,113964,84164,235,4973,93369,124534,12576,10416,52077,430093,141,2226,1970,1916,547,72,4403,106,988,15,133,4782,67157,369,6079,180781,15737,2080,15222,3925,5085,314,158,59,625,4,570050,247048,2134,19715,10490,1777,1431,878838,5785,13392,17138,1138,3695,567,1374,2141,502,6182,3503,22419,7324,422061,3838,588,526,7150,452,4505,1548881,210441,43,1056,245154,1146,19769,1808,890672,12090,120599,10602,154032,3528,839,51,103266,208385,357345
"Yangsan",3436,3115,3720,6,0,5384731,0,47,14455,17614,4900,667,93457,10976,1471160,21412,0,255,1346,31,929,410,2086,206,0,281,3318,676244,5,1,3953,0,21,0,2,18964,1688,2,511,3810,5,1,814403,36684,251,2,5,0,0,0,254,457,16,2855,584,2,0,1111,22,391,986,1,589097,0,5,1464,0,1775,1553,5053,379,211,4779,0,1,3512,2,149,36690,7519,0,0,5132,0,2799224,22,2339,2535354,156,283,833,67371,2326,0,2634,3312,7249
"Yangyang",3029,13120,11566,633,39,1438,1,3,3545,2631,2873,6945,138,16045,20153,17905,61,822,2710,240628,364,1794,6736,149181,6,431,448,271,135,18,1201,21,237,6,53,908,11864,123,385,22952,4958,296,752,362,560,66,19,15,120,1,60393,3149,404,3307,2241,362,368,12175,1199,2877,2255,286,552,171,272,542,112,993,655,3841,136,202969,803,138,166,1182,91,1096,235780,49412,8,250,50201,443,1717,449,145540,1550,331,1052,29424,272,170,12,4221,26049,53940
"Yechun",29831,348,47,1,0,1970,0,0,19,11288,1,3841,297,13,58590,63,0,7,18103,271,2653,122,29,1734,0,4,15,356,0,0,0,0,0,0,0,38,249,2,3005,565,1,0,2375,1446,0,2,0,0,0,0,1328,2328,5,91,7,0,0,12953,4,5,4,0,640,1,1,0,0,5,7,56,1437,1023,4,0,0,1,0,15,6453,1041,0,1,921,0,4055,2,9479,1905,975,564,449,985,6,0,34942,438,751
"Yeoju",5322,47140,38603,1165,62,5689,142,119,5633,2752,44131,17209,492,50476,42857,45872,153,2208,3866,10649,258,8231,50572,32259,137,1783,2836,1067,421,48,10073,69,577,62,207,12808,46781,240,197,160844,10814,1217,5880,1744,1177,346,634,24,559,29,27023,11016,942,13851,6272,1214,838,21619,3783,7310,12433,1405,2248,321,838,6505,370,3117,2504,12705,4686,23609,2079,591,610,19648,216,2171,1220859,127459,27,1026,212271,1037,9020,1132,111330,6587,13250,408,1105,2358,787,44,6950,185320,272290
"Yeongchun",11165,16763,6789,21,1,142255,0,1,40480,163297,12997,2526,16676,25299,3143366,62631,1,2980,3374,32,3237,754,5913,436,1,1097,23655,8788,320,0,6721,0,79,0,0,146223,2757,2,2126,7018,84,1,103852,141816,1310,0,3,0,5,0,996,1596,60,12236,7663,27,59,3522,1579,9075,3220,0,35261,2,69,3526,1,4156,5708,9089,245728,753,12232,2,1,16029,1,891,92869,31914,0,3,9651,3,200557,783,4954,72881,330,1279,3777,79542,8840,1,8643,6395,13239
"Yeongdong",300,4080,11245,14,3,12280,146,94,30820,12062,879,354,944,80440,116539,440326,43,748,25,123,108,446,2567,316,23,3459,72323,2117,594,1,575,14,147,155,38,66935,1467,0,87,4259,5637,162,17510,6533,4754,67,617,1,101,4,193,279,52,4834,8504,312,622,53,4248,9045,3343,216,3604,3,270,437,95,10278,66491,10897,11705,221,9593,129,89,3244,2,478,77676,11988,19,140,7762,307,24508,1526,839,12044,189,8,574,8820,39039,0,109,2705,13313
"Yeonggwang",0,3313,1394,10433,30965,36,0,11,52,0,2,37,0,18,70,37,103,4323,1,14,0,633,8,27,3,2,1,23,23257,87507,0,56,4,1,2,3,1310,52783,0,12,300,58,0,0,2,11,9,19149,9,0,10,22,7044,23513,9,5,74,6,23,21,3,11,0,73228,0,0,46,5,2,838,0,7,6973,11,1,3,5172,8055,78008,15396,23,156,1983,11,0,12,49,0,10,0,48,1,1,172,0,98,2281
"Yeongju",193857,13763,1455,136,0,19074,0,1,526,118329,40,24474,2492,475,498026,1099,2,460,248579,944,24211,1733,647,9016,0,32,212,3089,14,0,23,0,23,0,0,418,13680,12,23909,20318,18,0,21933,13915,22,0,3,2,1,0,14070,15431,161,2741,135,4,5,276043,38,148,192,1,6556,4,7,7,0,74,43,1991,10065,6491,370,0,1,13,13,373,247060,35242,0,1,39183,0,46954,37,119767,20281,4344,30814,12943,7567,59,0,23421,15691,29357
"Yicheon",8669,125488,175256,2526,119,14529,334,258,17845,7092,66670,23066,1037,312190,85260,157570,623,4710,6307,20517,362,32711,215139,63957,643,5860,5197,2278,1417,68,14495,316,1564,95,628,27299,120245,597,244,550272,34589,2730,13256,5398,5243,880,1859,50,2378,34,43303,15178,2315,35584,22915,5135,3501,38827,13647,32272,48050,4793,4502,669,3137,13026,1224,11993,12018,34771,8488,43806,5826,2149,1939,48143,700,4582,3778935,319577,56,3114,474548,3445,21917,3971,192357,17336,26833,424,145296,4682,2742,82,13930,179608,607136
"Yongin",24988,862226,1065644,37156,5208,43463,515,2136,1161353,12192,100325,48630,2498,460690,221959,528582,2940,99347,19210,51932,925,241184,257020,130295,3565,21972,30099,8145,7006,3704,24131,2150,123253,429,3642,94972,899721,22223,592,60546,145848,7669,38043,11066,11470,4519,15258,1969,12782,428,91382,49885,36342,204209,83037,8165,13265,84216,38586,105591,31616,19977,10987,17207,16230,22268,4072,59057,24874,1021804,24395,114680,371837,9714,8956,77746,11643,71656,17326103,1972383,193,21284,3429654,19493,59444,14108,397343,40485,74763,1158,289539,10462,12785,2808,34897,641282,3319368
