"","Anseong","Busan","Cheonan","Chilgok","Chungju","Daegu","Daejeon","Gimcheon","Gumi","Gyeongju","Gyeongsan","Hoengsung","Jeongju","Nonsan","Okchun","Osan","Seoul","Sungnam","Suwon","Ulsan","Wonju","Yangsan","Yeoju","Yeongchun","Yeongdong","Yicheon","Yongin"
"Anseong",0,2748,15942,134,8174,3719,8248,852,305,1254,73,534,5478,357,1376,25378,166468,10363,21027,263,2169,29,419,240,223,1066,1962
"Busan",3312,0,12237,7400,13643,231397,41188,5476,24754,297864,14330,1705,14801,2026,3039,11301,248209,7168,31232,283460,1712,253415,242,18996,2552,2463,2109
"Cheonan",16230,18118,0,139,38048,12705,101681,3966,1418,2660,393,2304,13040,1353,3062,59271,487868,20097,36952,678,6372,301,809,489,494,1467,4606
"Chilgok",133,8235,139,0,234,434224,657,920,4109,3754,2478,30,185,54,191,155,3557,67,287,542,25,58,4,1926,127,9,21
"Chungju",8417,14170,41149,207,0,15256,165943,3741,5193,4266,203,500,19065,2386,11051,23221,208479,9872,20613,1085,320,71,226,356,1450,485,1749
"Daegu",3234,231463,11070,406278,13690,27383,72243,27117,355994,255226,65712,1310,17333,3678,5904,9649,239612,4804,23342,45133,1362,2829,281,41200,6732,2925,1744
"Daejeon",9027,39052,106897,694,170091,72137,44547,14274,5486,13006,742,1962,161394,180832,36676,21215,234024,7422,24747,5692,1860,599,363,759,7904,1136,1875
"Gimcheon",984,4849,3486,848,4225,21986,11956,2925,17721,1648,160,320,2537,794,3899,2888,45496,1623,4920,712,351,32,144,254,3753,423,404
"Gumi",317,24961,1194,4514,3272,333615,5776,21369,0,7758,2155,118,2670,427,1498,1442,25384,537,4052,2980,103,935,77,962,1854,181,202
"Gyeongju",1793,297981,3564,3371,4973,222658,14045,2019,6947,0,8237,460,5195,1029,1656,4849,109657,2062,12382,18719,573,2612,141,3386,850,652,591
"Gyeongsan",76,15685,344,2022,224,59498,834,248,1909,9897,0,31,834,191,162,171,3781,164,428,1927,32,250,4,5498,177,24,47
"Hoengsung",545,1378,2451,15,494,1454,1796,203,71,320,25,0,1496,116,124,1004,135426,3232,11191,52,86018,34,2679,23,20,3356,3989
"Jeongju",5287,17911,12933,275,17256,20807,152160,2767,1691,3687,398,1720,0,37615,5527,16867,373319,8573,20838,1532,2088,276,644,425,523,1562,2329
"Nonsan",355,2839,1191,59,2235,4366,177925,826,421,1116,136,128,38585,0,2112,1125,29811,969,2505,225,123,16,52,84,187,36,277
"Okchun",1354,3902,3115,260,11443,6819,33086,5466,1729,1696,190,130,5770,2182,39826,1416,13709,924,2707,492,53,29,20,139,12586,228,253
"Osan",30171,26371,86958,273,33560,26878,39168,5282,3280,8340,362,1184,43197,2376,2949,0,262529,15757,20823,1516,2371,535,750,233,646,3439,6427
"Seoul",170028,228920,458739,2101,203063,197302,230139,38608,24732,79164,2119,127495,339898,27774,12054,243724,0,187920,434578,27062,174787,1524,64804,2837,5471,143609,319585
"Sungnam",11933,12814,22950,112,10523,8938,9026,2265,1113,4253,150,4002,11817,1176,925,16321,175354,0,72737,746,12603,131,6227,147,251,13508,24176
"Suwon",20508,32060,34368,266,22539,30371,25688,5142,5478,9415,424,12262,30480,3289,2563,22377,396925,73869,0,4209,30699,479,11366,351,612,31017,126836
"Ulsan",273,291706,1054,532,1371,45585,6992,662,3679,18268,1834,101,1959,224,428,933,36514,755,5164,65071,89,24005,38,2202,256,88,183
"Wonju",2374,1200,7304,10,250,1167,1195,161,45,961,7,97005,2000,84,36,2085,188129,12578,28493,43,100622,81,35195,28,21,15918,8399
"Yangsan",27,243969,359,56,75,2953,621,26,1498,3291,238,58,294,16,21,241,1809,48,636,26493,94,0,1,367,8,28,16
"Yeoju",397,533,960,0,222,303,458,88,71,104,6,2015,496,36,17,726,66657,5420,12307,18,36352,0,0,3,9,28232,11047
"Yeongchun",113,19042,454,1322,418,38810,619,294,768,4831,4454,26,635,121,113,92,3294,288,207,2002,34,298,7,0,168,9,80
"Yeongdong",175,3987,368,220,1281,6404,7344,4255,1793,720,169,13,555,152,11980,260,3719,138,441,240,16,9,2,214,5089,9,21
"Yicheon",947,3559,1591,12,500,3696,1236,260,54,821,23,3188,2477,38,230,3617,146666,11599,31996,56,15875,43,31718,21,8,5980,34521
"Yongin",1761,1950,5489,35,1849,1694,2052,332,196,1255,45,4059,2120,279,220,5694,313735,23503,115218,188,9809,10,11368,112,31,41811,57761
