"","Anseong","Busan","Cheonan","Chilgok","Chungju","Daegu","Daejeon","Eumsung","Gimcheon","Gimje","Gumi","Gwangjoo","Gwangju","Gyeongju","Gyeongsan","Hoengsung","Iksan","Jangsung","Jeongeup","Jeongju","Jincheon","Nonsan","Okchun","Osan","Seoul","Suwon","Ulsan","Wonju","Yangsan","Yeoju","Yeongchun","Yeongdong","Yicheon","Yongin"
"Anseong",40,24798,129094,1762,128024,57849,127745,23240,18678,2426,8485,88513,32912,26012,2918,24507,23847,1596,8184,21405,10596,8614,9606,167716,1663010,222830,7357,32955,6237,11144,1023,4113,59947,30451
"Busan",20963,0,39739,21410,54838,554447,106833,3457,42496,63,105127,12685,0,1080176,75103,253,4848,0,310,6440,2387,5072,12502,90858,410508,61951,1384584,3304,1792219,2459,162410,16786,12090,5223
"Cheonan",118995,50933,54099,2629,292556,101713,632405,120,34469,5235,18290,2718,49940,29431,5662,8191,31659,3120,14028,35871,15,12183,25833,471441,2361598,304584,19334,9147,9601,3828,1920,8931,14009,48567
"Chilgok",1623,26006,2163,0,2422,1107619,8676,199,6700,38,71366,1230,13,31304,25071,92,533,6,83,221,246,368,1988,4818,20705,3093,14889,375,7167,184,5762,2848,422,422
"Chungju",127449,55227,291291,2402,148082,129022,1060401,134202,33534,6302,24732,112545,75472,23255,4886,22819,78960,3879,18213,62766,110658,35177,101034,290934,1523556,202071,20594,33843,7797,12857,1877,23293,52042,36884
"Daegu",51937,627749,91588,1130137,119547,1977672,367985,7436,256529,560,2274093,43462,60,1594032,644089,2558,16178,12,1356,4986,6787,18171,55944,220469,1015111,147365,530619,15482,119732,11108,248688,80602,22678,15981
"Daejeon",125819,122373,641436,7879,1100091,348387,643696,36755,112845,27209,68113,70780,208645,68229,13646,31989,402211,13012,75413,293908,47177,439683,374444,297470,1657907,206769,52379,36116,15263,13602,4869,97429,38232,31701
"Eumsung",22296,4011,0,155,129768,8114,38115,0,1959,502,1681,75521,6504,1759,472,2896,4832,526,1983,4914,23780,2421,1911,1999,850743,85231,1483,4216,600,4665,116,732,18880,14849
"Gimcheon",12018,42105,24156,6742,29340,219635,110430,1502,19946,723,97761,10827,775,21478,6616,1116,6230,116,1471,3001,1395,7322,29796,49292,277367,48333,12451,2251,6608,1710,2668,45313,6309,3669
"Gimje",2049,276,4695,41,6705,1060,29734,727,707,9986,780,2439,224197,396,34,596,18490,24236,358730,41848,272,8644,829,10332,65630,7969,210,658,48,307,28,123,725,917
"Gumi",6969,120686,17423,86530,24477,2035502,62408,1403,87551,659,2121,5604,1134,81422,42290,787,7317,55,1660,4304,1430,3140,13152,47385,146221,33670,61327,1804,15145,882,11087,26289,3609,3733
"Gwangjoo",116080,21215,5526,1097,132162,60594,89313,98449,14005,3010,6591,121112,45813,8521,1554,59121,22897,2391,11076,29690,36638,9423,6116,4836,3149237,20348,6296,113791,3418,31598,930,3967,111884,14948
"Gwangju",29338,0,39128,0,70828,0,214883,4707,166,209623,680,25245,0,22,6,8430,71729,1183641,396656,381692,4115,71304,3684,136013,918178,99393,0,8973,0,5826,0,356,11395,8935
"Gyeongju",23295,1010468,28995,28791,25946,1422787,76685,1099,22659,249,81138,7557,397,0,120812,123,8292,11,738,3142,1454,3377,8886,96976,267346,41510,329633,2154,470645,978,62135,10992,4851,6663
"Gyeongsan",2746,85997,4268,25300,4913,640141,12103,363,7134,86,43030,1190,18,155062,0,56,1182,2,94,373,229,1200,2324,10034,35862,6519,67148,613,29639,498,41212,2347,757,574
"Hoengsung",21697,1339,7659,79,21436,3542,31794,1974,1017,404,673,45930,8627,187,41,0,5309,211,1377,5510,2758,2018,588,11010,771377,115767,244,557320,133,32849,17,480,43598,24035
"Iksan",18679,5747,27942,581,76343,20085,384224,4130,6473,20486,8083,19197,80268,7007,1244,5614,2098,10343,50299,13772,3268,43480,7240,96163,496072,54576,7959,8889,546,3204,486,1585,13295,7622
"Jangsung",1727,0,2796,0,4373,0,15521,530,0,23651,0,1857,1140833,0,0,195,10523,35771,64804,29679,221,6078,370,8425,51931,6645,0,287,0,315,0,0,669,613
"Jeongeup",7052,517,11575,90,17801,2798,77760,1338,1704,343430,1785,8557,382170,974,234,1975,48700,61844,25573,220177,952,30709,2154,34159,273761,25761,822,1951,58,1057,105,567,2540,2245
"Jeongju",17276,4254,31975,186,63625,5393,285674,3978,2933,41589,5565,19070,369912,2307,416,4249,15828,25488,206902,0,3051,73882,3933,91484,562589,60502,3689,6308,360,3266,134,1008,7358,6932
"Jincheon",10083,3439,0,243,108644,7494,42968,21591,1561,247,1375,28393,4600,1945,340,2944,3362,241,924,3039,0,1529,2649,364,223369,19681,2032,5119,1363,2655,115,760,12269,4184
