"","Andong","Ansan","Anseong","Boryeong","Buan","Busan","Changnyeong","Changwon","Cheonan","Chilgok","Chuncheon","Chungju","Daegu","Daejeon","Damyang","Dangjin","Danyang","Euisung","Euiwang","Eumsung","Gangneung","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Gokseong","Goryeong","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jincheon","Jinju","Muan","Muju","Namwon","Nonsan","Okchun","Osan","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Suwon","Ulsan","Wanju","Wonju","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yicheon","Yongin"
"Gwangjoo",16419,8950,356897,699,86,21618,105,1599,7028,4612,1825,283316,53825,156091,13,1602,12882,1192,2199,170307,62965,764,7369,20140,5128,2615,78,3,96,13104,3374,279,1371,127587,45500,1551,8104,4208,2664,1615,7076,22,2934,119,34400,1473,549,3247,28273,3961,5030,78700,13626,25686,64446,5111,322,4365,1700,11745,10386,8489,35838,671,4510,2332,316,184,1303,5287728,10869,44,1300,15650,9774,3793,183501,6149,40639,3116,96031,3850,5082,37,19669,296457,52631
"Gwangju",20,20371,62411,3,1,145581,10457,55403,68611,92,6378,151790,294205,487695,993746,17,179,5,2620,13634,10835,49994,7176,2352,178430,438538,1,1948422,27523,5415,13965,0,3,41007,13066,485340,110,35,23909,49567,152633,1,24896,9916,2753,4044,1,1902,252780,63052,1639529,1583,1162791,750998,14396,79795,3,11603,379088,259670,14552,72304,4026,33,91748,10192,328,0,8,919623,61866,317129,2471365,39195,45,248076,18504,16,6774,2,8887,42,4350,0,20,31785,124932
"Gwangyang",0,4169,4011,0,1,231182,15930,74363,5475,2,173,9213,169326,25611,17256,5,7,0,259,870,405,18111,5009,74,241307,3,0,74086,956,15,641,1,0,2003,431510,883462,0,0,271,271724,161650,0,5214,945,114,170,0,205,68,2243,1,34,1,23084,875,216932,0,9204,1366,176,705,3574,189,4,227533,16752,4,0,2,42949,6121,204,913431,2360,2,1,716,0,260,1,457,1,100,0,0,1182,5906
"Gyeongju",29405,19567,27550,383,185,1359196,0,0,75672,119340,7114,52207,2214407,140068,82,307,10960,7479,1527,4026,2202,341,2163,33551,3,663,155,0,3,147344,5995,591,3735,7871,269,5,293269,481467,1372,1,57,90,526,86,3034,4133,233,2886,18408,248,48,10781,1384,6632,5286,284,708,540,396,6297,16663,31028,1810,593,2,224,31739,206,289,219399,52690,65,2,18362,1208774,1368,18320,928566,1567,3393,1961,282296,17707,90,22321,10316,47656
"Gyeongsan",25997,5415,9786,26,12,149239,1,0,17930,191101,2529,15687,3726561,44846,5,30,2962,9492,346,1600,1162,24,752,26679,0,193,10,0,0,144377,2084,40,7367,3725,88,0,481415,1922,1240,0,6,6,39,5,843,1264,15,734,3507,37,20,3401,554,1998,2305,21,48,108,30,3542,5762,11285,475,58,1,16,20430,14,30,62902,12273,5,1,6519,248653,367,5241,82277,723,1676,723,240884,7139,6,14670,2042,10188
"Gyeryong",83,1249,6267,0,0,3371,129,1130,8810,856,854,43535,12527,379968,2,1,21,23,229,1606,2245,501,15270,3773,5151,1627,0,5,100,4315,1458,0,4,2584,21408,240,1526,1145,773,387,7256,0,1288,101,251,797,0,173,32240,689,3022,152,8320,20379,1975,5089,0,4427,327,22974,14008,4113,313,12,2565,777,277,0,0,63818,6768,8,204,2883,3874,6215,4449,319,677,4,486,1285,3486,0,48,2160,9224
"Hadong",0,2027,3486,0,0,226831,16019,74873,4075,1,92,7334,73208,24883,2797,1,2,0,163,464,206,8999,2940,25,227819,0,0,5658,1100,14,601,0,0,2041,45246,237531,0,0,338,117145,281233,0,8435,971,100,45,0,184,50,2277,0,11,3,48745,514,895889,0,4570,1493,291,359,3005,44,2,500925,27910,3,0,2,36461,4615,73,91613,3132,1,6,352,0,114,0,260,1,39,0,0,769,5966
"Haman",2,12102,25548,2,0,470333,1326142,468911,36483,3,65,41232,2031452,139912,6360,42,1,0,1286,2670,80,47325,17197,9,651348,34,0,13928,12230,4,4885,2,0,6882,167318,172150,6,0,6430,307212,5836668,0,62575,12208,78,25,3,1416,1684,48601,0,12,32,214344,4152,1729566,1,21255,52660,4925,1305,22147,22,82,479127,124744,3,1,6,183259,36616,2174,165907,12389,4,46,243,4,60,1,456,1,54,0,1,4123,26310
"Hampyeong",0,3613,11,5525,18151,0,0,0,1,0,25,1,1,2,0,2255,2,0,470,0,59,0,0,0,0,17076,53633,0,0,0,1720,33359,0,16,0,0,0,0,0,0,0,259,0,0,11,27,4296,12059,0,0,0,16,0,0,0,0,158742,0,0,0,0,15,20,4238,0,0,0,3796,3911,61091,12169,0,0,1806,0,0,78,0,25,0,44,0,0,22078,2,114,913
"Hamyang",0,2988,7633,1,0,30860,2447,13632,9097,2,185,12547,65190,57465,3155,5,2,0,323,985,268,129866,12479,57,38323,14,0,89,11881,51,1995,0,0,3122,21277,4957,1,0,1226,8239,58198,0,126511,6599,79,144,0,330,411,81103,2,23,43,8048,2027,196457,0,26449,62796,2289,820,7455,141,30,44612,79893,6,0,0,80898,8325,4969,3282,4879,2,26,541,0,195,0,583,0,72,0,2,1812,9436
"Hapcheon",0,115,300,0,1,6524,6827,2852,484,1,83,587,300449,4353,924,0,0,0,10,48,3,80107,630,1,6702,2,0,24,148583,0,83,0,0,101,7475,912,0,0,84,709,11578,0,5358,2595,0,0,0,16,60,2076,0,0,4,133,71,4326,0,596,9992,94,44,290,1,0,2484,3466,0,0,0,3959,373,871,792,260,0,1,2,0,1,0,23,0,1,0,0,70,478
"Hoengsung",9801,17209,16649,435,44,2672,0,0,4170,3175,338519,14093,23856,14503,0,2224,8159,1461,3451,2602,298600,27,513,289,3,148,35,0,0,50,13810,171,1784,29294,3154,82,2641,628,236,40,14,14,82,0,142992,49084,525,4619,1948,281,335,50570,1712,2019,2481,212,190,229,53,1236,527,5164,242052,361,93,91,2,84,1177,318815,59868,3,47,54478,3954,294,532566,1098,83470,2795,39994,631,182,22,11027,43923,60017
"Hongcheon",11148,8804,10747,582,62,4238,0,4,2782,5604,1369250,14074,36075,17683,1,1171,8152,1580,1226,1416,15543,7,617,169,2,242,35,0,1,62,4179,262,1938,1571,3816,101,3297,1010,864,46,13,18,116,1,42344,914,468,2272,2733,260,594,38355,1132,2516,2026,1079,266,228,69,1359,594,3882,6882,341,156,327,5,114,1219,16526,17181,5,73,20438,4427,404,208930,1148,5289,4005,12741,1101,170,36,11290,9812,26091
"Hongsung",96,30713,299,158738,33808,11,1,2,37,1,723,59,23,40,0,62127,171,3,5624,58,1376,2,1,2,0,12003,19582,0,0,6,18772,131048,2,399,0,0,6,4,0,1,0,4138,1,0,503,539,1471,146547,0,2,1,651,0,0,13,2,25208,1,1,0,5,207,597,67338,4,0,1,56696,93910,530479,124641,0,0,26973,5,0,2502,0,927,13,1149,3,0,6310,254,3093,13206
"Hwaseong",2165,517526,19095,177994,81780,3098,16,238,16318,651,2024,17865,6725,17101,0,572614,1622,170,55012,7597,10986,94,1108,1695,740,28177,46228,1,31,2177,217610,214999,113,2883,1237,149,1687,630,152,155,1415,15463,298,15,4842,2321,143429,1272690,445,253,68,8393,142,579,2324,955,94126,632,149,574,1325,5425,4523,726231,822,338,54,58615,337452,3793511,1637531,2,101,262027,1885,37,19947,934,6871,392,11857,659,702,23073,3174,39649,181565
"Iksan",444,9604,42555,2,0,4158,101,538,37922,4636,3508,171698,37458,747103,3,9,203,134,1081,14837,7429,142,6527,14146,1696,64156,0,0,94,22471,4628,3,52,27948,255259,31,19896,4609,33233,52,1779,0,377,50,2226,2859,2,710,14611,225,46375,1365,179609,54223,18532,1288,0,10902,36,273383,19488,36790,2335,9,913,303,1071,0,3,424263,22909,1,25,20450,15075,61772,13933,705,4468,19,5413,9400,8920,0,174,17968,64586
"Jangsu",0,2330,6617,0,0,51298,2983,16441,6403,21,296,15871,51965,87996,7507,3,6,3,310,1853,499,10012,22294,173,49520,9,0,138,8777,227,1220,1,0,3770,61997,1804,31,17,755,1954,46599,0,80248,2606,606,203,0,249,174,1561,2,95,35,4084,1345,37561,0,95478,249301,506,1857,6258,281,3,31998,35357,19,0,0,76294,6726,9669,1304,4748,33,20,1143,6,320,0,512,27,232,0,11,1768,9215
"Jangsung",3,1702,6727,0,0,4,0,0,5499,46,782,17306,178,53099,0,1,9,2,281,1838,1074,0,697,592,1,55552,0,0,0,856,922,0,0,4827,1436937,0,57,16,3427,0,2,0,4,0,318,668,0,134,41658,4,69434,142,151353,63756,2743,3,0,213,1,33832,2050,6288,326,1,0,4,60,0,0,82495,4509,0,0,3707,41,25271,1942,1,551,0,812,27,779,0,3,2685,10856
"Jecheon",56807,39964,9782,783,55,10380,0,0,3025,15833,91382,4416,92468,8428,0,3651,70120,4917,6257,1537,29934,0,278,93,2,102,22,0,0,142,20410,360,5676,75411,1515,27,9771,3326,209,5,3,7,6,0,49312,47211,704,7387,1519,61,3429,41431,775,1685,1685,22,236,102,25,782,280,10032,9808,579,11,11,9,210,2430,565140,125552,0,5,79346,13776,266,726927,3568,18617,14710,37895,2885,117,10,125019,55092,92911
"Jeongeup",139,2097,17566,0,0,166,4,12,16788,1097,1937,69054,6643,237524,0,3,80,41,483,7297,3616,9,4373,5195,36,439817,0,0,6,6116,1476,0,10,12002,1209061,0,1354,507,9927,0,38,0,35,6,1135,1186,0,215,180511,42,159815,768,72956,394321,7213,49,0,2217,4,98485,9303,11521,1314,0,17,18,498,0,0,228928,5867,1,2,6557,954,321840,5668,31,1840,4,2369,1265,4091,0,75,8080,23609
"Jeongju",365,10572,41930,4,0,48702,11251,33161,47219,3978,4090,135564,39750,638955,519,13,176,77,1522,10453,8776,4902,6683,9639,67154,62147,1,1433,180,14927,7473,5,33,26204,791440,21744,6187,2627,23612,45527,195367,0,8369,145,2265,2507,1,987,73823,3749,65063,1319,400627,5159,11663,345606,1,4787,4397,202650,14554,40435,2325,11,90788,26884,834,0,3,582448,31947,159,12001,27581,7383,25766,10330,327,4676,12,4240,4975,7430,0,142,20178,78409
"Jincheon",159,13500,48829,14,1,8633,43,894,32,2688,3089,852292,25829,202680,5,52,342,20,2597,56608,6967,382,9409,10104,2873,923,1,0,67,8492,7180,2,15,57950,16629,869,5170,2696,1856,498,4645,1,2067,100,2768,2146,13,2222,19523,1845,3595,2108,8624,10712,889,3108,3,1766,426,9289,12265,853,2646,53,2539,2828,98,0,41,274606,34581,15,419,29775,8441,2154,14029,3089,4253,8,7995,2725,3754,0,479,28175,32269
