"","Andong","Ansan","Anseong","Boryeong","Buan","Busan","Changnyeong","Changwon","Cheonan","Chilgok","Chuncheon","Chungju","Daegu","Daejeon","Damyang","Dangjin","Danyang","Euisung","Euiwang","Eumsung","Gangneung","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Gokseong","Goryeong","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jincheon","Jinju","Muan","Muju","Namwon","Nonsan","Okchun","Osan","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Suwon","Ulsan","Wanju","Wonju","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yicheon","Yongin"
"Sancheong",2,2655,6404,0,0,60266,4354,25777,8497,0,149,11664,35344,44769,1584,2,0,0,323,1054,270,43339,9829,26,71485,12,0,279,5036,39,1494,0,0,2517,8743,15402,4,2,713,24260,110376,0,80725,4178,106,626,1,306,305,35482,2,22,22,23403,2644,338487,0,13030,34518,1316,792,5672,110,19,148397,163271,5,0,2,63436,7021,1918,9382,5081,2,18,497,1,151,0,420,1,93,0,0,1667,8336
"Sangju",72,268,589,3,0,29960,0,0,1170,68830,17,1159,541663,8691,0,2,21,36,30,46,27,1,177,10230,1,40,0,0,0,532208,118,3,53,206,350,6,32237,21407,111,3,0,0,10,0,8,9,1,46,754,30,57,17,325,656,52,8,4,51,10,701,593,497,8,3,4,6,8700,1,2,5036,792,2,7,382,34285,134,35,12198,15,4,13,14488,970,0,45,101,886
"Seocheon",5,14388,99,205000,34068,2,0,0,13,0,211,8,4,9,0,21756,17,1,1931,7,413,0,0,1,0,27661,17206,0,0,0,6994,306376,0,116,0,0,1,0,0,0,1,4013,0,0,84,143,62304,51279,0,0,0,616,0,0,3,0,24143,0,0,1,0,80,111,22169,0,0,0,51521,42367,190525,44209,0,0,8216,0,0,623,0,247,0,244,1,0,6158,19,858,4253
"Seosan",444,59628,883,206072,33247,38,0,3,174,9,1477,277,130,214,0,269732,608,15,11038,199,3969,2,8,18,4,10921,18156,0,1,30,31364,142674,4,1025,3,0,33,7,0,0,12,3874,1,0,1271,1052,87672,297265,1,1,1,2912,1,2,40,8,25490,6,1,1,16,449,1809,165926,4,7,1,38447,103738,934713,301081,0,0,45012,44,0,6018,4,2258,50,2737,20,11,6503,747,5958,27717
"Seoul",222050,6271490,4557581,592911,280268,449973,1943,21990,4114772,71237,11603,2719461,1065594,3111847,255,1407433,114971,15889,304031,904798,924224,23689,139644,249233,65945,127182,183302,132,2603,265101,884096,743375,11401,5164283,938753,39677,217780,63754,67615,34617,169079,67595,83103,4338,360270,15970,536311,3711390,436919,77588,81554,610339,241135,588868,301920,155007,411917,125601,42397,167344,189687,3365174,559446,1846639,123992,57789,6517,209925,1067467,69006,616433,1064,36397,3374782,231725,64857,1597842,80640,531902,38678,829879,111510,121814,105601,273062,2865179,13807919
"Siheung",32557,2813187,372073,154316,110897,78747,383,5968,462427,14029,9164,385456,165401,365414,24,593603,19277,2536,386666,106630,144020,2663,22180,46020,18259,38134,61072,16,352,55035,1229674,323083,1250,9167,52371,3868,42815,14756,8665,3937,37043,21581,9633,368,60077,13834,138698,1624403,20222,7312,3696,108501,5333,26816,38101,20164,123153,14655,4040,16454,32609,261580,63987,945989,24710,7188,1135,60661,368822,663129,670,66,2580,1889895,50457,1620,242389,18629,98034,6117,109360,21491,18566,29430,47043,347541,1495690
"Sunchang",0,17,89,0,0,1603,414,674,60,0,9,141,26197,778,24482,0,0,0,1,17,4,6971,234,23,2209,0,0,284,3759,3,13,0,0,39,305618,172,0,0,6,81,1984,0,5609,1113,2,1,0,2,0,9419,0,0,2,248,12,2750,0,609,105709,1,19,62,1,0,876,2280,0,0,0,804,63,4279,782,52,0,1,8,0,7,0,7,0,5,0,0,21,84
"Suncheon",0,882,2573,0,0,157828,12638,58422,3034,0,166,6090,98853,20843,97081,0,0,0,153,456,245,5835,2581,28,194186,0,0,288708,1140,12,504,0,0,1286,2401979,923183,1,0,154,96937,143123,0,3542,1014,75,92,0,111,27,1326,0,7,2,13889,501,124920,0,4549,1459,69,422,2635,93,4,136858,9523,2,0,1,35639,2854,955,1180366,1723,0,0,448,1,168,0,287,1,117,0,2,887,4308
"Suwon",27012,862202,609989,32182,10675,34262,213,2272,509720,7995,20625,309275,91664,274644,14,81192,16749,2168,275396,107983,117550,1809,14462,33617,5991,5317,6610,8,278,38453,618007,28128,1384,15036,48284,2706,19951,9879,4327,3282,15790,2663,6139,293,60285,21757,30760,309049,23172,6528,4364,88926,8008,33421,35914,11049,21586,11337,3793,10784,19635,434085,69045,70113,9739,5234,537,11243,59137,3570497,1989443,85,2279,3184078,22225,2514,256446,8331,86487,5092,187546,9048,11789,4048,35319,575617,2926992
"Ulsan",40732,30767,36674,1048,503,2686894,0,2,75637,102541,8891,75077,1051259,160440,225,772,28040,9397,2764,10361,4853,928,3129,33220,1,975,425,0,9,196045,10701,1612,4126,13936,255,2,1193789,256512,3932,0,153,246,1381,235,4039,5769,626,4973,19031,561,33,16302,1281,10509,7839,773,1931,883,1063,11700,12309,48906,3809,1383,1,603,33631,562,745,289333,61566,180,3,33195,5485880,1367,21478,2761064,3131,4645,2772,292894,20848,246,34223,10452,51221
"Wanju",47,630,5357,1,0,242,5,24,6031,653,615,22570,4102,102009,0,0,29,22,106,1604,1173,10,1375,1797,71,14784,0,0,4,2405,665,0,10,4645,236551,0,1262,403,5817,5,66,0,26,4,311,446,1,56,66144,18,24277,286,320126,27163,2009,87,0,936,3,35182,2955,3770,505,0,43,18,187,0,0,58072,1611,0,1,1974,882,727,1811,52,641,3,993,1186,1376,0,34,2594,8577
"Wonju",61154,78606,86009,2509,253,18987,0,4,15649,20834,555802,81561,124897,82984,3,7552,86853,15102,12850,16362,483559,53,1951,1056,20,832,140,0,2,376,48690,1018,8410,151861,16976,499,16219,4089,3844,215,70,93,482,0,500190,217096,2200,18705,12545,1098,2101,721256,5615,10472,13533,1134,959,1015,328,6008,3545,31915,334370,3248,591,451,17,565,6828,1396118,230689,13,325,223417,17576,1521,997234,4835,199702,15864,156223,4168,1056,96,99899,189672,304107
"Yangsan",11553,13871,10049,1876,907,4801452,1,1,18209,29324,2529,24193,228399,38046,404,1339,4950,2989,2270,2669,5917,1661,1744,10796,1,465,763,0,17,50210,7354,2884,1286,6414,343,0,950221,80733,847,1,272,443,2449,421,2838,2249,1120,5630,700,884,25,5975,30,696,2311,1375,3455,980,1869,1467,3814,11243,3123,2339,0,1078,11835,1008,1287,94158,22280,321,1,14657,2841103,623,8697,3434979,2559,1509,1075,106936,7010,441,8173,3489,16492
"Yangyang",4004,20286,15312,1159,204,2127,1,2,5876,3861,16451,22518,23347,23850,103,1412,3853,576,3235,2376,212010,282,768,202,6,263,201,157,1,80,13004,908,710,25328,6127,448,909,519,528,54,26,77,146,2,81812,7351,791,4775,3276,372,472,13251,1326,3355,3003,293,844,536,400,1541,871,6292,192533,478,182,119,150,306,1794,361640,73389,69,635,59054,1524,615,205920,597,757,2411,36869,235,232,102,5343,42176,66501
"Yechun",34789,1510,192,2,1,2690,0,0,32,9632,8093,21,60214,78,0,21,27239,3023,239,12,4627,0,3,19,0,1,0,0,0,33,917,1,3745,2279,2,0,2538,1237,3,0,0,0,0,0,3234,4404,13,318,13,0,0,15693,2,12,8,0,1,1,0,4,6,216,1653,9,0,1,1,3,40,29212,4826,0,0,3686,3461,4,18632,1027,3234,411,1549,603,4,0,53131,2189,3283
"Yeoju",7422,41088,26304,1364,163,2665,1,63,5643,1951,15650,34164,14943,30295,1,2845,4855,800,8363,8201,50665,87,1401,1218,202,423,67,1,5,884,27577,411,984,86173,9184,416,1643,553,567,191,532,42,520,20,30650,9878,1150,12161,5540,675,813,27548,2691,4816,7928,1105,491,570,246,2575,1607,16463,26659,1394,735,424,21,257,3465,761685,116035,7,231,173651,2332,880,129529,1602,29005,1216,1108,626,729,54,7968,124722,212213
"Yeongchun",5096,23253,16837,38,17,182061,0,0,36774,100298,2534,31738,1987510,91982,8,59,2466,1965,808,3646,469,34,1630,24153,0,511,14,0,0,110239,2482,57,1185,4073,112,0,257889,219031,1208,0,6,8,54,8,1056,1434,23,1969,9196,78,37,2943,1925,7457,4675,32,70,234,42,6752,8239,16376,487,91,1,24,14769,22,36,126395,31918,6,3,9913,293874,1153,6440,105358,380,884,938,12360,12901,8,4446,2808,17974
"Yeongdong",279,5711,13630,0,0,16755,3,8,23411,17594,393,74043,133003,419841,12,19,31,145,668,2273,563,32,3933,118480,25,707,0,2,2,76165,2729,0,51,4415,7025,165,18331,7781,3490,97,86,0,127,1,334,170,0,637,10054,358,937,131,4291,8466,3431,507,2,446,182,14693,93182,13842,154,21,359,142,1653,0,7,104313,15982,4,219,9043,19698,1353,971,7780,334,9,516,12753,79431,0,92,2297,15524
"Yeonggwang",0,6656,10,10628,35679,0,0,0,3,0,50,0,1,1,0,3867,3,0,726,1,112,0,0,1,0,23641,77253,0,0,0,2029,57387,0,37,1,0,1,0,0,0,0,20891,0,0,16,45,7540,20179,0,0,0,30,0,0,0,0,93658,0,0,0,0,12,34,7245,0,0,0,6784,7690,89821,19311,0,0,2867,1,0,132,0,46,0,54,0,1,80,4,183,1217
"Yeongju",351178,15450,3850,175,9,21767,0,0,983,109054,25708,759,505420,1666,0,630,286825,26957,2161,430,9857,0,45,220,0,15,3,0,0,350,8909,34,25535,15492,26,0,20993,13312,39,0,0,2,2,0,15137,14629,220,2703,266,9,2,132305,71,205,337,3,10,12,0,137,56,2841,4278,374,0,1,13,19,662,234447,41258,0,0,30933,33435,31,123750,7733,6650,48536,11202,4851,115,3,24511,16595,31268
"Yicheon",15333,141915,120212,3701,431,12346,47,643,20764,4956,14160,204570,36605,116081,5,7881,9799,1409,39857,56589,76720,408,4156,8443,2678,1632,173,3,47,9987,89905,1401,1632,302253,32628,987,7571,2219,2845,763,4412,144,1666,75,42341,8084,3377,41804,20067,1992,3139,61985,10145,23006,30874,3917,1520,2450,842,11769,6329,52251,42520,6556,2625,1602,93,967,7200,2827379,359015,24,762,501189,7813,3074,203612,2822,48731,2559,115796,2605,2728,190,19252,167035,624181
"Yongin",26548,714642,1195336,18125,3447,79123,381,4454,1141439,13490,29510,457501,167470,499320,30,43155,19273,1978,200403,91194,131457,2541,18935,45962,12971,6929,2212,23,332,73400,563726,12050,1609,41528,120832,5494,36231,10905,9779,4447,24344,1512,9179,449,59822,26425,14753,193320,65922,9207,10583,102540,25529,75204,33142,19688,9863,15060,4995,18901,28555,848329,75045,26440,16242,7734,1137,5137,34000,14174881,1644131,118,4194,2635872,43856,9741,320260,14853,92227,4409,212858,13530,16716,1369,35434,623782,2275245
