"","Andong","Anseong","Busan","Changnyeong","Cheonan","Chilgok","Chungju","Daegu","Daejeon","Damyang","Euisung","Eumsung","Gimcheon","Gimhae","Gimje","Gokseong","Goryeong","Gumi","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Hadong","Haman","Hapcheon","Hoengsung","Iksan","Jangsung","Jeongeup","Jeongju","Jincheon","Namwon","Nonsan","Okchun","Osan","Sacheon","Seoul","Sunchang","Suncheon","Suwon","Ulsan","Wanju","Wonju","Yangsan","Yeoju","Yeongchun","Yeongdong","Yicheon","Yongin"
"Nonsan",196,24623,5416,0,25765,2154,79262,31291,625220,0,74,7085,11519,1480,22120,0,0,10812,15,17237,195702,0,5962,3400,0,0,0,3458,155393,31917,83790,173910,8861,0,3607,16452,18113,0,197845,0,0,80976,6652,17799,8059,1264,2764,3333,8465,9257,8350
"Okchun",441,52837,20293,0,94192,9312,340704,114475,1292792,0,128,10925,59684,5959,1614,0,0,38600,94,25147,14594,0,20049,11016,0,0,0,3065,14176,2315,6631,9267,16472,0,17733,105027,47615,0,326130,0,0,157511,18997,1392,8303,3383,3435,9071,108097,9869,16921
"Osan",177,298866,46521,0,527743,6917,288240,144227,260709,0,91,3054,47918,10990,6330,0,0,54811,87,6708,112491,0,30313,11254,0,0,0,18597,78149,13707,33454,58951,855,0,19687,49608,6581,0,2576784,0,0,785094,37411,5363,54142,9713,17672,8626,12825,52478,181540
"Sacheon",0,0,0,0,0,0,0,0,0,24324,0,0,0,0,0,65674,0,0,0,0,603205,1224881,0,0,1676106,0,0,0,0,0,0,0,0,349,0,0,0,4297,0,255,791208,0,0,0,0,0,0,0,0,0,0
"Seoul",2029,4568070,351580,0,3953099,45258,2379856,1070072,2575516,0,1463,929566,339037,65435,64628,0,0,206405,837,4296885,1136343,0,191791,56969,0,0,0,896659,665602,117593,409335,702680,272844,0,220780,318941,2750258,0,21760,0,0,8125002,162599,62629,2216619,31536,638940,74652,108624,1662841,5530178
"Sunchang",0,0,0,0,0,0,0,0,0,15366,0,0,0,0,0,268,0,0,0,0,266985,93,0,0,156,0,0,0,0,0,0,0,0,137927,0,0,0,294,0,3324,706,0,0,0,0,0,0,0,0,0,0
"Suncheon",0,0,0,0,0,0,0,0,0,72837,0,0,0,0,0,253755,0,0,0,0,2030154,987697,0,0,94658,0,0,0,0,0,0,0,0,3938,0,0,0,804074,0,1332,1143911,0,0,0,0,0,0,0,0,0,0
"Suwon",1115,1928189,193809,0,1553768,27370,1175064,591149,1048832,0,754,399243,174078,47499,32570,0,0,158302,376,67367,498655,0,104193,38894,0,0,0,485341,305954,58304,171931,268076,121775,0,89948,173396,911843,0,8015661,0,0,1439294,120391,25746,1349554,27696,453220,40334,56065,1471738,3951867
"Ulsan",41543,29358,2234383,0,63343,112710,53855,892044,126422,0,7857,8617,33804,2906633,639,0,0,158830,2515,16199,43,0,665006,199784,0,0,0,592,16931,12,1036,5801,6618,0,8366,21569,48306,0,226297,0,0,167737,4592526,346,7409,729025,2404,234624,21208,8063,14881
"Wanju",33,5905,80,0,5980,165,13160,1335,50113,0,18,933,922,19,8888,0,0,819,2,3625,93090,0,543,168,0,0,0,723,29482,12721,129898,16715,1118,0,16502,1330,5217,0,63812,0,0,25487,342,625,1332,20,590,249,418,1497,2374
"Wonju",8,295171,7739,0,24967,977,94870,23425,103981,0,5,19391,4502,1835,1197,0,0,3748,20,324010,24164,0,4496,910,0,0,0,492436,18722,7099,6535,14108,15986,0,8880,8433,53522,0,2170287,0,0,1329098,6309,1302,810953,865,485133,1014,1769,341972,280055
"Yangsan",7418,6173,3461255,0,11038,14700,10216,108604,21866,0,1620,2141,6299,3737369,22,0,0,21965,441,4201,5,0,218021,27603,0,0,0,614,590,0,25,233,1192,0,1551,3955,6630,0,37379,0,0,30444,786795,21,1019,66411,773,35584,4591,1697,3119
"Yeoju",7,57892,3823,0,8027,568,34944,13511,29576,0,4,7127,2999,1131,451,0,0,2214,3,75471,9532,0,1747,639,0,0,0,75005,6303,1097,2358,5333,7159,0,2546,3523,15993,0,576767,0,0,430132,1872,641,465028,1227,1452,668,700,100949,105833
"Yeongchun",4744,13247,198114,0,27716,75471,20293,1437036,57670,0,1301,2645,18811,126537,387,0,0,79227,645,4648,46,0,202471,180441,0,0,0,94,6691,13,1035,2354,3004,0,3544,9959,12292,0,87573,0,0,74729,242260,368,1534,37108,926,3932,10735,2722,4670
"Yeongdong",361,13210,26655,0,21532,14081,53955,156783,254914,0,105,2143,105502,8634,523,0,0,73485,58,7008,3756,0,21630,10324,0,0,0,720,5418,534,2319,3191,3106,0,8564,107825,12546,0,99194,0,0,50779,21505,505,1674,4813,581,10064,55825,2401,4615
"Yicheon",27,133886,10922,0,22823,2183,156763,33533,97909,0,26,39532,9453,3047,1856,0,0,10230,18,200278,28859,0,6298,2289,0,0,0,85131,19375,3251,8599,19965,25863,0,10789,9514,46517,0,1604728,0,0,1408484,6387,1615,331950,1524,100916,1784,2333,87544,307128
"Yongin",74,266779,15914,0,241120,2410,163565,48143,118124,0,42,54107,15003,4253,1928,0,0,20151,14,28833,35453,0,8511,2926,0,0,0,76329,27286,3981,10163,26226,18755,0,7592,12569,140460,0,5407183,0,0,3733829,10023,2072,263666,2361,105861,3387,3949,291358,541876
