"","Anseong","Busan","Cheonan","Chilgok","Chungju","Daegu","Daejeon","Eumsung","Gimcheon","Gimje","Gumi","Gwangjoo","Gwangju","Gyeongju","Gyeongsan","Hoengsung","Iksan","Jangsung","Jeongeup","Jeongju","Jincheon","Nonsan","Okchun","Osan","Seoul","Suwon","Ulsan","Wonju","Yangsan","Yeoju","Yeongchun","Yeongdong","Yicheon","Yongin"
"Anseong",128,41462,176500,4588,255327,101271,228861,34606,33219,4268,17571,166560,61391,26273,8910,35038,38715,5375,16478,42644,18983,15238,24202,138374,3184985,1271237,14649,45115,8314,9829,2170,7826,43951,77904
"Busan",35350,0,64138,40582,77080,809313,167395,7219,55937,367,179284,18905,2557,1576971,140130,661,7743,957,769,6631,5052,7879,28471,40565,493406,210529,2358442,9269,2884716,2843,267969,29754,16000,7699
"Cheonan",362651,76146,114956,6789,570799,167829,991805,123,49729,6730,39492,2838,84542,60014,17830,13764,46913,6328,20522,57479,18,19641,57967,327447,3905518,1702124,30221,12617,13720,4097,4348,16574,14022,123819
"Chilgok",3744,46784,5040,0,5733,2267775,17588,571,16113,93,146480,1581,40,80658,123677,127,1087,10,194,491,589,1073,5769,2818,30447,13651,51678,552,10654,216,24063,6345,649,552
"Chungju",270825,83728,594931,7335,587715,206328,1355471,297610,56786,13450,52380,215350,135556,46383,14055,37631,113495,11845,36367,117891,321170,63466,811171,226339,2250062,936548,36008,46210,12902,15452,4526,56417,96090,74597
"Daegu",88050,889815,151652,2306980,184917,4915497,548674,15562,465234,1179,3429621,54222,98,2512653,2455239,4069,24465,30,2804,6836,13722,26157,122875,96090,1227483,486497,827600,22266,161390,10572,739067,126771,30390,24391
"Daejeon",231528,192726,1041240,24122,1344105,557575,794981,73633,201644,51056,132780,110356,367500,124787,39406,48171,597373,39713,147896,505720,94097,796249,788208,186227,2365793,902142,86041,52574,24432,15730,15164,195849,68057,59564
"Eumsung",37943,7999,82,530,284937,18867,70541,0,4580,831,4211,176815,9950,4334,1738,5753,9396,898,3331,8172,47795,5226,6871,2081,1125534,310316,3578,7989,1998,4603,371,2476,25538,31992
"Gimcheon",24167,55863,43196,21446,52421,408066,187538,3029,41741,1046,241210,18624,1412,41668,21698,1676,9348,222,2173,4658,3271,8252,61203,32946,362470,150068,24773,3599,10485,1274,6307,76027,7728,6733
"Gimje",4450,346,6645,129,13280,1894,51753,956,1119,14867,1086,4048,342948,826,195,792,29525,53213,474313,40274,638,16731,1869,6247,90981,35016,543,878,97,401,92,288,1442,1734
