"","Anseong","Busan","Cheonan","Chilgok","Chungju","Daegu","Daejeon","Gimcheon","Gumi","Gyeongju","Gyeongsan","Hoengsung","Iksan","Jeongju","Nonsan","Okchun","Osan","Seoul","Sungnam","Suwon","Ulsan","Wonju","Yangsan","Yeoju","Yeongchun","Yeongdong","Yicheon","Yongin"
"Anseong",0,6431,36921,367,25256,11075,21528,3560,1263,2813,614,1314,2318,11470,716,1767,55087,402563,40269,72411,1066,1274,249,627,251,590,1945,5973
"Busan",8469,0,14931,10993,21391,273918,55071,8513,53399,545891,27425,21,3647,15117,1053,4471,60386,227770,18471,46578,399173,587,954605,563,74375,4473,2780,4486
"Cheonan",36418,17977,0,200,89640,23092,156247,8346,4064,5399,789,3415,2708,14987,1099,3672,109244,756780,80695,84805,2027,4179,722,1763,860,1431,3422,8315
"Chilgok",291,11378,214,0,231,485481,1805,481,4970,7380,5364,2,132,73,34,200,450,4678,326,556,1624,13,407,1,2183,281,18,39
"Chungju",23993,21089,88814,209,461,24034,131594,6128,3135,5048,267,459,10011,35560,2417,14941,57292,320278,24532,55654,3264,335,818,226,340,3089,664,2850
"Daegu",9382,302969,22603,489142,21823,56742,126811,41023,522630,511987,132223,111,5290,6345,2473,13175,48081,355326,24094,51205,105036,919,16399,530,82701,17040,6864,4840
"Daejeon",22551,62431,159867,1672,138498,128007,96408,34515,12672,24718,1800,5565,101626,203706,96130,60302,68740,407651,27786,55899,15005,1454,2114,824,2475,19541,1820,3880
"Gimcheon",3368,8704,7025,412,5571,37964,31360,3888,38276,3778,599,61,1189,2388,595,8147,12327,97092,8308,12524,1176,147,322,117,605,9412,1588,957
"Gumi",977,63531,3241,5743,2934,513653,11502,42609,343,21531,5634,27,555,1550,221,2032,7513,41691,3442,10776,9148,43,2297,42,2242,3773,274,561
"Gyeongju",2903,522915,6054,7803,6069,472208,27806,3739,19477,0,24226,5,2659,3476,996,2128,37612,100181,7712,17790,39816,168,18584,188,9214,2982,1318,1663
"Gyeongsan",1359,30328,641,6246,385,125587,2108,654,5656,28830,0,0,132,180,41,327,1490,6398,629,1132,7085,7,4490,11,11916,315,38,129
"Hoengsung",1442,81,3393,9,361,176,5101,64,16,12,1,0,450,1702,141,60,2191,182629,2782,28365,5,150111,2,6920,0,55,74428,5765
"Iksan",2474,3847,2316,79,11255,8892,92989,1213,1189,2306,110,585,0,9098,5777,2055,17633,96487,9031,8347,1420,919,162,289,142,200,5665,1384
"Jeongju",9973,14553,13215,77,33272,8715,192440,2293,1617,2610,195,1591,8765,0,54410,4532,54435,561803,32471,57247,3697,2436,260,1506,281,313,6700,3773
"Nonsan",606,1335,734,48,2290,2383,89657,497,245,1087,67,85,5998,55182,0,1112,2503,34191,1841,2890,328,118,491,67,97,133,273,215
"Okchun",1949,4107,4104,255,16347,13215,58615,10064,2339,1616,273,75,1980,4498,1418,61510,4495,28187,2385,3704,1078,130,136,106,427,19805,82,223
"Osan",71596,80269,147483,699,75623,84149,91721,23821,12853,35946,2237,3003,24298,102615,3821,7362,0,559124,83012,38992,11218,4043,6401,2027,1726,2860,9010,16014
"Seoul",409499,200550,713476,2794,306724,290666,377987,77143,35351,70777,2817,170517,76419,469690,32814,25236,546966,0,382627,902829,34849,181330,5621,65798,3920,16938,174717,756186
"Sungnam",48227,44884,90421,544,27941,35044,35026,11957,5409,8603,487,4278,7348,42490,2589,2931,86543,387820,0,139425,3151,6090,1114,1569,774,1891,5433,87238
"Suwon",73318,55512,87502,501,58601,67052,58094,14468,11192,15432,892,29075,8871,67973,2608,3660,43783,862466,124340,0,6490,49656,2155,29259,1107,2877,90626,232607
"Ulsan",1312,379757,3991,2133,4681,115658,19492,1379,12189,44119,7264,57,1594,4214,514,1394,19930,51563,3852,13761,581184,143,50799,147,6436,714,637,6847
"Wonju",1162,982,3829,10,220,1346,1167,138,44,93,6,164673,458,1029,81,50,3363,188192,5662,54298,22,159193,9,53622,5,41,206533,12243
"Yangsan",148,952792,670,628,947,16382,4194,611,3392,18814,3742,0,162,324,412,133,2437,9841,817,1846,54825,289,0,13,2941,112,199,96
"Yeoju",755,1413,1805,4,261,393,917,114,32,148,3,6403,201,1258,51,103,1781,74942,2348,31358,98,57504,7,0,10,55,173707,19269
"Yeongchun",224,69352,789,1661,320,79595,2171,649,2110,9974,9928,0,95,271,98,280,1589,4706,411,933,6571,34,2587,40,0,465,66,109
"Yeongdong",575,5088,1393,294,2869,19764,18882,10861,4008,2609,249,59,195,300,128,18620,1718,16837,1230,1936,1622,35,94,38,414,7359,42,130
"Yicheon",1890,6863,4171,23,602,9535,2569,475,250,1160,82,75896,1489,9801,291,110,8326,167798,4664,85868,320,202017,205,182518,47,63,41274,55988
"Yongin",5640,5986,8856,50,3688,6390,4267,1059,602,1204,61,5947,1008,3950,208,253,12924,817700,88716,217262,5830,13446,119,21685,91,138,64470,19752
