"","Andong","Ansan","Anseong","Boeun","Boryeong","Bosung","Buan","Busan","Buyeo","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungdo","Chungju","Chungyang","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangjin","Gangneung","Gapyeong","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Goheung","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gurye","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Imsil","Jangheung","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jinan","Jincheon","Jinju","Milyang","Muan","Muju","Munkyeong","Naju","Namwon","Namyangju","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Sejong","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Sungju","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangpyeong","Yangsan","Yangyang","Yechun","Yeoju","Yeongam","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yesan","Yicheon","Yongin"
"Andong",162247,6737,385,2,17,1,19,36915,13,12162,4415,104,429142,17,20279,8076,85,7,1300391,990,681,62,72756,387,80843,1151,353,0,5104,2264,4826,35,537,10626,28,198,18,0,34,14,19825,216,605,8033,29,75401,109,12547,10854,9758,38347,33103,26,1758,50076,2,1384,1764,7413,8689,8,4912,157,24,0,463,247,83152,93,929,320,24,5583,20528,16,49,4,0,2326,4041,77,74,1677,16416,5393,180,3905,663,45,28,12,40,213890,21850,377,1362,796,31488,1398,53405,1292,69686,5194,38050,2821,34536,10692,0,8924,133,109,103055,57,7805,23917
"Ansan",8129,529012,73868,2478,15919,3,5510,17943,1919,4229,2523,63817,6186,33620,689,605,38864,770,44210,38488,579,65477,6284,18084,212,301518,79850,3,25855,5,269,2485,5350,7688,2423,3308,8256,1,287,13951,2805,397,19218,698564,19467,140,553,4040,19799,3731,15410,4327,624,391,14454,1395,5207,108,21945,1908,11407,4236943,4026,1155,1,630,2164,34812,1463,6363,245,15771,2237,2928,13023,1710,5930,57,553,3,4756,2125,80004,7380,19213,139597,1262,925,33035,2045,6326,33467,7080401,7902988,113,1643,2597,971879,1973,18128,3155,80418,885,8571,7701,328,63269,2,5034,971,2241,14079,13824,165913,718773
"Anseong",398,209337,610692,19282,41270,0,6068,29191,9531,7052,3519,925382,10836,322673,16273,1458,582563,3219,76946,415765,1938,137362,562,17509,13,26003,472717,1,33584,9,987,19511,18879,12758,7109,4466,13348,1,317,114244,2885,2430,35860,74594,26094,12,5233,313534,86225,35021,18926,7732,11186,2467,22347,1223,13762,229,27774,18776,29461,1138167,43420,11145,1,3781,11601,2350,18717,64189,2246,577551,13659,7408,18255,10275,9382,23,4662,11,40913,17701,1162289,11982,26305,1090660,7795,6368,52824,11573,9623,85038,4362682,502119,1037,10523,3131,432933,11377,24107,32507,98493,13857,17104,13201,17,103746,0,7223,6698,2980,830,18788,288306,853861
"Boeun",8,6174,22799,76118,330,0,42,7486,472,2324,1113,70083,3463,2654,801,535,694519,331,31505,150577,69,814,10,275,4,505,7317,0,609,0,99,551,2574,3179,474,16,710,0,22,1334,1379,42,20874,1867,895,4,155,8288,5195,1797,5463,2382,1976,65,6918,8,102,118,392,571,31,24580,3664,543,0,78,596,34,2055,4417,47,13265,357,2237,199,223,1340,1,136,1,3360,456,18098,5193,381,18810,232,133,92574,1598,470,1089,127029,27159,34,569,2978,10636,231,9382,2501,1615,555,4981,371,0,1941,0,2337,80,75,0,2543,5568,17226
"Boryeong",9,41398,39964,341,363020,1,36413,302,8466,43,29,1443,284,13617,244,40,7644,549,3606,47425,2106,133944,31,667,3,23905,7025,1,809,0,5,642,1145,107,18921,14042,292,0,1344,8215,24,9,1571,18015,525560,3,31,416,68137,970,575,139,151,307,135,3533,11,2,324,264,173377,188664,22,5,0,7,6536,123,15,51,2,4351,38,94,34425,160,79,126,58,0,86,957,5070,629,511,212019,101,13,806,31845,287801,238154,483668,147086,70,6550,77,24775,59,843,18,1587,226,98,279,0,1148,0,231,266,6707,30,2333,1743,6074
"Bosung",0,0,1,0,1,934359,1,3,0,0,4,1,0,1,0,0,1,0,1,18,0,0,2,1,0,0,1,59548,0,0,0,1,0,8,1,11,0,289,71,0,0,1,0,0,4,0,0,0,46,33,1,0,0,7,10,2,0,0,0,0,0,1,4,0,142521,0,64,1,36,13,0,0,2,0,108,3,0,0,8,0,2,0,1,0,0,2,6,1,2,0,0,0,23,2,0,724222,0,0,3,0,22,0,0,1,0,0,0,129522,0,0,2,0,0,1,0
"Buan",25,12985,6503,42,38216,1,38152,3048,11488,283,1323,18132,27,224,39,9,1143,2395,1689,2669,10317,12525,1,21,5,1276,202,2,48,0,185,14,50,4293,30790,102978,7,0,5595,23042,266,308,99,3778,128919,3,1085,118,263860,4546,138,50,8,1695,4658,18619,250,182,35,35,13977,41366,17,50,1,145,26174,12,107,483,3,185,1444,6,79772,7,3,383,4701,1,13,35,8034,231,33,19716,1565,345,210,11303,19043,18202,151040,41650,1216,22703,26,4996,1698,96,76,172,41,23,32,0,133,1,71,12,38158,6,3638,209,8233
"Busan",14775,24896,26649,3827,129,17,2950,11626927,215,248871,2004244,82255,49115,16876,3269,108728,63941,506,1778490,106500,9775,11531,4707,29,3093,4058,20830,7,389,86,38569,17844,52520,6671938,3018,5283,21801,10,10564,5128,29219,3352,62423,5709,110,2116,3259,31997,162644,416162,1680603,57459,1801,174172,576548,43,36076,11255,1303,1624,52,40587,34518,1561,6,6634,4935,6070,7478,121922,5332,8678,445239,490972,61,14275,6258,2,18198,85,9058,6789,22902,500,1085,43462,308127,74439,25107,6713,80,12412,233946,48216,1663,61994,30027,21767,2514,7946480,94909,6456,7755,6095371,387,814,12822,11,175760,5877,3230,10485,10403,28086,32516
"Buyeo",3,6191,11774,532,10416,0,14143,521,28369,186,34,35272,657,722,84,68,6117,15160,7192,123805,649,13487,7,62,7,336,702,0,118,0,0,873,1829,108,5041,5623,17,0,162,91143,108,2,2745,1826,135494,4,7,204,19579,57,1253,404,126,7,123,1287,9,1,67,72,1132,22998,41,8,0,2,1900,13,13,69,2,826,16,253,12357,274,32,32,3,0,90,1937,15359,1396,79,11725,6,2,2017,90034,60899,8467,118991,22904,8,299,226,6874,15,1569,26,354,60,345,100,0,240,0,580,586,2743,0,21330,457,15544
"Changnyeong",11214,7380,7452,1437,40,0,285,234150,188,194086,137951,20427,30143,5247,1474,44,19207,207,724273,29564,790,2422,2519,28,4005,339,6288,0,587,14,34182,832,30377,292755,257,545,5845,2,608,1008,35650,1312,35186,1696,22,2632,238,4797,10197,34027,7037,13390,367,20475,982367,4,3542,11712,501,915,9,8133,2355,102,0,524,357,3210,717,21727,601,2243,85901,43,4,549,3367,0,1910,12,1209,2420,5754,23165,627,7931,40012,7028,13173,2627,31,2750,69734,11282,246,5792,32347,8114,4072,556,5375,2493,3298,949,374,505,3774,1,14125,3068,202,6089,3150,6263,8182
