"","Andong","Ansan","Anseong","Boeun","Boryeong","Bosung","Buan","Busan","Buyeo","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungdo","Chungju","Chungyang","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangjin","Gangneung","Gapyeong","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Goheung","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gurye","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Imsil","Jangheung","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jinan","Jincheon","Jinju","Milyang","Muan","Muju","Munkyeong","Naju","Namwon","Namyangju","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Sejong","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Sungju","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangpyeong","Yangsan","Yangyang","Yechun","Yeoju","Yeongam","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yesan","Yicheon","Yongin"
"Andong",134392,9167,22414,100,267,1,99,43886,23,14091,4824,1023,521951,37871,23374,10095,1663,15,1509346,1876,1376,2654,91377,312,100079,1330,14828,0,5993,2915,6766,56,900,14020,76,626,147,0,50,51,18301,177,1641,9716,52,97658,284,20317,22147,10722,39385,41670,35,2094,55719,12,2017,764,7378,10621,334,14485,371,141,0,438,521,86207,284,1182,487,4293,4787,23980,91,158,65,0,4028,4315,114,124,14485,19085,2663,15960,4416,1170,657,89,12,1806,255338,33112,1145,1627,986,50357,1356,51823,3833,67997,15706,41608,2830,36644,13058,0,13337,171,322,122372,344,10386,16121
"Ansan",9225,575431,93734,2844,19001,1,7743,18427,5656,4395,2264,75397,6435,41783,1110,580,44054,1732,41178,40961,566,90379,7736,14822,312,279219,82327,4,27159,9,335,2576,5743,7710,2610,5143,6269,1,307,14942,532,436,18891,733415,31060,272,154,3831,16798,1233,13923,4507,941,229,13774,1794,4355,25,20613,2442,12540,516441,991,287,1,682,2616,26263,347,1689,91,24142,2170,3202,19374,1895,5603,74,303,17,1848,3900,67226,6897,10248,232321,1415,952,28972,4892,8671,44214,7212343,5881291,59,692,3102,1221195,1697,15807,836,83430,1100,7758,7315,439,68001,2,5161,1172,3154,14008,20102,171926,514427
"Anseong",27405,220016,701527,20281,45677,5,24723,33172,46894,9014,4394,1028981,12039,455255,22040,1905,503215,13871,89045,447783,1279,146513,70630,16180,676,25095,587561,13,41601,23,1641,18646,20005,15163,8430,19646,13584,3,74,126946,1121,2647,38262,74462,112884,607,728,362048,22741,6535,18826,9889,11854,1416,27043,4900,13395,74,30060,25523,30213,1315251,9143,1710,1,3558,4522,186728,6712,13081,425,644851,13132,9735,77063,10258,8170,104,2042,33,6964,23181,1663556,13617,14069,1282894,7828,5986,56624,42143,29006,87432,4605453,515898,278,1806,4387,1382079,8578,26158,7282,102291,19741,18231,15267,1230,125163,7,8472,6549,12254,55219,24363,284918,104922
"Boeun",111,6403,22229,87081,510,0,270,9138,1229,2777,1215,66866,4370,5636,873,602,689649,717,34228,154172,95,1091,1163,221,17,432,7722,0,792,1,191,607,2511,3822,623,201,463,0,17,2867,828,37,21852,1305,2175,7,184,10105,5387,1916,5180,2679,1805,61,8175,64,115,50,377,725,37,26611,4218,577,0,80,744,2704,2157,4810,64,15936,362,2438,1007,185,1284,0,217,4,3553,588,25081,5451,231,19350,219,93,109499,2818,887,1707,129563,28128,65,513,3191,26609,184,9566,3093,1355,791,5057,344,1,2322,0,2968,79,171,63,3739,5290,2722
"Boryeong",337,42558,45324,499,384312,0,37086,185,7815,50,20,2057,286,11977,321,34,7908,565,3730,53886,2567,158737,5615,423,3,20164,8274,3,914,1,3,690,1636,69,17950,16964,356,0,1333,8764,7,15,2018,19468,612738,9,59,350,74879,1198,570,153,113,320,130,3554,11,3,325,334,189980,190263,19,8,1,3,8700,6199,19,39,6,5130,47,112,39208,142,113,159,82,2,63,1343,5850,797,214,249898,101,11,904,38457,308165,256394,516384,157275,188,7953,81,25566,44,932,27,1430,283,65,264,7,1196,1,243,384,7511,1069,2530,1683,2134
"Bosung",0,1,3,0,2,1175811,12,19,3,0,2,0,0,2,0,0,3,0,9,24,30,2,0,0,0,0,2,67475,1,0,0,1,0,8,11,19,2,210,72,0,0,0,1,0,19,0,0,1,185,73,3,1,0,8,19,3,0,0,0,0,1,2,6,0,146662,0,53,1,38,16,0,1,13,0,147,3,0,1,14,0,2,3,0,7,0,0,4,0,1,0,1,1,39,3,3,912823,0,2,3,0,22,2,0,7,0,0,1,146603,1,0,0,0,1,1,1
"Buan",67,14077,7127,105,38658,6,37701,3810,15587,362,874,19638,105,321,89,15,1582,2503,4222,2999,11605,13856,27,21,28,1053,173,11,74,0,366,40,100,2889,32073,114621,2,0,6482,32654,231,402,243,3919,149439,15,1637,125,267882,5070,457,147,7,1707,5660,20918,786,31,37,52,15069,42233,20,84,1,7,31698,152,157,671,6,196,1465,58,92111,21,5,443,6167,3,17,93,10524,604,17,21990,1634,575,279,16219,22500,21214,155850,44650,2259,24965,124,13476,1580,1583,103,135,54,910,41,0,163,4,275,25,40550,33,4408,198,883
"Busan",51050,31712,42647,7178,224,14,4109,128778,1485,286892,2543812,105686,156536,38955,8574,139799,95484,1157,1127758,159663,12109,18618,12172,43,13349,5958,34911,5,956,240,65119,19448,92809,8310265,3933,8118,31739,11,10835,13455,9793,3625,166340,11224,2539,8656,3662,51010,197718,515510,1191132,102644,3080,201532,671509,161,36860,4586,3097,4308,68,61527,45556,1925,9,6192,6880,14470,9470,139161,6260,16155,509874,594500,1689,14330,10876,0,24432,163,11313,17953,45219,57043,1585,59691,344986,71028,42960,19513,664,21669,375664,71370,5233,73149,45747,63524,2597,2515014,112708,14677,18078,6535679,1005,2380,22838,18,244487,14022,5849,27599,21145,37747,26375
"Buyeo",24,6709,13865,1011,8823,0,15354,727,35271,218,69,51540,873,1528,124,115,9018,18743,9324,152234,821,15515,209,87,12,328,916,2,184,1,5,1187,2830,258,5668,7010,34,0,222,120004,15,12,4159,1590,153014,5,4,233,22768,44,1702,604,120,15,301,1693,16,4,78,112,887,25654,43,8,0,2,2866,702,15,71,13,1560,37,484,13273,423,32,64,6,1,105,3384,21491,1997,61,12935,20,16,2948,136759,46800,9248,139539,25210,7,262,338,25021,22,2651,31,355,85,379,65,0,339,0,883,1073,2948,135,26531,495,1679
"Changnyeong",13413,7178,8624,2112,29,1,368,262107,379,197585,110002,19816,33701,9747,1718,44,19680,281,709598,34150,1084,3089,2844,26,4216,452,7514,0,660,28,48114,943,39101,269363,376,872,7145,0,435,1756,7957,1247,38574,2228,357,3230,342,6239,10842,33316,6596,14098,453,20365,973200,21,6597,4418,633,1075,12,9461,3302,312,0,761,494,3137,728,24559,839,3567,91638,99,229,714,3920,0,3960,11,1344,3564,8164,26017,383,8490,42625,5828,14370,4442,108,2777,74795,12540,937,4857,43930,12708,3295,10451,9108,2536,5190,37150,372,599,4717,1,17422,4535,353,6992,4127,5526,4611
"Changwon",8560,4984,6654,1631,12,5,1181,2454593,141,181614,3309942,16712,16283,7724,1910,565,14376,126,201568,30473,3741,3954,2593,32,2631,568,4167,5,679,41,30318,3004,20270,3917613,1393,2322,5785,1,3135,2189,2897,2488,25020,2606,313,1153,1694,5827,46325,133875,127529,769,424,76202,786904,26,15603,3063,661,1292,17,9318,9250,715,0,1797,1942,3252,2679,83056,2134,2896,307465,2087,216,4123,3049,0,7107,18,3152,1883,7396,1018,333,7495,168641,37572,9006,4741,66,6656,65729,12240,1579,23261,16885,11454,3382,423776,24244,2513,5186,613939,470,459,3490,2,2177,2061,1197,5061,3780,3438,4203
"Cheonan",1984,203724,1083312,70517,4010,6,61173,141588,127717,22099,14186,2842786,41134,24357,2706,4496,1063135,36090,277184,1720718,346,4280,3339,3560,116,17459,16835,32,8128,8,3210,58929,57982,41601,16312,47499,964,2,66,331946,3333,5798,152199,42755,290941,81,521,4458,11870,3797,83699,31536,18905,2300,92497,11852,15715,207,3296,2906,667,1318741,3318,847,3,5860,3214,13825,1643,8875,471,8785,28806,24121,184737,27508,398,252,2640,16,4602,73313,1457063,40844,2729,750908,18945,14180,119650,117849,69879,7277,3861820,600085,132,1026,15802,1207648,19257,99017,2962,10142,2309,51424,3978,76,9738,13,38323,18819,29243,3889,9531,19301,70070
