"","Anseong","Busan","Cheonan","Chilgok","Chungju","Daegu","Daejeon","Gimcheon","Gumi","Gyeongju","Gyeongsan","Hoengsung","Iksan","Jeongju","Nonsan","Okchun","Osan","Seoul","Sungnam","Suwon","Ulsan","Wonju","Yangsan","Yeoju","Yeongchun","Yeongdong","Yicheon","Yongin"
"Anseong",0,5550,29675,449,18321,7000,13159,1946,713,1835,362,1042,2162,8128,852,1178,20487,230714,19582,54892,712,1735,199,877,151,339,1882,2690
"Busan",4939,0,14059,8816,13235,214903,38377,6682,43683,406791,16537,28,3837,9389,2305,3013,11471,209990,9738,37267,434429,530,324330,426,27208,2489,2810,2180
"Cheonan",26759,20980,0,268,59410,16247,146967,7509,2306,4388,428,3430,4748,19883,2358,2972,63455,601461,36552,83018,1306,3754,262,1174,822,975,2663,5015
"Chilgok",819,6031,1515,0,1811,391014,6464,1107,28053,4694,2495,4,851,1240,504,803,1426,22932,1033,4482,830,47,3627,28,1700,881,178,159
"Chungju",17169,16453,62269,167,0,17569,187927,6053,1944,3371,225,513,9696,29422,2853,13579,27584,258001,15960,44698,1390,329,465,247,440,3167,532,1946
"Daegu",4505,217667,14357,354933,15352,29213,79150,29401,445405,328082,71306,93,7214,15276,4097,6725,10470,261234,15166,34483,59549,599,48555,310,45513,8292,4671,2832
"Daejeon",12786,40311,143217,705,193732,79372,20228,21114,7433,15562,848,1916,73360,134903,218589,33623,24129,278928,12718,36585,8500,994,5243,554,1615,11668,1904,1930
"Gimcheon",1604,7374,6282,302,5523,27619,19632,2394,33243,3108,348,62,1434,2298,1087,5146,3748,71935,3924,8901,1268,73,229,213,420,4763,465,631
"Gumi",519,37113,1620,5454,2238,465672,7352,37139,132,19111,3167,14,652,2261,472,1613,1900,33739,1656,6911,5182,33,15573,29,2039,2469,123,470
"Gyeongju",1293,336019,4800,3706,4083,273634,15284,2809,12479,0,11581,5,1687,2852,1286,1569,3355,71551,3065,8587,21222,101,9404,92,3982,1203,579,786
"Gyeongsan",233,11622,440,2397,387,64580,1111,529,3377,17100,0,1,136,364,258,234,567,3723,301,635,2997,14,10700,5,6692,192,17,60
"Hoengsung",1054,49,3457,3,398,113,1586,53,7,4,4,0,454,1791,120,88,1722,113483,654,15323,2,94016,7,4955,1,30,64159,3919
"Iksan",1955,4867,3706,101,10435,10841,69704,1577,452,2263,124,1049,0,10054,9874,1935,6327,97078,5871,8360,542,583,1943,418,322,138,1763,632
"Jeongju",6191,9686,13652,185,25576,18136,126573,2071,1516,2951,230,1983,9706,0,41355,4106,17730,395867,19610,27993,965,1248,154,684,700,217,3699,2584
"Nonsan",694,2519,1588,117,2456,5042,217009,1149,551,1564,210,152,11595,40287,0,1840,1372,38763,2008,3576,464,93,567,52,347,212,64,243
"Okchun",1186,1969,3420,199,14831,8985,31745,7577,2067,1945,161,111,2030,4428,2247,39573,2293,15274,1473,2964,548,71,2538,37,298,14817,91,174
"Osan",22756,15165,76462,225,29797,15582,24362,4902,2924,4021,301,2461,6594,23035,2373,2430,0,342315,43081,25617,2098,3284,674,1939,348,718,6075,7269
"Seoul",221688,173070,557869,1831,242350,203820,261091,55158,26555,63415,1920,110320,81011,330637,33834,13453,329287,0,187115,480948,31460,122053,33105,36707,2754,9136,58353,429138
"Sungnam",21265,21462,40362,242,18205,23210,16436,5474,2948,5182,366,1365,5119,25677,2444,1632,45319,183658,0,112305,1646,1863,3730,593,697,638,1580,40427
"Suwon",58590,63374,86555,363,52194,54540,48178,12559,9068,15704,548,14988,11296,53218,4806,3777,29578,457918,106072,0,5785,29461,2892,19179,855,1741,45031,125324
"Ulsan",693,200669,2889,1210,2179,66306,10962,971,6955,23023,3819,3,674,1690,470,623,3949,47369,1637,10177,255665,64,263241,40,2742,591,131,2675
"Wonju",1469,117,3380,6,131,404,768,48,17,68,5,104825,317,1131,76,27,2569,123779,1307,30316,27,75263,234,36401,6,16,170736,9566
"Yangsan",73,326040,161,349,457,9422,2170,143,2438,10249,2012,0,211,182,33,65,426,8349,361,2080,41372,136,0,10,733,71,25,55
"Yeoju",703,753,1323,3,285,339,524,133,18,136,5,4201,169,723,50,38,1493,38733,503,19983,40,36528,560,0,15,10,130086,19663
"Yeongchun",302,18919,933,1322,624,47580,2619,477,1741,5061,5446,1,332,1063,346,212,493,8447,444,1509,2738,31,10727,71,0,374,41,303
"Yeongdong",284,2573,926,181,3277,8427,11768,5298,2292,1008,207,38,148,236,212,14659,633,9931,475,1134,640,21,149,5,292,3295,23,65
"Yicheon",1880,5206,3293,25,726,7108,1472,337,71,874,5,58884,1317,6779,128,70,5910,56672,1554,45760,87,181642,67,182600,20,26,18561,42350
"Yongin",2576,2171,5909,20,2453,4622,2510,709,319,1264,33,3771,551,2761,313,166,6452,450526,37934,118712,1757,10514,1204,22278,48,88,47883,68693
