"","Anseong","Busan","Cheonan","Chilgok","Chungju","Daegu","Daejeon","Gimcheon","Gumi","Gyeongju","Gyeongsan","Hoengsung","Iksan","Jeongju","Nonsan","Okchun","Osan","Seoul","Sungnam","Suwon","Ulsan","Wonju","Yangsan","Yeoju","Yeongchun","Yeongdong","Yicheon","Yongin"
"Anseong",0,5397,25309,344,23303,6717,14685,2736,768,2023,228,938,2628,8760,887,1388,25604,261639,22305,57140,657,1402,144,628,234,517,1388,3508
"Busan",6614,0,12843,9849,13322,229213,40384,6713,33978,423216,18421,21,4470,10576,1767,3350,15348,213834,10477,39529,314961,441,567389,414,34104,2863,1242,3077
"Cheonan",23081,19139,0,248,65591,17376,146652,7812,2077,4620,632,3039,4149,15539,2087,3350,55800,609389,42202,82746,1528,4110,381,1233,735,1437,2698,6107
"Chilgok",373,12431,295,0,220,427639,1428,374,4229,6076,3677,3,128,147,130,209,267,5498,201,496,1045,6,601,10,1746,223,7,43
"Chungju",24017,16648,68029,260,0,19408,122929,5977,2240,3786,256,639,10123,31182,2544,13113,31968,274392,17703,47596,2076,252,401,265,341,3073,486,2321
"Daegu",5691,272753,17766,428476,17840,32214,88315,31398,471692,373040,90391,119,6646,11555,4230,9144,14313,287564,13841,40451,70617,503,11427,229,52118,10350,5126,3356
"Daejeon",15183,46707,146427,1231,130093,87597,21288,23976,7133,17402,1023,2116,88011,153640,199306,39153,28042,305252,14871,41472,9749,889,1435,535,1523,13067,1155,2644
"Gimcheon",2497,6762,6877,338,5507,28208,22197,3081,32290,2859,307,56,1391,1983,1078,7104,4140,75603,5014,10041,956,77,110,65,403,5073,191,915
"Gumi",586,40587,2300,4932,2213,454919,7044,37892,114,16462,3514,13,502,1561,492,1711,2295,33552,2066,8040,4967,34,1372,32,1754,2530,65,571
"Gyeongju",1591,385224,5920,4948,4737,333313,18363,3145,12672,0,13944,4,1810,2905,1327,2070,5725,87090,3481,13633,25520,88,12034,82,5181,1900,678,818
"Gyeongsan",495,23816,644,3532,342,84013,1084,382,3770,19993,0,2,65,206,149,352,566,4861,526,837,4140,6,2576,10,8841,185,24,80
"Hoengsung",979,100,3238,2,539,129,1677,57,13,8,2,0,538,1714,126,38,1916,121540,935,17292,2,108855,1,5813,1,63,71073,4775
"Iksan",2650,7602,3794,103,12153,9825,80898,1685,432,2287,67,945,0,14473,11005,2509,10160,111981,7803,10226,1413,820,268,220,197,195,1809,954
"Jeongju",6852,9034,13306,76,28507,13449,145097,1908,1284,2279,232,1310,13723,0,46717,3895,19977,432906,21253,35057,1424,1657,113,828,338,237,3790,3101
"Nonsan",737,2742,1489,101,2574,4484,192978,1153,364,1651,178,137,13226,48962,0,1970,1448,37922,1949,3370,633,78,41,58,265,282,83,296
"Okchun",1890,3848,4029,259,15853,10284,35869,9333,1954,1971,143,67,2648,4377,2142,48650,2728,17457,1536,3539,647,65,77,57,327,15825,79,212
"Osan",32590,26331,71409,371,39505,25799,34720,7617,3693,7044,452,2407,13054,38949,2934,3258,0,400630,47968,30331,3319,3123,1917,1846,405,1255,6262,9657
"Seoul",272515,197649,597667,2369,266694,240166,293454,63046,25779,66617,2273,120192,93782,385487,35812,16460,392776,0,218629,592039,30858,126216,7915,42224,2936,12501,72648,538956
"Sungnam",25436,26283,48120,324,20357,21766,19512,6546,4988,4722,448,1585,6777,27281,2742,1680,50251,210048,0,135530,2133,2964,751,686,684,893,1793,55272
"Suwon",60274,56214,87976,433,55702,57550,48386,13171,8296,17101,670,16919,10600,56327,4751,4006,34207,553617,129799,0,5477,29024,2764,19605,993,2025,56662,160605
"Ulsan",744,315931,3552,1639,2955,70514,11896,1009,6254,27685,3827,31,1507,1975,727,577,5572,44413,1891,10797,385570,89,47697,35,3507,920,101,2912
"Wonju",1148,511,4325,2,306,477,938,44,25,53,3,122715,373,1161,56,49,2749,125253,2562,29419,52,91782,2,38774,8,23,187655,11006
"Yangsan",72,573875,329,689,691,13204,2907,129,2026,12058,2518,1,346,179,33,61,804,9150,393,2259,57375,196,0,5,1207,63,18,50
"Yeoju",669,1057,1317,7,294,266,562,96,19,106,5,4822,194,781,61,46,1505,45166,629,19698,44,40061,57,0,11,11,149441,22495
"Yeongchun",573,36002,891,1189,365,53552,1972,434,1302,5466,6494,4,179,940,206,291,408,5912,380,1292,3694,12,973,77,0,236,69,397
"Yeongdong",453,3097,1329,210,3012,9616,13436,5898,2394,1470,136,66,194,239,215,15335,880,11779,628,1368,863,24,52,22,245,5852,39,93
"Yicheon",1601,5280,3798,13,514,7494,1525,265,115,991,51,67420,1747,6977,99,74,6047,67708,1839,58132,157,192754,35,162532,40,35,26636,52729
"Yongin",3454,4076,6852,19,3018,4607,3194,762,624,864,36,5078,865,3293,367,222,8306,554766,55240,152788,2228,12233,81,24151,77,141,60524,92831
