"","Andong","Ansan","Anseong","Boeun","Boryeong","Buan","Busan","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangneung","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jinan","Jincheon","Jinju","Milyang","Muan","Muju","Munkyeong","Naju","Namwon","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Sungju","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yicheon","Yongin"
"Andong",151580,7188,751,8,21,0,31259,1,2,229,338135,28,20251,5512,137,1281157,1583,0,131,68747,477,54372,1002,459,5230,2,52,627,4537,12,1,9,0,3,2,0,916,6386,4,53669,14193,5,3,35698,29021,55,0,7,2,1,0,8537,8878,34,3699,179,0,4,72313,34,180,2,38,2,13113,4,9,10,0,1,92,58,1449,11821,4757,282,1,0,43,3,145,189642,19696,0,0,22,24525,2,49021,94,61250,31562,2931,34402,7471,10303,112,0,180046,10902,19244
"Ansan",7633,321865,150599,3347,30058,9965,23058,4733,4227,133140,4533,29674,2749,743,111550,54091,97450,1176,144587,6047,14476,260,272720,90559,24547,890,5667,10123,10227,5220,6427,6340,1041,19956,3334,1105,25264,584041,45621,175,3101,45420,2285,17811,4519,1314,1142,18823,3200,5967,107,18844,4871,23907,421307,9180,1584,4145,18601,4650,13167,417,14624,4871,3374,20520,3714,6946,375,864,12037,3535,97224,8977,17566,279600,3002,1518,32506,13627,52440,6233944,6437611,96,8160,2867,866872,4747,20517,9566,69927,13121,11336,389,48176,7803,1483,4153,13104,115431,712957
"Anseong",931,160920,560367,13972,49245,4635,25885,6053,3755,790748,8742,1217,18114,1489,613477,82331,486210,2528,163404,890,11647,36,36012,234828,26525,2145,23553,21299,10661,6747,2753,355,1891,94159,3041,3183,40916,77072,15824,28,305820,103602,5434,16519,8009,10843,3256,21163,1133,14055,346,23725,14736,38818,818863,51594,7652,9255,2766,29460,68531,2047,117103,14271,5333,12585,11460,372,85,2589,58421,13689,944831,10433,21704,737577,7847,6169,15766,10944,84423,4356973,398171,119,16002,2590,480266,13231,23799,50271,84375,15677,12539,48,59997,7829,5205,2183,1701,200204,678272
"Boeun",11,4382,19709,48118,221,23,5097,1718,1196,50008,1677,1473,824,321,699407,27549,116024,75,836,11,348,6,750,5503,731,115,737,2739,2495,403,13,999,30,356,1070,76,17238,2483,390,7,7911,3657,286,5016,1836,1385,111,6533,22,146,74,408,482,100,12784,2726,368,318,35,1430,3312,35,9820,480,1395,143,307,1617,0,114,2824,336,15403,4312,469,11261,269,150,64794,213,965,110664,15938,5,265,2238,11045,394,7583,1992,1773,3769,409,1,1898,2177,71,31,6,4740,12067
"Boryeong",26,27989,50271,170,274689,35831,338,23,72,2037,73,98,711,15,4310,1568,26708,2264,84247,111,625,2,16872,7609,1327,9,286,475,217,20863,15707,14,1430,507,22,40,770,14128,460575,1,852,53719,1929,182,84,154,703,226,6660,26,6,505,594,203403,234773,16,11,3861,313,38,50,0,1366,88,38,31844,96,16,337,208,125,317,14665,254,672,103648,198,15,380,279659,182113,494372,103709,199,11524,54,22715,162,395,14,2565,95,697,0,1452,101,104,6949,104,2667,19966
"Buan",0,8601,4710,33,37105,30328,3229,205,1057,5677,2,8,51,0,870,3373,3768,10224,10451,5,38,0,2166,204,58,270,28,39,3584,35334,87335,1,5404,1455,274,316,71,4104,124484,0,141,183948,3209,5,2,13,1265,3219,21808,1018,102,33,44,20460,54765,15,112,16435,14,105,447,6,51,1748,0,70472,6,8,951,5339,22,26,4009,25,33,18301,1650,314,83,19954,14069,146110,31642,1323,19095,31,5164,1703,26,30,147,0,36,0,139,5,8,37728,1,214,4686
"Busan",12488,15149,15261,1790,165,3012,8152163,227617,2629384,47357,22179,13602,2498,69231,39142,1531431,84234,9129,5513,2900,44,2395,2357,9784,562,37701,14860,31251,7203955,1686,4321,9114,11248,599,21472,8830,36555,4880,216,1197,18797,144472,272347,1516303,59411,1615,187839,560684,64,36725,10038,1387,1526,151,27222,23083,6926,3881,3381,5938,123940,3612,3455,405698,433854,457,15111,6047,3,18899,7225,2202,16635,838,919,17377,279376,44884,20692,59,2436,173269,34418,1634,144525,24838,15476,54901,5222924,64309,5233,5417760,556,1008,5588,140679,3332,2909,7351,15323,22409
"Changnyeong",8,5443,5581,944,19,190,231856,155918,160037,13319,24,6037,139,1,15710,756858,26156,664,1723,4,12,2,376,3900,118,26639,702,27094,259376,117,414,2805,523,99,23561,1449,8627,1842,37,1,5465,7431,20502,27,7,735,15292,858967,7,4141,9322,76,80,23,5275,1563,478,234,4,434,21355,350,966,67131,9,28,567,2069,1,2300,1039,1198,5009,23,102,4562,27745,3526,11981,15,705,61372,9550,262,10170,31708,6470,8057,39,3599,419,12,47,0,2517,8,1471,183,5,4905,6369
"Changwon",6,4036,4700,868,40,1126,2344109,198390,3274397,15710,18,4654,168,2,11958,282843,25566,4687,2618,5,28,4,698,2597,99,23450,3201,16769,4297640,602,1822,2520,5298,219,13782,6617,5978,1835,94,0,4225,61826,109489,132,4,526,74665,755237,26,18017,6498,95,65,49,5530,8039,2557,2052,11,2897,89399,1765,1077,269806,17,229,4991,2009,0,7486,3185,1044,4496,7,90,5181,142726,27408,8392,15,1623,51594,9574,696,62255,17877,5419,27241,255,22100,524,126,88,2,1712,4,860,1086,2,3508,6196
"Cheonan",254,130667,870837,34570,1974,4901,82026,15295,13084,438110,21115,507,4853,3216,845354,224891,1607416,5072,9267,455,3916,81,27177,24296,9081,3534,55019,49246,32014,11385,3197,192,3521,220677,10094,5061,135836,63522,19239,101,8240,187330,8945,78599,24048,11251,5144,69505,824,14359,573,3910,4376,1565,678553,91524,7480,15474,1582,46536,130311,3811,2256,24861,16041,11003,23151,784,26,3508,124993,33989,791046,33763,7328,343949,15660,9538,64622,3153,7088,3436901,413687,224,34007,9209,351956,26207,96279,95112,15664,48472,5068,13,9907,31165,10544,2485,459,18676,649350
