"","Andong","Ansan","Anseong","Boeun","Boryeong","Bosung","Buan","Busan","Buyeo","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungdo","Chungju","Chungyang","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangjin","Gangneung","Gapyeong","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Goheung","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gurye","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Imsil","Jangheung","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jinan","Jincheon","Jinju","Milyang","Muan","Muju","Munkyeong","Naju","Namwon","Namyangju","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Sejong","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Sungju","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangpyeong","Yangsan","Yangyang","Yechun","Yeoju","Yeongam","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yesan","Yicheon","Yongin"
"Namyangju",2,30,17,1,0,0,0,5,2,0,0,16,0,14,107,0,17,0,21,22,0,1,12,14,0,0,27,0,26,0,0,1,0,2,0,0,4,0,0,0,0,0,0,1,0,0,0,98,11,3,3,0,0,0,2,0,0,0,298,335,2,18,0,1,0,0,1,52,1,6,0,1,1,0,4,2,3,0,0,0,0,0,17,3,18,2,0,0,4,0,2,1,154,12,0,14,0,44,1,0,1,124,1,1,2,0,41,0,2,0,0,0,0,18,38
"Nonsan",59,4648,8273,3065,127,3,10,9261,59,722,2451,1696,5395,12509,1940,268,81813,269,38863,774113,2128,30222,625,788,28,58,7390,3,2100,4,539,16727,13366,6614,14294,223,78,0,206,46675,1317,1020,15018,477,87,14,4167,7076,84060,39176,6717,5801,63650,1190,9088,67,3760,245,1157,1360,124,8656,67068,16199,0,3214,17143,2337,33262,88613,4379,11461,5192,1385,1490,5420,78,3,4763,2,612,14949,1082,7587,378,6867,2651,3168,27853,23784,109,20369,49732,14354,668,8549,1556,1529,3533,8694,56108,4013,843,3046,749,0,4563,1,4746,5348,296,230,64740,12456,356
"Okchun",138,11392,27498,485,1486,0,122,20311,3227,4685,1422,79370,12481,15087,2140,757,396903,3385,55784,1679132,317,8338,494,1228,49,1102,9490,0,2390,0,252,4008,42763,6990,2068,118,95,0,30,20161,2120,500,31408,4663,1795,37,246,13653,17737,4330,18546,6890,15090,440,8796,42,1252,104,882,1997,73,34207,15643,837,0,854,7511,2552,9576,17961,259,17094,2851,3133,1140,8161,96,0,565,1,20080,84847,24402,9456,330,24116,2099,1151,3639,73997,2376,8496,190204,29095,88,1604,3573,29307,4563,14627,6568,4460,961,6954,574,1,4527,0,5952,74602,150,55,23770,7800,3756
"Osan",3591,60896,903374,11331,8172,4,20161,23075,37091,4558,2553,822581,7316,65237,1096,1142,233424,11831,66552,283945,137,29331,4188,6268,139,17441,105248,8,13456,7,723,10428,17648,14032,5482,15662,3482,3,46,102405,1975,1811,50575,42330,93621,111,189,6698,4048,1137,18499,4747,6056,914,22787,3858,5213,131,6749,2133,5447,682109,1136,374,1,2793,887,16170,690,2322,176,146418,10081,4785,60069,8475,2863,65,1039,14,586,11489,55459,8361,4422,158118,5191,4415,29953,34191,22494,16221,2635079,233656,38,391,2498,857065,8741,23238,1006,33115,1422,12626,4830,153,30080,2,4975,4332,9750,5984,9412,88411,166518
"Pohang",18808,16831,14137,4383,811,2,227,1382,2187,25173,1005,43227,198196,12113,6777,22744,53497,1555,3159559,122823,2959,28142,7912,32,4394,842,13184,2,162,188,17751,1534,62272,660,2168,1316,19356,0,152,4982,53403,475,258540,4170,2283,3149,289,13514,43213,59549,508,11045,4350,8012,35117,28,4210,5012,1897,1832,54,27849,10819,282,0,1069,1720,6994,3674,20058,1502,5116,12906,30309,328,534,9058,0,8838,132,7848,8116,16589,997818,601,17028,11481,1978,34060,10596,1237,7919,206280,37290,2091,5198,2355,35235,1320,756,16468,9195,10169,1409,77,1385,9377,0,496884,12798,1342,13234,13203,7886,10065
"Pyeongchang",2896,9906,12457,165,191,0,29,1695,74,338,177,2071,2295,855,4582,146,9745,27,11696,10625,103,679,1837,45317,385,2141,6797,0,372323,648,64,244,207,542,120,28,317,0,4,156,191,50,646,16086,218,683,53,23816,3718,682,836,359,172,56,1937,16,110,29,183571,1334,113,13783,976,121,0,53,235,6215,629,1451,19,2249,231,855,194,198,162,0,85,1653,377,174,6388,288,137179,2981,135,69,659,121,66,639,288698,37492,14,160,69,87116,163,1846,838,252808,8501,1555,51609,321,43035,0,218,65,44,3242,197,23694,35101
"Pyeongtaek",7287,814235,1146379,16791,266892,1,38674,50163,35616,11723,6500,671156,19545,210381,853,1792,330663,11627,107084,307840,2105,1333553,12655,2491,302,60224,242469,15,3196,4,1150,17191,20777,20713,10423,26038,8151,0,645,97976,4734,2232,51444,96845,174920,355,1016,1976,81266,6544,33400,21737,6493,1205,45069,8272,6911,195,1931,1285,201275,1582659,6332,1897,3,2912,10757,43362,2352,11010,462,332469,11147,9736,96055,10437,7170,265,1760,9,8297,19333,147650,15077,1352,2203077,7314,6558,50623,34805,82357,695192,3043923,1855244,195,2671,6173,196309,10347,45990,5284,8157,1329,22153,1618,386,5581,5,14367,6691,15727,12320,189615,7890,8312
"Sacheon",4194,2928,7807,152,81,4,1327,309412,27,40657,146860,16769,7511,1758,892,92,20338,51,131517,73426,6638,3484,1422,40,947,191,2097,5,704,5,20103,9654,4763,333333,545,2119,1375,9,5631,3575,2278,56547,11591,955,108,656,3895,4605,59665,364498,14228,4524,1274,355959,878670,20,37813,1286,327,701,32,13386,8421,1066,2,3666,2265,1632,2595,140969,3169,2010,2142040,240,44,13082,671,0,9293,3,2526,291,10117,11859,122,7519,335258,179940,3583,5513,21,3186,90002,13309,1333,59593,3221,14570,180333,56903,28093,1758,495,53031,364,147,1078,5,4490,48,1344,2273,3531,3037,1817
"Sancheong",779,3179,8422,83,12,2,682,63568,27,5606,31214,14449,920,1338,387,66,18337,50,22995,52570,2287,3459,194,32,192,175,1555,3,319,7,24394,16469,503,77362,1418,643,74,2,250,4190,3440,39609,1332,871,47,118,387,3569,18437,36952,1703,849,775,24871,178178,12,62777,4618,167,348,5,11051,14117,252,1,6453,564,694,1801,48852,5226,2845,209798,78,54,16241,107,0,19629,0,2953,258,8816,2183,68,6622,171964,91578,526,5464,12,1906,85910,11312,2343,5615,630,12706,80291,13215,39530,642,299,12917,116,37,1222,1,1030,16,364,449,3911,2527,1229
"Sangju",193,35307,58481,93818,792,0,324,46117,2438,15922,5898,112912,42768,112949,3596,4666,310998,1372,495582,322831,485,5084,230,499,70,3997,59766,1,2833,14,1956,2217,50426,20434,2941,274,138936,0,85,4742,22236,146,235405,24201,4694,38,367,69892,18352,8146,31149,23962,14583,1462,49409,109,793,980,1608,2414,385,49800,20034,1056,0,218,2210,5024,9319,22478,300,12289,4393,10403,1564,441,128821,0,1734,11,26346,3224,48648,34788,862,50550,3895,549,315649,5668,1491,5021,725643,114013,339,1308,32087,149820,1681,40089,12248,4509,47428,22608,1357,7,49176,0,20308,3810,277,105,7162,52438,44206
