"","Andong","Ansan","Anseong","Boeun","Boryeong","Bosung","Buan","Busan","Buyeo","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungdo","Chungju","Chungyang","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangjin","Gangneung","Gapyeong","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Goheung","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gurye","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Imsil","Jangheung","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jinan","Jincheon","Jinju","Milyang","Muan","Muju","Munkyeong","Naju","Namwon","Namyangju","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Sejong","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Sungju","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangpyeong","Yangsan","Yangyang","Yechun","Yeoju","Yeongam","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yesan","Yicheon","Yongin"
"Ulsan",52773,31279,26029,6864,928,4,1844,2483264,2421,10167,393301,96579,161543,21510,13109,53687,83665,2535,1271753,145181,8204,17689,34681,28,11451,1871,21553,4,652,309,21383,2874,67990,1510860,1346,2660,22982,4,4808,9889,24569,1815,201095,7777,2395,6228,1850,24282,64431,177866,1163830,231897,2868,41523,92394,70,7065,6176,4427,5715,76,62305,24322,803,1,1833,2830,22860,5437,37558,2850,14065,105752,237717,862,1948,10513,1,7621,165,9234,9850,36092,15632,2327,44709,64154,16476,37099,14572,2002,29923,315531,56553,1191,23146,2690,54537,2876,2694900,34797,21767,13771,2746957,700,3265,15324,6,312776,14631,2165,38247,20237,17444,19765
"Wanju",1145,15314,10408,2752,184,12,54,98346,166,5387,25712,2389,2446,16373,2619,484,90486,1179,107187,415226,8956,114052,804,1184,316,230,8467,4,2620,7,8550,5280,7191,66889,75228,3044,233,16,872,236302,11561,11718,11014,1569,178,226,69835,9294,725181,442917,14225,5180,23642,14697,100891,864,65305,6759,1722,2068,241,29336,166897,520098,12,272705,97360,3246,345335,106777,124948,11571,55079,349,11296,149281,134,7,127437,9,59651,5664,2193,16274,1020,34325,27354,39530,13118,84502,152,58349,130360,53564,3833,100575,1922,3926,50853,29036,164669,4509,1859,14240,1480,11,5521,3,5820,1588,3093,312,131154,13545,846
"Wonju",64194,76743,87108,1034,1446,4,203,16126,471,2470,1444,7610,16421,7180,820513,1535,51422,143,87767,50464,291,3565,124713,163357,10423,14198,52959,0,515704,24357,666,1469,1192,4656,698,189,1524,0,29,986,2342,187,2904,91071,1526,10977,427,199583,13919,4139,17256,4741,2307,555,17265,61,626,200,698004,322475,937,75599,6280,888,0,352,1600,1161709,3758,7270,274,13175,2630,6964,1103,861,904,0,504,25939,3631,2043,44380,8163,221897,20635,1734,491,3700,918,470,2966,1690055,225195,116,1148,438,490347,1500,21653,3475,912435,40018,13602,119422,5982,201215,0,3320,431,150,131792,1026,228255,301475
"Yangpyeong",7906,960,17334,581,251,0,55,11710,104,3364,1703,1677,3557,69043,102,810,18936,36,40744,18074,90,564,7371,6791,300,207,119143,0,12240,14,236,601,4588,5302,254,47,15788,1,11,273,1889,89,12349,1101,329,464,201,690,3728,1382,9091,2675,517,172,13191,17,373,186,5147,130,157,3334,1707,325,0,180,521,19716,942,2666,52,4920,916,3115,279,400,10380,0,208,102,858,693,2439,7129,5580,2094,496,258,40492,279,108,475,4031,1431,44,395,2337,12548,871,11055,1706,29377,6852,6892,1599,395,781296,0,3564,483,45,11824,211,19764,23758
"Yangsan",31486,7753,11992,2197,98,5,560,6163026,368,32052,478813,31036,105452,7984,4951,144303,28629,371,645000,54750,2495,4647,7869,313,9466,795,8928,3,771,102,8822,2317,23395,3044969,582,1109,8662,4,2151,2592,10767,984,102312,4731,376,6044,568,13171,34953,72019,732122,81802,1530,30583,126697,12,6077,2426,1812,2774,25,16382,9785,345,3,952,1849,8886,2437,27453,1272,3679,94467,777511,193,2051,4166,0,4051,56,4274,3276,12721,48974,991,14382,53340,12595,16891,5958,171,5319,130513,20108,545,10527,4583,23338,1184,2823178,14905,7951,5513,1434953,783,1467,7948,8,144820,4721,945,17032,5530,9860,7888
"Yangyang",2656,6532,11594,282,231,1,44,961,92,409,265,2609,2169,1218,1368,117,14029,37,10640,14663,64,596,2003,315102,370,1418,6886,0,712404,245,127,295,313,422,183,40,424,0,8,227,366,41,780,9124,335,492,103,12323,3820,1045,259,330,360,105,4169,8,150,34,50164,414,134,8130,1297,218,0,94,363,7720,631,1921,42,2453,416,759,277,245,229,0,122,611,564,378,5333,36,71093,2655,300,116,1110,193,112,517,87011,23923,19,296,96,51942,294,612,1083,113483,2359,975,384777,364,23503,0,119,98,30,3448,162,19651,26574
"Yechun",36554,240,309,1,0,0,0,1716,2,557,235,13,9826,651,1790,258,27,0,37726,44,24,35,8412,66,3321,44,229,0,794,168,90,0,15,563,0,1,7,0,0,0,792,5,48,213,0,3507,2,560,215,328,1685,941,0,71,1865,0,24,32,517,891,5,269,3,2,0,8,8,7076,1,18,6,52,197,864,1,0,1,0,69,234,2,0,169,1022,190,284,127,28,6,2,1,19,6120,724,9,56,9,1329,33,3201,9,4613,277,1569,292,66,359,0,704,1,3,27459,4,219,403
"Yeoju",9208,66032,116590,1770,1350,1,211,15121,441,2951,2063,7795,4690,98009,34809,1043,89252,140,57105,79789,406,4061,6908,18472,317,20373,179884,1,41570,38,429,2182,5166,6471,1021,177,15594,0,39,1055,2357,248,18224,78481,1401,268,506,214661,17308,4163,9856,3258,1578,328,16665,62,933,195,28802,15480,893,80013,7940,1131,1,464,1935,47403,5149,12760,236,24063,1952,4706,1230,1164,8294,0,608,50,4169,2493,44837,7327,12100,18042,1089,840,38810,1014,387,3005,1500316,172300,107,1140,2492,595696,1831,14908,5041,154855,749913,10072,13090,370,268972,0,3455,718,172,13723,985,282281,374120
"Yeongam",0,6,0,0,1,141364,1,20,3,0,2,2,0,2,0,0,0,0,7,5,2,7,0,2,0,1,0,553799,0,0,0,0,0,14,4,29,0,6,10,4,0,0,0,2,43,0,0,0,324,12,4,0,0,0,13,9,0,0,0,0,1,11,0,0,203268,0,3,0,4,4,0,0,4,0,221,0,0,0,1,0,1,0,3,1,0,11,1,0,0,0,0,1,106,7,0,755541,0,6,3,0,2,1,0,5,0,0,0,274,0,0,1,0,2,0,1
"Yeongchun",10874,11524,9046,2239,280,1,126,175193,787,17327,1894,37154,224882,7463,2346,24090,28855,565,3816662,51704,1441,6821,2823,7,2578,483,8174,1,222,95,11688,669,39891,34632,732,479,7452,0,84,2399,51084,168,142121,2111,819,2344,101,6144,20565,11488,158983,286909,1179,2074,27493,12,2459,4016,732,938,22,17914,7412,176,0,443,1217,3671,1809,10398,745,3418,5217,71673,211,197,4034,0,3470,36,4032,5912,9141,429984,255,15329,4939,950,18947,6822,457,6183,89616,20323,967,1142,4686,14453,747,271383,5546,3780,4320,84605,194,861,4719,0,129907,6572,349,8148,12981,5559,4942
"Yeongdong",244,2875,7797,93,273,0,27,15655,789,4345,1595,19583,15196,2103,327,1514,72267,730,111728,432649,50,2715,82,121,81,243,2355,0,310,1,96,1901,118265,8768,530,39,940,0,3,3924,4476,19,84047,806,726,51,23,3698,4441,312,18127,8482,3056,64,12616,20,46,147,132,234,27,11565,4945,95,0,56,653,439,1918,4365,57,3992,240,4552,255,80,872,0,64,2,6017,67278,9019,14178,71,9451,135,41,4674,15288,457,1864,60199,10451,23,67,4263,11281,118,21156,1822,492,430,10003,155,3,800,0,8449,40626,51,51,5614,2379,1560
"Yeonggwang",171,4648,3733,82,7487,6,34171,4099,2742,257,1104,8333,172,351,72,20,1148,581,4021,3707,9669,5861,13,64,56,551,166,8,70,0,606,85,126,3641,20171,101521,10,1,7941,10536,423,268,340,1578,49701,28,1834,161,45949,5972,621,285,125,1210,4875,14725,521,342,35,36,3269,19642,495,449,3,27,8410,67,848,1567,77,187,1887,15,79113,182,8,320,3754,0,236,63,4894,1299,31,8339,1561,382,232,3932,3895,5276,73330,19093,1937,25096,132,6927,1430,1599,2345,129,35,973,30,4,125,5,641,25,213,76,1230,332,464
"Yeongju",112746,14223,20966,14,488,0,11,26618,38,7000,2822,1089,142750,41974,27192,3673,6203,14,450652,3558,374,1743,329474,571,26655,2039,17179,0,10185,3453,2174,101,190,8352,47,36,200,1,32,62,9321,98,647,17412,107,39004,81,25261,6359,7534,21914,16423,69,1237,29673,3,788,706,11456,12268,335,19732,321,25,0,81,128,265343,155,758,101,4402,2878,13112,49,20,27,0,1692,5723,196,41,11144,12170,3256,12211,2354,434,106,74,25,1487,312169,43901,344,1000,629,72900,1121,37770,277,141408,13220,23972,4292,30162,19135,0,7730,32,63,46186,338,16675,20159
"Yesan",170,45955,21876,2812,2326,0,3010,18683,21793,4160,2423,2970,7008,7884,173,849,16927,6732,56210,855959,789,226617,353,350,64,19473,4098,3,521,1,436,19608,17227,7177,2973,2225,199,0,135,265805,1960,691,22610,17735,20238,49,2153,336,30874,14575,16177,7087,7399,667,15766,871,2517,119,317,307,1601,186777,14722,4269,1,468,4678,1550,5098,24191,829,2176,3947,4553,7503,6375,99,17,1510,1,59458,17368,5904,10656,199,174987,2179,2082,7125,462134,7491,44842,454131,152186,427,4050,2858,24702,3752,18785,12465,1049,200,8838,204,6,912,0,10084,5065,1147,398,175843,1106,1619
"Yicheon",12734,148875,325995,4726,1783,0,451,29767,914,6608,2872,20970,12551,92560,26266,1611,374032,276,83506,182609,1988,4599,10582,25838,387,54127,265333,0,72763,25,505,5891,7106,14195,2824,471,16020,0,111,2634,2406,694,26916,181012,5258,344,1368,919334,47315,11657,13693,10873,5598,836,20042,181,2864,200,48022,19040,1354,225166,20262,2928,0,1467,11291,54167,11055,28375,647,96380,6180,6974,2737,3138,11020,0,1681,60,10434,7158,113899,9283,23846,33425,3683,2133,57790,2307,939,3606,4769165,359858,300,2902,3202,1228073,4885,21400,14148,230608,20283,18125,22397,443,269908,0,4809,2094,467,19370,1347,307483,701477
"Yongin",14455,502631,92976,2370,2082,1,3236,18856,5909,5029,2304,77937,6269,72157,24799,1080,111611,1884,63063,78273,64,6237,12984,44142,416,161772,174099,2,91058,25,254,2575,6113,10085,971,2513,14338,1,11,16323,2114,460,21736,623003,15044,265,115,67583,2168,645,15124,5563,1800,314,18317,623,1324,172,69651,30209,1389,541483,833,146,1,616,288,51964,439,1262,76,23988,3337,5405,9837,1547,8649,7,250,55,372,3111,271452,9472,32417,52899,1662,1039,41612,5606,3727,4941,7396823,1067983,29,161,2670,3994764,3226,18026,679,316864,23870,12468,32342,543,367934,1,4414,1002,1561,20790,1855,733870,1788803
