"","Andong","Ansan","Anseong","Boryeong","Buan","Busan","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Damyang","Dangjin","Danyang","Euisung","Euiwang","Eumsung","Gangneung","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Gokseong","Gongju","Goryeong","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jincheon","Jinju","Muan","Muju","Namwon","Nonsan","Okchun","Osan","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Suwon","Ulsan","Wanju","Wonju","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yicheon","Yongin"
"Muju",15,3871,10823,13,0,19914,492,5558,20588,46,8,548,36060,9665,485791,2218,245,25,5,552,1749,673,1725,80540,254,17422,261,2,79,130,1379,812,2290,0,2,5497,16995,11266,174,46,3861,5025,17202,0,19549,641,372,273,30,3825,8705,88686,169,85,1813,4797,1865,24193,2,23627,8756,5586,2107,9400,638,4226,21037,13844,18,0,226,128040,15209,1194,4806,8014,169,561,1319,11,500,0,706,154,207,0,3,3267,18599
"Namwon",0,963,3152,2,0,41141,1416,14472,3993,1,6,179,6927,161476,26797,71542,35,2,0,149,502,219,45010,4349,20,46953,2,0,346,7,28489,28,540,0,0,1902,321953,3674,2,0,246,3661,37151,0,58743,9653,95,122,2,925,21,209149,0,8,1,4351,555,35433,0,8060,298002,125,475,2256,187,951,27943,29934,5,0,6,36001,3685,102466,1116,2312,3,0,437,2,142,0,257,2,64,0,3,1258,5084
"Nonsan",253,8674,30118,8,0,5947,108,1499,66654,2525,44,2122,78250,31679,743261,3,228,45,80,1218,5627,3108,514,12106,10362,4104,18145,0,4,53454,210,11698,5406,2,32,7286,269371,122,5771,3821,26038,202,4993,0,1476,135,876,1529,9,11388,216455,592,27741,295,83569,193281,6433,3324,0,5417,78,20505,19012,30322,1027,11675,2803,1605,411,0,71,322374,31184,0,81,18549,7135,31295,5406,1620,1592,1,2221,4933,13877,0,85,8157,57075
"Okchun",194,8060,25438,37,1,8637,9,282,66854,5361,45,977,350911,69380,1672214,29,916,33,102,1257,7052,1878,411,10475,41094,555,1243,0,3,373,23,27550,4324,6,70,10890,16774,1689,13862,5652,15469,767,1500,1,1752,50,472,963,174,11034,18195,2697,2965,160,8623,16275,12312,3958,0,5132,1247,22469,93089,22341,594,14006,4351,1346,594,3,909,165996,26909,66,1153,12888,13732,2957,3704,4112,1109,8,1639,8769,81194,0,62,5760,29933
"Osan",2283,93871,589664,11828,1781,34853,130,3032,670066,7963,5073,5542,246353,90648,247704,11,35400,1782,224,30852,6659,15258,1700,14186,28425,8591,3223,1010,7,68036,176,52381,52544,7176,76,8954,65983,2753,22209,7247,3291,1850,19600,731,8235,238,7346,5312,11001,15230,35666,5039,5735,5902,15330,43128,844,15620,5184,8251,1929,25642,22179,5240,8885,117361,9795,7380,444,4262,21321,3196973,288905,42,3155,304754,31149,5108,33377,9955,10967,255,19668,8631,11337,798,3038,59594,818982
"Pyeongchang",5062,19751,18712,633,48,2518,0,1,4882,4388,4203,22743,16937,27910,20480,1,1786,4008,660,7049,8399,800740,15,508,120,2,258,23,0,242,0,131,19960,134,1010,37439,4514,195,1689,501,293,78,14,20,170,0,289566,10117,592,5590,2519,393,299,13719,1465,2541,2593,241,226,563,169,1041,576,6309,670717,1685,116,126,18,93,2082,568382,76227,3,100,50042,2999,602,426502,686,209609,1817,42174,520,146,24,5572,39000,111210
"Pyeongtaek",458,311697,374288,92765,28767,30297,109,3341,286418,6401,720,1857,153947,70062,150598,6,543013,312,74,30819,1255,5132,1037,11374,24216,9612,8388,13023,6,42475,128,31759,71095,99810,38,2707,25819,2378,22169,9641,2676,1228,17368,6043,3525,148,2084,1629,76326,1055893,13933,2040,2201,1140,5955,17058,114,6671,32121,4840,1173,15016,16202,101672,2397,482189,7591,7669,257,32744,220218,2866715,1118189,24,747,70715,23356,1982,10106,11003,3548,46,4215,8433,6430,6720,805,14756,412034
"Sacheon",0,5684,16707,16,4,257350,29662,118389,26755,1,14,257,37353,128391,136773,5254,859,4,1,730,2354,673,45150,17796,57,275724,8,0,11015,108,2125,47,2646,2,0,7043,96929,263915,2,2,2829,432962,503342,1,54835,3788,173,280,35,6297,865,51458,2,16,17,53750,2752,1913662,0,24353,23162,3206,1972,10625,163,6049,607094,181149,6,1,364,182645,29172,1271,144274,9590,5,38,900,2,475,0,1033,0,172,1,2,3816,26033
"Sancheong",3,3154,8745,8,0,55580,4429,27494,15520,1,8,224,17829,40306,53455,2351,234,2,0,496,1591,441,45137,11705,33,69407,7,0,311,73,5559,21,1471,2,0,3957,9829,16672,4,0,949,23936,99928,0,67362,3579,92,377,7,4922,295,63022,0,15,18,20878,2541,220116,0,15254,27579,1850,622,7245,145,5102,169799,86517,5,0,253,93791,12033,3660,9371,5688,0,15,560,0,186,0,488,4,82,0,0,2649,12765
"Sangju",52,354,507,4,0,16037,0,0,1235,35190,941,43,735,445564,5942,0,18,6,28,38,372,42,0,137,7279,0,33,0,0,12,0,380713,163,0,58,532,333,7,19388,15466,98,1,1,0,2,1,13,18,3,170,481,10,49,5,209,429,51,5,0,29,2,370,468,409,26,146,2,3,3981,0,36,6593,1046,1,2,537,19430,84,118,5585,25,2,197,13149,611,0,18,345,1237
"Seocheon",5,13510,5252,254490,25991,1,0,0,420,0,23,237,177,24,60,0,26197,12,1,1612,25,319,0,2,7,0,15297,13644,0,5,0,15,5290,199589,0,168,1,0,10,4,0,1,1,3879,1,0,206,145,67588,68427,0,1,0,97,0,0,1,2,18775,1,0,2,9,4729,101,34686,1,1,0,49369,50488,216068,60219,0,0,3733,8,0,532,0,240,1,272,6,3,4506,15,882,15512
"Seosan",410,58997,49861,219307,30153,1299,5,195,14006,350,717,1529,12354,6445,15209,1,315660,282,30,9808,429,3376,54,518,882,386,8834,16746,0,388,9,1437,24264,165391,19,1257,34,12,2125,849,105,32,734,4642,108,15,1415,1506,93055,391684,17,22,1,1032,8,36,37,357,26123,334,4,189,1020,19602,2265,233129,368,174,54,46655,85476,1096088,331512,0,2,18796,2308,1,5538,306,2077,46,2502,718,469,6454,565,6998,86144
"Seoul",238681,6336881,4265143,633009,212231,389366,1506,27006,3979497,54679,816050,14236,2712368,1008754,2933151,274,1515938,130913,13499,418250,1427987,846931,26663,148194,220834,78421,107151,143255,172,514134,2869,293526,1098559,640346,12111,6753262,921062,49305,205873,60190,73109,33444,184686,67788,93595,4617,378032,20081,669433,3722168,480032,72044,84985,499987,241581,597036,315908,163760,408741,133050,37344,306909,180496,3423954,656544,2849786,168216,81676,7312,215585,1152673,66452,727099,929,32031,1494088,222519,73606,1585284,71323,478265,31931,977845,107887,111624,87835,266196,3255056,18503167
"Siheung",34838,3135364,405200,150078,73773,82408,278,8714,514331,13643,115463,11519,377107,179261,360998,20,632062,21574,2058,480061,184562,135718,3350,25697,44879,22648,28565,42340,25,84554,384,61900,1516099,256512,1504,8853,70327,6494,44349,17618,10070,4638,39244,19280,10713,413,67746,16569,156762,1519258,35864,7083,6122,87541,15534,45516,39212,23815,112285,16327,3914,39629,32006,307090,80533,1186375,31343,12638,1187,74696,373206,823541,702,66,2888,750606,49499,5065,247449,19419,96351,4988,126432,21182,19706,22536,45649,320711,3225723
"Sunchang",0,18,63,0,0,1932,159,907,67,0,0,3,238,27737,946,39927,1,0,0,5,22,16,7329,260,7,2985,0,0,279,0,4940,1,3,0,0,44,246732,189,0,0,10,94,2236,0,6495,1056,1,3,0,13,0,10566,0,1,0,293,19,2988,0,826,103141,5,32,31,3,18,1181,3783,1,0,1,806,50,5041,886,40,0,0,24,0,5,0,10,0,9,0,0,37,98
"Suncheon",1,718,2256,1,0,161352,12505,61314,2585,0,6,186,7583,102687,21213,104667,24,1,0,105,488,249,5040,2576,31,187776,0,0,286123,16,1199,16,404,1,0,1754,2256406,941279,0,0,148,102639,141838,0,2928,857,72,112,1,598,19,1481,1,13,1,15498,707,127433,0,4997,1119,82,501,3257,112,595,145008,10119,2,0,6,31694,2749,1108,1227785,1318,0,0,476,0,197,0,306,0,68,0,0,1317,4009
"Suwon",31627,923658,583197,31824,6366,30554,138,2608,511597,6524,117115,25772,314136,95739,273738,7,78244,20324,1979,240598,209986,120701,2305,15354,27202,6639,4722,4425,9,53695,262,44715,860616,19355,1530,17874,64820,3490,19419,8684,4484,3083,15379,2356,7532,369,76129,28754,35133,291643,34477,5298,5597,69876,14950,42381,38331,12793,17268,12070,3155,25853,19902,511583,93600,172956,13616,7216,833,9978,58434,4640892,2236944,52,2236,2374210,21574,4923,277932,7094,92160,4148,224698,8969,11660,2910,38007,574829,5229319
"Ulsan",40732,22927,31266,773,5,2331883,0,0,87893,93068,866,9842,81835,1026222,167806,249,2765,30434,8961,2302,11258,2134,1,3302,34953,1,994,0,0,254,2,210335,8339,1165,4389,13978,105,0,1210152,234695,3846,2,128,0,206,1,4951,7019,815,28567,21417,324,22,17945,1915,18655,8381,483,10,729,16,10311,13539,41041,4418,22100,2,544,17595,437,3406,292157,62016,837,3,30283,3726174,1498,21696,2738768,2665,3949,2836,298012,20064,0,36652,13474,55300
"Wanju",103,1458,6703,1,0,192,5,29,11975,589,23,792,24136,5068,106122,0,35,25,53,211,1891,1052,7,1549,1595,71,16904,0,0,4301,5,2729,906,0,9,3135,259824,2,1359,596,6590,3,87,0,28,4,405,557,1,1921,52466,12,26769,114,362593,35589,2208,69,0,779,0,31211,3097,5451,606,1981,36,16,88,0,13,69410,5159,0,0,3374,1143,445,1600,40,716,2,840,1032,1852,0,34,3036,10986
"Wonju",60495,79324,86456,3525,236,18699,1,9,15964,22209,13458,580778,77045,134800,77697,6,8221,92893,15652,12350,40780,461314,46,2150,856,22,649,112,1,1007,0,471,66925,800,10197,167945,15003,917,15338,4740,4072,295,55,96,550,1,504303,200444,2635,21335,10888,1111,1578,700268,5146,10341,14365,1038,940,1307,422,5542,3356,31909,377213,8593,686,440,74,552,6137,1472456,239150,30,409,160441,18610,1393,866912,5714,188326,16478,130972,4261,1000,66,103148,172064,395955
"Yangsan",10472,11113,8030,1477,0,5065541,0,0,19893,24356,232,2665,22658,208194,33747,497,1512,3500,2496,2450,2711,956,0,1540,9960,3,164,0,0,39,4,47398,6533,2313,1251,6434,25,0,1002569,74903,1017,0,252,0,396,0,3138,2387,1395,7156,571,504,3,3995,25,888,1691,954,21,907,0,1552,4058,8611,2218,4358,0,1082,5351,862,1836,80262,22024,1663,1,10372,2865482,519,8324,3905119,1071,1193,836,108742,6070,0,7982,3108,22159
"Yangyang",4435,19757,17453,1567,56,2385,0,0,5510,4382,6456,13936,21592,27158,23847,245,1549,4451,613,3433,9341,174677,20,1150,161,4,235,32,256,345,0,112,16851,1198,713,29045,4983,842,922,512,735,64,17,19,146,2,87865,5072,1122,5388,2949,592,452,16400,1363,3436,3357,308,385,826,80,1418,938,7019,229026,2184,257,119,13,607,2135,361120,77995,88,1204,42305,1781,704,211885,680,355,2573,35898,293,198,44,5814,28792,90822
"Yechun",36638,1253,172,8,0,2329,0,0,37,9727,13,7089,15,59702,86,0,25,25101,2973,176,102,4237,0,1,18,0,2,0,0,2,0,51,838,0,3456,1742,6,0,2247,1295,2,0,0,0,0,0,2775,4333,4,248,15,0,2,17856,1,14,5,1,0,1,0,9,3,215,1957,24,0,0,3,2,45,26617,4191,0,1,2252,3819,2,18002,787,3293,408,1037,555,3,0,46861,1060,3505
"Yeoju",6058,51911,35440,1687,119,2146,1,66,6873,1729,48779,13995,42189,14250,35621,3,3237,3804,468,9329,36282,34478,123,1692,1016,208,401,45,0,683,5,1172,47387,276,636,128158,9876,697,1532,706,876,215,389,56,530,11,25857,8882,1382,14585,5476,747,841,18159,3128,5648,9729,1187,447,716,280,2684,1897,21578,21996,4513,990,523,187,300,3561,1058952,143077,10,284,129372,2409,764,98180,981,19690,725,1188,552,808,60,5974,130658,344052
"Yeongchun",4749,18550,14281,43,1,177086,0,0,38072,103528,159,2651,32103,1957790,92935,8,2831,2546,1777,616,3772,318,0,1548,29079,0,729,0,0,97,0,132736,2052,43,1217,4604,223,3,199970,156170,1843,1,4,0,18,0,1137,1692,79,14161,8801,78,93,3809,1853,10885,5469,23,0,233,8,5429,9019,12741,737,9753,1,21,12037,20,804,129211,35872,30,0,7942,293747,1261,4790,107464,327,693,1022,22226,12980,1,4517,2794,18336
"Yeongdong",313,4498,11920,20,2,13031,1,3,28587,10934,46,507,86950,136819,426541,8,576,54,141,613,2288,509,19,3513,108643,7,979,1,3,137,0,70667,2357,0,94,4875,5861,154,16490,7247,4459,65,35,0,120,3,156,181,43,4474,10870,323,778,79,5223,11074,3230,289,1,301,108,17607,81405,11664,184,5785,299,99,770,1,402,102894,15737,11,141,8099,18926,1671,1006,6292,313,10,599,11321,77147,0,124,2534,17592
"Yeonggwang",0,4627,782,9796,31664,0,0,0,39,0,3,50,8,2,10,0,3651,0,0,538,3,74,0,0,0,0,24669,81019,0,0,0,1,1363,55904,0,34,1,0,0,1,0,0,0,18110,0,0,17,33,7130,21540,0,0,0,15,0,0,0,1,85690,0,0,0,0,662,25,6987,0,0,0,5520,6531,85602,16055,0,0,909,1,0,112,0,49,0,60,1,1,76,3,135,3914
"Yeongju",205991,16120,2226,155,6,19708,0,0,874,106167,121,24295,633,499293,1547,0,513,262945,23077,2140,1012,9592,0,35,235,0,12,2,0,18,0,517,12792,15,26969,15977,43,0,19170,12405,24,0,0,2,0,0,14406,13630,211,3116,163,3,3,219216,57,230,235,0,12,8,1,108,69,2644,5766,701,0,1,13,8,581,248128,42181,0,0,22671,36222,27,124747,7485,6698,40982,10297,4617,69,1,18976,10728,43975
"Yicheon",11686,135319,159715,4496,304,11781,39,926,23641,4357,75073,15891,227049,35833,119087,14,8233,6822,1021,38886,155198,61219,606,4979,7491,2637,1535,158,5,1918,57,11473,117903,859,1441,403679,31947,1548,5775,2687,3322,757,3882,123,2150,56,39168,9988,4211,41426,20306,3195,2846,32756,10876,26707,38035,4445,1268,2930,1146,10480,6164,60255,39272,14892,3898,2403,339,1013,7915,3253510,347543,40,1169,307820,7723,3189,179473,2678,39189,1387,118920,2104,2855,148,13072,191471,844948
"Yongin",28686,843945,1195568,41419,5811,65696,255,5427,1210606,9783,113242,36535,459741,178296,503281,27,93487,19005,1629,226972,210158,127976,2868,20241,41629,14599,6799,3756,17,96697,377,82338,845548,20718,1440,51075,133730,6727,32492,11085,11269,4087,27571,2208,9994,501,70604,30986,40145,233431,73543,7788,11525,69507,31780,88013,35040,20514,18632,16078,4426,46349,25691,892155,95296,399770,20644,11743,1146,12097,70738,16256216,1978079,99,3418,2622840,42284,10751,325636,12953,89107,3278,243209,13872,16289,2933,35528,614052,3787404
