"","Andong","Ansan","Anseong","Boeun","Boryeong","Buan","Busan","Buyeo","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungdo","Chungju","Chungyang","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangneung","Gapyeong","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gurye","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Imsil","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jinan","Jincheon","Jinju","Milyang","Muan","Muju","Munkyeong","Naju","Namwon","Namyangju","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Sejong","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Sungju","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangpyeong","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yesan","Yicheon","Yongin"
"Gwangjoo",12137,4526,303993,6183,689,113,26469,253,5736,2933,6925,6409,86367,372,1217,254280,66,74887,137533,509,1789,9272,22314,325,1852,303573,48201,8,557,6482,9597,11661,1531,125,18792,137,842,4939,863,26509,5414,626,161,1025,425760,24681,7260,13029,5448,3819,1240,17952,53,3794,211,33568,885,429,12435,11038,2422,2080,2022,53530,7528,14380,603,84136,5196,6379,872,4466,13680,1,1642,38,7403,6405,9190,10638,39481,5700,3421,2109,53023,834,393,1253,7472639,4984,202,3547,3224,18218,3938,21607,7581,168992,4,16342,12023,466,171278,4500,2337,118,17443,381,661092,66398
"Gwangju",10130,36995,101612,3669,59123,230796,149884,15073,7850,52704,205189,10003,208,5986,477,176503,2529,194936,445730,1205801,53800,1679,2635,2314,2691,15669,8417,7,34661,7683,9514,175874,384095,523557,155,1975154,90752,17718,10925,23579,10962,313690,1230,95265,22388,216746,478199,18979,16085,28874,58017,145346,877965,30485,7127,3692,5159,28178,157466,166965,43836,96273,805055,1490,765683,445288,3833,16059,65894,72,3729216,14099,488,531362,432868,5,187995,6922,96755,34147,5524,108522,58315,14198,10170,25751,21750,47306,885496,133321,257562,2330677,9397,43987,46125,931,547377,18526,0,39,3918,299,17698,15315,2046,23095,5252,26788,39937,89162
"Gwangyang",8883,6921,39989,1496,725,4251,395220,42,31982,144381,92930,11553,747,1586,33,59006,113,178746,117858,22207,10685,13182,476,2085,803,7602,2290,5,9168,4343,10616,450073,870,5585,1354,40121,37745,3010,43811,20415,3170,1164,1348,122338,6818,442504,771014,2077,12427,6955,348266,357040,101,10242,1458,981,1504,294,42496,60506,54460,17691,24635,3654,10903,172547,646,7259,316512,6,124,13539,1259,2,110486,3,66951,1642,43312,55688,1199,26530,290736,24516,6284,7952,315,5250,301643,26526,6988,794656,6295,19524,117553,163,334110,5394,0,37,1016,375,4184,15531,153,3922,6337,10714,9247,39487
"Gyeongju",31696,20328,16982,3466,343,144,1641433,779,6666,144,76506,130734,13752,6762,28387,49809,871,1907219,100574,1395,12702,8817,28,5347,1041,9820,260,192,11671,1368,23512,104973,480,371,12232,24,5439,18135,260,133057,4347,819,3147,51,10151,18894,2902,268014,285881,2925,427,3219,0,2703,4555,2119,2772,51,25594,16080,123,940,1089,9646,1666,11340,913,4951,690,113769,34,290,6458,1,4393,126,4933,8186,21069,421,1417,32280,541,669,26826,4710,669,10886,191838,39204,628,515,1175,23353,31,1264692,10254,15290,7,930448,247,1949,13706,170676,7279,341,16328,10682,7876,29995
"Gyeongsan",31672,7646,7662,1333,117,55,88733,279,17286,959,24863,314797,8347,1966,22170,21610,391,4017025,34861,1039,2923,3245,12,11029,783,6326,454,54,12457,800,26441,6298,266,280,4894,73,1574,55282,244,215748,2270,289,10282,85,5056,16740,9101,308070,2077,837,1704,26829,3,2416,3731,827,975,16,9353,4581,65,620,689,4004,1341,7698,372,3285,4840,86805,29,129,3157,0,2725,36,4426,3857,7181,14060,570,16408,4942,936,23509,1945,304,3604,57896,16988,366,1431,3361,7631,472,222951,3604,4486,2,67597,245,1255,4338,217719,4960,160,14326,4679,4358,8156
"Gyeryong",29,1023,9087,1422,191,2,2913,98,779,333,12493,972,24,1370,163,72576,278,15302,471950,605,2925,15,637,17,99,3952,1966,0,115,16777,3653,1033,2449,78,12,166,4383,440,318,4505,377,42,6,909,3016,29179,7781,2686,1359,8148,365,5831,43,914,54,506,1127,48,5680,38088,2257,817,3854,108,13739,36564,1106,3762,4455,712,780,5715,140,0,934,0,61582,10114,5620,4113,396,4021,1419,697,5759,6161,185,2701,55266,3826,217,2481,563,3023,999,3703,20513,5493,0,2963,473,0,2211,1078,2414,159,5,7324,4761,7390
"Hadong",1465,596,2794,83,293,1121,165574,9,16886,73555,5592,2621,287,341,4,5685,8,58423,14712,4704,574,6222,16,378,77,357,238,1,4502,2074,1749,215834,143,1365,381,4355,1388,893,28498,3636,274,281,215,3436,1125,53823,301884,555,2311,386,120589,289650,16,6862,502,162,202,119,4247,4928,1441,1209,1111,711,1405,43066,534,402,655699,5,22,4380,213,0,4587,2,2394,127,3164,12551,108,2204,338023,20857,1125,490,87,292,31782,2342,616,84864,1636,1679,51910,54,9758,753,0,17,125,56,410,3870,25,567,983,489,789,3111
"Haman",40528,18588,23932,5828,81,3578,536524,99,970588,588194,65251,64764,17465,8279,59,58503,351,1192414,132146,11167,11622,14456,238,10635,1700,11602,3599,125,57932,11238,62928,893159,1411,4773,17437,9150,4042,43961,13243,118606,9067,132,5736,3739,16580,142135,353231,2852,25555,5515,282369,5634443,24,64335,21878,3253,6028,53,28979,25464,1524,6715,5510,15393,7350,365268,7429,5039,1551443,62,207,20972,10022,0,19605,53,7699,4778,28067,38509,3817,33612,680787,148217,45298,6135,34,11673,316075,55721,2147,94412,48551,30851,25002,266,70581,15828,5,117,2697,2014,21183,26427,5327,2375,22049,10583,14245,32144
"Hampyeong",9,2280,1735,13,3987,19354,62,1524,9,27,4099,7,1,14,0,343,243,100,941,189,2209,0,9,1,445,59,28,0,12,15,9,61,12473,39071,0,361,2852,16,6,17,859,42415,1,17,41,856944,105,7,5,36,27,39,5178,14,7,8,13,1992,11692,161,131,28,653,11,364,276,20,63,16,0,319893,12,2,22723,175,0,113,14,1977,13,7,6040,33,9,39,931,2039,2558,44699,8448,59,334,12,1322,15,0,508,56,0,0,7,0,46,7,2,16607,1,615,131,1848
"Hamyang",1120,5799,10839,125,12,902,29197,9,3980,13697,15025,2140,97,473,153,20828,51,55341,69213,3385,1601,254,42,343,221,1320,375,0,55488,13328,740,41055,1333,714,90,71,1747,9821,9255,2076,1265,3,229,546,3955,33587,13538,2860,2183,778,8206,69379,10,160478,6245,286,293,11,11008,17854,360,41601,671,362,2422,23486,15423,1858,146607,119,60,28648,130,0,41618,1,3841,257,11526,3558,195,8545,34389,67494,654,1679,9,996,98984,9028,2875,3330,1711,6164,16512,1726,54768,911,0,25,123,51,1025,1862,27,371,569,2324,2863,13517
