"","Andong","Ansan","Anseong","Boeun","Boryeong","Buan","Busan","Buyeo","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungdo","Chungju","Chungyang","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangneung","Gapyeong","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gurye","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Imsil","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jinan","Jincheon","Jinju","Milyang","Muan","Muju","Munkyeong","Naju","Namwon","Namyangju","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Sejong","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Sungju","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangpyeong","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yesan","Yicheon","Yongin"
"Nonsan",70,9661,51146,2079,155,54,7992,66,775,2676,120576,3202,41,1802,230,83858,322,31985,675582,4055,23407,46,886,35,1074,6662,1872,2,602,13416,9641,7157,16886,228,18,850,108931,1379,902,13073,4127,61,8,9651,6943,176212,72133,5810,4614,61093,2176,8506,117,3824,162,1128,1364,130,57791,106314,25107,2651,15649,241,48489,132927,6033,7459,5213,1181,1532,5477,88,2,7820,0,38101,9820,56066,5445,854,35793,2756,2308,9564,13747,123,16555,386705,37852,1555,26296,1252,24960,2636,8185,83038,5524,0,2060,757,0,5443,4140,3747,442,4,48055,12088,50714
"Okchun",88,6213,28784,511,1076,35,11507,2782,3815,1346,71812,6028,49,2024,404,384320,2723,43573,1464479,194,8014,17,997,46,1458,8953,2180,1,294,17003,32027,4930,1319,33,40,56,19161,1591,713,24530,3634,873,20,205,12182,18251,3249,13902,4828,15695,737,7893,67,1590,62,749,1365,89,28390,15373,519,1236,2107,118,9060,16995,296,13772,3809,2166,600,9849,92,1,707,1,15800,83370,21468,6594,760,24117,2767,1266,2011,37206,1842,6711,177139,20364,61,1283,2116,13619,4230,12327,5905,4729,0,5965,508,1,5307,4396,62680,68,10,19587,7255,18987
"Osan",1987,62534,774022,10192,7955,4768,19008,8467,4063,2126,644064,6280,4586,960,854,235846,3020,60135,227778,1527,28759,1820,4866,28,17576,72192,11943,4,733,10248,17289,10911,4721,3295,1046,378,70783,1682,1594,54421,33868,19405,4,3713,5367,59347,26780,17367,4055,3104,1950,21595,882,5289,128,6121,1742,6512,5483048,30545,8165,2957,4468,9105,11668,42059,1700,122745,8906,3809,13380,8156,980,29,3565,5,33045,9554,103045,10310,7890,1743418,4957,4034,16388,13992,6653,15049,2472963,229603,731,10883,2309,224522,6220,22093,21575,27550,0,12512,3955,75,25223,4775,3972,2221,2797,6247,56309,656398
"Pohang",15741,13259,11442,3903,440,242,1514,1164,20456,1121,35524,161935,12845,6540,18872,47940,1247,2788353,107669,2064,25596,8097,24,5019,821,7746,115,264,13136,1789,32879,588,790,998,15226,121,3397,36202,727,232538,4744,1228,3032,261,9966,35782,54725,570,13519,4370,8033,36648,12,3137,4217,1725,2013,69,18480,8713,298,1325,1440,7373,2400,14481,1193,4199,11005,26723,154,477,7119,0,6902,176,5905,5043,15431,775757,922,13663,9125,1715,34213,4429,1291,5279,196919,31357,1091,6277,2228,20824,923,963,11294,8667,12,1753,62,1730,12719,402193,10146,932,11599,9960,6778,20608
"Pyeongchang",4197,16269,17893,359,396,24,2733,57,699,271,5866,3230,1740,10616,194,17484,20,20906,21476,148,1214,2965,116848,671,3657,9991,1004398,1219,224,393,506,764,149,22,1059,12,267,327,25,1595,26767,225,819,140,34423,5978,1137,1412,497,327,97,3398,8,173,24,321422,3099,226,22143,1744,210,110,187,10703,1329,2703,63,3747,550,1207,239,417,495,0,168,2668,733,287,9357,501,869451,4031,238,121,1562,158,118,1014,576048,62441,39,454,160,102024,263,3631,1337,404557,319,2968,158032,694,77895,323,59,33,5017,250,40123,100135
"Pyeongtaek",300,360905,1108478,16023,232404,25389,46379,12376,11913,5461,544599,17743,378,537,1437,370993,4043,102534,287744,3209,1358569,511,2400,20,53123,215925,2535,2,1233,15927,27409,18057,11113,15398,90,1060,73024,4332,2308,57217,69768,117473,6,3702,2505,123998,26703,35237,17764,4523,2084,47914,6658,7802,179,1638,752,189903,5075759,29868,8085,3479,9499,1389,11274,41663,1702,320759,11907,7575,57564,10201,88,561,3812,0,35227,15619,1884802,18640,1951,1791228,7834,4972,21742,20244,67919,597254,2646611,1022655,770,12872,5610,70170,6926,43803,21155,6535,0,23372,1210,20,4718,14783,6266,10348,497,150041,8105,136305
"Sacheon",3320,1872,8469,148,85,1275,285813,12,34786,147318,15820,5808,834,808,5,19429,49,110391,61433,4076,1797,1476,57,1098,236,1933,577,3,16193,7777,4012,377687,341,1555,1109,4667,1584,1925,41694,9602,808,83,449,2356,3441,52386,284730,483,4172,1317,332893,717830,9,34137,1276,295,634,37,10450,7226,918,3266,2047,1247,2256,85095,2787,1146,1980348,9,32,12310,446,1,8791,1,2536,452,8761,9415,297,7735,307159,141736,3300,2054,27,1743,86220,10138,709,63963,2635,5303,107906,89,20869,1756,0,45,316,144,1572,4124,40,851,1884,1937,2449,9388
"Sancheong",650,2295,8721,82,4,232,62466,12,5700,34579,12041,791,81,312,47,14869,49,22746,41832,1776,2736,229,38,160,201,1406,346,0,21794,12187,615,96352,887,485,130,222,1676,2779,30018,1473,921,4,96,243,2744,14492,30853,1103,980,664,24065,169287,4,67648,3165,173,330,10,8472,11119,217,5722,436,227,1100,38591,4345,2313,239020,17,29,14511,90,0,18454,1,2479,261,7498,2100,169,6783,153931,107096,547,1431,6,1013,81815,7606,1176,6717,740,4236,52998,182,27001,878,0,5,139,25,1450,941,17,240,383,1762,1937,7576
"Sangju",60,28725,20807,75463,490,118,44033,1260,15134,5652,98960,41115,118290,3785,3749,264144,1089,543874,185141,325,2337,27,599,31,3758,53493,2628,15,1833,1354,62757,19231,1250,83,115889,32,2483,19503,163,331793,24145,2147,21,127,51671,11548,6457,31439,23331,5731,1213,44253,25,722,976,1828,2375,64,27682,11143,330,205,984,71,6862,13085,93,4642,3768,9070,386,176,108089,0,1417,6,9989,1358,25139,33627,1865,22278,3306,482,467499,1762,913,2580,634433,94654,171,1309,31303,89593,1141,42344,6173,5866,0,24431,1419,4,49316,18610,3433,86,26,5692,42027,78245
"Sejong",22,5271,20591,1327,27040,6497,5439,70137,1273,893,55083,2022,15,274,323,12880,53983,25743,794448,327,98875,13,169,16,518,929,264,1,253,20933,7913,2462,2618,2488,6,88,234503,1074,447,10261,2029,78963,7,794,715,23776,7518,6058,1777,6372,320,5448,712,1548,44,164,214,1616,30206,13215,2139,766,2882,113,4438,18089,529,1119,2455,1581,10637,5929,49,13,776,0,12269,23331,25477,3692,221,20868,1483,1125,2172,100633,63113,127223,177693,20952,174,2600,726,11376,1701,6081,10773,852,0,3687,190,1,700,2822,5396,1738,1,374745,1114,23077
"Seocheon",11,15492,12393,361,297068,15546,159,61554,53,20,18939,1046,13,95,41,7428,8810,4620,101171,814,30438,11,135,11,4243,1230,184,0,3,658,1080,65,8186,6507,7,474,55018,80,7,2859,8101,123303,14,15,443,19967,342,835,291,218,105,72,1691,6,1,145,93,48631,65131,13,0,3,1710,59,13,26,0,915,29,77,14599,104,16,95,25,0,98,1163,9697,1076,125,61316,30,2,1149,61738,85273,38326,218213,50034,33,2851,190,7790,19,1485,8,499,0,63,83,0,353,423,279,2772,6,4464,724,9348
"Seosan",71,57570,90839,860,235171,15994,13981,4771,1953,3899,7903,4339,143,434,386,15617,2202,36843,278184,2042,252047,128,890,34,42005,20958,1539,5,171,5037,10184,4419,7981,7938,34,1397,63873,1096,482,23448,28362,169975,14,755,1016,63887,6013,11450,4586,2601,373,12256,3466,905,82,817,488,99473,385451,6068,1609,215,3761,740,2256,8383,319,11535,2147,2217,26119,2733,37,172,589,1,16699,4027,10764,5571,1232,562325,1703,813,2975,109823,52748,84030,956996,275742,203,9704,1738,38482,2120,25554,4267,3422,0,8021,596,5,2358,3512,1130,4805,204,45541,3268,15317
"Seoul",194622,7615061,4221071,109622,471867,154186,316921,108053,63928,33459,3639338,58210,766382,5106667,17583,2634441,36683,1020097,2722850,25470,1518648,115288,317609,5255,747908,1880129,602798,901656,15288,127864,162034,116721,93454,101211,186193,9559,786444,34210,28579,341191,3040106,550609,2558,45569,7631741,926309,319932,229863,60908,60147,33609,331167,40879,97276,3354,309748,5069,417503,7179158,371292,99552,40242,77650,700367,158939,510268,21559,650804,152033,64495,393279,111960,135698,1954,49603,4443136,386127,105858,3247780,197341,610402,3178385,87163,69311,633304,167848,218563,944024,58624,210911,9021,144726,44429,4205051,134764,316179,264338,1602766,651913,219733,98733,6756,1434344,64714,46931,71162,243972,369789,4221917,13672621
"Siheung",19948,6875576,377764,14322,114173,34107,67632,15949,14033,8136,460903,13469,84233,989,2247,307254,4624,136615,305474,5057,650548,16900,47672,585,559061,221269,77358,2,1659,18455,27625,22524,17637,20656,23184,2112,87199,8443,3364,59171,2094560,187555,305,3966,2779,168162,29177,36479,18014,5165,2676,56245,10366,9243,365,52318,2380,91424,1701203,32075,8652,4388,12974,89629,12137,44588,1829,109059,17747,10113,99664,12283,17721,697,4641,3,39596,13424,263589,29684,62547,1081110,11511,6682,87725,20761,63402,296460,219772,2293,832,16645,6564,1598240,13078,56071,22683,197778,1,35265,25763,782,134494,15853,6439,14659,32963,103766,333628,1427477
"Sunchang",696,311,1685,32,207,2285,2924,17,467,1499,3753,1152,12,74,47,2291,4,16831,5529,24489,454,114,43,178,35,674,74,0,3954,181,406,4729,179,6434,12,660,1534,2304,350,931,138,407,77,16034,332,448249,16337,1533,944,374,1049,4645,141,5805,1088,75,55,77,1835,1030,4729,12395,4694,63,2474,3560,128,186,2882,18,424,747,22,2,134261,0,2730,75,1773,2664,34,1141,1376,2354,336,287,61,297,13263,1175,1734,7222,744,788,1360,553,3099,256,0,10,31,22,212,1175,14,1806,419,433,380,1615
"Suncheon",1850,4211,19675,715,6150,22012,89808,404,8320,36729,46842,2158,173,769,9,25054,102,38647,58607,125489,6683,957,216,467,431,2304,980,0,3239,953,1618,118422,4711,26639,203,316842,19171,724,10761,3898,1711,10139,216,67720,3800,2303320,817403,342,1942,3216,90858,104380,231,3338,655,511,733,2728,23841,25022,20554,8396,54702,776,41314,72877,274,2670,81867,2,291,2787,235,3,51497,0,32864,709,21889,7157,612,14501,69566,5977,1517,3428,2471,6333,163611,16263,2890,1831674,1091,9919,33142,52,104454,2625,0,9,487,79,2133,2204,81,16978,1334,5481,4275,20024
"Sungju",658,3253,3136,1778,27,37,24126,151,33270,8751,12796,948,4493,378,150,11149,204,193372,18356,770,1128,740,47,228,243,3212,347,1,11171,550,80103,23780,96,154,4592,32,838,72313,118,28491,1040,75,129,56,3120,13432,5830,1495,3138,468,1431,53516,9,1991,4294,176,312,10,4533,2223,34,556,540,115,682,1935,269,1765,2792,186,15,81,3040,0,2689,1,1138,1973,3306,1916,207,5283,2793,902,29309,851,97,1698,45351,6779,317,1032,74313,5168,561,1772,1849,728,0,275,118,15,4179,2894,2472,104,216,2175,2557,4182
"Suwon",29233,854078,459189,10069,21472,5350,29543,7131,7260,3822,348079,6445,137997,3992,1815,223430,2531,110521,200480,1327,68671,22725,51233,781,280742,291849,107547,6,1074,10116,16284,11578,4290,3616,33487,361,59111,4937,1793,51130,945806,19650,409,3133,16005,50603,22661,25123,7923,2970,1998,32194,1174,6104,298,81579,12017,21546,467798,25545,6818,2748,3875,118334,9680,35252,1414,61866,9558,6874,15074,8977,21247,34,3294,9,27581,8530,266926,20280,107833,103747,5890,3788,88458,11753,8656,44901,4173693,1750545,617,9310,5124,3198056,8364,32256,18064,304610,5,21052,37923,1147,322255,7557,3977,2393,43598,15688,726519,3330347
"Tongyeong",1657,3114,13355,231,55,2027,4373,12,6004,7862,26874,2552,535,1115,2,34117,58,47634,104256,5439,2713,684,49,407,429,1437,720,1,14924,11351,2539,12696,637,2135,811,4550,2851,875,2240921,6434,1507,55,181,2002,5759,66312,185606,81,931,1257,86954,41106,9,25529,2573,316,750,53,19005,12223,688,4935,1271,991,2993,25229,5139,1738,755827,5,52,23473,359,1,11989,2,3874,573,16725,2098,458,10642,147819,76596,1816,2628,21,3551,179335,19879,1258,46937,1026,9964,458,24,41227,1866,0,4,512,86,2406,1106,53,1031,1092,3369,4367,18753
"Ulsan",38328,24233,22808,5257,699,80,7366585,1234,298,255,80887,127592,23443,10605,51975,72292,1663,1652735,121208,217,15724,28263,42,9602,1827,13928,512,314,17725,3126,31777,287512,617,101,18872,13,7905,18296,5,187768,6548,1352,4135,2,17936,807,185,1281397,206456,3194,46,135,0,1483,5214,3627,4607,94,45115,19962,89,599,47,19118,1151,17072,572,12186,80,288262,60,256,8443,0,2120,140,9120,7074,27848,561,3839,39002,64,133,34322,5338,1646,21613,262846,46955,252,55,1971,29319,6,3878550,5915,17016,8,3091066,619,2959,15894,269642,11702,46,34208,16220,15038,31017
"Wanju",1129,5994,38618,2288,17,38,83621,15,4893,26207,82280,1398,65,1869,325,80392,97,80795,328560,7460,9094,85,1009,358,700,7300,1979,1,5365,4298,4380,73040,60246,1803,31,1202,33525,7448,8010,8479,2781,48,147,55903,7883,560462,348778,12380,3511,21753,9512,74443,552,54250,3442,1657,1704,17,37443,144501,436149,252406,46735,423,294890,87051,129815,6062,38115,280,6187,184325,118,8,107365,1,91187,3711,38333,12631,1610,23311,19974,26169,6418,11660,19,4248,278984,22943,2442,97089,1455,17202,27021,7618,138105,5186,0,48,1210,14,5106,4073,1258,1762,111,9507,11173,35183
"Wonju",57374,68708,82716,1272,1847,142,13142,278,2201,1350,13599,14178,5731,722915,1189,76328,97,79303,79584,378,5087,98774,144910,7382,12420,51826,455355,18495,1167,2100,1745,3329,689,85,2554,65,1261,1883,184,3945,77014,866,6029,576,160004,17661,6208,16191,3890,5064,806,15185,49,690,212,668859,268858,1461,60436,8802,1251,528,1175,1069785,5073,10030,297,22256,2595,5643,790,1249,1503,3,703,19696,5360,2267,35586,7789,425303,16954,1711,647,5292,701,516,3424,1566846,198805,153,2112,608,300235,1084,19585,4508,914403,1511,12063,104976,6079,188299,2806,556,111,103847,1269,197816,377025
"Yangpyeong",0,2,1,0,0,0,0,0,0,0,0,0,2,57138,0,1,0,1,0,0,0,2,0,0,0,1,2,31282,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,1,1,0,0,0,0,0,0,6,12,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,259669,0,0,4,0,2,0,0,0,0,0,0,0,701657,2,0,0,0,0,0,0,0,7,0,1,0,0,2,0,0,0,0,0,0,3
"Yangsan",2917,2792,3878,456,12,0,5773684,45,27,340,9648,13770,3155,465,112849,7695,58,1579353,14267,3,1433,954,3228,521,184,2096,62,12,148,217,1975,757951,5,3,3063,4,784,360,1,12674,737,5,296,0,2859,26,77,911096,33758,669,15,59,0,10,32,138,260,2,3120,82,1,2,2,924,8,78,3,1310,68,762668,0,4,771,0,15,8,1505,903,2693,187,168,6111,42,2,2909,367,9,1605,20719,4049,2,30,310,3730,4,3066748,35,1182,1,2419486,57,174,1821,76026,921,0,1682,843,2481,2664
"Yangyang",2214,6297,8405,203,237,17,809,32,333,202,3003,1795,1485,2079,83,12347,18,9322,13796,47,578,1782,263347,305,1249,5471,544109,286,97,283,353,316,123,16,702,4,172,247,31,887,7960,159,360,95,10044,3339,847,269,241,411,89,2452,7,113,30,48242,671,176,6983,1219,197,91,187,6975,601,1649,44,2161,325,539,114,165,229,0,123,575,621,283,4284,31,199730,1898,284,81,1029,127,47,442,90926,23576,19,343,85,32613,199,709,971,99950,57,850,193858,426,25005,122,56,13,2807,147,16976,35172
"Yechun",33264,203,21,0,0,0,1802,2,444,282,10,9424,1,2067,236,8,0,40334,19,11,3,9710,100,2560,39,9,824,191,109,0,17,521,1,6,0,1,0,552,9,18,218,0,3087,1,391,266,323,1819,1041,0,58,1806,0,22,33,692,1089,0,144,1,2,19,4,8696,5,45,5,1,226,802,1,1,0,0,134,244,4,0,69,1243,559,17,131,12,3,1,0,4,5838,758,12,70,10,1027,41,2873,13,4986,15,1799,373,39,373,579,0,1,25046,2,198,708
"Yeoju",7181,55635,76500,1872,1270,116,14094,167,3233,1903,11147,3055,82455,25404,838,84561,71,52853,76697,209,3192,4640,16219,254,13008,148176,37680,46,359,2016,5025,4871,817,94,17294,46,922,1952,215,19747,63585,900,161,481,151805,16704,4653,10872,2823,1894,360,14662,32,771,164,26157,11308,973,63871,7608,1113,549,997,40700,4071,12026,265,28374,2206,3697,619,1477,9662,1,617,23,4839,2285,34339,7789,24569,12643,1138,817,35835,588,349,2338,1469265,147938,95,1694,2429,322923,1334,14524,4958,131823,5,10646,11817,328,174312,2985,509,113,9955,813,223617,463105
"Yeongchun",9951,12926,8166,1820,142,84,160746,479,16154,994,31836,195447,8177,2244,20971,25717,413,3300345,47304,851,8906,2805,11,2724,382,6377,172,77,8873,765,20417,7263,609,300,6199,77,2032,37496,414,125535,2200,454,2358,101,5247,17944,15220,153447,207906,1178,2364,25871,2,1845,3110,698,1029,20,14448,6050,172,524,1221,3526,1490,11989,517,3796,4596,53043,42,147,3361,0,2796,48,3685,4222,8082,342988,518,16231,4404,901,18386,3432,673,4643,82570,21288,461,2662,3509,7918,500,252464,3815,3500,6,82247,196,797,5813,110147,5195,306,6921,11046,3904,9089
"Yeongdong",158,1786,8299,74,261,9,13441,496,3953,1337,17837,11774,836,330,1242,68686,644,94026,382045,39,2907,10,99,88,267,1794,231,1,49,2495,89076,6248,414,13,1057,6,3606,2715,14,81337,720,320,40,15,3098,4136,325,17318,7651,3227,71,9866,8,63,63,131,229,21,8908,4313,50,70,313,41,1953,3624,28,3104,215,3639,113,135,669,0,67,1,5364,55915,8147,12370,132,11128,144,58,5012,6943,420,1609,57030,7930,8,100,3072,4514,109,20176,1683,848,0,9237,123,3,755,6827,31455,14,36,4513,2252,7325
"Yeonggwang",168,3358,3502,47,5948,32398,2987,2298,207,1259,8409,91,3,34,11,1014,428,3108,2681,7048,3756,5,28,48,759,107,48,0,516,62,82,4176,18456,84802,3,6136,5490,297,207,214,1387,42723,20,1109,105,30350,4135,391,321,175,749,2972,16179,403,151,36,21,3159,19343,326,416,391,6975,18,765,1123,43,254,1733,1,70871,115,8,941,3236,0,351,45,4070,933,39,9597,1089,266,127,2308,3499,3641,74791,13015,1035,19779,84,2361,850,44,1385,114,0,1,27,4,122,545,17,175,87,882,265,3807
"Yeongju",103675,13308,1121,2,67,5,22261,4,7643,2506,255,118577,30,24987,2569,199,0,421200,231,304,299,284968,587,21291,2585,551,9442,2691,1844,6,104,6472,7,51,15,28,6,6634,74,190,17703,1,26868,79,19709,5636,6606,20267,14545,6,947,25136,1,603,801,11762,12067,42,12898,41,22,204,138,273799,18,394,113,136,2358,10167,10,15,3,0,1518,5014,15,8,4452,11017,6133,1130,1900,336,22,4,6,226,288358,37422,203,1232,266,53130,738,41321,89,125871,333,22316,3741,28916,19448,6999,17,77,37979,29,12801,32776
"Yesan",48,24623,19335,1901,1923,2621,15684,15878,3175,2173,2513,5450,51,139,746,14704,7032,47379,797491,656,176995,44,272,31,17085,3519,460,0,279,15258,11573,5564,2346,1672,10,174,258322,1293,664,17587,12592,14954,45,1462,369,25075,10638,11654,5542,7212,457,12824,940,1969,69,255,199,1422,138754,12173,3233,409,2104,198,4522,16966,646,2047,3114,2876,5690,5367,98,27,1140,1,48202,12059,4974,8489,342,145171,2043,1603,5855,335448,5146,38350,392520,94251,289,4381,2092,15248,2068,16690,8568,1206,0,7970,185,0,823,8486,3384,877,35,139473,1106,5282
"Yicheon",7550,123174,246251,4107,2440,201,23595,399,5176,2354,25161,9976,63030,21180,1078,322486,120,73329,154193,1661,5589,6327,19081,211,46512,227093,53369,20,484,5423,6498,10534,2116,185,14154,149,1953,1630,627,26178,135548,1703,160,1131,613431,45223,11063,11057,8055,4829,839,17329,94,2664,167,38403,14361,2132,155631,19805,3021,1807,7083,39307,11385,28327,606,90344,6105,5550,1589,2875,10537,2,1625,21,12041,5307,71069,7265,34558,24065,3042,1909,43786,1095,717,3843,4183874,309028,270,4379,2191,599630,2952,19858,12394,178285,0,15661,16571,281,221431,3498,1878,273,10792,1384,228392,819302
"Yongin",23258,733308,781143,14929,9592,7086,38555,12546,8423,4246,749977,9416,114711,21066,2120,358728,4476,131827,384049,2295,25435,18455,57098,614,247575,288816,116249,24,1215,13599,21055,14349,7062,4907,26847,572,104629,3751,2718,61297,847385,28614,314,5547,61402,89092,40148,28727,10848,7078,3249,35189,1350,10815,324,95061,28841,7876,1266621,45866,12123,3796,6740,103657,17408,62995,2482,104218,15559,9930,19958,11886,18252,29,5576,36,49026,12224,911399,20742,112281,487250,9126,6219,79244,20982,9723,17306,13369191,1571974,1074,16307,4796,3290721,13131,37557,32424,401032,10,27362,44265,896,481056,7701,5790,3283,30777,6118,913444,3500243
