"","Anseong","Busan","Cheonan","Chilgok","Chungju","Daegu","Daejeon","Eumsung","Gimcheon","Gimje","Gumi","Gwangjoo","Gwangju","Gyeongju","Gyeongsan","Hoengsung","Iksan","Jangsung","Jeongeup","Jeongju","Jincheon","Nonsan","Okchun","Osan","Seoul","Suwon","Ulsan","Wonju","Yangsan","Yeoju","Yeongchun","Yeongdong","Yicheon","Yongin"
"Anseong",17,27424,152486,2432,157735,67810,151967,28954,20268,2688,10560,101861,38737,32356,4191,25149,25572,2288,10554,26213,11540,10446,12759,93419,1751446,412496,8178,36245,6662,9798,1123,5443,59305,28619
"Busan",24558,0,43918,26529,61268,638516,127259,4436,42863,82,127326,14676,0,1249039,91127,252,4996,0,335,7602,2955,6560,17309,45580,412061,130595,1506054,6060,2201528,2314,200119,20225,11972,6232
"Cheonan",137101,54598,54746,3500,312890,121258,712848,61,39948,4704,23552,2200,56466,37106,6814,8904,32865,3950,16220,42208,9,13667,36109,303834,2448836,699860,18957,8817,10949,3273,2185,13163,8505,50851
"Chilgok",2374,30577,3279,0,3678,1339262,11760,420,10971,46,88939,1432,10,45572,39791,108,719,1,123,250,286,677,2952,3003,24127,7603,16462,589,9270,203,8142,3706,529,473
"Chungju",159554,63113,327607,3066,256125,159394,1135750,169729,40028,8668,30520,143935,89918,36274,6351,28575,87180,6386,27484,80464,159010,44469,140574,186232,1653220,470593,22432,40648,9618,13841,2260,31130,63856,46090
"Daegu",59977,704083,109364,1290964,147441,2268242,420959,10988,335425,658,2678856,54812,33,2018622,806989,2925,19816,8,1438,5830,9959,24779,79479,127515,1057054,305349,537217,18845,139255,14206,294713,92178,23162,17254
"Daejeon",150895,151344,727361,10873,1184821,408834,569540,48889,131754,33959,82183,93817,246894,93329,17864,39110,451684,19978,97569,364826,62157,550837,437271,190893,1810938,472901,54822,44369,20035,15333,6267,117357,46671,39155
"Eumsung",28564,5708,0,278,162862,12595,49184,0,2650,841,2300,97888,8308,2690,674,4337,6233,1246,2811,6047,26368,3526,3428,1831,948669,195938,1936,5636,1264,5458,151,2117,24982,19827
"Gimcheon",14961,43347,28884,9672,36950,304342,129897,2147,28207,689,142878,17083,992,31404,10633,1415,7213,125,1943,3505,2129,7846,36991,29625,291206,81838,16455,2298,8934,1643,3427,47811,6535,3966
"Gimje",2759,300,4484,48,9497,1280,36131,1155,791,9002,797,3789,245318,529,76,782,22248,32894,379627,47237,483,11032,1020,6657,73509,17616,278,859,71,321,31,138,935,1153
