"","Andong","Ansan","Anseong","Boeun","Boryeong","Buan","Busan","Buyeo","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungdo","Chungju","Chungyang","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangneung","Gapyeong","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Imsil","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jinan","Jincheon","Jinju","Milyang","Muan","Muju","Munkyeong","Naju","Namwon","Namyangju","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Sejong","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Sungju","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangpyeong","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yesan","Yicheon","Yongin"
"Gongju",23,20441,84652,1431,10002,13378,8927,67358,1147,837,252011,3620,30,348,371,11439,29344,22724,663484,2224,75383,35,276,9,2532,1342,543,0,290,14553,9069,2596,8643,7523,20,835,456655,841,502,11433,9734,84238,4,812,81669,17212,7194,3316,5083,998,4508,2461,1596,134,267,329,820,113691,39048,9790,763,7485,206,15250,51258,1962,1089,2565,1462,23958,4154,59,160,3679,1,105145,21187,111494,3326,309,69392,1668,1491,2865,209848,58948,64528,741956,81862,1537,18149,888,49980,2784,10456,29992,1387,0,4637,322,0,1109,2131,4136,4061,15,274670,1808,99400
"Goryeong",17000,4203,4039,1282,30,140,31564,76,37261,14377,10800,41124,5052,1335,1058,10646,159,2041191,16130,1913,802,4008,36,7135,187,2646,728,11,96163,682,54871,34308,222,640,4384,49,891,49692,176,44625,821,20,5996,6409,24143,2503,23076,54221,281,910,61851,0,10135,157288,454,938,5,3911,4797,112,1902,691,3343,882,4348,1926,1511,2186,783,70,824,3395,0,9019,8,1305,1444,3220,43172,416,5228,1841,2751,22763,704,72,1062,40571,10293,1951,1171,74729,4301,645,18915,8837,2072,2,973,341,533,4291,43495,2541,203,8013,1559,3284,4427
"Gosung",173,561,2686,62,3,179,5890,2,1293,4010,4598,289,89,120,1,4703,16,4818,15678,819,586,79,6,57,87,409,116,0,3936,1942,296,9870,95,349,86,663,509,126,393877,416,268,5,15,1194,12009,36741,51,226,329,29272,13164,2,7971,543,31,100,7,3375,2239,113,777,332,103,468,5280,654,344,280223,2,14,4437,44,0,3336,1,721,80,2419,509,40,1912,34191,29658,183,300,4,541,32806,3667,308,15844,214,1443,2208213,18,6064,221,0,2,53,6,660,248,11,120,103,620,647,2624
"Gumi",1060,22348,41594,19300,1179,67,121324,1823,35277,17827,155635,447251,37490,3627,23866,181975,2520,4771039,279601,1350,12989,196,488,340,2247,19691,2047,22,6142,5265,420154,36601,1191,135,30820,49,10631,42314,385,207797,11170,1914,271,29411,27344,14000,154178,213612,5189,3374,135902,16,2301,3181,1410,2308,170,66297,25097,192,361,1833,274,6801,26480,182,7986,11416,50366,408,319,37663,1,4270,8,11930,23851,71726,204920,2562,57103,9207,1582,349923,9740,2644,20237,355633,59768,994,3900,30489,49536,5944,205876,8335,5823,0,114577,1569,37,37732,131196,91467,174,397,18720,27909,60258
"Gunpo",7811,595576,58740,1763,9797,2711,6257,1396,1587,644,44847,2297,29966,529,318,29681,522,24433,36894,340,38971,7185,13644,195,114900,61157,25832,2,164,1985,3191,3425,1385,1914,8425,155,10628,481,364,8319,1603,9576,88,2579,11331,2070,5725,1672,437,384,8438,1238,1674,51,17650,1515,8302,120120,4424,1113,501,1270,33039,1744,5850,245,9959,2566,1651,7018,1402,6079,38,620,3,4788,1666,35062,4571,24432,67984,842,740,22820,1678,4767,20565,2407450,1741024,170,2283,795,846347,2004,7397,3374,72795,0,5278,8402,222,55073,1572,732,1110,15693,8187,129872,809283
"Gunsan",26,49278,29500,642,458930,113928,244,86069,27,41,76192,801,22,215,38,15620,15025,3495,72472,8757,71136,28,288,3,4844,2177,1396,0,2,172,915,148,14064,166750,17,5021,84630,140,28,2510,12446,35153,7,698,326610,2932,1308,487,79,618,159,43300,6,2,283,233,107412,176403,53,6,7,26226,162,115,100,0,2053,49,49,178109,55,71,1715,190,1,116,712,35002,1864,257,110676,94,8,3283,95901,150993,169190,641594,193855,951,17413,84,19386,99,1926,51,1075,0,73,215,0,1101,853,275,46958,14,16498,2109,31718
"Gunwi",39505,168,37,6,3,3,4799,5,2859,760,124,116018,8,2128,1595,63,7,598234,497,93,17,27100,32,14063,18,14,373,100,926,4,192,1889,10,14,10,5,19,5795,17,261,109,5,91,251,1453,835,4340,8835,14,158,7483,1,158,341,933,1223,0,83,44,8,41,32,5539,26,183,46,6,616,2568,1,16,6,0,340,134,30,41,33,3663,401,28,350,110,40,6,2,13,3490,430,39,214,149,401,103,5815,173,4702,9,4280,213,2060,265,2379,46,8,18476,53,205,370
"Gwangjoo",13918,3766,323346,6959,826,117,26596,241,6509,3303,7279,6547,87285,521,1290,262809,68,83794,150699,563,1991,10593,22577,333,1578,323621,50077,7,539,7624,10835,12043,1578,123,20359,230,842,5998,1027,31582,4344,646,190,381378,26820,4165,14929,5984,3502,1346,19203,63,4056,184,36059,960,559,9699,11571,2403,2527,3403,60007,8261,14045,596,82623,5329,5602,883,4774,15585,2,1820,36,6854,10960,6125,11579,44561,4931,3321,2518,58464,970,378,1417,7417128,4970,272,4337,3588,14773,6597,23434,8308,181533,9,16398,13593,560,186561,5153,3366,104,22225,426,647896,53450
"Gwangju",10118,38000,101463,4007,56096,231750,154577,14207,8919,58226,220808,10591,216,5992,554,182254,2558,204828,465533,1231065,46734,1718,2521,2438,2727,16101,8694,2,36871,9050,9755,185259,397246,600204,169,1943852,91338,20328,12885,24362,12141,316492,1248,22623,139811,457585,20582,16722,28082,58169,144527,884654,31946,8746,3301,5483,27515,156337,171835,34179,91144,900757,1988,766724,481871,4686,15042,71438,90,3643167,14718,610,598310,415378,3,205469,10398,99168,32645,5420,109915,58400,14856,10015,18634,22187,58001,929060,139622,445632,2274130,10222,45360,76279,1556,511915,19079,0,47,4249,291,18083,17129,2662,22644,5667,25707,40655,90577
"Gwangyang",6044,4209,21381,878,909,3563,305435,100,27730,114665,51328,8206,693,920,21,34877,72,121868,68270,21091,5490,10886,264,1304,458,4862,1175,6,7387,4179,7052,351288,1223,5413,957,40485,19403,1923,33376,15085,1904,3092,870,4129,424080,589914,2046,8476,3711,302283,245390,92,7944,1327,605,979,386,22016,35350,34175,10189,24824,3136,9515,108215,531,4991,298904,2,171,12942,909,3,67428,3,37273,1050,22884,42041,732,13943,237752,21683,4546,3969,362,2955,164681,15809,7893,730496,4120,10479,135879,84,206016,2864,0,13,692,211,2385,12378,107,4306,4394,5219,5417,20820
