"","Andong","Ansan","Anseong","Boeun","Boryeong","Buan","Busan","Buyeo","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungdo","Chungju","Chungyang","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangneung","Gapyeong","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Imsil","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jinan","Jincheon","Jinju","Milyang","Muan","Muju","Munkyeong","Naju","Namwon","Namyangju","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Sejong","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Sungju","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangpyeong","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yesan","Yicheon","Yongin"
"Jangsung",220,3173,9459,518,3908,19853,3552,1195,270,1718,20004,686,17,583,16,19849,301,9065,45400,15357,6508,34,295,72,296,1531,557,1,1088,709,789,5540,55397,81492,10,27328,8847,607,304,1682,1231,26788,22,2740,641058,16128,927,868,4091,1319,4174,1166,573,175,312,731,1704,14718,21076,756,1488,58233,109,167580,50634,681,1615,1831,3,10283,1144,45,9,11283,1,21255,1066,8995,1138,269,8670,1707,409,1377,2020,2098,4151,91551,12815,5635,57029,398,4135,1321,69,50714,1627,0,2,299,5,1871,688,247,6259,125,2378,8010,8232
"Jecheon",80688,33516,4131,34,394,18,12968,26,2673,1678,1857,27074,125,143778,920,1915,11,105207,3602,82,966,204681,4728,6459,5181,1877,24801,6927,858,52,50,3874,42,14,65,5,160,2615,68,133,34332,100,6430,57685,2071,2932,10786,4130,81,462,13293,7,334,222,58005,52413,235,22960,461,39,79,80,129139,406,930,17,576,1535,5548,119,48,16,0,577,14037,235,61,9071,6250,12871,2783,945,238,29,64,80,889,734456,106620,55,708,106,118167,622,20809,416,1032263,1054,12476,9764,9950,61216,3732,27,10,274980,182,47675,89782
"Jeongeup",80,2962,22427,1856,23,92,5765,8,663,2850,40082,751,37,1135,64,69460,50,10469,196237,9288,3471,65,1006,31,348,7513,1989,1,538,4113,5526,8398,172268,1564,18,12957,15285,748,623,7547,1486,127,13,7104,758592,10228,1220,1244,15788,1927,7333,386,2088,281,1285,1064,18,16839,88595,404,4408,155644,360,79973,255633,5876,6905,3672,34,3061,7063,93,9,8576,0,51398,9140,17922,1893,1477,10638,2579,1260,6003,3354,14,1451,149188,11576,2246,40798,400,8122,3043,1203,284322,5792,0,14,752,0,4358,1022,1517,780,16,4087,10056,16421
"Jeongju",777,10759,61738,3078,52,272,130738,45,22509,88813,144728,7979,297,3513,309,134664,188,58844,660538,8907,12976,324,1689,197,1236,10580,4297,0,5350,8264,12655,184276,88043,1703,219,3221,55264,4322,5727,27124,5253,74,145,12255,463022,103346,10863,7062,34654,42004,415605,397,23343,1204,2106,2770,38,60741,71469,173034,20261,46797,1063,252064,41246,18621,10209,131239,388,4527,23305,316,9,44455,3,136052,15170,64678,10883,2518,38580,75521,35985,11937,14797,45,5387,476758,41804,6097,80412,2194,29177,23642,15911,74381,9594,0,199,2044,13,9604,10674,3487,1138,316,15123,22143,58684
"Jinan",156,425,2300,31,0,3,3845,2,546,1795,5644,273,7,67,46,4279,8,7527,15687,143,488,18,34,43,48,418,108,1,1612,3236,66,5477,2071,65,1,16,2127,2134,976,104,207,1,29,625,4463,706,818,338,887,422,4361,21,12992,848,77,54,1,2393,35812,1031,27628,649,18,5461,18195,7538,317,5305,34,155,21108,8,0,1343,0,5611,138,2580,1005,69,1544,2196,5664,95,364,0,211,19835,1673,196,578,185,1160,3931,755,111479,499,0,8,49,5,269,387,12,45,75,594,586,2342
"Jincheon",67,32328,440699,9768,3736,119,9128,397,2141,1099,11492,2814,194,5207,249,577970,199,22728,202336,358,37150,243,3521,3,5154,69408,6358,11,348,7046,5179,3581,1321,76,37,178,868,1386,351,9573,10248,1262,5,79858,19119,4278,4936,2867,3664,430,5866,62,1724,56,4211,4065,2888,169211,13267,2190,761,1640,989,8033,11016,412,17613,2702,1545,838,2064,23,1,812,2,8470,12371,153129,2215,3953,279661,1656,2309,5169,954,924,12119,599927,95916,242,3009,1574,53384,1686,9531,5603,20998,0,7763,2775,3,25332,2220,2959,92,156,1453,84255,86193
"Jinju",3220,3434,11815,379,44,1355,380614,30,71856,252632,25076,5370,1174,1286,11,32064,69,111073,94925,6536,2851,1350,83,718,305,1937,815,4,59398,14887,5178,576063,764,2564,1208,5991,2327,1840,317861,10266,1798,55,407,4911,72799,319372,496,3727,4283,720266,1362927,8,158553,2667,420,1676,39,14857,15105,623,6976,2272,1673,3357,165228,5010,2336,427670,12,50,25955,740,2,19363,1,4229,712,18020,8343,573,9081,2379714,258275,3229,2455,19,2127,153686,15382,2718,111208,2803,8764,771773,86,36053,2476,0,22,501,104,2243,3461,83,1280,1780,3419,4096,15827
"Milyang",23,4,8,0,0,0,489865,0,0,5,29,53,6,4,286928,27,0,1365212,48,0,3,7,0,4,0,5,0,0,0,0,14,145104,0,0,5,0,0,0,0,76,0,0,1,7,0,2,109452,660,0,0,0,0,0,0,0,4,0,8,0,0,0,0,10,0,0,0,1,0,1762858,0,0,4,0,0,0,0,0,10,15,0,4,0,0,11,0,0,1,180,30,0,1,0,11,0,296061,0,4,0,738248,1,0,10,5964,5,0,13,1,9,18
"Muan",48,20432,18552,189,31985,81041,314,10088,25,90,44076,61,33,241,13,6141,2475,721,15517,1481,23624,14,193,24,4882,939,396,0,96,225,371,359,61651,304904,11,861,23062,66,37,455,10033,172903,9,786,3548832,238,59,27,660,59,202,314434,72,25,177,201,18144,95902,1556,134,202,11028,125,2582,3943,165,795,90,3,987022,350,24,82336,922,0,1199,228,20696,148,196,52328,102,38,504,11170,19763,27036,430213,93964,432,787,30,13369,120,83,4825,815,0,0,201,2,728,95,80,85106,28,4790,1358,19459
"Muju",24,3100,10685,241,140,8,10609,167,537,3333,25056,61,20,564,21,42159,737,4560,526256,1278,2810,14,113,8,286,1605,393,0,1237,102081,175,11748,2133,83,12,37,4116,588,4405,423,1435,38,3,5170,19581,12789,275,169,5171,4348,14827,14,26807,411,276,323,37,14092,33317,350,124309,874,57,6767,23456,26249,2006,25692,24,331,32372,15,0,6938,0,4496,1401,12891,464,494,9845,10879,14331,219,4742,135,2350,109194,12275,1095,3780,75,7197,22835,324,181389,1258,0,31,206,1,1572,116,79,118,14,5746,2811,11816
"Munkyeong",3,5953,322,1164,11,8,11853,15,3125,1525,536,5945,29648,870,743,1461,21,74937,2897,34,44,4,164,4,878,15175,677,4,247,39,8660,4295,13,2,21569,2,39,2794,50,37906,6446,51,4,13200,669,664,8579,3347,66,185,11707,0,104,99,450,501,5,2950,163,6,19,17,18,111,309,5,9,732,2184,17,14,140,0,218,3,62,51,864,7010,566,104,418,94,100549,58,29,49,141245,19248,24,224,3487,20583,253,10487,121,1902,0,6470,320,1,16876,4038,478,3,4,92,12065,15520
"Naju",0,207,61,0,350,1200,2,102,1,1,137,0,0,1,0,16,16,2,39,3,244,0,0,0,33,3,0,0,0,1,0,0,764,1060,0,7,217,0,0,0,90,2051,0,3,487729,2,1,0,0,0,2,23387,1,0,1,1,222,749,7,1,0,31,0,22,15,0,2,0,0,68443,2,0,17162,2,0,3,0,71,0,0,528,0,0,4,36,210,297,3290,888,0,29,0,66,2,0,14,6,0,0,0,0,1,0,0,1950,3,59,0,62
"Namwon",2207,1061,6582,144,109,5101,16762,3,2304,7765,12150,2538,121,350,223,9669,20,69356,24302,48369,959,660,78,610,126,960,327,3,27108,2858,1675,22072,167,13065,191,383,3815,9897,4172,3913,514,151,292,1905,403085,68987,5405,2522,915,2794,16646,79,43257,7327,173,211,53,6092,12935,17592,190531,9180,591,8539,38475,1381,803,19198,161,630,6016,270,3,273175,0,7815,218,6059,7446,158,3957,8525,20531,1455,708,41,448,51231,5054,97136,52708,2102,3485,12876,3542,68634,789,0,76,137,70,762,2995,22,2981,1593,1102,1573,6043
"Namyangju",0,0,0,0,0,0,0,0,0,0,0,0,0,509878,0,0,0,0,0,0,0,0,0,0,0,0,0,203598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4840764,0,0,0,0,0,0,0,0,0,230793,0,0,0,0,0,0,0,0,0,0,0
"Nonsan",65,9865,48975,2220,157,23,7211,70,894,2460,122663,2676,49,1658,268,79883,346,33160,708745,4513,21158,43,955,17,1070,6764,1848,2,611,16459,9997,6031,18366,289,19,1427,110486,1534,1128,13310,4531,58,9,6058,186204,39012,5909,4642,62413,1734,7577,131,3487,189,1100,1509,171,54642,106469,26524,2317,18670,261,51425,132103,5794,7912,4740,1002,1858,5077,93,8,9151,0,38730,14912,54467,5099,831,33875,2481,2619,9566,12243,153,15108,381045,38958,2983,35860,1051,24373,4334,7725,88232,5275,0,1910,829,0,5804,4347,4726,294,18,44576,10687,48829
"Okchun",59,6724,28259,460,982,38,11571,2463,3764,1726,71330,6157,52,1958,489,399170,2711,45274,1460947,201,7452,25,1005,51,1575,8037,2163,1,319,18106,33813,5535,1374,41,112,62,19762,1385,735,24622,3414,845,21,13120,19480,2070,13287,4492,16367,1012,8261,45,1664,51,654,1074,88,27432,14407,517,1351,2288,111,8964,15467,358,13513,3625,2279,477,14328,150,1,777,0,17542,84256,21029,6166,572,24432,2692,1319,1974,30377,2095,7096,179640,22327,155,1608,2247,12999,6419,11594,6245,4827,0,6137,527,1,4969,4640,83169,55,19,17626,7229,17038
"Osan",1941,68349,883049,12945,9567,5899,22350,10082,4377,2594,774181,6850,3799,805,895,282759,3898,69398,289116,2082,32761,1827,4518,36,17259,74375,10696,1,1057,13476,19472,11807,5914,4236,866,767,86981,2160,2123,61256,36950,25114,16,3692,75238,17163,19574,5440,3927,2522,23804,1166,6721,147,4941,1775,7759,4856788,37949,9486,3675,6283,8076,15024,50139,2055,126211,11142,3990,14597,9932,821,42,4814,3,40705,16812,97439,9197,6663,1648613,5850,5299,17944,13115,8009,19419,2451434,246831,1484,17567,2589,234146,12289,25060,29074,24790,0,14299,3769,37,20852,5308,6316,2778,2803,6662,46471,577724
"Pohang",15834,13297,11048,4370,389,254,1837,1017,17124,1060,34391,159018,11618,6324,16920,44309,1274,2698792,103507,2252,23152,9044,18,6214,747,8110,138,210,12322,1841,32788,774,610,816,14627,88,3426,37438,637,220990,4184,1437,3491,10850,33309,44001,649,14517,4193,7088,32560,8,3475,4751,1603,2117,60,17278,8314,171,1105,1484,7789,2285,12329,1000,3530,8801,25387,229,441,7643,1,6974,168,5494,5576,12868,732582,1014,13229,7860,1861,34447,3711,1234,4888,192600,31960,1725,7834,1933,18269,1105,1132,11034,8177,20,2057,90,1519,18494,379522,12881,785,12482,8137,7590,18946
"Pyeongchang",4387,15528,18800,304,430,35,2802,48,596,328,5386,3150,2102,12397,218,16784,18,21624,20481,110,1128,2906,113609,450,3752,9974,992247,1383,256,288,530,803,144,24,1180,20,258,243,44,1821,25027,172,616,38470,5486,724,1510,483,336,76,3145,14,141,10,319750,4267,215,18842,1716,235,132,179,11876,1301,2340,59,3310,468,1310,202,342,566,0,147,2951,689,268,6973,547,855861,3341,238,124,1645,166,79,1177,570752,64013,22,550,129,95792,342,3726,1302,409592,437,2985,154527,553,70806,368,96,31,5290,252,47811,88304
"Pyeongtaek",264,385133,1106521,17175,219238,25930,46330,12124,11415,6310,539866,17761,386,700,1678,385157,4398,104716,295937,3245,1338386,414,2557,15,50640,216470,2670,0,1151,17707,30244,19686,12022,16332,126,1481,73005,4387,2448,60855,66507,124312,6,2615,123464,14111,37057,18753,4344,2297,51146,7061,7583,166,1846,929,173193,4774799,29834,7610,3416,9647,1529,11746,40009,1655,294001,11362,7768,54545,10308,116,500,4149,3,34850,24820,1747484,16838,2167,1848126,6948,6123,22245,15643,65381,614438,2790343,1111732,1329,17425,5158,73639,10851,44478,23032,7433,1,24321,1358,26,5354,16730,9599,10740,468,140938,9233,135348
"Sacheon",2566,2077,7919,168,103,1245,268656,13,31058,136372,16278,4719,715,759,9,19004,61,90863,64148,4622,1802,1150,59,1066,223,1765,568,3,18493,9292,3304,351165,397,1795,809,4998,1687,1852,40064,7942,864,129,263,3510,54780,237149,371,3469,1399,314323,580187,10,39513,2144,227,735,40,9692,8107,755,3517,2349,1088,2337,88000,2762,1169,2109541,6,65,13008,438,0,10252,1,2703,519,8346,7264,252,6931,328629,159660,2758,1572,31,1717,85066,11117,1126,81743,2193,5001,155172,78,23832,1598,0,20,323,103,1383,3475,45,725,1632,2037,2516,8776
"Sancheong",449,2503,8085,206,6,262,53671,7,4556,29663,12611,973,99,318,37,14245,34,23458,42030,1871,1673,217,41,111,183,1032,462,0,23855,12272,634,81747,830,460,117,266,1756,2858,32836,1555,916,3,74,3113,13897,24024,1139,778,704,22089,111781,3,71424,4105,137,290,5,8069,11723,244,6037,485,282,1203,34615,4171,2497,229223,17,28,13667,107,0,18513,4,2698,343,7146,2342,174,6342,145728,100299,578,1216,5,811,82091,7874,2096,7957,820,4318,80315,282,29334,906,1,9,174,24,1289,1084,18,156,398,1629,2010,7621
"Sangju",43,29003,20495,81303,470,114,45082,1209,16889,6409,94179,42598,115092,4111,3705,253753,1025,570744,185090,375,2553,25,507,24,3515,51419,2854,21,1543,1331,67729,20894,1111,85,114745,40,2546,21481,151,357036,22625,2213,23,56033,11146,4419,34078,24494,5769,1093,46284,24,704,854,1672,2509,95,25281,10380,287,183,994,80,6466,12834,66,4638,3678,8869,430,163,109662,0,1463,6,10738,1582,23609,33840,1883,22579,2981,542,466196,1799,1342,2625,616500,93707,289,1577,32251,80582,1537,43849,6070,6943,0,25338,1405,6,59417,20529,4544,73,19,5819,46572,68648
"Sejong",11,4064,14783,1336,22924,5878,5525,62244,1095,773,41568,1963,20,233,260,11442,48385,22448,665039,273,82142,36,142,8,379,908,225,0,186,22545,7057,2250,2327,2572,13,115,217922,765,332,8970,1690,81721,3,773,18442,3773,5762,1719,5588,323,4617,603,1322,32,133,203,1508,21477,11641,1977,605,2340,72,3487,14472,384,949,2152,1285,9069,4734,59,14,748,0,10907,27684,18314,3115,245,15643,1294,1164,1861,87622,62847,111286,131349,16799,179,2776,639,8229,2304,4950,9498,674,0,3307,171,0,523,2564,5695,1413,3,316860,908,16487
"Seocheon",15,15807,13807,332,298363,16513,158,71620,101,23,19617,509,16,109,35,7444,9274,4353,114304,841,27100,8,97,6,4073,1281,226,0,2,701,1178,64,8582,7129,10,457,56527,114,9,2909,6934,129730,4,380,20313,480,802,338,272,137,77,2559,8,1,169,137,51846,69030,13,1,3,1901,70,16,29,0,956,34,98,14066,141,30,135,56,0,113,1373,9875,1080,105,62135,29,5,1151,59235,85681,52320,244891,56903,87,2998,205,7943,31,1503,8,547,0,97,80,0,401,348,362,2914,8,4957,902,9520
"Seosan",66,62033,89517,939,244729,16710,14123,4606,2253,3720,10283,4256,146,529,390,16982,1970,41284,293080,1976,251906,156,1171,21,40783,20988,1676,1,149,5872,10444,4454,7789,8676,36,1280,61758,1099,559,26323,27391,178733,16,1102,61046,3541,11722,4534,2618,484,12619,3763,802,94,801,649,103577,414919,4504,1132,224,4256,802,1752,6057,236,11571,1989,2153,26379,2639,51,208,499,0,15378,6049,14527,5556,1220,555759,1592,693,2894,92796,50785,105723,1078239,314053,360,16617,1898,37566,3693,24615,3461,3933,0,7533,732,4,2583,3426,1445,4928,159,45939,3162,18010
"Seoul",216808,8035284,4166091,113555,470964,159368,307694,101886,64761,33567,3573764,59502,749359,5059381,16584,2633058,37064,1051567,2863829,26911,1489211,118277,301795,6226,816267,1849085,589902,880398,20357,147036,163444,113860,97069,109182,183435,13547,759898,37207,29913,363879,2982541,581374,2798,7618065,929687,168417,234451,60272,63803,36769,320632,46766,99600,4323,303960,5041,409729,6978939,368759,91708,42659,86090,719322,166422,487721,21232,608125,151377,61041,373518,113490,139321,2474,55377,4642899,379338,158088,2900456,196172,611619,3202044,83899,77716,618630,126818,216551,1005987,57629,287194,14917,186615,47178,4567614,202375,310781,284069,1578933,647026,216057,110294,7435,1427364,67878,64718,74803,279530,346661,4049798,13742500
"Siheung",21694,6981725,376797,16581,116774,37126,67254,16011,14271,8399,475005,13370,83332,1217,2268,316364,4811,139287,330383,4888,640092,17267,45620,608,594899,211831,77571,5,1726,21216,27759,22932,18660,23497,22697,2842,86684,9271,3725,64264,2067088,203210,364,2717,166108,16145,38335,17313,5141,3158,57416,13224,8985,544,50492,2876,93154,1656752,32083,8130,4478,14787,92896,12659,42941,1785,98851,18604,9872,95469,12156,18800,1014,5142,2,39731,21331,259337,28035,60769,1141379,10782,7694,87978,16467,62184,319574,257154,1869,1483,23343,6496,1693027,22413,56800,24730,193110,1,35907,27817,844,132801,16659,9309,15752,36292,101627,312745,1513918
"Sunchang",630,384,2606,30,388,2730,2672,47,517,1315,4299,950,16,78,65,2232,8,16345,5734,23126,445,139,16,164,42,1137,76,1,4177,239,425,4091,333,6977,23,566,1685,2556,455,1077,155,957,58,311,426937,10998,1543,817,370,781,3383,75,5808,1247,70,55,135,1922,1872,4230,11545,5018,70,2674,6587,133,179,2776,15,477,701,34,2,119305,0,3690,40,1917,2119,27,1218,1203,2719,330,238,121,382,14675,1457,2196,7848,727,858,1907,727,6405,269,0,10,42,22,185,1136,6,1537,282,450,612,1735
"Suncheon",2427,6054,24274,807,7151,20732,133862,638,10541,52804,60226,2572,282,840,10,31041,220,50860,76028,121455,8445,1688,301,514,586,3733,1057,3,4228,1374,1991,164308,7822,29885,266,299373,23368,1060,15944,4617,2433,16666,307,4789,2254197,771963,464,2570,4399,105787,122239,360,4532,1034,626,859,3294,29584,32593,27761,8564,55718,1052,40385,95416,493,3694,117154,4,573,4058,286,2,61689,3,41722,1161,26897,8775,773,18437,90547,8205,1836,3403,3036,14695,209864,23933,5726,1868803,1429,12260,74176,85,146516,2927,2,8,650,92,2619,2927,152,15510,1690,6324,5417,24349
"Sungju",528,2901,3110,1813,33,40,22532,146,33915,10265,11978,641,4936,419,124,11086,171,178191,18383,756,971,607,39,148,146,2822,375,4,10484,389,77243,23021,69,181,4729,42,901,73114,130,30493,1018,88,125,3498,13196,3815,1361,2682,428,1290,56638,5,1896,4743,182,271,11,4286,2162,25,595,498,120,669,2045,236,1691,2924,157,14,109,3098,0,2583,1,823,2237,3390,1799,175,4737,2160,930,29678,779,125,1662,44315,6953,599,1451,67838,4792,777,1417,2018,763,0,290,127,7,5232,2689,2975,68,176,1914,2809,4148
"Suwon",30459,878670,414967,9691,20434,5246,27595,6410,6314,3512,333693,5715,124152,3959,1581,209543,2474,103333,203265,1388,63151,20851,46142,702,263692,254064,98801,8,918,10342,16253,10596,4086,3549,29301,541,55079,4222,1901,49892,921426,20094,329,12094,48800,11236,23154,7236,3023,2309,28507,1190,6069,253,71648,11543,19535,449704,24054,6061,2570,4089,113645,9524,32034,1333,52006,8504,5923,13568,8045,19934,53,3474,8,25770,11656,239024,18161,98158,108952,5217,4002,77303,8399,8399,44436,4216510,1710516,952,11296,5050,3108167,12065,30073,18539,277821,1,19200,37654,926,289820,7017,5510,2255,47397,13930,620466,3340007
"Tongyeong",1510,3309,13268,296,86,2296,5135,21,4806,7395,29125,2120,574,1145,6,35646,119,41472,110188,6423,2720,643,60,328,418,1442,814,6,17255,13876,2361,12938,713,2705,780,5291,2992,864,2389853,5627,1635,49,88,6469,74370,141323,95,884,1280,89695,36771,15,27695,4717,343,837,44,18162,13259,527,5184,1430,917,3003,24749,5256,1766,764599,0,95,24141,348,1,13245,2,3944,576,16908,1707,391,10588,141335,87461,1691,2359,33,3671,186422,24589,2185,72371,991,9771,351,29,42340,2040,0,5,554,86,2608,1138,58,1090,1008,3523,4482,18473
"Ulsan",42704,23884,23629,6638,637,51,7078308,1069,308,109,82895,125433,24124,9916,47314,73148,1660,1669825,117313,265,13787,28068,36,10660,1748,14470,532,281,17189,3201,32756,297074,883,155,17873,3,8164,18205,8,185369,6022,1999,4984,19652,1120,151,1255699,202715,2844,29,159,1,2044,5982,3691,5113,96,43006,18356,91,673,65,19796,1446,18103,644,10313,60,277771,105,282,7820,0,2896,157,8911,8440,28554,642,3894,38687,34,173,36671,4287,1862,20740,257767,49513,618,74,1366,28759,23,3901534,6891,17169,14,3004839,784,2736,22518,261181,14631,46,44814,15414,14636,29636
"Wanju",1194,6592,38614,2401,10,40,78515,23,5023,25536,90424,1408,64,1731,335,80945,117,81159,348579,9767,7878,94,1018,315,765,6719,1927,2,6677,4439,4513,69787,52701,1928,43,1888,34926,8609,9104,9446,3296,41,151,7809,522452,220128,12826,3568,22386,8660,64384,544,52159,4112,1399,1943,21,37793,145340,431326,257047,50412,542,292558,80937,133190,5613,37986,290,5885,181633,125,7,109446,1,95536,5350,40169,12233,1614,23859,19253,31396,6512,10108,18,3312,294601,25275,6790,151686,1578,18112,40373,8222,133953,5200,0,89,1276,10,5271,4299,1686,1474,141,9326,11524,36509
"Wonju",56128,67907,84724,1445,2069,150,13499,287,2192,1498,12906,15208,6173,707246,1263,75874,118,81885,78798,459,5506,94135,132616,7559,12357,50463,435338,14858,1282,1925,1985,4031,620,111,2854,91,1188,1637,193,4517,75668,841,5510,167503,18235,3968,17900,3945,5042,733,15151,29,636,184,665113,281814,1415,55088,9043,1186,697,1437,1040292,5152,9650,302,21337,2446,5274,861,1133,1962,6,806,18380,5424,2626,27197,7678,409902,14542,1389,646,6016,653,495,3859,1534698,205953,228,2484,764,282105,1713,19462,4593,880159,1661,11850,102563,6221,180481,3535,743,82,111871,1131,203712,343490
"Yangpyeong",0,0,0,0,0,0,0,0,0,0,0,0,0,56075,0,0,0,0,0,0,0,0,0,0,0,0,0,30847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227952,0,0,0,0,0,0,0,0,0,0,0,0,666651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yangsan",3110,3156,4581,383,7,0,5815986,48,24,141,9644,15535,3051,475,103818,7853,66,1587924,15917,2,1430,867,2690,660,182,2053,62,12,132,232,2165,734791,4,0,3835,0,661,236,2,13129,818,8,322,2803,13,45,880463,32870,444,6,35,0,8,24,155,262,4,3277,87,1,2,0,935,6,90,2,1231,26,725539,1,6,887,0,11,11,1318,1217,2900,190,148,6717,9,6,3424,381,28,1216,21561,4246,2,28,90,3602,0,3024169,24,1265,3,2361733,64,162,1679,73940,1381,1,1888,808,1786,2608
"Yangyang",2228,6642,8939,205,358,31,952,36,366,231,2897,1719,1652,2505,70,12547,13,10170,13900,53,588,1986,259631,256,1389,5690,523389,326,92,230,458,331,123,19,800,12,207,197,47,1091,7882,158,279,12211,3696,545,321,266,501,107,2564,1,125,21,48034,882,139,6514,1330,187,99,235,8153,606,1687,29,2177,405,498,128,182,335,0,118,720,636,218,3607,42,190141,1664,295,135,1174,134,59,539,103614,27417,18,434,117,33446,346,816,1051,104538,92,978,169795,431,24093,121,83,11,3279,159,21020,34181
"Yechun",33205,227,19,1,1,1,1838,0,442,281,6,8604,2,2256,170,4,0,39454,18,29,2,8767,114,2165,40,7,932,179,60,0,5,523,0,2,1,0,1,369,1,17,204,0,2578,456,259,201,1764,967,1,45,1799,0,17,29,688,1149,1,110,5,2,10,12,8563,1,48,4,2,125,698,0,1,1,0,75,290,0,0,45,1084,620,8,100,22,1,1,0,3,6098,806,23,88,16,830,69,2935,3,5506,22,1773,425,49,386,763,3,2,25224,1,247,628
"Yeoju",9114,56049,78437,1846,1259,103,13438,173,3232,1916,10660,4139,81641,25378,1517,80920,80,53856,74462,241,3615,4601,15511,169,13050,136315,36666,68,296,2197,6398,4857,714,96,16228,79,894,1744,322,20247,62907,1072,131,175306,15527,2439,11079,2547,1849,407,13070,37,658,164,25915,11439,928,55002,7830,992,640,1120,40855,3805,11480,266,25464,1980,3046,668,1156,10386,0,689,27,5085,2625,25757,7347,24267,11025,1007,786,35602,559,399,2785,1492523,158264,176,2039,2469,310784,1986,14288,4748,135397,10,9768,12279,282,166082,3030,744,77,11643,751,252031,412875
"Yeongchun",12323,12638,8716,1907,130,81,154135,475,16910,1118,32545,203523,8319,2703,20629,28127,444,3404546,49934,932,9603,3240,12,3701,432,6488,207,95,8948,862,22142,7683,427,251,6808,59,2492,40139,298,131440,2192,662,2753,5531,19591,9876,145328,211073,1212,2024,25827,0,1792,3205,837,1269,16,14752,6817,237,594,1146,4681,1489,12434,493,4264,3858,52455,92,171,3691,0,3337,79,4373,5481,7738,324207,581,17782,3712,1035,20675,3196,548,4887,84186,22305,577,3471,3796,7958,483,242232,3980,4246,6,79681,200,794,7442,111862,7779,276,8667,11031,4340,8746
"Yeongdong",148,1979,8621,92,214,6,13823,464,3615,1506,20050,12763,990,352,1164,76116,622,98130,392293,44,2714,18,101,68,299,2148,308,0,46,2239,92107,6093,308,19,959,13,3948,2625,21,85757,654,305,47,3545,3937,274,17120,6934,3341,64,9733,3,95,51,153,225,33,8533,4579,36,79,330,51,2403,3850,33,2736,224,3604,112,110,612,0,72,0,5029,73248,8377,12120,141,11186,136,57,4938,5605,457,1615,61215,9186,7,174,2940,4649,222,19618,1617,957,0,9842,135,0,959,6737,41233,19,39,3905,2354,7549
"Yeonggwang",112,3615,3250,37,5765,34704,2969,2480,218,1263,7980,104,0,57,25,1044,411,2886,2676,6866,3468,8,19,27,734,146,49,0,464,36,91,4011,20483,84686,2,5877,4806,240,209,212,1517,42669,10,128,27541,4266,403,306,150,879,2569,18216,335,145,30,54,3279,20572,354,217,359,7118,23,906,1139,62,124,1559,3,65809,131,6,2536,3368,0,245,66,3820,899,35,9637,1210,263,168,2082,3672,4647,83623,14154,1746,17120,117,2299,1395,91,1271,121,0,0,31,4,98,553,14,169,72,933,256,3522
"Yeongju",121743,13167,1351,2,65,8,23035,2,7520,2661,346,125168,33,25114,2419,202,1,436953,243,349,248,268265,664,22232,2498,573,9433,2322,1655,8,88,6290,5,52,13,21,6,7481,102,225,16579,9,26895,21380,5693,4459,22284,14133,6,800,24535,2,589,779,12265,12431,66,10197,26,16,193,140,273968,21,364,95,162,2270,9916,16,14,1,1,1540,4890,13,5,3358,11229,5977,958,1615,407,20,9,3,225,288705,41240,337,1418,231,50484,875,49609,138,125025,356,22785,3901,27192,17965,8027,19,48,39849,37,14562,30677
"Yesan",51,24892,19780,1797,2311,2319,15487,15233,3037,2066,2971,5181,47,157,675,14895,7117,47656,824133,662,174220,53,277,40,16436,4164,396,0,297,17506,11293,5694,2176,1540,24,261,260081,941,695,17672,12494,15832,24,420,24513,5150,11565,4960,7485,400,12892,528,1555,114,231,186,1516,136310,11649,2906,417,2290,193,4508,15456,596,1673,3081,2743,5132,5450,95,29,1166,1,44097,16535,5379,7442,326,139820,1751,1832,5658,276641,5235,38485,413840,104607,458,5394,1808,14104,3064,16943,8888,1135,1,7623,233,2,753,8363,3834,637,24,133166,1025,5798
