"","Anseong","Busan","Cheonan","Chilgok","Chungju","Daegu","Daejeon","Gimcheon","Gumi","Gyeongju","Gyeongsan","Hoengsung","Iksan","Jeongju","Nonsan","Okchun","Osan","Seoul","Sungnam","Suwon","Ulsan","Wonju","Yangsan","Yeoju","Yeongchun","Yeongdong","Yicheon","Yongin"
"Anseong",0,6626,30286,774,25179,9035,17353,3342,905,2167,576,1191,2401,9753,669,1716,41402,325577,28994,61997,707,1267,196,666,345,627,1424,4777
"Busan",7647,0,13840,10521,17171,270547,50753,7212,42685,494322,24507,72,3918,13500,1108,4550,38569,235535,15160,41702,386796,694,747320,401,65130,4003,1751,4452
"Cheonan",29588,20013,0,203,72687,20867,137831,8025,3030,5189,459,2996,3309,15485,1156,3493,77195,663405,61249,78248,1865,4543,727,1491,744,1423,2842,7782
"Chilgok",894,11702,220,0,260,474409,1075,400,4216,6590,4870,4,128,165,61,167,469,5232,269,536,1595,2,317,3,1735,238,29,64
"Chungju",25034,19858,74514,232,0,21609,113375,6447,2594,5476,261,395,11322,36385,2514,13457,45351,293192,20366,49206,2360,257,722,190,392,2802,446,2226
"Daegu",8010,302993,20416,475872,20881,44049,106635,35604,492789,445121,107783,102,6851,11459,3145,11952,30950,324707,19763,45413,86229,810,14651,314,66251,13966,5846,5046
"Daejeon",17853,54272,140704,1147,117555,110055,37396,30011,10441,24179,1146,2957,96945,183712,95241,45658,46893,350694,20550,47449,12106,1178,1841,615,1912,16533,1188,3664
"Gimcheon",2876,7118,6871,395,5908,33205,26578,3996,35831,3218,320,67,1273,2278,791,7567,8481,85336,6548,11226,1024,123,293,76,455,7130,989,1171
"Gumi",719,51071,2923,5424,2512,480616,8905,40622,169,18929,4749,31,564,1948,325,1905,4255,37730,2468,9136,7348,36,1828,26,2154,2994,172,630
"Gyeongju",2657,473480,6519,6883,6929,408677,26857,3656,16813,0,18016,9,3208,4425,910,2542,23948,113478,6725,18560,29641,165,15172,117,6220,3038,1097,1381
"Gyeongsan",1102,28405,366,5051,631,98805,1450,554,4705,23102,0,3,183,368,60,297,862,5658,612,872,5417,8,3922,8,10953,244,15,152
"Hoengsung",1248,68,2857,1,389,164,2274,63,16,19,4,0,492,1473,96,65,2014,150848,2454,20561,5,127812,3,5726,5,37,74768,5722
"Iksan",2370,4927,2821,89,11205,11592,89226,1377,633,3045,72,720,0,12343,10416,2826,15815,111953,8556,8392,1482,832,313,157,169,315,5234,1573
"Jeongju",8623,12951,13658,87,32983,14916,172828,2187,1539,3115,333,1500,11047,0,59745,4383,40491,512903,28358,44989,2083,2146,147,1206,502,324,5840,4567
"Nonsan",597,1766,714,46,2510,2963,86689,674,328,1123,54,104,11364,61473,0,957,2148,34147,1980,2843,356,100,219,36,103,142,129,259
"Okchun",2005,3715,3923,207,15301,11893,40730,9571,2031,2225,188,68,2538,4366,1259,53333,3817,19872,1932,3518,744,57,105,64,345,16678,80,273
"Osan",55256,61890,102660,625,65240,60406,68685,16873,7876,22234,1334,2841,26647,81218,3471,6359,0,472502,68411,32593,8467,3449,4814,1771,1006,2420,7193,13708
"Seoul",341835,206524,642294,2552,283984,267831,336465,71450,30194,73064,2488,147018,94794,439267,32381,18609,465358,0,286493,757596,34343,152308,7008,52523,3607,14760,107957,672707
"Sungnam",35236,30206,67326,443,22784,26958,26479,8740,5353,6404,358,2637,7932,34954,2511,2132,69003,275776,0,145261,3320,3456,803,849,652,1445,3705,74459
"Suwon",65860,50404,80752,419,52342,61357,50894,12992,9118,15386,928,21078,9642,56838,3716,3578,37372,701596,143641,0,5884,36781,2227,20624,1069,2369,72683,193577
"Ulsan",770,381810,3851,1657,3665,90659,15948,1177,8888,33968,5565,11,1715,2659,398,1034,12320,53422,2543,12064,455922,133,51095,34,5036,1083,137,4210
"Wonju",1225,988,4749,5,306,933,831,66,21,65,1,142945,385,1174,75,31,3171,151910,3960,42850,32,111385,5,44874,9,38,204157,12464
"Yangsan",116,741518,637,474,948,15375,3904,373,2771,15457,2975,0,471,212,214,115,2024,10603,432,1825,60971,341,0,8,2601,74,35,79
"Yeoju",771,1453,1410,6,208,349,620,114,37,94,3,5107,148,925,46,79,1759,56314,927,21657,53,47304,28,0,5,19,163123,17465
"Yeongchun",345,60460,681,1412,327,64451,1989,464,1696,6946,8738,0,141,575,105,365,1366,4857,315,992,5217,32,2040,24,0,398,46,129
"Yeongdong",551,4642,1252,300,2621,13278,15932,8729,3232,2238,273,60,261,387,172,15452,1334,13794,1008,1652,1725,21,57,20,361,5556,52,114
"Yicheon",1754,7406,3960,21,527,7473,1828,273,99,969,37,72272,2915,9811,135,89,6597,99281,3551,68025,182,197452,38,18124,23,51,34897,58575
"Yongin",4548,5355,8712,36,3086,6227,3860,988,496,793,60,5561,1230,3963,238,256,12144,688039,74748,181678,3806,13160,83,18864,122,173,66728,40793
