"","Andong","Ansan","Anseong","Boeun","Boryeong","Buan","Busan","Buyeo","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungdo","Chungju","Chungyang","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangneung","Gapyeong","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jinan","Jincheon","Jinju","Milyang","Muan","Muju","Munkyeong","Naju","Namwon","Namyangju","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Sejong","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Sungju","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangpyeong","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yesan","Yicheon","Yongin"
"Hongcheon",9395,2331,15225,443,360,45,4188,54,442,294,2724,4378,2384,1691889,320,20498,27,30606,25166,86,658,8497,2832,1049,370,9496,5807,49023,161,703,734,820,202,27,1409,61,229,471,52,1655,1802,227,1512,1129,5140,547,3372,1002,1804,145,3004,23,291,42,80530,29653,220,2337,2167,554,532,45276,1301,2997,30,4254,2181,1547,209,346,608,1,205,135603,1583,500,1645,1831,4260,1049,346,202,2114,197,91,631,1674119,3719,4,565,172,11217,505,5451,2061,263512,22698,4316,1031,1693,12940,888,129,23,12019,189,20554,26738
"Hongsung",13,18700,29307,73,174215,13690,239,928,31,32,1064,48,70,237,8,2358,46,1063,7982,1206,64320,53,189,1,18907,6172,506,0,3,139,228,103,5040,6345,8,620,1512,14,7,393,11945,104686,1,535,26424,876,155,48,86,413,157,2716,31,0,270,162,54,153451,30,4,1595,173,19,52,0,2372,64,41,16834,57,17,147,102,1,199,115,7255,154,247,134085,88,19,181,2734,48896,77971,431084,84233,50,5985,18,18395,82,301,36,1359,0,145,203,0,796,58,41,3187,56,2248,1543,10260
"Hwaseong",6778,511700,1252709,20932,201375,49527,60274,20325,10240,7581,1152803,10155,19403,1837,2195,490220,6775,138356,478551,5850,1011019,5357,13529,178,63035,170487,23276,4,3409,26208,31617,19310,24218,31383,4324,4505,145271,5211,3737,90425,84996,199306,79,7383,199228,9233,42494,10692,7959,6587,45438,13942,14414,473,16769,3192,158869,7381067,58783,7678,18963,24778,24517,77360,1616,204448,23581,8747,99762,17783,4086,1106,4732,9,66280,20464,2719199,21548,24096,3457728,11230,7770,31774,19548,77916,421850,7354689,1591805,255,37204,5266,353610,20270,57708,69255,66318,0,30852,11846,254,53578,12709,7911,23144,11054,125669,146679,1125829
"Iksan",145,8041,51275,2697,25,20,29266,32,1836,9951,108444,4308,109,2439,207,133774,113,38321,556736,2947,4872,110,1232,71,1002,11128,3632,1,2918,7245,11800,25447,69056,350,67,1753,35206,4254,2636,25519,4426,34,29,12219,183167,2539,15258,3791,38311,1483,23528,174,14744,850,2156,2152,21,44740,24115,34270,27475,517,104451,68259,15824,12223,13582,449,2516,32534,188,2,1954,1,111483,7659,48781,7641,2067,26232,6466,9432,8983,7645,31,1510,367431,28300,56,10253,1729,22320,10446,16985,157624,9871,0,294,2069,5,7349,5936,3180,496,40,8621,21722,43884
"Jangsu",205,1363,6713,228,8,135,6618,3,577,2245,8014,170,42,536,21,23430,20,11715,73285,6477,348,47,107,48,155,1819,429,0,5771,26854,273,7147,2654,995,29,99,812,2197,1024,311,704,19,19,4893,80782,1289,642,303,645,967,5848,24,36274,931,408,378,4,5867,33080,1796,1437,63,4083,15395,13863,1854,7342,27,169,127212,39,0,224798,0,2693,589,5830,645,501,3874,3385,7323,231,600,5,188,67607,4762,5331,497,486,3469,4399,470,232976,1489,0,8,343,4,1167,346,49,326,130,530,3979,4907
"Jangsung",116,3450,9363,354,3938,20281,3438,923,265,1677,20171,368,26,670,9,20453,261,7348,44621,14297,3202,56,289,50,315,1715,547,0,1089,720,807,5303,56895,54832,11,31006,7255,939,231,1264,1255,22881,18,3030,607705,12938,439,294,3705,1082,3784,1329,644,226,307,537,1845,15236,23037,1598,57896,116,153336,58128,350,1392,1891,1,10310,804,40,20,9565,1,23432,776,9219,498,311,8931,1758,377,907,1952,2012,2575,92292,11363,1874,56006,421,4370,1019,38,36863,1727,0,2,369,3,1407,367,175,6593,53,1854,6945,8343
"Jecheon",80881,35038,4735,39,431,27,12783,27,1289,910,1998,26901,206,149699,818,2286,16,122964,4300,61,1561,204450,5906,6637,4710,2401,27067,5350,651,134,83,2724,58,17,74,14,189,1434,23,123,32223,165,6508,66048,2256,1281,11192,3883,116,272,6681,10,204,113,63925,44460,232,19750,640,25,120,119083,481,974,6,617,687,5463,141,60,26,0,352,13568,306,77,7175,6638,13988,2722,480,147,32,57,94,706,732030,97735,22,487,68,106880,362,21797,572,1041358,1069,12521,12297,12010,41832,3511,33,18,272337,218,62920,88355
"Jeongeup",113,3120,23166,1674,32,167,5833,11,547,3195,41550,601,58,1202,42,64714,40,9527,192192,8577,1845,57,1045,33,385,7337,1819,1,956,4011,5256,8486,176844,1307,26,12233,13369,1057,471,6426,1729,122,13,7671,763957,9411,1073,1057,14547,1924,6692,462,1891,255,1147,933,15,17209,100530,4176,142486,410,84342,277243,2641,6156,3443,24,3383,6822,141,12,7845,0,55022,4852,18732,1537,1472,10063,2595,1064,3760,2671,23,570,159586,11115,977,45431,347,8769,2493,979,258862,5706,0,18,907,1,3427,813,1183,1041,27,3263,9983,16985
"Jeongju",573,10473,61500,2839,50,363,125992,43,23164,90114,138909,6329,366,3349,224,127686,147,53265,605878,7770,6552,243,1536,170,1295,10247,3553,2,5793,7467,11548,171474,104777,1222,264,4821,44771,4928,4301,22605,5782,80,87,12906,531376,29484,8513,4961,32051,32194,447967,451,17492,1057,2073,2096,34,57569,77151,15745,54235,794,290240,22841,6235,9826,123013,262,4644,19551,341,4,2213,2,138471,7978,62729,7349,2280,34006,61540,22607,8763,9322,46,2057,477980,37417,181,37556,2424,29028,18511,14576,51574,9770,1,210,2085,27,7734,7183,2614,1259,270,11294,21542,56459
"Jinan",116,445,2435,42,2,3,4020,1,524,2013,5566,142,4,85,22,4383,6,7729,14217,148,256,14,38,26,55,455,115,0,2131,3076,93,5886,2104,47,4,13,1769,2365,826,142,234,1,34,623,5301,653,480,187,941,519,4593,23,13700,894,90,64,3,2397,33847,30146,902,23,5713,14459,4263,329,5408,16,168,20729,10,2,1741,2,5952,169,2557,544,95,1453,2341,4868,105,254,0,98,20490,1541,83,240,263,1224,3342,408,110486,457,0,4,58,4,187,214,13,52,58,454,562,2327
"Jincheon",70,32477,394126,9363,3891,175,8742,342,1538,1030,8680,2502,230,5318,324,553685,172,22311,198563,334,26599,234,3382,3,4465,94274,6591,28,481,6686,4606,3092,1174,76,48,332,907,1307,312,9200,9838,1694,7,84983,18244,2325,5085,2604,3261,673,5229,48,1587,77,4609,3324,2296,149426,12085,2729,1512,874,7348,10112,127,18617,2791,1080,757,1896,43,1,467,2,8619,7510,131485,2211,3711,234828,1666,2518,4208,974,920,8470,575214,86946,6,1262,1326,46380,1731,8158,8429,21414,1,7013,3211,5,21723,2251,2173,125,262,1176,84205,75812
"Jinju",1867,3941,12749,381,50,1851,400400,22,69745,263750,24576,2281,1315,1188,12,31380,70,108362,95089,6539,2956,638,76,416,368,1785,773,5,87078,15866,6046,566122,942,2449,1234,6682,2058,2303,287894,6264,2179,88,316,5313,69697,304858,280,1685,4456,772901,1439494,31,179331,2468,338,1364,42,15675,13338,6589,2272,828,3367,162308,2448,2351,445465,8,72,28905,659,0,21745,5,4214,643,17914,3862,487,9139,2449907,191557,3337,1589,22,2048,161108,16291,1356,117747,3372,9889,670301,69,37218,2054,0,19,510,90,1795,1781,84,1031,1176,3466,4291,15352
"Milyang",35,4,9,0,0,0,481467,0,0,5,29,60,7,4,273550,25,0,1284721,57,0,1,7,0,6,0,7,0,0,0,0,15,147356,0,0,6,0,0,0,0,80,1,0,3,6,0,0,104676,755,0,0,0,0,0,0,0,2,0,6,0,0,0,10,0,0,0,1,0,1615742,0,0,4,0,0,0,0,0,12,16,0,6,0,0,13,0,0,1,188,24,0,1,0,12,0,274516,0,4,0,703238,1,0,4,5421,3,0,20,1,11,17
"Muan",18,20152,17797,184,31153,81833,378,8137,36,137,37169,48,27,256,4,6350,2263,996,16608,1617,20846,19,275,7,5168,1206,457,0,180,283,368,401,63801,283599,13,983,18568,111,60,349,10904,181450,15,795,3338043,243,74,15,927,80,296,280409,97,41,193,195,20357,97956,1721,249,9947,131,3327,4112,86,701,121,0,997113,330,67,84807,1274,0,1317,187,18550,126,262,48022,100,28,427,9582,19217,19896,400138,84952,217,836,43,13467,163,34,4540,1034,0,0,240,0,727,78,68,91687,13,3728,1462,17865
"Muju",24,2819,10681,268,163,7,11830,212,532,3617,24639,63,32,489,17,41720,623,4524,476032,1664,2685,6,114,6,300,1648,439,3,1803,101537,212,12084,2136,89,16,61,3449,786,3666,493,1560,61,5,5504,22580,15188,248,76,5443,4401,15713,21,25346,510,254,274,53,13789,30810,117007,822,63,6708,19712,11480,1645,27861,12,333,39548,17,0,8303,2,4839,1212,12890,305,500,9162,10899,12661,212,4260,146,2129,111074,11679,564,4232,82,7329,19213,268,162604,1144,0,29,218,2,1192,84,132,109,9,5364,3117,11383
"Munkyeong",14,6309,449,1136,14,8,11020,28,3129,1825,761,5292,30231,966,671,1769,16,77036,3654,54,68,5,185,5,880,16337,816,5,356,59,8751,4011,14,3,23914,1,55,3038,18,37417,6410,66,9,16295,782,740,9510,3412,82,221,11709,0,151,184,554,490,8,2884,207,25,22,22,132,356,2,24,697,1989,48,12,124,0,281,6,113,72,787,6802,643,169,427,87,100150,81,24,54,148254,17961,17,246,3512,19312,308,10509,188,2206,0,6089,419,0,6897,4630,361,7,5,119,16149,15178
"Naju",0,282,85,0,376,1484,0,106,0,0,126,1,0,0,0,23,27,5,55,9,236,0,0,0,37,3,1,0,0,1,16,1,861,1227,0,10,156,1,0,0,92,1813,0,10,428407,6,0,0,0,0,2,19078,0,0,0,0,208,1209,3,0,31,1,19,13,0,1,0,0,64860,0,0,13616,6,0,4,2,70,0,1,602,0,0,1,37,239,271,3369,938,0,22,0,59,0,1,15,1,0,0,3,0,2,0,0,1557,0,62,1,57
"Namwon",1448,703,3405,120,249,6401,17490,22,2658,8802,4503,1310,188,400,101,8092,11,71182,19348,50152,267,414,38,352,106,792,251,1,34046,3809,2086,23160,157,11377,216,488,451,11688,3464,3033,359,357,134,1793,400844,825,3232,1276,289,855,17962,150,44826,7526,122,191,126,3773,1606,228286,8010,413,7708,2607,1093,468,21907,104,778,6931,308,2,288107,1,601,151,2980,4014,127,2151,8390,19371,1492,306,97,206,31745,3241,43741,901,2473,2489,11088,2142,2503,671,0,62,176,59,428,1762,15,3228,1072,393,1352,3212
"Namyangju",0,0,0,0,0,0,0,0,0,0,0,0,0,431314,0,0,0,0,0,0,0,0,0,0,0,0,0,187520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4409368,0,0,0,0,0,0,0,0,0,185550,0,0,0,0,0,0,0,0,0,0,0
"Nonsan",77,9827,50671,1838,190,16,6206,105,895,2167,120193,2092,61,1778,225,80952,357,28258,714149,4167,17197,58,914,29,1125,6581,1684,1,931,14107,9173,4640,20743,200,36,2723,101645,1783,915,12988,4963,71,15,6576,191823,2248,5876,5002,58444,583,6294,193,3059,173,1235,1276,141,53284,106228,2692,19452,245,54120,131972,2495,7860,4129,851,1653,4869,100,3,813,1,42525,10664,53792,5050,875,31946,2361,1697,6513,9564,180,11305,386949,35155,101,24122,935,24705,3553,7128,141515,5177,0,1807,854,0,4717,4535,3681,256,19,37828,9993,47580
"Okchun",110,6649,28374,525,1067,42,10656,1854,3079,2349,72032,5538,103,1883,477,394300,2413,45415,1426210,190,7549,34,1050,54,994,8754,2125,1,468,19394,33329,5179,1648,32,145,71,18919,1665,526,24247,4266,894,36,12983,17896,1518,13589,4188,17706,1035,7492,34,1414,64,1065,1221,105,26447,13352,1721,2266,127,8354,14929,168,13486,3370,1894,440,10510,151,0,927,0,18771,85227,20652,6478,529,22062,2078,877,2023,25096,1968,5900,171399,21180,12,620,1808,12754,4606,11747,6669,5744,0,5841,634,1,3025,4472,57873,59,20,17216,8663,15565
"Osan",1806,78082,887280,11682,12096,5849,22025,9187,4752,2750,783656,7246,3265,1006,971,286631,3562,73112,290811,2065,38977,1455,4289,35,21288,73259,9873,2,1604,13822,17742,11502,5831,3865,775,1557,87108,2683,1875,61199,41219,24040,19,3816,78039,3432,19456,5320,4182,2601,24159,1167,6397,255,4940,1605,9399,3999790,38453,4477,6537,6137,16029,50325,1032,110947,11209,3799,13322,10126,777,41,2104,2,40484,10879,89391,9045,6440,1212474,5469,4046,16289,9554,8475,21527,2481432,253197,72,14414,2486,225688,9858,24866,45068,22868,1,13764,4234,97,15082,5647,4727,2751,2774,5963,34977,498485
"Pohang",16377,12487,11252,3525,374,134,1970,944,7875,487,32174,149547,12065,6408,15895,40813,991,2801552,103892,1257,18323,8000,14,6210,787,7147,89,164,5358,2020,32543,832,618,344,11991,63,3244,18287,116,215020,4286,1393,3825,12192,15410,16870,706,15043,4582,3215,14741,11,1693,2038,1832,1522,63,17011,7026,521,540,7030,1761,8111,204,3007,3696,25688,158,271,7077,0,3506,198,5312,4349,12526,657231,1340,11731,2712,760,33162,2821,1053,4030,193130,28122,439,3313,506,16540,1302,1155,5841,8255,25,2151,108,1681,5571,372819,8430,321,13292,7432,9952,18534
"Pyeongchang",5026,16095,19898,349,459,70,2906,55,422,208,4665,3920,2283,14413,158,17707,22,26488,21945,98,1118,3042,116292,595,3564,9916,970922,1236,183,460,565,615,166,18,1320,31,261,222,29,1884,23429,264,812,46729,5553,340,1700,556,399,109,1789,15,154,14,319525,4007,257,14247,2534,364,231,11167,1210,2390,36,3260,401,1131,218,433,553,0,135,3242,807,245,4813,757,854187,2984,154,93,1649,178,105,1070,548664,58095,2,359,104,81256,284,3822,1673,417391,482,2928,156533,952,43472,448,86,35,5852,317,67208,84861
"Pyeongtaek",356,355839,1012397,14592,189413,25927,43489,10944,10224,6327,502139,13960,471,744,1525,354053,3842,97192,284568,3061,1117330,448,2426,24,49478,204248,3040,0,1733,16794,25472,17816,11565,14662,156,2347,71697,5133,1908,55716,65273,126827,28,3136,116343,5680,34898,18299,4490,2552,45734,6700,6955,248,2015,913,136613,3989639,28048,4038,9391,1299,11495,36886,783,245432,10651,6070,48273,9187,161,558,2033,2,33719,14490,1334601,13640,2497,1530005,6424,4341,18092,13095,58335,454448,2657350,1019178,118,21407,4552,79141,8061,39146,32763,7456,0,23276,1536,27,4752,15000,5505,9780,612,111502,9445,137098
"Sacheon",1420,2394,7546,208,120,1729,265790,19,28732,138708,15248,1893,696,569,7,17261,36,77513,59246,4215,1848,657,44,525,233,1331,516,1,24330,9401,3285,322269,474,1531,727,5863,1327,1847,29393,4270,1146,249,228,3434,52503,216331,191,1573,1440,330797,581869,27,40055,1492,198,532,36,9344,7351,3378,2085,619,2225,78349,1193,1142,2132129,4,68,12354,373,0,8763,2,2452,382,7632,3123,219,5981,360351,97762,2438,1229,49,1518,81234,10132,379,85705,2723,5063,116371,41,21016,1402,0,21,290,64,1047,1565,35,829,970,1699,2610,8762
"Sancheong",407,3083,7375,168,18,284,54622,14,4137,30936,12216,471,121,350,24,15661,37,23410,41661,1918,1482,147,33,107,194,1030,267,0,42460,13250,733,77567,752,431,125,263,1384,3688,27012,1137,1123,15,46,3168,13512,20403,611,499,841,21824,107206,5,79596,3966,143,319,12,7730,11101,6602,478,215,1169,30333,1833,2944,216920,11,39,14307,104,0,20450,0,2465,292,7316,1207,148,5463,129634,75055,706,981,7,868,83863,8166,942,8036,1123,4497,59608,182,30603,844,0,3,157,19,932,524,24,248,275,1837,1903,6992
"Sangju",60,27420,21314,69142,498,186,44056,1185,16673,7010,90186,39065,108994,4210,3621,237623,1179,571363,179415,351,3269,22,533,37,3204,48765,2866,25,2019,2264,77079,20218,859,78,109224,59,2723,21393,222,373272,21119,2435,41,62881,10663,4348,32972,24534,5997,1111,45884,37,1030,973,1643,2144,133,25772,10275,203,948,98,5490,12631,45,4417,4116,7854,428,184,104407,0,1696,13,9317,1338,24557,34705,1964,23168,2670,573,430220,2020,2386,3008,613640,87329,123,1745,32572,70981,1715,43663,6557,9007,2,24677,1613,4,25756,20463,3213,84,19,6078,58296,66528
"Sejong",20,2887,10077,1265,17618,5511,4675,51997,818,646,26957,1498,21,222,181,10989,35395,16860,523198,228,67522,70,137,11,260,769,227,1,300,17082,5846,1927,1777,1984,7,190,175754,697,200,7046,1236,65717,8,668,13538,607,4747,1222,4442,444,3539,718,1057,42,131,143,1627,15472,7673,618,1720,56,2826,9483,132,868,1623,970,7717,4217,70,15,302,0,8378,14585,11945,2398,189,12247,1008,679,1635,59962,53398,81264,90422,11574,8,1496,531,5512,1560,4053,10015,611,0,3120,175,1,374,2343,3559,1409,7,250071,825,10632
"Seocheon",15,14955,13969,428,310116,17604,232,75885,263,21,18357,349,14,141,41,8223,10109,4401,116612,855,26417,4,151,5,4329,1655,218,0,4,964,1031,89,8781,6943,10,587,59039,96,11,2775,6536,128941,12,438,18650,816,863,405,295,207,105,2337,16,0,180,75,53779,73540,14,6,1785,64,16,26,0,991,41,96,13369,149,32,153,85,0,160,1090,9919,916,143,57152,55,4,1284,54677,89459,38892,232798,52224,38,3743,151,8319,56,1733,13,604,0,105,134,0,401,422,277,3088,6,4702,1333,9850
"Seosan",114,57623,85179,905,240397,17309,12435,5340,1769,3166,9849,3202,155,660,417,16367,1973,33139,275875,1896,228417,173,892,34,38976,20636,1693,1,202,5712,9965,4312,8023,8930,30,1478,60332,1166,388,25402,27130,173949,29,1106,54301,4481,11764,4772,2505,710,10896,3518,751,69,956,584,104018,409310,1992,180,3542,689,832,2732,53,8936,2031,1980,25172,2533,79,280,242,0,12830,3526,17125,4849,1328,453067,1543,595,2697,78299,50997,78668,986994,281973,118,36417,1412,39421,2468,23507,2354,4195,1,7480,920,5,2108,3095,971,5366,245,42065,3524,22847
"Seoul",209715,8050699,4238746,105277,492151,167449,309358,92518,62615,37306,3571458,52285,725925,4756373,16651,2628255,33714,1039659,2888794,26631,1450867,118978,290627,6274,823617,1819058,578818,832340,26368,145394,166136,111339,99337,108227,173090,23072,753401,38869,26888,358976,2775628,601595,3398,7450278,956884,61568,246040,57822,68525,42482,321165,49191,98501,4598,311938,5289,427940,6583904,372403,67906,89337,610559,177811,492995,10815,577019,156676,56636,370909,116312,149132,2825,34708,4241529,375595,99093,2863900,197395,594586,3011685,79930,61181,615109,95725,221575,918642,60629,485810,1174,182158,42312,4826802,169872,322805,426821,1583437,620398,208771,146048,8544,1381253,67447,48132,77767,277090,314355,3872247,13619497
"Siheung",20876,6753666,389539,14701,115673,38698,66226,14423,14280,8978,482137,10675,76707,1638,2199,313427,4218,134994,333649,4566,601974,17435,41062,728,582928,203303,74946,2,2434,21045,26829,21741,18723,23207,20496,4223,81970,8733,2989,61209,1947007,209669,389,2885,163865,8406,39430,15242,5703,4125,54309,13799,9073,488,50164,3152,95368,1571592,29968,5212,13633,74854,12545,40095,824,93921,19114,8609,92375,12728,17945,1113,3288,2,36360,12936,265436,26297,60540,1101423,10941,5765,86370,13227,64489,288145,449970,1562,219,33620,6348,1760577,19341,57172,35349,196193,2,35270,33166,970,121721,16214,6678,16258,35572,90883,279985,1514094
"Sunchang",377,159,258,7,369,3109,2737,49,510,1234,475,524,14,29,21,322,7,16628,845,23836,111,88,8,72,7,65,14,1,6238,251,420,3709,355,6260,28,546,160,2924,361,680,29,1058,60,59,423674,389,907,342,33,120,2989,93,4830,1289,8,19,167,452,172,12888,5194,49,2742,661,78,15,3014,12,610,735,56,0,114082,0,319,12,227,1143,9,268,847,2524,312,22,118,210,2551,483,892,1789,736,112,1344,492,219,53,0,16,11,34,18,648,4,1549,225,46,73,204
"Suncheon",1287,9389,16872,321,11930,24385,137541,2270,9802,58694,41305,1114,551,619,4,16793,611,51151,46595,105143,17538,1136,182,298,673,1674,672,3,3275,1850,2105,163538,20282,25255,573,317822,14202,1157,12562,2925,2472,42829,163,3567,2206764,733172,239,969,2510,106721,125727,432,2562,653,391,497,6932,31852,9914,469,58932,569,45624,40920,91,1520,124642,4,720,4246,276,9,787,2,27475,312,18779,4200,433,22876,93800,5558,2014,1643,4247,23525,182988,31900,784,1666452,1468,8959,59323,54,12442,1995,0,13,471,84,1442,1296,45,15564,891,3690,3663,17038
"Sungju",178,2628,3079,1339,41,49,23534,413,35925,12723,11040,526,4279,405,72,11085,150,134675,17311,861,1111,114,21,87,164,2673,261,3,11840,396,71063,22881,91,188,3344,30,699,73580,142,29201,1210,133,97,3571,13580,4122,644,1183,372,1353,60246,8,2491,5358,180,188,7,4001,2244,679,598,75,603,2081,139,1467,3718,78,34,104,3118,1,2868,0,730,1462,3374,916,151,4144,2645,972,27679,575,96,929,41478,5933,255,1472,66037,3427,1584,742,1988,900,0,134,132,5,2490,1207,1894,86,127,1754,3408,3856
"Suwon",28209,1023435,416564,9018,22858,5784,27004,5942,6322,3715,337636,4720,108213,4882,1525,207677,2298,99888,212544,1423,64846,19508,43834,843,287069,232944,91940,16,1619,10872,16803,10219,4354,3742,25669,1062,55918,3289,1594,46932,968295,21169,439,9234,51312,3273,23390,6625,3164,2873,28062,1391,6274,336,69560,10989,21411,421867,24658,3479,4372,91758,10328,32764,680,47173,9114,5323,13928,8419,19743,71,2177,8,25972,7817,239257,17715,91555,111742,4971,3217,72738,6324,8979,43383,4574318,1865192,49,9673,4060,3067931,10243,30843,29040,266162,8,18504,42700,1186,238288,7157,3862,2637,45093,12805,524247,3122472
"Tongyeong",1393,3612,13011,406,75,2360,56701,16,8924,29555,27698,1662,778,1264,2,35500,104,61370,102049,6246,2550,483,120,343,470,1636,985,1,23289,13865,3441,77453,760,2219,1070,6048,2382,1741,3155362,5419,2005,99,135,6464,69898,127213,183,830,1263,89858,51885,41,31094,3591,378,628,59,17277,11748,5341,1375,666,2869,24278,2445,1714,812087,3,116,25441,420,0,13499,1,4306,614,15773,2523,456,9718,128532,60429,2208,1807,38,3269,183813,21941,997,74789,1821,9575,580,52,39640,2282,0,10,799,61,1980,1208,63,1184,924,3382,4667,17436
"Ulsan",44340,24158,24026,4854,566,43,6817211,1025,133,115,85094,118270,24650,9695,46465,72018,1521,1697098,130397,191,12374,32480,41,11324,1776,15315,696,254,8250,3641,30945,287778,750,65,15916,2,7418,7962,1,177051,6599,2346,5685,21432,663,66,1217638,196871,2110,17,104,0,1140,2491,3852,4109,161,43594,18893,365,32,18996,1253,15981,131,8594,48,271028,9,232,8391,0,1616,175,9085,5378,30803,677,3975,35022,26,77,34671,3529,2456,16937,273878,50653,157,38,532,29781,13,3681338,4312,16581,15,2988987,1105,3441,7141,248318,10068,29,44952,14003,16802,30741
"Wanju",682,10562,63845,2818,29,48,76449,38,4824,25790,144712,1135,123,2324,210,108657,151,75970,399019,5120,6456,133,1164,193,1320,12118,2654,2,9364,4867,4594,67020,48827,1157,58,1934,47396,10111,8192,9300,5881,38,120,12105,412241,3832,7129,2037,28378,3344,64627,500,52063,3686,1929,1919,30,59476,173789,250061,35343,606,271622,65926,59922,10760,40266,203,5073,171161,150,3,3064,1,148730,4136,64825,6686,2190,34987,19795,31103,5664,10633,37,1993,473977,37512,81,11833,1592,29815,35797,4699,93843,7587,0,86,2050,16,6398,2880,1342,1259,97,11488,16494,57934
"Wonju",56174,67086,87557,1417,1970,173,12162,231,1177,799,12161,15641,8684,689268,1125,78103,100,93256,82876,385,6161,91906,128795,11007,11811,53714,425880,12249,1072,2217,2281,2533,633,97,3763,175,1076,1201,135,4842,68951,1103,6083,180400,17036,2243,16091,3856,4935,550,8044,61,852,147,674703,217712,1463,49129,9385,1477,1434,843585,5208,9750,130,22436,1920,4842,884,1166,2017,1,672,16294,5175,2392,20608,7505,398578,11756,1034,492,7160,675,506,3823,1513623,187482,15,1557,804,250327,1580,19408,6101,950139,2040,11672,109054,7204,144442,3448,696,89,109947,928,240158,329554
"Yangpyeong",0,0,0,0,0,0,0,0,0,0,0,0,0,52024,0,0,0,0,0,0,0,0,0,0,0,0,0,28512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186287,0,0,0,0,0,0,0,0,0,0,0,0,601228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yangsan",3481,3207,4286,370,19,0,5771143,45,17,115,10679,16788,3062,479,100045,9606,74,1512493,16206,3,1460,1187,1638,665,295,2331,76,9,87,248,2395,679938,2,1,4470,1,526,98,5,14632,1479,10,410,2814,24,27,874533,35260,412,8,23,0,8,13,152,221,5,3717,99,2,2,1029,10,67,0,1273,24,680771,1,4,1132,0,5,12,1554,650,3599,221,173,5752,10,2,3590,416,30,638,24626,4373,0,22,35,3313,2,2874510,22,1274,1,2446898,84,311,1182,70207,870,0,2439,814,1915,3075
"Yangyang",2914,8456,10909,265,383,31,992,42,215,132,3012,2020,2153,3458,107,14528,20,14124,16120,69,661,2241,268079,337,1389,6441,443765,310,82,332,424,282,128,26,983,43,224,185,29,1134,8891,201,384,15851,4156,404,417,281,456,105,1740,9,140,13,56176,862,163,6444,1523,238,236,8465,760,1802,13,2480,358,557,160,200,411,0,135,864,710,252,3031,51,196904,1803,220,111,1236,147,121,628,134596,29270,2,349,128,34781,325,1026,1593,118185,113,1025,148162,632,18922,144,55,21,3916,164,31035,38072
"Yechun",35922,256,23,0,0,0,2070,0,214,177,12,10476,1,2594,213,5,1,48217,32,17,4,11391,158,2725,53,13,1207,119,45,2,14,379,1,1,1,1,0,304,0,38,256,2,2898,636,176,123,1954,1060,3,18,1012,0,24,12,901,1032,1,126,3,6,3,10274,2,24,1,1,70,753,0,1,1,0,44,282,1,2,57,1208,626,16,44,12,8,1,0,5,6997,740,5,57,11,861,27,3312,6,6369,27,1898,580,61,236,755,2,3,30758,1,433,618
"Yeoju",8372,45021,61814,1418,1179,113,9811,132,2354,1454,8466,2846,55464,22828,568,65979,65,42466,61495,192,3065,4155,13053,266,11191,70364,32431,53,325,1816,5575,3521,608,61,10626,147,691,1443,175,15234,49006,1031,179,183831,12813,1182,7129,1913,1481,454,9033,42,727,151,25333,7968,780,39191,6623,1083,901,28561,3053,9742,83,20926,1647,2264,566,820,7288,2,417,27,4355,1321,16472,5963,21499,7512,816,493,26659,399,360,2027,1363366,129678,4,1193,2088,230967,1446,10442,5108,122254,3,8380,12568,384,1868,2405,443,89,9179,617,265193,313555
