"","Andong","Ansan","Anseong","Boeun","Boryeong","Buan","Busan","Buyeo","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungdo","Chungju","Chungyang","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangneung","Gapyeong","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jinan","Jincheon","Jinju","Milyang","Muan","Muju","Munkyeong","Naju","Namwon","Namyangju","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Sejong","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Sungju","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangpyeong","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yesan","Yicheon","Yongin"
"Eumsung",494,82252,295683,5136,9401,251,16064,330,5249,1989,31145,3131,54827,14204,831,479192,194,46552,159994,536,46019,669,7280,23,14075,13732,18780,23,473,5943,8280,7855,1729,122,15899,201,1456,2281,351,16972,54071,1940,19,312333,20756,1913,8822,9544,4117,586,9593,63,1620,149,13806,9306,7126,129375,14134,2314,2703,1769,7504,11593,120,95358,2386,3154,1041,1573,12581,0,694,5,7543,5530,91055,5628,11492,200670,1759,691,40183,1048,1415,20958,1722061,196219,11,1437,2681,225670,1505,14396,10977,60273,5,11881,8402,30,84845,3498,1414,138,759,3587,236160,207200
"Gangneung",4879,22236,25943,515,860,71,766,93,278,183,6616,3741,4298,23454,123,32111,39,21921,34997,139,1855,4084,1331960,538,3411,18786,267703,1339,154,993,988,290,244,32,2165,78,389,418,57,1713,23270,1073,589,50906,8460,847,295,434,1614,190,2135,26,306,34,310029,3622,440,13941,2516,464,424,20180,1709,3914,40,6083,742,608,392,479,871,1,214,4084,1480,602,8868,40,1048454,4003,388,172,2454,244,185,1465,573303,73824,5,612,220,88836,731,689,2424,444750,361,791,424010,1364,40505,128,146,44,9020,370,77208,91918
"Gapyeong",0,0,0,0,0,0,0,0,0,0,0,0,0,215333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177034,0,0,0,0,0,0,0,0,0,0,0,0,763129,0,0,0,0,0,0,0,0,0,39817,0,0,0,0,0,0,0,0,0,0,0
"Geochang",1597,819,2153,115,4,250,39856,3,30298,21084,3931,2662,522,247,224,4188,12,341661,11744,3516,396,538,17,690,82,427,170,3,389225,2150,2911,48048,268,715,516,106,430,101504,4876,3517,360,3,433,1007,44088,10453,6229,4710,197,6760,66961,17,141210,72618,208,156,2,2802,3047,6609,776,565,680,6085,696,383,88198,452,136,2150,350,1,32964,2,965,90,2201,5839,180,1765,24929,35467,1711,282,5,253,29020,2368,1625,2999,8480,1587,18003,9205,8594,1088,0,572,114,50,287,4646,41,415,927,475,665,2615
"Geumsan",31,4308,21441,626,553,36,20509,662,804,3194,54461,1205,35,964,131,121461,1683,13348,1150868,332,4617,10,270,15,483,5186,802,2,1915,70123,4129,8949,974,27,37,48,12865,697,2338,5475,2429,200,18,8092,8163,9659,2155,777,17565,3312,11180,23,13568,346,522,599,82,21075,7059,27062,646,90,3979,9001,1315,6445,15261,529,297,93689,74,1,3638,2,12195,8590,17475,2097,518,15610,8536,12685,1970,16661,912,4293,134731,18035,140,1889,444,9539,11674,3475,4902,2139,0,929,401,1,1741,990,1918,90,13,14235,5452,13111
"Gimcheon",710,9681,20184,1663,554,50,48883,838,27612,11587,48823,29737,11007,1654,2875,72193,1170,550126,237241,492,5999,56,228,341,700,6916,1023,2,2946,4123,90866,24054,558,119,8064,38,7093,46841,205,419993,3410,656,187,10688,8777,5236,27681,27264,3686,1813,63221,36,1336,2001,539,698,103,25620,11327,314,675,80,3611,10881,39,4578,5985,6456,311,217,8524,12,2019,7,8498,20933,22326,33458,721,21467,3294,674,71739,5986,956,8419,154488,25456,166,1860,68104,13081,2327,33736,4406,3034,1,16360,572,19,5443,22575,60913,113,218,8598,7997,20719
"Gimhae",3285,6417,7645,1855,106,4434,7410555,78,265811,4688514,24637,6233,8011,733,22003,22122,190,485690,40005,13312,4146,934,20,1126,566,4621,181,6,46530,9292,22350,9677456,1686,5076,4818,14384,1714,25604,7722,15834,2596,238,593,7500,181150,304443,97368,924,3597,216978,861825,73,43195,13925,317,491,59,10981,21466,6657,6552,1208,7690,152402,2500,1857,571382,162856,313,14168,2799,0,21575,9,5225,2529,10403,125,357,10732,308273,60801,15061,1353,47,2621,86576,14134,1452,163520,23319,8203,54338,255161,60398,1417,0,652370,221,218,2954,5187,1752,3422,2548,3544,6937,10356
"Gimje",20,4988,8489,292,16319,27308,1664,3306,143,720,16266,267,15,212,15,13239,597,3210,45860,6817,4707,8,136,9,682,1198,313,0,341,927,532,1962,15598,62280,11,4361,7594,311,213,1388,1802,15560,5,1601,414015,3562,521,256,2761,436,1801,15318,1317,106,214,177,4957,21163,77697,2797,56336,58,187709,100378,1062,1406,941,15,57044,2505,16,1168,194,0,20725,788,7526,471,218,11174,513,1108,756,1971,7763,5562,99336,16409,135,19000,90,4003,655,523,42325,712,0,4,163,0,680,255,261,20787,5,2002,2069,6843
"Gochang",96,6346,4788,26,15586,118761,5777,4034,528,2255,10868,73,6,34,9,784,887,5875,2387,17246,6134,1,23,23,1139,150,58,0,832,33,142,6033,69918,69152,8,12942,7462,749,276,123,2971,162391,17,135,511332,5721,306,408,42,1599,4773,37367,783,365,20,27,7436,31888,333,1173,62055,14,875,1253,19,118,3068,5,273589,96,3,875,13265,0,167,23,5384,459,30,15221,2213,382,106,2655,8554,7462,116870,20367,2947,29195,158,3634,1992,99,968,127,1,1,24,0,88,287,6,80419,30,1598,193,5007
"Goesan",6,7079,545,889,15,3,23398,6,4206,2630,146,4083,49711,1895,691,444,5,57238,809,16,40,36,1086,7,1191,18976,2115,10,490,38,8463,7258,9,2,29501,5,18,3838,44,25999,8790,26,4,20650,299,1956,12745,4212,18,376,15369,1,170,175,1007,974,11,2826,53,19,12,85,40,291,4,29,1434,2728,18,14,18344,0,279,11,35,75,845,8678,1237,140,815,116,100209,15,10,51,163710,21488,12,426,3526,24129,535,20658,48,3346,1,12037,1017,1,9964,5843,664,4,10,17,20484,19495
