"","Andong","Ansan","Anseong","Boeun","Boryeong","Bosung","Buan","Busan","Buyeo","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungdo","Chungju","Chungyang","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangjin","Gangneung","Gapyeong","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Goheung","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gurye","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Imsil","Jangheung","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jinan","Jincheon","Jinju","Milyang","Muan","Muju","Munkyeong","Naju","Namwon","Namyangju","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Sejong","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Sungju","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangpyeong","Yangsan","Yangyang","Yechun","Yeoju","Yeongam","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yesan","Yicheon","Yongin"
"Andong",159741,7083,560,6,8,0,36,35059,5,12315,4203,117,415464,29,19416,7455,98,9,1268328,1075,709,168,69634,302,77706,1026,272,0,5060,2137,4597,25,626,9784,17,185,22,0,35,20,19150,120,647,7747,15,66074,88,11823,10152,9945,37803,32833,15,1690,47876,3,1274,2167,7407,8518,7,5736,156,29,0,420,228,82523,81,918,244,31,4873,18452,17,38,5,0,2360,3927,93,51,2172,15271,4908,415,3587,781,41,50,12,94,207616,22087,389,1500,710,31122,1209,53537,1112,66299,3543,36181,2738,32733,10290,1,8741,90,99,107318,48,7010,23092
"Ansan",8113,462716,85860,2738,19366,1,6563,20119,2394,4756,2863,80440,6036,34055,659,620,55154,742,48506,48700,691,91484,5896,17200,217,306862,50941,3,24597,5,309,3001,6813,8869,3215,3930,8387,0,362,16114,2851,440,21753,671074,25349,160,664,3217,27416,4574,16590,4845,829,415,16325,1721,5158,100,20091,1620,14583,424887,4961,1385,1,789,2950,32671,1836,7334,287,20590,2670,3047,15662,1965,6575,68,643,6,5984,2507,66133,7833,18620,187901,1535,1245,34797,2706,8553,40021,6918869,6588030,132,2318,2580,837126,2202,19026,3643,74073,732,9632,7249,295,54656,0,5790,1055,2813,13495,15804,147797,671093
"Anseong",705,88223,589026,18892,40807,0,6149,28527,9448,7095,3329,891502,10085,63203,13911,1627,617172,3369,73254,427905,2085,166910,752,15722,18,26615,56117,2,30353,12,1026,19533,19485,12044,7502,4242,4676,1,400,101254,2593,2421,38247,71018,24722,26,5119,295580,90237,34903,18773,7888,11575,2511,21687,1186,13697,337,25563,15635,29045,945750,45482,11210,1,3521,10739,3182,20533,62239,2195,549661,12977,6496,17937,10499,3049,14,4768,13,42073,17209,1093689,10933,23850,1066040,8178,7426,28472,12569,9494,85260,4155212,233505,979,12176,3258,435923,10335,23558,31932,89113,10383,16860,11805,27,85602,1,6895,5841,2896,1064,18454,260428,798742
"Boeun",10,2597,22157,71183,326,0,36,6863,471,2181,1116,65063,2871,1064,712,531,662976,341,30468,139893,83,981,4,238,1,504,459,0,667,0,144,654,2744,3071,428,17,724,0,15,1032,1249,37,19988,1756,767,6,149,7891,4716,1706,5314,2081,1678,69,6846,22,152,102,355,461,29,21297,3459,372,0,102,427,46,2104,4024,56,12588,433,2103,264,231,1280,0,159,0,3038,419,17316,4853,399,17475,281,143,85589,1173,417,1027,120325,10106,32,546,3006,9901,257,9284,2698,1545,425,4646,306,0,1839,1,2068,83,27,1,2046,4581,17257
"Boryeong",6,17679,42896,315,335483,0,32635,254,7808,31,21,1469,256,3885,184,33,6462,593,3417,44766,2303,118655,47,569,1,25100,1446,0,707,1,2,531,804,97,18288,13183,95,0,1089,7833,26,12,1457,16269,476612,4,37,476,59489,913,427,115,125,302,151,3551,12,1,344,243,179448,172163,20,3,0,7,4950,265,23,47,0,4806,44,47,32664,146,30,171,53,3,84,883,5025,481,406,196889,103,8,663,27715,274075,208166,462645,52067,63,6541,62,22327,49,731,12,1598,174,82,273,2,940,0,194,230,6483,45,2252,1726,6281
"Bosung",0,0,0,0,0,775638,1,5,0,0,0,1,0,0,0,0,0,0,2,12,0,0,0,0,0,0,55,57125,0,0,0,0,0,10,0,14,0,455,61,0,0,0,0,0,7,0,3,1,27,19,2,0,0,1,6,4,0,0,0,1,0,0,2,0,136420,0,27,0,20,9,0,0,2,0,84,0,0,0,6,0,1,0,1,0,0,2,4,0,2,0,1,0,13,2,0,715183,0,0,3,0,13,0,0,0,0,0,1,125781,0,0,0,0,0,0,1
"Buan",29,6207,6628,47,34459,2,41875,3093,10285,288,1327,18277,24,65,45,16,1268,2142,1859,3101,10776,11345,4,35,6,1430,37,5,50,0,241,17,47,4120,30498,99515,0,2,5985,19524,222,267,96,3740,113442,6,1270,112,258487,4528,153,45,2,1673,4869,18954,416,200,30,37,13125,38619,15,59,2,161,24225,23,116,398,4,168,1499,2,80701,10,10,451,4881,3,10,33,7929,271,35,19154,1493,292,157,10386,18407,15625,149218,17260,1225,24357,41,5088,1689,86,58,179,35,3,41,0,130,2,90,12,37920,3,3111,213,8018
"Busan",13705,14592,23599,3566,122,9,3098,13125813,197,251083,2108269,72460,45876,17749,2957,97192,58896,500,1747865,101664,9505,12211,4507,34,3126,4350,10032,9,374,75,38971,17929,50855,6679433,2620,5087,18668,2,10557,4729,28861,3461,61221,5156,94,2006,3011,26379,161834,419217,1664280,56766,1797,186406,579016,30,36052,14520,1100,1612,61,31324,33450,1417,4,6596,4581,5588,7447,123315,5002,7775,436203,501389,35,14231,6184,0,17536,73,8401,5663,21648,525,997,38363,310929,78370,24521,5085,73,9411,214743,34659,1597,67371,30550,19978,2862,7676423,88336,6212,5569,6019653,374,760,9552,11,168996,5014,3146,10228,8418,22508,29999
"Buyeo",6,2410,11358,521,10306,0,11949,632,30873,144,26,34314,543,158,71,58,5773,13960,6499,112391,634,11592,2,56,5,375,55,0,99,0,3,680,1551,90,4332,4960,12,0,149,79995,103,3,2283,1538,108667,3,6,268,17448,60,1038,288,136,8,99,1206,9,3,60,67,1056,19992,49,9,0,10,1640,32,21,76,2,838,13,221,10353,252,36,48,9,0,104,1737,14604,1233,57,11267,7,5,1699,77641,55356,6721,112441,8938,4,357,155,6890,12,1413,33,318,47,277,48,0,211,1,535,507,2446,1,17329,466,14430
"Changnyeong",11264,4674,7156,1494,42,1,280,234467,159,199685,142684,19763,29225,6031,1449,44,18400,211,734201,28547,785,2523,2549,25,4012,359,3000,0,505,13,33500,818,29452,291040,139,483,4874,0,618,1019,36481,1088,33731,1884,14,2606,215,4534,9709,34275,7640,13817,464,18986,981649,6,3779,14499,565,761,20,7461,2237,92,0,508,365,2825,763,21399,609,2017,86486,48,1,592,2974,0,1920,17,912,2392,5652,25688,539,7445,38128,8102,13349,2217,41,2600,67288,8910,233,6473,32172,7839,4083,423,5219,2077,2481,73,347,424,3331,0,15156,2938,219,6265,2780,4889,7832
"Changwon",7552,3208,4693,1411,19,1,1459,1926170,20,204740,3683135,16684,16216,4544,1487,19,13183,86,209569,25833,4825,3449,2242,33,2255,505,1809,3,631,19,22549,3111,15568,4194581,1057,2154,3971,2,4311,866,15568,2582,24130,2112,35,1277,1436,4047,61904,166827,262,1277,422,79450,784199,20,18851,10282,508,989,19,6783,10704,628,1,2776,2546,2857,3370,82446,2554,1817,314638,47,37,5216,2244,0,8426,8,3187,1529,5417,1953,667,6543,173900,53547,8096,2359,7,6395,55799,9157,889,30623,14163,6486,4388,392,26476,2590,2606,346,480,416,2240,3,1597,1486,1360,4713,2821,3479,6840
