"","Andong","Ansan","Anseong","Boeun","Boryeong","Bosung","Buan","Busan","Buyeo","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungdo","Chungju","Chungyang","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangjin","Gangneung","Gapyeong","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Goheung","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gurye","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Imsil","Jangheung","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jinan","Jincheon","Jinju","Milyang","Muan","Muju","Munkyeong","Naju","Namwon","Namyangju","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Sejong","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Sungju","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangpyeong","Yangsan","Yangyang","Yechun","Yeoju","Yeongam","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yesan","Yicheon","Yongin"
"Cheonan",142,75574,982198,59652,1541,0,18829,119228,32886,21449,12487,1848453,36146,6194,2257,4129,1073653,11722,265094,1673676,5395,5199,412,5182,34,23035,4196,7,9053,3,2481,55551,63522,34692,18386,13408,405,1,1055,359819,10404,5832,164657,50502,77882,36,15471,5879,220245,103923,93491,28378,11712,6116,81653,3341,17450,722,4246,3004,605,1152598,115810,32126,2,6668,22298,2190,43182,170532,6302,12871,28147,22055,51831,26457,524,42,11994,9,126601,53510,1060799,40086,7654,620425,18017,14360,103580,41865,20127,5045,3786149,281347,2901,36023,12555,340356,23998,103410,84872,15664,1750,53626,4539,3,10648,2,33291,14898,8484,308,2961,21943,848263
"Chilgok",449599,4268,9049,1952,234,2,24,98486,408,35033,10070,28540,64965,7299,8847,28934,24668,363,5897124,41722,869,3018,40218,480,160352,526,2994,0,4169,209,9623,1307,38805,29661,327,160,6211,0,35,1618,48576,207,380810,4135,256,139130,142,4804,14058,12913,176923,346041,842,2794,86618,5,2152,3985,3070,5239,12,8090,6134,53,0,410,1095,36269,751,7107,322,2749,7628,50582,23,88,5370,0,3169,133,3445,3948,9096,202274,4444,13499,7103,1097,37306,2816,655,5766,56952,9263,508,1977,1200,5943,1937,171954,1694,15638,1392,89951,2326,11715,3295,0,213172,8066,124,142836,4876,5835,7646
"Choongju",19,32058,62513,987,2698,0,52,25848,103,7396,3608,3518,8874,106686,1650,939,38050,62,69052,30393,64,18136,89,1040,5,6914,66428,0,2700,12,661,723,11357,11911,253,27,48034,0,9,325,3492,51,30088,33448,999,1,106,75990,3840,1668,13399,9588,645,318,18392,11,181,309,1098,1169,1741,26276,2262,260,0,96,393,217,1281,3165,60,16611,1503,5101,267,252,23086,0,204,10,1194,735,13314,9057,1449,35458,875,159,104054,239,333,5751,705041,78164,35,418,3863,131544,388,24025,1494,4525,42354,12083,1210,7,69708,0,5605,774,21,47,1129,57829,108477
"Chuncheon",33093,706,13765,636,187,1,26,8326,40,1654,918,1511,9387,1928,1780835,746,28064,14,55701,39670,91,305,21370,16202,3723,91,10946,0,31319,147756,394,957,1200,2192,245,25,1321,0,25,220,1310,63,2418,629,167,4214,199,622,6160,1816,8473,1998,1302,369,9699,8,351,143,754394,4159968,131,1176,2190,418,0,312,666,190868,1037,3737,120,5415,1475,3735,149,557,788,0,300,283480,1952,848,1222,6574,19804,869,841,359,3065,210,61,348,2732271,1259,54,542,286,4061,785,13121,1734,834999,44271,8452,2976,3658,32240,0,2179,336,28,40366,91,26417,22857
"Chungdo",7,1,1,0,0,0,0,90606,0,0,19,4,42,1,1,3169,3,0,697775,18,0,1,7,0,1,0,2,0,0,0,1,0,1,17898,0,0,4,0,0,0,2,0,34,0,0,0,0,2,0,3,20705,111,0,1,1,0,0,0,0,2,0,1,1,0,0,0,0,4,0,1,0,0,0,395629,0,1,1,0,0,0,0,0,5,7,1,0,0,0,0,0,0,0,44,8,0,2,0,6,0,56859,0,5,0,141896,0,0,0,0,1145,1,0,3,0,0,7
"Chungju",130,51313,615702,641692,7127,4,1199,93306,5388,19893,10415,1073344,31805,46624,28182,4253,3847351,3833,282783,4571474,4310,27403,686,14733,28,13811,20148,2,36023,11,2718,129035,79476,37138,14203,744,1031,0,680,11097,9843,4707,181437,31467,15491,38,7063,252210,197261,59916,63343,21651,73390,4971,66802,410,24758,1456,17415,21344,1591,401386,149959,17148,0,10804,27141,2432,74374,168369,5318,845438,34346,20310,7023,43733,1559,2,8777,21,88836,292196,373162,46123,23139,353879,20273,16892,272483,14104,7214,15615,2614193,175574,1432,19852,13665,222395,27835,85891,83444,80196,13148,49812,17021,8,80940,1,22655,58194,1097,215,16991,321949,380325
"Chungyang",10,705,3385,340,1091,0,1757,772,12520,227,52,10272,387,76,19,82,3557,26,6164,131107,80,5311,3,17,3,111,21,0,49,0,6,1682,1371,211,680,840,5,0,38,29250,132,11,2304,459,15336,8,16,76,2568,107,1037,301,405,5,414,250,31,6,18,20,33,5838,119,32,0,10,397,14,46,180,5,218,29,303,2243,675,14,6,8,0,265,1768,4371,1167,21,3307,29,36,1170,49450,9697,2369,33060,2368,3,91,172,2055,48,1760,85,110,19,482,23,1,65,0,382,499,490,2,7537,112,4317
"Daegu",1393002,64887,113681,34113,3650,5,1795,871511,6501,778661,142815,371160,6442001,110518,71531,518508,385913,7466,26223287,793632,14774,49520,126807,805,792413,8962,54832,4,22974,1871,523618,14958,767494,326053,4038,6210,110275,3,707,28186,2312067,4277,5202174,47265,3318,680648,1971,117197,211315,180106,1910427,4254018,20640,54074,1269102,57,61362,332103,24823,40997,485,160697,42586,1137,5,12630,9281,158559,11259,62900,9499,36030,148162,929142,325,4721,92111,0,68926,1051,35705,49407,141739,3007618,34713,133267,117241,30153,587586,54225,4400,56999,1628643,185111,9539,27554,250762,178176,31953,1364896,85405,116108,47940,786015,14830,49406,78809,2,3576797,99128,3036,517377,71364,90215,210490
"Daejeon",969,42678,441093,133712,45305,10,2256,154831,103531,30442,18128,1654955,46309,35287,39273,8452,4594126,130678,591273,11219772,9300,267392,735,15576,400,9251,10864,2,37779,14,6864,1425449,278302,55979,48752,1971,1047,4,1683,562373,14529,14159,287982,35173,51641,278,19211,140926,496640,138080,121664,40186,483394,14781,147595,1003,79504,2204,17823,26919,3466,411829,599596,49351,1,52635,59349,3483,208180,760294,20852,289785,99090,32675,15831,549945,3042,8,25805,20,755654,1305078,357698,112533,25246,263869,63062,48646,273940,1013971,92603,281045,2716152,182610,3505,47968,18864,191284,87565,147213,358047,86067,12917,86671,16921,27,70540,2,44366,347847,3111,181,826365,153033,411149
"Damyang",727,660,2500,79,2695,68,11248,7021,696,633,3294,5963,742,89,136,50,4434,207,15455,11203,27506,1956,87,55,123,82,21,3,119,0,2943,204,461,10013,5339,17321,15,2,98160,3384,1770,549,1005,348,10457,120,10241,538,1069298,22425,1312,728,616,3820,10097,168,3175,1693,116,82,1318,4765,2010,2679,7,6214,12565,51,10546,7277,79,776,4560,12,1290,585,43,2,41297,0,4655,139,2560,2209,115,2546,3579,1726,474,646,937,2754,26368,2557,12520,121686,608,1236,3004,264,6182,398,58,2,56,19,1132,5,913,32,6997,367,839,945,2608
"Dangjin",159,95921,163453,1056,102981,1,8808,27317,9839,3393,3395,7187,6452,15547,395,431,29481,4679,51299,282964,1645,580772,171,3310,27,77963,6774,2,2195,0,279,5764,9946,7697,5154,5479,502,2,629,75233,915,660,16253,66025,73654,12,1726,1302,66535,12007,20813,7906,2412,544,17464,2582,1645,81,1319,633,72139,884737,12911,3591,1,367,9234,813,4753,19750,692,37842,3260,3419,21745,3030,429,69,1141,1,23494,4791,19039,36451,1378,1285554,2272,1588,3961,90081,27840,221276,1565460,295960,329,5535,1837,65706,2210,24627,9475,4591,386,7927,771,3,3225,1,15493,2021,3181,252,173304,4811,18533
"Danyang",87783,6162,697,5,71,0,1,13967,8,3873,1888,337,42426,30,14663,1506,645,4,101017,822,98,172,37988,659,12608,957,308,0,4654,1145,1132,17,48,4607,4,6,17,0,4,24,3501,43,70,6758,27,30547,34,9397,1316,17269,12086,3648,17,7059,20100,0,387,388,7379,7603,55,5162,99,7,0,72,18,235234,42,358,18,139,1987,7592,8,8,4,0,532,2111,58,21,2689,7648,2830,690,1308,198,4,9,9,140,118835,17727,64,699,843,22907,499,38333,91,105567,2877,14592,2550,11572,11848,0,2928,6,6,306695,46,7223,18176
"Donghae",276,15585,13248,206,481,0,24,87,40,30,18,3742,391,829,8141,4,12505,18,640,14015,23,3414,572,91327,39,2522,4585,0,1427914,905,17,305,168,16,173,17,560,0,7,265,32,2,281,15959,312,48,37,21893,2773,440,42,11,626,17,160,14,43,3,118858,1388,213,12972,1452,106,0,56,289,3664,915,2226,39,3437,53,20,158,149,132,0,59,2152,962,235,6506,17,147743,5337,23,42,366,110,76,942,313119,48386,13,183,27,54422,17,205,876,146300,5006,51,288438,71,23233,0,5,38,37,428,296,19003,53761
"Euisung",65491,204,27,11,2,0,6,8518,5,4415,1370,69,135152,6,2896,2928,62,7,719213,547,127,19,10630,55,96,40,15,0,510,145,1616,17,251,4127,15,30,4,0,8,11,7311,54,274,191,5,21361,23,350,2574,2679,6712,10281,18,389,13273,1,388,596,1065,927,1,154,88,7,0,126,75,6043,77,294,61,5,1241,5306,3,14,3,0,656,148,38,43,56,4736,553,18,1075,162,35,24,7,27,5437,577,89,392,338,901,298,12318,365,7152,150,8675,281,2497,337,1,2440,53,35,20756,55,233,648
"Euiwang",941,324074,21118,399,30362,0,1008,5102,308,375,305,22603,489,5663,92,107,10909,114,4454,8793,82,101368,706,1921,27,349,8100,0,3016,0,53,489,782,809,456,593,1317,0,21,3293,133,68,1803,148365,3594,13,125,728,3066,835,1036,331,92,78,2027,273,210,13,2511,246,28023,79133,916,253,0,109,320,3843,349,1352,50,5949,285,463,2867,300,734,16,111,1,1000,419,15562,693,2766,73651,212,164,3070,361,4518,65791,841044,654642,24,326,163,206561,387,1605,677,11047,138,1538,1166,34,8982,0,454,157,463,1597,25561,33729,169465
"Eumsung",210,49385,45760,222,1036,7,26,8188,30,2721,1128,1782,3186,54385,11695,470,10486,11,33125,6236,9,5443,317,6013,12,8391,14809,0,12801,9,139,176,3311,4308,59,18,17241,0,9,128,1073,25,11079,50031,111,8,20,140738,1006,309,5832,4146,154,54,7221,6,69,111,10784,8332,793,54968,452,66,2,35,143,847,311,651,13,15122,359,2208,99,66,10427,0,47,7,283,223,26786,4600,8662,31213,171,52,38242,61,78,2716,1019523,144848,9,779,1628,193943,138,8682,333,35472,80668,5313,5361,10,133552,17,2182,72,17,324,509,115825,188684
"Gangjin",0,1,1,0,0,58438,0,1,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,1,118,0,0,0,0,0,4,1,6,1,4,9,0,0,0,0,0,7,0,0,1,47,15,2,0,0,1,3,2,0,0,0,0,0,3,1,0,22886,0,6,0,5,1,0,0,1,0,53,1,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,1,35,6,0,290114,0,0,3,0,4,0,0,2,0,0,0,490771,0,0,0,0,0,0,0
"Gangneung",5514,23048,27194,558,838,1,36,703,79,574,356,7639,3725,2771,17122,143,33571,27,19332,36992,125,2217,4051,1562611,591,3921,11544,1,271543,1490,259,845,931,352,260,33,1367,0,23,422,617,79,1540,27171,612,634,219,45763,7913,2508,223,448,1769,213,3653,41,370,73,327001,2972,402,20236,2651,430,0,174,875,21602,1892,4954,130,6165,868,692,438,412,609,0,221,3621,1746,689,14818,43,1137229,6532,614,278,2274,201,154,1515,608463,83375,47,658,266,112392,438,532,1873,462449,9339,706,591608,942,63834,0,134,171,62,8475,464,56600,117499
"Gapyeong",0,1,0,0,0,0,0,0,0,0,0,0,0,2,257065,0,0,0,1,0,0,0,4,6,0,0,4,1,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,8,1,1,2,0,0,0,0,0,0,0,46,52,0,0,0,0,0,0,0,23,0,0,0,0,0,0,1,0,0,0,0,230484,0,0,3,0,5,1,1,0,0,0,0,0,842965,0,0,0,0,0,0,0,0,51,45033,0,0,0,1,0,0,0,0,0,0,0,2
"Geochang",3985,269,1360,96,1,1,148,35805,4,33273,16576,2406,7174,719,347,670,2404,3,486121,7335,2673,260,865,28,1487,29,151,0,273,1,370747,1300,2483,46273,163,731,729,0,58,256,90711,4198,6157,160,4,1227,498,613,35653,9600,11936,11794,146,4776,66968,15,61368,79222,153,240,0,1770,2133,206,0,3055,845,1071,655,4609,1040,272,51225,1095,61,1488,329,0,23077,1,713,44,1681,15279,161,1272,17969,23296,1601,416,0,182,15343,1038,1883,2723,9281,954,10096,19310,5421,1258,163,864,129,115,317,0,9316,50,500,1722,356,465,1475
"Geumsan",38,2605,20337,495,574,0,12,22492,554,726,2590,53584,1722,752,894,119,117809,1775,13228,1208862,185,5271,10,377,24,462,297,0,701,1,1145,66965,3495,9220,978,41,18,0,26,12193,659,2537,5251,2775,145,6,161,7102,7224,7357,2006,731,14100,2448,13030,24,16556,350,547,660,63,21398,6547,118,0,26517,991,52,3895,8819,2767,7526,14851,535,294,102804,48,0,2181,1,11413,6905,16266,2022,460,14534,8595,11602,2137,25336,824,4327,128112,10847,94,722,525,9604,9623,3273,4618,2238,490,562,321,0,1960,0,853,1696,58,9,16364,5139,14913
"Gimcheon",603,6206,21661,2461,761,5,34,57425,1299,29962,10182,60368,46781,12225,1504,4907,80606,1382,663153,273975,392,9349,45,220,239,970,3406,1,1059,1,2652,3273,137052,28135,1006,81,12730,0,40,8518,53203,239,536002,2854,670,187,97,10992,12314,9349,33649,41353,3855,2513,66998,14,903,2523,460,906,74,27527,12102,126,2,141,1264,65,4402,14319,87,5968,6059,8708,337,135,9498,0,1605,1,9449,28066,24955,42285,725,22901,4606,754,66133,12289,1334,10826,159118,17533,228,1189,85649,15816,1872,47483,4493,1887,3553,17816,553,5,5027,1,28595,79069,95,147,13990,7053,23445
"Gimhae",6555,5105,8034,1806,58,4,4229,6656955,31,288296,4144229,25641,15661,8201,1408,26145,23160,170,515807,43339,14360,4821,2917,16,2902,680,3702,3,323,27,45930,9446,25778,9148944,2198,5928,6116,3,12291,1697,31681,5832,26088,2664,79,1456,4142,7990,176004,453780,105149,983,3035,210893,918170,46,44676,18728,559,1094,26,10713,27101,1459,2,7390,7281,2641,9565,151132,7165,2592,634401,176927,55,15429,3094,0,23178,9,7678,3069,11213,233,612,11119,376469,116673,15180,3007,14,3912,100702,14060,2290,84527,25996,11145,6588,288565,69554,2368,2914,717985,281,443,3973,8,6181,2461,4474,5286,4466,6807,12413
"Gimje",17,3098,8862,284,15349,2,23055,1710,4090,212,1198,18075,245,289,252,23,13371,605,3778,48489,4546,5805,6,171,15,596,97,2,260,0,204,955,938,2559,9862,54592,10,0,1851,11277,600,166,1660,1879,14349,3,90,1694,414969,904,681,348,3101,141,2741,11715,1931,111,170,278,4426,18801,60734,188,0,2767,62757,29,180568,105799,3227,1978,841,13,57661,2917,21,237,148,0,17915,954,7810,671,204,9990,524,1028,1933,3900,6768,7350,93322,9234,72,4292,108,4111,520,541,56658,855,127,4,158,0,787,1,399,261,17604,5,2637,1946,7890
"Gochang",191,3891,5244,15,14813,1,116746,5807,4950,737,2260,14547,114,39,35,15,830,993,6066,2006,19955,7931,2,16,50,1036,27,10,56,0,999,33,91,6892,63995,92582,1,1,13854,13708,709,374,162,3174,167942,23,2103,133,672297,6897,483,774,75,1994,6939,38160,1205,477,33,37,6819,28724,357,1406,14,1134,87923,13,992,1473,52,129,2630,4,302672,73,3,463,12823,0,163,28,6300,1149,25,13794,2096,638,105,4005,8826,8582,112300,11560,4013,33257,159,3990,2092,119,1671,129,25,1,20,0,111,17,324,11,90725,48,2232,198,6350
"Goesan",11,8353,4797,775,101,0,3,30297,4,5453,3048,266,7597,48749,1106,1447,618,3,77371,909,13,390,38,798,9,1577,20294,0,1407,2,860,30,13509,8798,9,0,29621,0,2,12,4717,51,35982,11388,24,4,9,17930,281,1724,15930,5261,13,630,21597,2,129,348,652,745,78,6095,67,13,1,12,14,61,41,299,6,878,2084,4070,17,10,18258,0,168,3,28,46,3193,11699,764,4561,1547,124,117657,8,13,330,194178,25528,15,146,5539,36873,601,27875,56,1940,14909,12570,638,1,17114,0,5287,982,2,12,64,14732,27063
"Goheung",0,0,0,0,0,1757,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,2,0,408,10,0,0,0,0,0,1,0,1,0,1,13,0,0,0,0,3,0,0,0,0,0,0,0,1,1,17,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,4,1,0,743874,0,0,0,0,1,0,0,0,0,0,0,19,0,0,0,0,0,0,2
"Gokseong",44,279,489,11,985,11,4830,8961,211,561,3774,1194,37,12,15,0,673,25,828,1672,103551,599,4,8,6,16,10,11,29,0,99,36,47,11842,1716,9012,1,2,119671,674,99,581,79,95,3133,7,136,122,2021011,46971,39,34,114,4367,9880,218,78,37,9,7,531,1568,416,94,4,139,25949,9,12725,1716,9,105,4793,1,668,41,0,4,398,0,820,13,521,161,16,748,4712,214,50,82,402,933,7449,954,297,302301,44,260,3125,6,964,60,13,3,6,1,39,7,114,1,5528,23,186,93,523
"Gongju",20,14344,106041,1177,10950,2,18169,8125,72580,1170,791,328260,2125,417,442,411,11936,30121,21574,616893,2364,81535,40,326,11,3003,259,6,568,1,259,14015,9834,2361,10848,11182,20,0,539,375910,1090,544,10950,11700,94724,6,6393,957,97990,43019,5659,2795,4168,1608,4672,3258,1797,106,336,332,774,154805,48147,13391,0,826,11274,180,17764,69765,2549,1561,3102,1433,38236,4288,38,80,4152,2,107978,12188,139794,4290,378,85154,1707,1655,3154,231385,59850,68645,937695,57486,1211,15031,970,65452,2150,9179,35230,1405,258,4214,321,0,1150,2,1666,3534,6304,7,303673,2343,138000
"Goryeong",20139,3619,3682,1190,22,1,173,29319,114,41880,13254,11799,45581,4590,1422,1454,11007,179,2252291,16555,1777,724,4857,26,7707,155,1829,0,668,7,96370,795,59631,36599,316,648,4685,0,51,989,48452,119,46226,1064,32,7772,179,4626,23995,3952,25848,62200,257,1185,60005,9,10450,171451,418,893,6,3480,4502,145,0,1961,1010,3191,983,4245,2122,1970,2646,1577,66,696,3249,0,8509,6,1095,1360,3134,48522,493,4778,2176,3228,20605,1222,71,1052,37803,7310,1203,646,84308,4560,505,22630,9016,2639,1752,1101,321,729,2070,0,45928,2118,314,8581,1929,3930,4359
"Gosung",227,378,2620,58,8,1,273,6059,5,1372,4136,4508,306,67,98,2,4430,9,5261,14389,675,588,63,9,68,68,42,3,71,0,4382,1814,348,10233,146,307,83,0,565,547,180,329377,478,255,5,43,385,1288,9886,46965,38,216,209,28020,15916,4,8461,545,34,68,5,3548,2080,101,1,888,311,86,647,5639,810,501,281549,3,15,4208,42,0,3085,0,714,109,2371,570,43,1950,41812,34925,163,652,5,727,31988,1925,156,6898,221,1461,1572916,17,5659,198,51,7,53,14,425,4,285,10,184,149,613,639,2718
