"","Anseong","Busan","Cheonan","Chilgok","Chungju","Daegu","Daejeon","Eumsung","Gimcheon","Gimje","Gumi","Gwangjoo","Gwangju","Gyeongju","Gyeongsan","Hoengsung","Iksan","Jangsung","Jeongeup","Jeongju","Jincheon","Nonsan","Okchun","Osan","Seoul","Suwon","Ulsan","Wonju","Yangsan","Yeoju","Yeongchun","Yeongdong","Yicheon","Yongin"
"Anseong",12,16245,68372,740,79936,33749,73969,12251,9285,1076,4453,43241,18740,16304,974,11317,9113,698,4342,12026,7552,3907,4664,136212,1454994,148804,5103,17931,3545,9995,579,2120,34982,15409
"Busan",16063,0,32199,18171,44222,494318,88637,916,29861,496,92087,7764,5,901657,57176,346,5022,2,900,14241,1543,4706,8114,102467,369835,56582,1005151,2503,1393513,1548,121362,10293,9847,3946
"Cheonan",65704,39615,20680,1110,186504,70363,416595,38,20397,1810,11259,897,29910,16231,2179,6738,14524,1656,7322,21164,23,5658,12244,317578,1930976,184238,10797,7121,6091,3389,1415,4917,7502,26031
"Chilgok",945,27358,1158,0,1534,708010,5179,51,2615,20,33969,484,7,16178,12465,63,253,1,67,100,55,242,802,2586,13720,1502,7477,127,4511,49,2959,1206,274,158
"Chungju",75966,46422,194147,924,52446,78904,577376,38426,20989,3455,13146,58092,48309,13658,2140,12832,40547,1704,10555,44796,45680,18434,60259,206793,1086267,120719,13576,18322,5521,8302,1077,14410,26004,18647
"Daegu",27454,545650,62256,758052,73988,624455,264592,2161,124399,551,1623446,18296,102,1111147,274632,1446,10386,11,1511,4085,2972,11243,32774,148603,775230,86176,352139,6024,74280,4209,127809,48329,17059,9997
"Daejeon",75775,106685,427262,3755,606149,260671,225020,11471,82784,15184,39936,27614,138324,45881,5496,19175,228543,7399,50462,212066,22623,271885,283153,204701,1165375,120952,41158,19906,10707,7563,3413,77461,25301,16483
"Eumsung",12326,1345,19,48,40885,2282,11038,0,523,102,444,21164,1675,389,95,1328,1053,80,561,1346,14223,924,653,368,197067,14567,374,2445,143,1661,18,231,9711,2551
"Gimcheon",7039,28808,16749,2054,19155,105649,79261,404,11434,426,42001,3508,450,10326,2501,723,3982,45,1048,2447,605,3548,14985,34311,215185,21757,5784,907,3004,1078,1151,26624,4249,2358
"Gimje",980,400,2010,16,3156,901,15708,111,366,159753,308,783,142990,268,7,335,8284,13830,413877,30553,81,4630,396,5219,37487,3667,171,311,21,153,20,96,412,394
"Gumi",4221,104787,11444,54148,14295,1552994,38078,436,38776,219,914,2294,678,54956,21033,439,3709,86,921,2823,487,1411,6227,35581,111000,21736,45171,1358,10194,387,6275,13364,2856,2993
"Gwangjoo",53534,11240,2296,292,70810,26692,36120,24204,5465,1136,2692,41501,18257,3827,438,37090,7360,709,4488,11193,17222,3712,2677,1681,1947543,7800,2417,59392,1186,10568,315,1785,25612,5518
"Gwangju",17581,0,25919,0,46520,0,137703,1477,174,131736,678,9458,0,14,0,5398,33335,799675,286340,246516,1678,49254,2571,90039,688487,54404,0,4920,0,3506,0,240,6886,4771
"Gyeongju",15475,824977,18107,15645,16212,1009779,52149,425,10865,204,50504,4077,1153,0,72883,77,4422,4,693,2808,1097,2293,3482,81611,235764,23596,229412,999,282218,872,30474,5949,4252,2810
"Gyeongsan",938,63703,2025,12917,2061,259271,5862,84,2728,10,19874,302,27,86903,0,22,266,0,140,161,82,360,1016,5330,19140,1974,40700,128,17027,90,22606,1040,271,264
"Hoengsung",10278,836,6021,28,11839,2309,19430,955,590,259,509,46573,5378,115,18,0,2725,95,1451,2869,1013,1033,367,7968,570894,72785,127,365121,52,16920,13,267,49358,14800
"Iksan",8028,6428,11708,177,39543,12926,217898,1115,4083,7400,3716,5463,31799,3886,267,2977,1743,2810,21523,8623,1031,24044,3785,40067,300121,24512,4558,3450,245,1326,304,746,9596,3447
"Jangsung",731,4,1353,2,1969,33,8485,24,16,12975,5,446,784813,50,2,42,3156,61587,55472,14293,170,3697,192,4014,29446,2984,2,88,0,112,1,19,312,221
"Jeongeup",3666,912,6486,91,10154,3054,49802,348,1173,396385,889,3013,275483,866,245,1605,22582,53191,15408,139587,377,21407,1322,20649,183454,12017,936,989,58,582,86,250,1465,1061
"Jeongju",10200,10464,19013,110,43620,6396,205675,1176,2173,31467,3697,7219,243363,1842,263,2462,7379,12751,129511,0,1102,62235,3092,55052,420359,36788,5827,3368,249,1708,200,684,6863,4406
"Jincheon",7869,1885,7,59,48915,3001,20799,12583,674,96,495,13848,1707,1048,121,1305,1132,85,394,1250,0,699,1034,230,138581,9491,626,2416,178,1063,47,469,7409,2158
"Nonsan",4235,5730,5666,275,16906,11806,251901,1125,3636,5473,1642,2683,51736,1981,619,1008,27053,4077,20196,67295,671,0,4825,13590,100957,10358,1738,1626,1030,746,187,798,2406,905
"Okchun",5323,8897,13159,664,63721,31485,270718,681,16122,405,6263,2414,3085,3316,1106,543,4461,210,1506,3671,1131,4716,80460,16684,68592,7669,4635,690,1483,490,513,47417,1337,1111
"Osan",157886,133098,391897,2968,243247,213617,233539,394,52305,5904,40111,1349,139649,67813,8177,9649,59482,4986,25277,77971,229,18514,16914,0,1634351,52432,40183,11661,31482,5891,2534,10808,17968,26453
"Seoul",1536777,406907,1913803,9064,1046698,684370,1124442,189887,189332,35653,100990,1910660,631288,140406,13726,607810,282375,23680,161129,403642,140301,106325,62795,1616547,1637,3070352,94133,787012,30753,253796,10432,57238,901362,2211824
"Suwon",156534,79975,199322,1732,118453,114658,121870,14340,31529,3603,24245,4981,65059,21335,2666,84275,26261,2573,12652,40566,9987,11957,7154,61246,2864937,0,22992,135629,7251,71169,1444,6599,232171,398323
"Ulsan",5924,940622,14251,8270,17320,363774,50965,553,6461,179,54150,2161,22,246149,37527,37,5533,2,884,7274,662,2365,3823,54272,126829,24956,1960728,1124,496983,658,42313,3900,3724,6836
"Wonju",15855,3768,6044,66,15361,6246,18489,2237,1053,255,512,72998,3986,746,77,383475,3000,101,759,2738,2122,1328,599,9981,813709,132123,911,13341,291,88230,162,276,124994,29181
"Yangsan",3896,1271025,5346,4100,7335,76494,14857,191,3714,20,12940,1316,6,314763,15697,29,293,0,12,367,238,1140,1725,28184,50251,8551,523135,676,0,207,34626,1970,916,828
"Yeoju",9787,2972,3288,34,7734,5151,7602,984,992,173,420,8934,2846,754,59,17791,1141,141,585,1710,1019,807,375,5025,247248,68573,555,89480,221,0,93,288,26999,19185
"Yeongchun",549,121911,1099,2929,1034,136162,3550,20,1258,18,5750,201,6,28981,20328,10,217,1,118,188,54,162,467,2172,11721,1214,44115,99,32657,176,0,691,134,127
"Yeongdong",1968,12942,4461,1077,13450,48283,72311,301,25620,106,14131,1146,554,5680,1174,303,887,22,196,664,413,778,44763,8670,56281,6157,3733,308,1808,301,707,30107,616,485
"Yicheon",29596,13252,6971,136,24849,16743,20061,8280,4916,321,2684,17974,9679,3470,271,66768,7478,264,1401,8568,6411,2459,1054,14549,838388,205714,3346,149155,1198,30082,140,556,17768,42595
"Yongin",15016,8313,26733,115,22176,15145,18805,2934,2944,310,2989,4282,6520,2791,255,16867,3520,355,1035,4886,2648,1114,843,20503,2210017,358719,6536,33334,1353,21758,144,591,52668,63246
