"","Andong","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Danyang","Donghae","Euijungbu","Euisung","Eumsung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gimje","Goyang","Gumi","Gunsan","Gwangju","Gwangmyung","Gwangyang","Gyeongju","Gyeongsan","Hadong","Haman","Hampyeong","Hongsung","Hwasoon","Iksan","Imsil","Jangsung","Jecheon","Jeongeup","Jeongju","Jeungpyung","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Suwon",1636,120058,0,115367,6958,411931,53683,709731,17147,1433,40,2690,361353,597771,710,349,27,0,339,0,0,65726,4811,40721,0,136497,0,104829,0,1545,22736,31095,912,1628,10717,90678,1027,130238,7138,21287,2545,49203,77027,916,4778,0,23039,52718,14,20079,26298,87697,14829,23264,574216,0,42,224164,52285,676267,82250,1678,1102,34235,64,0,7,0,7008,35678,2710,48253,74808,0
"Taebak",5755,229,6278,73,0,14087,423,798,245,533,0,4384,17768,5039,6,19707,0,717,89,43227,0,495,0,67,0,261,0,1317,0,454,1705,1318,0,0,0,51,0,278,0,3,27731,20,0,175,0,1707,68,0,82,0,0,59,0,0,478,2246,74,2277,0,158057,0,1122,596,6990,37338,2731,31,0,1973,0,13622,0,245,8535
"Ulsan",20617,0,3335,0,0,160966,0,8146,426,0,0,0,72335,12455,1982,1344,0,7429,0,3528,0,3395,0,0,0,8018,0,0,0,0,68741,6109,0,0,0,0,0,0,0,0,4048,0,0,0,0,0,0,0,0,0,0,0,61,8185,3157,583,0,1344,0,77060,0,33334,6003,1568,3428,820,0,0,12726,497,18494,0,0,0
"Wonju",14963,0,116,0,0,7617,0,311,0,0,0,0,0,216,7307,3221,0,182,0,8506,0,0,0,0,40,0,0,0,0,0,942,216,0,0,0,204,0,0,2,0,23872,0,0,0,0,4448,0,0,0,0,0,0,0,0,0,3895,0,0,502,301245,0,49,35615,2907,1610,44249,0,0,685,0,21917,0,0,12330
"Yangpyeong",3610,0,277,0,0,1872,0,43,0,0,0,0,0,0,847,1197,0,55,0,3130,0,0,0,0,0,0,0,0,0,0,312,0,0,0,0,13,0,0,0,0,7093,0,0,0,0,293,0,0,0,0,0,0,0,524,0,263,0,0,21,443523,0,0,2982,739,42326,30655,0,2088,120,0,3777,0,0,1251
"Yechun",0,0,0,0,0,10096,0,10,634,0,0,0,8131,57,0,31,0,0,0,233,0,5198,0,0,0,5730,0,0,0,0,0,1281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,192,0,0,0,0,0,3,0,1134,6,0,25,0,7,6,0,0,0,44,0,0,0,1482,0,0,0
"Yeoncheon",0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,1340366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,412,0,0,0,0,0,0,0,0,0,0,0,864,0,171021,0,0,0,0,0,0
"Yeongchun",7023,0,592,0,0,6205,0,1542,301,0,0,0,133741,4164,274,546,0,9772,0,1016,0,984,0,2,0,2901,0,14,0,0,30472,3494,0,0,0,0,0,22,0,1,628,5,0,0,0,0,0,0,0,0,0,6,13,13369,466,129,0,148,0,17912,0,7369,2714,11448,733,116,0,0,1318,87,3454,0,0,0
"Yeongdong",0,0,0,0,0,36754,2633,13973,3347,0,0,0,44334,217058,0,0,0,0,0,0,0,22466,205,0,0,18666,0,8,0,0,248,3388,0,81,0,0,0,9,0,2,0,0,0,0,161,0,1728,0,4,0,0,3,4244,112,5947,0,0,9808,0,117971,93,34194,0,458,0,0,1,0,65,3752,3,0,0,0
"Yeongju",51060,0,19698,0,0,22589,0,4227,789,2226,0,5938,13333,1996,5595,9975,0,4450,416,16836,0,7523,0,0,0,6154,0,0,0,0,6180,5608,0,0,0,0,0,0,0,0,37705,0,0,348,0,55,628,0,2944,0,0,0,2,0,1585,2962,4079,491,0,159507,0,3182,15665,12663,21206,3737,1698,0,3342,5,3974,0,0,28
"Yeosu",0,0,0,0,3401,0,0,13340,0,0,0,207,0,32029,0,0,0,0,0,0,0,0,0,0,0,0,0,1531,0,0,0,0,0,0,309,0,1633,46875,3415,0,0,0,69148,0,0,0,0,1247,0,394,26271,7839,0,0,7169,0,0,9620,0,137022,53163,47063,0,0,0,0,0,0,0,0,0,457,0,0
"Yesan",0,16606,0,25558,0,109,0,81553,0,0,0,0,157,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17285,0,0,0,14251,237932,0,73140,241,0,0,0,0,0,0,0,0,0,2796,0
"Youngwol",0,0,68,0,0,0,0,209,0,103,0,443,0,736,0,4132,0,0,55,4612,0,0,0,2,0,0,0,50,0,0,432,0,0,0,0,0,0,38,0,2,10069,8,0,66,0,687,0,0,0,0,0,4,0,0,0,809,0,161,0,33124,0,0,11669,0,12032,1209,0,0,0,0,58,0,0,141
