"","Andong","Anyang","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Donghae","Euijungbu","Euisung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gumi","Gunsan","Gwangju","Gwangyang","Gyeongju","Hadong","Haman","Hongsung","Hwasoon","Iksan","Imsil","Incheon","Jangsung","Jecheon","Jeongeup","Jeongju","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",75345,0,0,2612,0,0,58092,1376,139,213,615,0,6,115364,0,6775,0,36121,13115,0,4,244,0,0,0,0,34551,0,0,0,0,539,0,0,0,60420,140,0,506,5,0,0,0,0,0,0,0,390,0,2789,1000,0,0,361632,696,0,20722,61425,29119,2747,4,0,19165,0,115673,0,0,10
"Anyang",0,0,4985,0,4092,0,6908,0,30531,107,0,956,0,11680,20156,0,0,0,133,0,4907,0,2654,0,2602,0,0,0,0,4777,0,5881,0,0,927,245,6781,231,0,0,913,4282,0,2554,76,4077,1486,0,26351,0,0,9458,3609,77,791,1915,0,0,0,0,0,0,0,3700,0,0,5469,0
"Asan",0,2335,32543,0,53522,0,0,91,49273,0,357,0,0,0,0,0,463,0,0,131,0,0,0,0,0,0,0,0,0,47205,0,0,0,0,0,0,0,0,0,0,0,286,0,0,0,0,0,0,8069,0,0,0,24449,464504,0,39982,0,0,0,0,0,133,0,0,0,0,61382,0
"Bonghwa",3521,0,0,89821,0,0,9150,0,0,3,0,0,16,11179,670,8179,454,1179,6537,0,2,0,0,0,0,0,2277,0,0,0,0,0,0,0,0,564,0,0,0,49,1,0,2,0,0,0,0,0,0,5725,1,0,0,24902,0,0,49455,7669,327,105,1,0,1354,0,56195,0,0,7
"Boryeong",0,3348,61659,0,30166,0,62,193,106494,1304,0,0,0,2,0,0,1806,0,0,0,0,0,0,0,120,0,266,0,0,59187,0,0,0,0,0,525,75,0,0,0,0,0,0,0,0,0,0,0,20877,0,0,0,182702,540512,0,114399,0,0,0,0,0,0,0,0,0,0,51945,0
"Bosung",0,0,0,0,0,243613,13573,2010,1832,0,0,0,0,2,3376,0,0,0,693,0,0,197,0,0,361621,2873,0,6365,68,0,53569,4617,0,0,644,191,2265,3,1271,0,470,1843,0,1305,0,2013,0,0,1964,0,0,1240,0,88714,55629,10728,0,0,0,0,0,0,0,0,0,4722,0,0
"Busan",59909,4652,533,9376,0,14794,3598505,36078,179960,4924,423,474275,2014,3521216,837653,5916,2520,18450,15569,36,353567,96384,424587,3,27551,5392,132859,10266,22497,40,2862,1118,48,735,0,77626,2996,1,24228,298,2114666,36577,20158,4516,0,10,7628,15737,51362,3971,14606,122405,0,3549604,12802,418977,21579,748154,36759,2720,0,144,15132,111130,87331,1912,0,65
"Changwon",3256,0,91,0,82,2187,34995,549910,26851,3125,2512,26440,402,129122,55233,659,870,0,0,111,21934,126728,28743,0,8564,2516,613,20053,200916,951,810,992,6,710,0,5973,395,206,77188,0,105742,9288,0,1035,1003,1416,1,2160,3249,0,0,16745,0,357155,4843,72293,0,0,7,0,0,182,0,8775,351,4,0,0
"Cheonan",139,11818,31950,0,136165,876,181263,27335,52577,5463,0,1416,1261,155360,392852,0,0,0,622,0,31272,788,37614,0,41233,288,1616,275,236,111151,78,42073,1407,195,3391,10095,24283,16652,5518,0,7072,41218,0,6514,6340,29328,4820,434,18838,0,0,112074,36116,2284296,25112,41732,0,2547,0,0,0,0,81,19520,268,16014,78071,0
"Choongju",238,299,0,0,546,191,16623,6173,7056,35118,56,1806,95047,11224,46109,329,797,9,2231,0,0,1627,437,946,960,0,2004,0,1330,368,125,150,19,1788,704,173215,447,0,1812,137,574,2388,0,447,379,0,0,1693,1979,22,0,62601,61,33803,117,5358,0,2199,8,448,0,106,1602,46,488,684,113,100
"Chuncheon",615,0,357,0,0,0,879,2886,0,114,70015,0,343,281,83,485,196,592,0,77960,0,0,2,0,2025,0,0,0,0,0,0,460,0,0,323,0,144,0,0,0,0,559,0,738,0,0,0,0,0,0,0,636,0,1838011,0,0,0,0,504,0,0,1,144,0,0,746,1136,0
"Chungdo",1,929,0,0,0,0,504497,35142,2168,0,0,72719,0,278803,10054,0,0,0,455,0,15727,1627,57869,0,0,0,10,0,755,0,0,0,0,0,0,1807,0,0,2614,0,56405,0,1743,0,0,0,154,1,1257,0,1725,1919,0,47318,0,7551,0,2,0,0,0,0,17,2050,5,532,0,0
