"","Andong","Anyang","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Donghae","Euijungbu","Euisung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gumi","Gunsan","Gwangju","Gwangyang","Gyeongju","Hadong","Haman","Hongsung","Hwasoon","Iksan","Imsil","Incheon","Jangsung","Jecheon","Jeongeup","Jeongju","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",19379,0,0,3841,0,0,40801,1737,1624,2346,0,0,2948,72747,1318,8813,0,33225,12125,0,0,0,0,0,0,0,24779,680,0,0,0,105,23,0,0,62820,465,436,0,0,0,0,0,0,0,0,0,0,1246,2057,0,0,0,297838,0,3829,17297,39276,30213,5374,0,0,27683,0,109147,0,0,0
"Anyang",0,0,12376,0,4164,0,4325,0,14129,0,0,902,2,6699,8548,0,0,0,0,0,2306,0,1837,0,1328,0,12679,0,0,5386,0,2255,0,0,950,351,4318,534,0,560,497,2931,0,1525,665,1917,0,0,33512,0,0,7651,3508,95,0,660,0,0,0,72,0,0,0,2242,0,530,7132,618
"Asan",0,5630,2527,278,53222,0,485,5,61610,0,0,322,0,227,0,0,0,0,0,0,0,0,0,0,907,0,0,0,0,42106,0,0,0,0,0,0,294,0,0,361,0,0,0,191,268,0,0,0,16421,0,0,0,22701,468082,362,94170,20,0,0,0,0,0,0,0,1131,0,30104,192
"Bonghwa",3980,0,278,30551,0,0,7244,0,0,0,0,0,0,9617,0,6579,0,718,5114,0,0,0,0,0,0,0,1614,0,0,0,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,2558,0,0,0,15066,0,0,26373,5597,201,55,0,0,1869,0,41140,0,0,0
"Boryeong",0,3727,73084,0,4593,0,0,501,118033,0,108,1728,0,0,0,0,576,0,0,0,0,0,0,0,0,0,0,0,0,35789,0,0,0,2256,0,32,0,0,0,229,0,0,0,0,0,0,0,0,29087,0,0,0,109612,530096,0,117599,472,0,0,0,0,0,0,0,175,0,56890,0
"Bosung",0,0,0,0,0,159423,11084,2548,1631,0,0,0,0,0,3862,0,0,0,0,0,0,204,0,0,228885,1818,0,918,209,0,31836,3976,0,0,732,43,2975,0,1286,0,717,1830,0,1969,0,2923,0,0,0,0,0,1184,0,48424,70645,7307,0,0,0,0,0,0,0,0,0,3689,0,0
"Busan",41846,3581,485,7544,0,10977,2916150,156992,201344,1190,259,523118,0,2845741,837527,4268,2520,11027,11553,0,194590,66841,419912,0,17245,3819,135070,11760,17446,0,1493,246,0,0,360,34961,4724,0,24163,531,1717113,27628,27739,2987,970,481,12308,30331,66385,1880,23009,112525,0,3124847,12449,502212,13460,324052,16787,3041,13997,0,13350,73886,56258,285,0,114
"Changwon",1737,0,5,0,479,2184,174478,265675,25569,633,72,41222,0,148327,56752,751,432,0,0,0,15242,65778,22595,0,4797,1943,0,13993,112143,587,715,530,0,0,72,3817,195,133,63594,1296,77974,6460,257,497,1145,347,668,1080,5357,0,269,9753,0,299841,4440,66432,330,0,0,0,0,0,0,5253,3266,0,236,0
"Cheonan",2570,8745,26463,0,167501,1255,211323,27410,28637,4311,20,5663,1583,139244,422816,3,0,0,0,0,32747,1150,37048,0,41607,231,8860,297,423,130132,64,43350,1547,0,5107,14045,23461,22710,6978,475,6555,20251,0,6108,9301,31113,6243,0,41182,0,0,107560,35229,2123328,23892,180200,0,14534,0,0,0,0,1063,17648,5281,14313,105656,0
"Choongju",3913,0,0,0,32,238,3193,1642,5560,13513,0,0,58076,1475,69908,1782,0,0,1032,0,0,136,0,0,397,0,0,0,0,263,0,136,0,282,412,123839,1176,0,0,533,372,957,0,61,0,0,0,548,1277,19,0,45960,248,25694,0,3854,8,0,0,0,0,0,534,0,5442,0,318,123
